,0
0,nation
1,bike_number
2,lap_number
3,lap_time
4,section_one_time
5,section_two_time
6,section_three_time
7,section_four_time
8,average speed
9,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '1', ""2'06.155"", '31.196', '32.062', '29.272', '33.625', '187.5']"
10,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '2', ""1'59.643"", '25.878', '31.163', '29.116', '33.486', '290.3']"
11,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '3', ""1'59.510"", '26.114', '30.829', '29.059', '33.508', '288.0']"
12,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '4', ""2'00.258"", '26.272', '31.032', '29.588', '33.366', '293.4']"
13,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '5', ""1'59.657"", '26.043', '31.080', '29.007', '33.527', '289.5']"
14,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '6', ""1'59.419"", '26.012', '30.984', '29.057', '33.366', '288.0']"
15,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '7', ""1'59.285"", '25.824', '30.875', '29.090', '33.496', '288.0']"
16,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '8', ""1'59.218"", '25.935', '30.944', '28.977', '33.362', '289.5']"
17,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '9', ""1'59.554"", '26.029', '31.050', '29.157', '33.318', '291.1']"
18,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '10', ""2'00.044"", '26.079', '31.245', '29.362', '33.358', '291.1']"
19,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '11', ""1'59.909"", '26.127', '31.156', '29.104', '33.522', '291.1']"
20,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '12', ""1'59.249"", '25.901', '30.952', '29.074', '33.322', '291.1']"
21,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '13', ""1'59.640"", '26.197', '31.018', '29.055', '33.370', '292.6']"
22,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '14', ""1'59.700"", '25.968', '30.849', '29.232', '33.651', '289.5']"
23,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '15', ""2'00.485"", '26.035', '31.102', '29.612', '33.736', '289.5']"
24,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '16', ""2'00.241"", '26.312', '31.075', '29.340', '33.514', '290.3']"
25,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '17', ""1'59.976"", '26.199', '31.149', '29.226', '33.402', '288.0']"
26,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '18', ""1'59.353"", '26.149', '30.760', '29.116', '33.328', '288.0']"
27,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '19', ""1'59.290"", '26.020', '30.740', '29.119', '33.411', '284.9']"
28,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Tetsuta', 'NAGASHIM', ' Red Bull KTM Ajo', 'JPN', '45', '20', ""1'59.606"", '26.032', '30.902', '29.208', '33.464', '284.2']"
29,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '1', ""2'04.665"", '30.479', '31.624', '29.141', '33.421', '181.8']"
30,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '2', ""1'59.856"", '26.335', '30.938', '29.151', '33.432', '292.6']"
31,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '3', ""1'59.904"", '26.205', '30.997', '29.158', '33.544', '291.1']"
32,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '4', ""1'59.517"", '26.038', '30.957', '29.058', '33.464', '288.7']"
33,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '5', ""2'00.056"", '26.079', '31.065', '29.459', '33.453', '290.3']"
