,name,birthdate,height,weight
0,Franco MORBIDELLI,1994-12-04,176 cm,64 kg 
1,Aleix ESPARGARO,1989-07-30,180 cm,66 kg 
2,Jack MILLER,1995-01-18,173 cm,64 kg 
3,Fabio QUARTARARO,1999-04-20,177 cm,66 kg 
4,Joan MIR,1997-09-01,181 cm,69 kg 
5,Maverick VIÑALES,1995-01-12,171 cm,64 kg 
6,Alex RINS,1995-12-08,176 cm,72 kg 
7,Francesco BAGNAIA,1997-01-14,176 cm,67 kg 
8,Valentino ROSSI,1979-02-16,181 cm,69 kg 
9,Miguel OLIVEIRA,1995-01-04,170 cm,64 kg 
10,Alex MARQUEZ,1996-04-23,179 cm,65 kg 
11,Takaaki NAKAGAMI,1992-02-09,175 cm,70 kg 
12,Johann ZARCO,1990-07-16,171 cm,67 kg 
13,Stefan BRADL,1989-11-29,170 cm,63 kg 
14,Pol ESPARGARO,1991-06-10,171 cm,63 kg 
15,Brad BINDER,1995-08-11,170 cm,63 kg 
16,Luca MARINI,1997-08-10,184 cm,69 kg 
17,Enea BASTIANINI,1997-12-30,168 cm,64 kg 
18,Danilo PETRUCCI,1990-10-24,181 cm,80 kg 
19,Jorge MARTIN,1998-01-29,168 cm,62 kg 
20,Lorenzo SAVADORI,1993-04-04,177 cm,67 kg 
21,Iker LECUONA,2000-01-06,179 cm,70 kg 
22,Marco BEZZECCHI,1998-11-12,174 cm,61 kg 
23,Sam LOWES,1990-09-14,169 cm,65 kg 
24,Fabio DI GIANNANTONIO,1998-10-10,175 cm,68 kg 
25,Bo BENDSNEYDER,1999-03-04,184 cm,69 kg 
26,Remy GARDNER,1998-02-24,178 cm,72 kg 
27,Jake DIXON,1996-01-15,177 cm,65 kg 
28,Albert ARENAS,1996-12-11,169 cm,60 kg 
29,Raul FERNANDEZ,2000-10-23,177 cm,63 kg 
30,Augusto FERNANDEZ,1997-09-23,181 cm,68 kg 
31,Ai OGURA,2001-01-26,168 cm,56 kg 
32,Marcel SCHROTTER,1993-01-02,171 cm,68 kg 
33,Aron CANET,1999-09-30,170 cm,65 kg 
34,Jorge NAVARRO,1996-02-03,173 cm,64 kg 
35,Joe ROBERTS,1997-06-16,180 cm,69 kg 
36,Marcos RAMIREZ,1997-12-16,174 cm,63 kg 
37,Xavi VIERGE,1997-04-30,174 cm,66 kg 
38,Yari MONTELLA,2000-01-05,0 cm,0 kg 
39,Nicolò BULEGA,1999-10-16,181 cm,70 kg 
40,Stefano MANZI,1999-03-29,183 cm,70 kg 
