0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,March 08,Moto2,Losail International Circuit,RACE,,,,,,,,
rider,Tetsuta,NAGASHIM,Red,Bull,KTM,Ajo,JPN,1st,45,Total,laps=20,laps=19,
lap,1,2'06.155,31.196,32.062,29.272,33.625,187.5,,,,,,
lap,2,1'59.643,25.878,31.163,29.116,33.486,290.3,,,,,,
lap,3,1'59.510,26.114,30.829,29.059,33.508,288.0,,,,,,
lap,4,2'00.258,26.272,31.032,29.588,33.366,293.4,,,,,,
lap,5,1'59.657,26.043,31.080,29.007,33.527,289.5,,,,,,
lap,6,1'59.419,26.012,30.984,29.057,33.366,288.0,,,,,,
lap,7,1'59.285,25.824,30.875,29.090,33.496,288.0,,,,,,
lap,8,1'59.218,25.935,30.944,28.977,33.362,289.5,,,,,,
lap,9,1'59.554,26.029,31.050,29.157,33.318,291.1,,,,,,
lap,10,2'00.044,26.079,31.245,29.362,33.358,291.1,,,,,,
lap,11,1'59.909,26.127,31.156,29.104,33.522,291.1,,,,,,
lap,12,1'59.249,25.901,30.952,29.074,33.322,291.1,,,,,,
lap,13,1'59.640,26.197,31.018,29.055,33.370,292.6,,,,,,
lap,14,1'59.700,25.968,30.849,29.232,33.651,289.5,,,,,,
lap,15,2'00.485,26.035,31.102,29.612,33.736,289.5,,,,,,
lap,16,2'00.241,26.312,31.075,29.340,33.514,290.3,,,,,,
lap,17,1'59.976,26.199,31.149,29.226,33.402,288.0,,,,,,
lap,18,1'59.353,26.149,30.760,29.116,33.328,288.0,,,,,,
lap,19,1'59.290,26.020,30.740,29.119,33.411,284.9,,,,,,
lap,20,1'59.606,26.032,30.902,29.208,33.464,284.2,,,,,,
rider,Lorenzo,BALDA,Flexbox,HP,40,ITA,2nd,7,Total,laps=20,laps=18,,
lap,1,2'04.665,30.479,31.624,29.141,33.421,181.8,,,,,,
lap,2,1'59.856,26.335,30.938,29.151,33.432,292.6,,,,,,
lap,3,1'59.904,26.205,30.997,29.158,33.544,291.1,,,,,,
lap,4,1'59.517,26.038,30.957,29.058,33.464,288.7,,,,,,
lap,5,2'00.056,26.079,31.065,29.459,33.453,290.3,,,,,,
lap,6,1'59.641,26.043,30.910,29.218,33.470,290.3,,,,,,
lap,7,1'59.309,25.966,30.914,29.035,33.394,288.7,,,,,,
