0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,October 09,Moto2,Le Mans,FP1,,,,,,,
rider,Kasma,DANIEL,Onexox,TKKR,SAG,T,MAL,1st,99,Total,laps=14,laps=11
lap,1,2'58.673,36.910,29.525,34.980,32.939,,,,,,
lap,2,1'58.489,27.533,26.665,32.935,31.356,232.4,,,,,
lap,3,1'56.774,26.872,26.500,31.741,31.661,256.3,,,,,
lap,4,2'09.031,26.828,26.307,44.223,31.673,251.8,,,,,
lap,5,1'55.057,26.623,25.978,31.971,30.485,253.0,,,,,
lap,6,1'54.788,26.094,25.631,32.528,30.535,257.0,,,,,
lap,7,1'52.917,25.945,25.585,31.570,29.817,243.8,,,,,
lap,unfinished,256.3,,,,,,,,,,
lap,8,2'11.537,41.863*,27.310,32.038,30.326,,,,,,
lap,9,1'52.633,26.001,25.522,31.099,30.011,257.6,,,,,
lap,10,1'52.487,26.069,25.591,30.904,29.923,255.6,,,,,
lap,11,1'52.225,25.776,25.456,30.926,30.067,257.6,,,,,
lap,12,1'51.839,25.733,25.467,30.888,29.751,256.3,,,,,
lap,13,1'51.279,25.650,25.170,30.779,29.680,257.0,,,,,
rider,2nd,40,Hector,GARZO,Flexbox,HP,40,SPA,Total,laps=21,laps=16,
lap,1,3'19.257,41.068,33.780,37.788,35.004,,,,,,
lap,2,2'04.607,29.401,28.086,34.481,32.639,225.6,,,,,
lap,3,2'00.185,27.646,26.924,33.901,31.714,237.9,,,,,
lap,4,1'56.618,27.543,26.252,32.349,30.474,240.2,,,,,
lap,5,1'56.668,26.694,25.960,32.997,31.017,242.0,,,,,
lap,6,1'57.895,28.258,26.342,32.650,30.645,234.0,,,,,
lap,7,1'54.951,26.651,25.984,32.144,30.172,239.1,,,,,
lap,8,1'53.913,26.662,25.759,31.694,29.798,246.2,,,,,
lap,9,1'59.422,28.232,28.207,32.214,30.769,240.2,,,,,
lap,10,1'55.100,27.075,25.801,31.919,30.305,238.5,,,,,
lap,11,1'53.105,26.204,25.531,31.373,29.997,245.6,,,,,
lap,12,1'56.244,27.165,26.682,31.778,30.619,245.0,,,,,
lap,13,1'53.255,26.549,25.636,31.351,29.719,242.0,,,,,
lap,14,1'52.290,26.027,25.289,31.115,29.859,249.9,,,,,
lap,15,1'52.400,26.378,25.427,31.094,29.501,251.1,,,,,
lap,16,1'56.623,26.194,28.227,32.333,29.869,251.1,,,,,
lap,17,1'51.635,26.048,25.248,31.031,29.308,247.4,,,,,
lap,18,1'56.432,27.088,25.968,32.631,30.745,250.5,,,,,
lap,19,1'52.022,26.086,25.512,30.740,29.684,249.3,,,,,
lap,20,1'51.650,25.910,25.230,30.864,29.646,248.0,,,,,
lap,21,1'51.532,26.086,25.170,30.867,29.409,250.5,,,,,
rider,Lorenzo,BALDA,Flexbox,HP,40,ITA,3rd,7,Total,laps=21,laps=17,
lap,1,3'01.805,39.187,30.623,35.926,32.970,,,,,,
lap,2,1'59.570,28.245,27.069,32.924,31.332,246.2,,,,,
lap,3,1'58.668,27.082,26.678,33.009,31.899,247.4,,,,,
lap,4,1'58.239,27.545,26.540,32.992,31.162,248.0,,,,,
lap,5,1'57.136,27.144,26.603,32.407,30.982,249.9,,,,,
lap,6,2'03.998,28.050,31.259,33.221,31.468,246.2,,,,,
lap,7,1'57.066,26.870,26.618,32.559,31.019,248.6,,,,,
lap,8,1'55.116,26.861,26.164,31.882,30.209,248.0,,,,,
lap,9,1'53.804,26.304,25.701,31.623,30.176,249.9,,,,,
lap,10,1'53.449,26.540,25.738,31.285,29.886,248.6,,,,,
lap,11,1'53.414,26.452,25.593,31.334,30.035,248.0,,,,,
lap,12,1'54.630,26.318,25.487,31.494,31.331,248.0,,,,,
lap,13,1'52.766,26.315,25.593,30.938,29.920,248.0,,,,,
lap,14,1'53.145,26.378,25.494,31.028,30.245,249.3,,,,,
lap,15,1'53.092,26.308,25.514,31.294,29.976,248.6,,,,,
lap,16,2'00.829,26.119,25.282,37.969,31.459,249.3,,,,,
lap,17,1'52.966,26.135,25.591,31.188,30.052,247.4,,,,,
lap,18,1'51.904,25.913,25.350,30.970,29.671,248.6,,,,,
lap,19,1'52.228,25.858,25.389,31.105,29.876,251.1,,,,,
lap,20,1'52.047,26.049,25.354,30.885,29.759,251.1,,,,,
lap,21,1'51.535,25.855,25.268,30.864,29.548,248.6,,,,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,4th,16,Total,laps=16,laps=9,,
lap,1,2'39.032,37.791,30.584,35.505,33.675,,,,,,
lap,2,2'00.966,28.541,27.417,33.632,31.376,248.0,,,,,
lap,3,1'58.788,27.297,26.826,33.508,31.157,253.0,,,,,
lap,4,1'56.146,26.946,26.182,32.225,30.793,253.0,,,,,
lap,5,1'55.303,26.746,26.029,32.020,30.508,253.7,,,,,
lap,6,1'54.069,26.548,25.745,31.613,30.163,255.0,,,,,
lap,7,1'53.476,26.350,25.354,31.484,30.288,255.0,,,,,
lap,8,1'53.847,26.412,25.462,31.504,30.469,254.3,,,,,
lap,9,2'02.155,P,27.963,26.498,32.700,34.994,234.6,,,,
lap,10,10'36.006,41.659,28.358,33.199,31.449,,,,,,
lap,11,1'55.172,27.204,26.030,31.742,30.196,251.8,,,,,
lap,12,1'52.516,26.289,25.388,31.074,29.765,255.0,,,,,
lap,13,1'52.322,26.261,25.247,31.142,29.672,252.4,,,,,
lap,14,1'51.829,25.947,25.189,31.012,29.681,255.0,,,,,
lap,15,1'53.261,26.079,25.308,31.762,30.112,255.6,,,,,
lap,16,4'44.731,P,2'52.257,35.589,39.264,37.621,255.0,,,,
rider,Jake,DIXON,Petronas,Sprinta,Raci,GBR,5th,96,Total,laps=15,laps=9,
lap,1,3'31.796,37.734,30.103,34.089,32.977,,,,,,
lap,2,1'59.497,27.999,26.930,32.772,31.796,248.0,,,,,
lap,3,1'55.872,27.082,26.273,31.848,30.669,252.4,,,,,
lap,4,1'55.199,27.155,26.215,31.411,30.418,254.3,,,,,
lap,5,1'55.763,26.667,26.504,31.733,30.859,252.4,,,,,
lap,6,1'54.781,26.699,26.135,31.666,30.281,253.7,,,,,
lap,7,1'53.975,26.310,26.118,31.484,30.063,253.7,,,,,
lap,8,1'53.313,26.489,25.783,31.107,29.934,253.0,,,,,
lap,9,1'52.417,26.007,25.585,31.021,29.804,253.0,,,,,
lap,10,1'52.678,25.889,25.767,31.010,30.012,251.1,,,,,
lap,11,1'53.606,26.028,26.046,31.427,30.105,252.4,,,,,
lap,12,1'54.443,26.000,25.580,30.957,31.906,250.5,,,,,
lap,13,1'52.623,26.139,25.627,31.058,29.799,251.8,,,,,
lap,14,1'51.851,25.891,25.489,31.049,29.422,252.4,,,,,
lap,15,1'57.178,P,26.156,25.683,31.610,33.729,252.4,,,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,6th,88,Total,laps=16,laps=11
lap,1,2'54.896,37.795,30.217,34.457,34.296,,,,,,
lap,2,2'01.893,28.572,27.604,33.469,32.248,246.8,,,,,
lap,3,2'00.092,27.694,27.187,33.409,31.802,252.4,,,,,
lap,4,1'57.359,27.395,26.425,32.341,31.198,237.4,,,,,
lap,5,1'55.119,26.771,26.202,31.703,30.443,253.0,,,,,
lap,6,1'54.863,26.683,26.004,31.739,30.437,256.3,,,,,
lap,7,1'53.706,26.343,25.807,31.486,30.070,256.3,,,,,
lap,8,1'53.204,26.328,25.546,31.170,30.160,255.6,,,,,
lap,9,2'00.746,P,26.457,28.122,32.445*,33.722,257.0,,,,
lap,10,10'29.582,36.851,27.708,32.710,31.848,,,,,,
lap,11,1'55.362,27.088,26.118,31.598,30.558,251.1,,,,,
lap,12,1'52.391,25.949,25.565,31.068,29.809,254.3,,,,,
lap,13,1'51.912,25.756,25.382,30.911,29.863,257.0,,,,,
lap,14,1'52.589,25.934,25.275,31.202,30.178,255.6,,,,,
lap,15,2'02.220,28.220,25.907,37.349,30.744,255.6,,,,,
lap,16,1'52.594,26.024,25.416,31.224,29.930,255.6,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,7th,72,Total,laps=18,laps=10
lap,1,2'40.351,40.207,31.668,36.916,33.934,,,,,,
lap,2,2'00.395,28.536,27.368,33.212,31.279,245.6,,,,,
lap,3,1'56.810,27.057,26.599,32.777,30.377,258.3,,,,,
lap,4,1'55.742,26.408,26.483,31.839,31.012,259.6,,,,,
lap,5,1'53.871,26.562,25.928,31.383,29.998,255.0,,,,,
lap,6,1'54.175,26.714,25.913,31.424,30.124,257.6,,,,,
lap,7,1'54.414,26.464,26.242,31.460,30.248,259.6,,,,,
lap,8,1'54.399,26.699,25.952,31.523,30.225,260.3,,,,,
lap,9,1'53.414,26.187,25.644,31.257,30.326,259.0,,,,,
lap,10,1'59.032,P,26.465,26.363,32.351,33.853,257.0,,,,
lap,11,8'29.465,39.513,29.812,33.232,31.832,,,,,,
lap,12,1'55.513,27.440,26.274,31.592,30.207,255.6,,,,,
lap,13,1'53.301,26.338,25.699,31.321,29.943,257.6,,,,,
lap,14,1'53.006,26.158,25.751,31.105,29.992,257.6,,,,,
lap,15,1'58.264,26.415,25.836,32.576*,33.437,257.6,,,,,
lap,16,1'53.164,26.400,25.499,31.292,29.973,259.6,,,,,
lap,17,1'52.206,26.250,25.312,30.954,29.690,259.0,,,,,
lap,18,1'52.473,26.188,25.272,31.149,29.864,258.3,,,,,
rider,Thomas,LUTHI,Liqui,Moly,Intact,GP,SWI,8th,12,Total,laps=21,laps=16
lap,1,3'26.974,39.102,30.031,35.507,33.698,,,,,,
lap,2,2'02.057,28.595,27.913,33.282,32.267,242.0,,,,,
lap,3,1'58.337,27.327,26.744,32.920,31.346,251.8,,,,,
lap,4,1'58.576,27.349,26.846,33.064,31.317,255.6,,,,,
lap,5,1'55.656,27.049,26.193,32.003,30.411,251.1,,,,,
lap,6,1'56.033,26.708,26.362,32.231,30.732,254.3,,,,,
lap,7,1'55.223,26.616,25.925,31.920,30.762,255.6,,,,,
lap,8,1'55.162,27.016,25.926,31.694,30.526,252.4,,,,,
lap,9,1'54.049,26.305,25.524,31.590,30.630,255.0,,,,,
lap,10,1'57.892,26.698,26.734,33.438,31.022,255.0,,,,,
lap,11,1'55.327,26.492,25.783,31.859,31.193,253.7,,,,,
lap,12,1'54.122,26.479,25.620,31.283,30.740,253.0,,,,,
lap,13,1'53.653,26.465,25.742,31.158,30.288,253.7,,,,,
lap,14,1'53.561,26.301,25.542,31.394,30.324,253.0,,,,,
lap,15,1'55.637,26.377,26.098,32.211,30.951,254.3,,,,,
lap,16,1'53.189,26.368,25.866,30.982,29.973,251.8,,,,,
lap,17,1'52.523,26.044,25.576,30.850,30.053,253.7,,,,,
lap,18,1'53.860,26.247,25.651,31.109,30.853,253.7,,,,,
lap,19,1'54.350,26.294,25.678,32.209,30.169,252.4,,,,,
lap,20,1'52.238,26.113,25.528,30.860,29.737,255.0,,,,,
lap,21,1'52.510,25.945,25.519,31.096,29.950,254.3,,,,,
rider,9th,11,Nicolò,BULEGA,Federal,Oil,Gresini,M,ITA,Total,laps=19,laps=8
lap,1,2'39.571,36.839,28.346,40.950,32.836,,,,,,
lap,2,1'57.775,26.860,26.984,32.811,31.120,248.6,,,,,
lap,3,1'55.802,26.329,26.615,32.270,30.588,248.0,,,,,
lap,4,1'54.830,26.251,26.176,32.080,30.323,253.7,,,,,
lap,5,1'53.649,26.086,25.918,31.521,30.124,253.0,,,,,
lap,6,1'53.828,26.273,25.705,31.422,30.428,252.4,,,,,
lap,7,1'52.347,25.618,25.772,31.132,29.825,253.7,,,,,
lap,8,1'52.976,25.814,25.877,31.260,30.025,255.0,,,,,
lap,9,1'53.054,26.068,25.807,31.363,29.816,254.3,,,,,
lap,10,1'52.259,25.782,25.497,31.035,29.945,254.3,,,,,
lap,11,1'53.400,26.018,26.019,31.183,30.180,255.0,,,,,
lap,12,1'54.288,26.057,26.340,31.406,30.485,254.3,,,,,
lap,13,1'54.173,26.412,26.102,31.154,30.505,255.0,,,,,
lap,14,1'54.612,26.668,26.306,31.373,30.265,252.4,,,,,
lap,15,1'57.251,P,26.099,26.240,31.389,33.523,253.0,,,,
lap,16,5'47.450,35.699,27.705,32.048,30.355,,,,,,
lap,17,1'52.951,25.980,25.933,31.152,29.886,254.3,,,,,
lap,18,1'53.247,25.716,25.998,31.376,30.157,253.7,,,,,
lap,19,1'53.402,25.957,26.274,31.376,29.795,254.3,,,,,
rider,10th,55,Hafizh,SYAHRIN,Inde,Aspar,Team,Mot,MAL,Total,laps=16,laps=11
lap,1,2'18.090,37.218,29.175,33.692,31.314,,,,,,
lap,2,1'56.044,26.812,26.317,32.121,30.794,251.1,,,,,
lap,3,1'54.339,26.372,26.149,31.653,30.165,253.0,,,,,
lap,4,1'53.323,25.924,25.661,31.742,29.996,254.3,,,,,
lap,5,1'52.400,25.630,25.566,31.449,29.755,253.7,,,,,
lap,6,5'03.261,P,3'12.179,35.837,39.955*,35.290,255.0,,,,
lap,7,9'23.397,37.251,27.622,32.293,30.473,,,,,,
lap,8,1'52.955,25.984,25.715,31.285,29.971,253.7,,,,,
lap,9,1'53.147,25.840,25.684,31.522,30.101,255.0,,,,,
lap,10,1'52.482,25.960,25.573,31.114,29.835,253.7,,,,,
lap,11,1'52.728,26.053,25.470,31.261,29.944,254.3,,,,,
lap,12,2'00.572,25.914,25.870,31.469,37.319,253.7,,,,,
lap,13,1'52.887,25.887,25.663,31.394,29.943,255.0,,,,,
lap,14,2'00.095,26.194,25.910,37.514*,30.477,253.7,,,,,
lap,15,1'52.677,25.584,25.531,31.489,30.073,253.0,,,,,
lap,16,1'52.373,25.777,25.685,31.125,29.786,253.0,,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,11th,33,Total,laps=16,laps=12,
lap,1,3'04.437,38.079,29.254,36.309,32.798,,,,,,
lap,2,2'01.382,28.762,27.523,33.529,31.568,228.7,,,,,
lap,3,1'58.024,27.355,26.812,32.788,31.069,253.0,,,,,
lap,4,1'57.211,27.375,26.814,32.388,30.634,255.6,,,,,
lap,5,1'56.346,27.239,26.468,32.317,30.322,257.6,,,,,
lap,6,1'56.281,27.510,26.165,31.979,30.627,257.6,,,,,
lap,7,1'59.602,26.932,25.899,35.750,31.021,257.6,,,,,
lap,8,1'54.896,27.024,25.772,31.920,30.180,257.0,,,,,
lap,9,1'54.109,26.677,25.793,31.540,30.099,257.0,,,,,
lap,10,1'53.483,26.439,25.674,31.294,30.076,255.6,,,,,
lap,11,2'00.428,P,27.948,26.442,32.367,33.671,255.6,,,,
lap,12,10'09.796,37.818,26.939,32.430,30.908,,,,,,
lap,13,1'54.145,26.848,25.605,31.565,30.127,255.0,,,,,
lap,14,1'53.271,26.277,25.329,31.506,30.159,256.3,,,,,
lap,15,1'53.017,26.110,25.454,31.425,30.028,256.3,,,,,
lap,16,1'52.596,26.114,25.349,31.365,29.768,255.6,,,,,
rider,Simone,CORSI,MV,Agusta,Forward,R,ITA,12th,24,Total,laps=18,laps=11
lap,1,3'18.404,40.094,31.299,36.794,34.277,,,,,,
lap,2,2'05.479,29.558,28.435,34.675,32.811,232.4,,,,,
lap,3,2'02.361,28.643,27.576,34.203,31.939,231.3,,,,,
lap,4,1'58.892,27.929,26.939,33.053,30.971,249.3,,,,,
lap,5,1'56.799,27.177,26.410,32.649,30.563,253.7,,,,,
lap,6,1'55.965,26.868,26.315,32.179,30.603,251.1,,,,,
lap,7,1'56.279,27.036,26.255,32.436,30.552,253.0,,,,,
lap,8,1'55.912,27.148,25.961,32.208,30.595,253.7,,,,,
lap,9,1'54.516,26.723,25.844,31.577,30.372,253.0,,,,,
lap,10,1'57.800,27.147,26.557,32.770,31.326,252.4,,,,,
lap,11,1'57.408,27.117,26.283,32.611,31.397,251.1,,,,,
lap,12,2'03.207,P,27.368,26.506,32.633,36.700,248.6,,,,
lap,13,6'21.081,39.661,27.653,33.215,31.059,,,,,,
lap,14,1'55.769,27.152,26.063,32.010,30.544,250.5,,,,,
lap,15,1'53.647,26.675,25.706,31.293,29.973,251.8,,,,,
lap,16,1'54.258,26.780,26.030,31.618,29.830,253.7,,,,,
lap,17,1'52.608,26.122,25.306,31.445,29.735,251.8,,,,,
lap,18,1'54.463,26.537,25.588,31.658,30.680,251.8,,,,,
rider,Stefano,MANZI,MV,Agusta,Forward,R,ITA,13th,62,Total,laps=17,laps=11
lap,1,2'58.324,40.918,31.649,36.088,33.918,,,,,,
lap,2,2'01.931,29.141,28.132,33.184,31.474,235.7,,,,,
lap,3,1'58.613,27.279,26.628,33.058,31.648,249.3,,,,,
lap,4,1'56.844,26.894,26.575,32.740,30.635,247.4,,,,,
lap,5,1'55.384,26.727,26.162,31.748,30.747,249.9,,,,,
lap,6,1'55.377,26.818,25.936,31.935,30.688,248.0,,,,,
lap,7,2'11.437,P,27.206,28.983,37.484*,37.764,250.5,,,,
lap,8,8'55.422,39.120,27.679,33.204,32.125,,,,,,
lap,9,1'56.962,27.464*,26.609,31.975,30.914,243.8,,,,,
lap,10,1'54.759,26.824,25.999,31.555,30.381,249.3,,,,,
lap,11,1'57.374,26.572,25.747,34.663,30.392,250.5,,,,,
lap,12,1'54.045,26.304,25.614,31.640,30.487,250.5,,,,,
lap,13,1'53.633,26.250,25.521,31.826,30.036,251.1,,,,,
lap,14,1'52.813,26.070,25.443,31.467,29.833,252.4,,,,,
lap,15,1'54.851,25.891,25.452,33.490,30.018,252.4,,,,,
lap,16,1'52.693,25.931,25.224,31.637,29.901,251.1,,,,,
lap,17,1'53.663,26.036,25.633,32.028,29.966,252.4,,,,,
rider,14th,87,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,Total,laps=16,laps=9
lap,1,2'58.582,38.949,30.661,35.018,33.048,,,,,,
lap,2,2'00.266,28.462,27.600,32.757,31.447,235.1,,,,,
lap,3,1'57.999,27.115,26.845,32.828,31.211,253.7,,,,,
lap,4,1'56.434,27.006,26.312,32.351,30.765,251.1,,,,,
lap,5,1'55.218,26.843,26.289,31.744,30.342,253.0,,,,,
lap,6,1'56.497,28.247,26.168,31.970,30.112,254.3,,,,,
lap,7,1'54.073,26.614,25.607,31.528,30.324,253.0,,,,,
lap,8,1'53.926,26.497,25.384,32.011,30.034,252.4,,,,,
lap,9,1'52.769,26.033,25.525,31.475,29.736,252.4,,,,,
lap,10,2'10.792,P,26.281,30.107,36.651,37.753,251.8,,,,
lap,11,10'35.914,41.258,28.747,33.367,31.364,,,,,,
lap,12,1'55.624,26.973,26.316,31.913,30.422,251.1,,,,,
lap,13,1'53.661,26.272,25.691,31.701,29.997,253.7,,,,,
lap,14,1'52.851,26.254,25.414,31.171,30.012,252.4,,,,,
lap,15,1'53.561,25.941,25.436,31.863,30.321,253.0,,,,,
lap,16,1'57.405,28.750,26.564,32.055,30.036,253.0,,,,,
rider,15th,19,Lorenzo,DALLA,PO,Italtrans,Racing,Team,ITA,Total,laps=14,laps=10
lap,1,3'18.764,39.477,31.165,37.122,34.032,,,,,,
lap,2,5'25.561,29.418,27.559,33.855,3'54.729,228.7,,,,,
lap,3,2'53.592,P,46.831*,35.141,152.2,,,,,,
lap,4,9'10.338,41.014,29.134,35.786,33.539,,,,,,
lap,5,2'02.597,30.055*,27.457,33.012,32.073,228.7,,,,,
lap,6,1'59.363,27.806,26.995,32.673,31.889,239.1,,,,,
lap,7,1'56.230,27.159,26.129,32.177,30.765,247.4,,,,,
lap,8,1'57.065,26.692,27.393,32.034,30.946,252.4,,,,,
lap,9,1'55.024,26.775,25.677,32.017,30.555,252.4,,,,,
lap,10,1'54.632,26.606,25.839,31.859,30.328,254.3,,,,,
lap,11,1'54.280,26.494,25.635,31.750,30.401,255.6,,,,,
lap,12,1'53.595,26.336,25.605,31.553,30.101,255.0,,,,,
lap,13,1'52.917,26.336,25.458,31.160,29.963,253.7,,,,,
lap,14,1'52.807,26.128,25.482,31.275,29.922,255.0,,,,,
rider,Tetsuta,NAGASHIM,Red,Bull,KTM,Ajo,JPN,16th,45,Total,laps=13,laps=8
lap,1,3'04.104,37.081,30.899,35.138,34.379,,,,,,
lap,2,2'01.367,28.393,27.755,33.196,32.023,226.1,,,,,
lap,3,1'57.611,26.990,26.956,32.605,31.060,250.5,,,,,
lap,4,1'56.282,26.781,26.332,32.058,31.111,251.1,,,,,
lap,5,1'56.903,27.277,26.437,32.212,30.977,246.8,,,,,
lap,6,1'56.508,27.080,26.345,32.235,30.848,251.1,,,,,
lap,7,1'54.894,26.651,25.874,31.838,30.531,252.4,,,,,
lap,8,1'56.168,27.455,26.359,31.646,30.708,253.7,,,,,
lap,9,2'06.005,P,27.496,28.324,34.540,35.645,248.6,,,,
lap,10,12'24.754,37.413,28.517,32.605,32.033,,,,,,
lap,11,1'55.420,27.463,25.919,31.577,30.461,243.8,,,,,
lap,12,1'52.898,26.149,25.536,31.061,30.152,251.8,,,,,
lap,13,1'57.192,P,26.364,25.562,31.247,34.019,252.4,,,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,17th,23,Total,laps=11,laps=8
lap,1,7'21.257,P,40.356,29.223,34.540,4'26.739,,,,,
lap,2,16'38.463,41.105,29.611,35.447,33.310,,,,,,
lap,3,2'00.152,28.195,27.086,32.993,31.878,239.1,,,,,
