0,1,2,3,4,5,6,7,8,9
const,2020,October 10,Moto2,Le Mans,Q1,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,1st,33,
lap,1,1'52.484,24.426,23.846,29.638,26.231,,,
lap,2,1'42.861,24.223*,22.551,27.639,28.448,262.4,,
lap,3,1'41.733,22.591,22.145,30.973*,26.024,266.6,,
lap,4,1'37.462,22.605,22.030,27.360,25.467,263.1,,
lap,5,1'36.731,22.416,21.863,27.146,25.306,263.1,,
lap,6,1'43.561,22.471,21.958,28.232*,30.900,261.7,,
lap,7,1'44.587,P,23.011,24.396,27.943*,29.237,263.8,
rider,Thomas,LUTHI,Liqui,Moly,Intact,GP,SWI,2nd,12
lap,1,1'52.973,24.463,23.313,28.962,26.298,,,
lap,2,1'38.006,23.011,22.027,27.410,25.558,261.7,,
lap,3,1'37.359,22.690,21.765,27.474,25.430,261.7,,
lap,4,1'36.915,22.617,21.825,27.086,25.387,260.3,,
lap,5,1'41.064,25.606*,22.405,27.554,25.499,260.3,,
lap,6,1'37.037,22.721,21.818,27.007,25.491,261.0,,
lap,7,1'37.158,22.718,21.766,27.197*,25.477,259.0,,
lap,8,1'40.956,22.703,21.792,30.483,25.978,257.6,,
lap,9,3'15.738,P,22.646,1'30.163,259.6,,,
rider,Aron,CANET,Inde,Aspar,Team,Mot,SPA,3rd,44
lap,1,2'22.030,30.980,23.538,28.285,26.007,,,
lap,2,1'37.734,22.699,21.972,27.451,25.612,260.3,,
lap,3,1'39.231,22.514,21.996*,29.033,25.688,260.3,,
lap,4,1'37.501,22.578,21.946,27.399,25.578,258.3,,
lap,5,1'37.121,22.612,21.909,27.169,25.431,258.3,,
lap,6,2'02.354,22.483,21.947,49.114,28.810,259.0,,
lap,7,1'38.891,23.576*,22.085,27.530*,25.700,254.3,,
lap,8,1'37.462,22.614,21.885,27.434,25.529,257.0,,
lap,9,1'45.609,P,22.652,21.995*,29.165,31.797,256.3,
rider,4th,21,Fabio,DI,GIANNANT,Termozeta,Speed,Up,ITA
lap,1,1'58.022,23.987,23.539,28.574,26.359,,,
lap,2,1'39.036,23.444,22.066,27.673,25.853,259.0,,
lap,3,1'38.110,22.841,22.158,27.532,25.579,261.7,,
lap,4,1'37.347,22.617,21.927,27.250,25.553,261.7,,
lap,5,1'43.740,25.507*,22.879,27.547,27.807,259.0,,
lap,6,1'37.325,22.624,21.891,27.236,25.574,260.3,,
lap,7,1'45.713,27.561*,23.180,28.404*,26.568,257.0,,
lap,8,1'37.566,22.633,21.852,27.388,25.693,258.3,,
lap,9,1'37.737,22.595,21.949*,27.474,25.719,257.6,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,5th,23
lap,1,2'07.130,27.717,24.152,28.584,26.547,,,
lap,2,1'38.706,23.166,22.325,27.506*,25.709,263.1,,
lap,3,1'39.159,22.895,22.419*,27.339,26.506,263.8,,
lap,4,1'37.965,22.903,22.050,27.434,25.578,263.1,,
lap,5,1'37.554,22.838,21.998,27.260,25.458,262.4,,
lap,6,1'37.411,22.714,21.834,27.274,25.589,263.1,,
lap,7,1'41.555,25.308*,22.777,27.709*,25.761,261.7,,
lap,8,1'38.354,22.845,21.949,27.298,26.262,263.1,,
lap,9,1'37.606,22.821,21.955,27.259,25.571,261.0,,
rider,6th,11,Nicolò,BULEGA,Federal,Oil,Gresini,M,ITA
lap,1,1'53.320,24.745,24.033,29.940,26.063,,,
lap,2,1'41.741,22.921,22.320,29.051,27.449,264.5,,
lap,3,1'38.742,23.625*,22.227,27.457,25.433,263.1,,
lap,4,1'39.395,23.431,21.958,27.545,26.461,263.8,,
lap,5,1'37.415,22.754,21.952,27.326,25.383,261.7,,
lap,6,1'45.567,22.688,22.060,28.187*,32.632,259.0,,
lap,unfinished,23.027,23.412,261.0,,,,,
rider,Lorenzo,DALLA,PO,Italtrans,Racing,Team,ITA,7th,19
lap,1,2'04.653,25.073,23.579,28.364,26.400,,,
lap,2,1'39.617,23.483,22.485,27.808,25.841,263.8,,
lap,3,1'38.269,22.916,22.158*,27.524,25.671,263.8,,
lap,4,1'38.027,22.798,22.075,27.535,25.619,262.4,,
lap,5,1'37.432,22.633,22.024,27.254,25.521,261.7,,
lap,6,1'37.604,22.661,22.023,27.284*,25.636,261.7,,
rider,Tetsuta,NAGASHIM,Red,Bull,KTM,Ajo,JPN,8th,45
lap,1,2'03.326,27.468,23.291,28.256,26.244,,,
lap,2,1'38.446,22.730,22.100,27.710,25.906,261.0,,
lap,3,1'42.173,23.217,22.345*,30.780*,25.831,261.0,,
lap,4,1'37.777,22.643,22.203,27.369,25.562,262.4,,
lap,5,1'38.021,22.831,22.043,27.430,25.717,261.0,,
lap,6,1'37.512,22.649,22.020,27.309,25.534,259.6,,
lap,7,1'40.142,23.814*,22.568,27.793*,25.967,260.3,,
lap,8,1'37.766,22.829,22.054,27.258*,25.625,259.0,,
lap,9,1'37.909,22.786,22.126*,27.363,25.634,257.6,,
rider,Hafizh,SYAHRIN,Inde,Aspar,Team,Mot,MAL,9th,55
lap,1,1'59.585,25.780,24.964,31.202,26.232,,,
lap,2,1'38.228,22.837,22.194,27.518,25.679,263.1,,
lap,3,1'39.840,23.267,23.130,27.864,25.579,264.5,,
lap,4,1'37.714,22.972,22.015,27.239,25.488,263.1,,
lap,5,1'37.579,22.620,22.081,27.361,25.517,263.1,,
lap,6,1'42.209,22.676,22.081,27.603,29.849,261.7,,
lap,7,1'44.683,22.804,22.996,29.347*,29.536,261.7,,
lap,8,1'38.165,22.829,21.978,27.258,26.100,261.0,,
lap,9,1'37.593,22.758,22.098*,27.325,25.412,264.5,,
rider,Somkiat,CHANTRA,IDEMITSU,Honda,Te,THA,10th,35,
lap,1,1'55.830,26.855,24.366,27.870,26.168,,,
lap,2,1'39.740,22.975,22.326,27.940,26.499,263.8,,
lap,3,1'38.079,22.843,22.102,27.553,25.581,263.8,,
lap,4,1'43.432,26.450*,23.901,27.413,25.668,261.0,,
lap,5,1'37.779,22.857,22.005,27.348,25.569,261.0,,
