0,1,2,3,4,5,6,7,8,9
const,2020,October 11,Moto2,Le Mans,RACE,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,1st,22
lap,1,1'51.966,28.286,24.710,30.536,28.434,189.2,,
lap,2,1'46.327,25.530,23.786,29.734,27.277,259.0,,
lap,3,1'43.537,24.528,23.010,29.048,26.951,257.0,,
lap,4,1'41.739,24.087,22.558,28.609,26.485,257.6,,
lap,5,1'40.157,23.648,22.194,28.135,26.180,257.0,,
lap,6,1'39.398,23.078,22.058,27.900,26.362,257.6,,
lap,7,1'42.345,23.392,22.025,30.554,26.374,256.3,,
lap,8,1'39.095,23.367,22.014,27.741,25.973,255.6,,
lap,9,1'38.279,22.940,21.910,27.602,25.827,257.6,,
lap,10,1'38.081,22.817,22.058,27.492,25.714,257.6,,
lap,11,1'38.025,22.931,21.918,27.416,25.760,259.0,,
lap,12,1'38.099,22.972,21.919,27.488,25.720,258.3,,
lap,13,1'38.102,22.966,22.016,27.343,25.777,257.6,,
lap,14,1'38.008,22.870,21.908,27.325,25.905,259.0,,
lap,15,1'37.832,22.902,21.940,27.339,25.651,257.0,,
lap,16,1'37.618,22.976,21.879,27.242,25.521,258.3,,
lap,17,1'37.561,22.738,21.969,27.317,25.537,259.6,,
lap,18,1'37.494,22.759,21.910,27.106,25.719,259.6,,
lap,19,1'37.399,22.893,21.865,27.131,25.510,259.6,,
lap,20,1'37.494,22.851,21.861,27.155,25.627,259.0,,
lap,21,1'37.374,22.721,21.835,27.184,25.634,259.0,,
lap,22,1'37.601,22.900,21.900,27.189,25.612,257.0,,
lap,23,1'37.804,22.924,21.965,27.247,25.668,257.6,,
lap,24,1'37.921,22.925,21.993,27.333,25.670,257.6,,
lap,25,1'38.392,23.058,21.952,27.312,26.070,257.6,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,2nd,87
lap,1,1'51.550,26.993,24.782,30.972,28.803,189.9,,
lap,2,1'47.524,25.865,23.795,30.353,27.511,253.0,,
lap,3,1'43.404,24.773,23.036,28.971,26.624,257.0,,
lap,4,1'41.512,24.071,22.491,28.615,26.335,259.0,,
lap,5,1'42.173,24.216,22.542,28.297,27.118,258.3,,
lap,6,1'41.317,23.592,22.200,29.202,26.323,255.6,,
lap,7,1'40.077,23.424,22.209,28.271,26.173,258.3,,
lap,8,1'39.087,23.263,22.089,27.908,25.827,257.0,,
lap,9,1'39.014,23.019,22.107,27.951,25.937,258.3,,
lap,10,1'39.475,23.066,22.136,27.835,26.438,257.0,,
lap,11,1'38.986,23.261,22.129,27.795,25.801,255.6,,
lap,12,1'38.576,23.024,22.035,27.635,25.882,259.0,,
lap,13,1'38.186,22.863,22.035,27.542,25.746,258.3,,
lap,14,1'38.232,23.063,21.963,27.564,25.642,258.3,,
lap,15,1'38.019,22.891,21.986,27.568,25.574,255.6,,
lap,16,1'37.702,22.789,21.907,27.354,25.652,258.3,,
lap,17,1'37.845,22.854,21.910,27.517,25.564*,261.7,,
lap,18,1'37.611,22.834,22.019,27.309,25.449,261.7,,
lap,19,1'37.414,22.799,21.919,27.262,25.434,258.3,,
lap,20,1'37.553,22.789,21.962,27.219,25.583,259.0,,
lap,21,1'37.353,22.673,21.897,27.241,25.542,258.3,,
lap,22,1'37.199,22.625,21.898,27.211,25.465,260.3,,
lap,23,1'37.116,22.736,21.893,27.099,25.388,261.0,,
lap,24,1'37.163,22.722,21.862,27.222,25.357,259.6,,
lap,25,1'37.382,22.658,21.946,27.211,25.567,263.1,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,3rd,72
lap,1,1'52.508,28.001,24.911,30.992,28.604,199.8,,
lap,2,1'47.091,25.361,24.422,29.762,27.546,265.2,,
lap,3,1'43.935,24.601,23.216,29.149,26.969,265.2,,
lap,4,1'41.769,23.767,22.853,28.567,26.582,262.4,,
lap,5,1'41.277,23.538,22.501,28.214,27.024,263.1,,
lap,6,1'40.716,23.378,22.341,28.403,26.594,262.4,,
lap,7,1'39.727,23.285,22.259,28.004,26.179,259.0,,
lap,8,1'39.190,23.104,22.299,27.695,26.092,261.0,,
lap,9,1'39.264,22.988,22.318,27.839,26.119,261.7,,
lap,10,1'39.050,22.999,22.245,27.777,26.029,259.6,,
lap,11,1'39.017,22.950,22.179,27.808,26.080,260.3,,
