0,1,2,3,4,5,6,7,8,9
const,2020,October 11,Moto2,Le Mans,WUP,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,1st,22
lap,1,2'38.620,27.388,23.913,28.850,27.191,,,
lap,2,1'40.375,23.854,22.508,27.955,26.058,259.6,,
lap,3,1'38.531,23.120,22.166,27.608,25.637,261.0,,
lap,4,1'37.968,22.926,22.031,27.394,25.617,260.3,,
lap,5,1'37.823,22.940,21.931,27.441,25.511,262.4,,
lap,6,1'37.890,22.783,21.911,27.615*,25.581,261.0,,
lap,7,1'37.322,22.845,21.838,27.260,25.379,261.7,,
lap,8,1'38.532,23.176*,22.177*,27.471,25.708,261.0,,
lap,9,1'37.835,22.788,21.920*,27.369,25.758,259.6,,
lap,10,1'37.322,22.795,21.802,27.139*,25.586,259.6,,
lap,11,1'36.859,22.743,21.738,27.110,25.268,259.6,,
lap,12,1'46.448,27.974*,23.770,28.533,26.171,258.3,,
rider,Augusto,FERNAND,EG,"0,0",Marc,VDS,SPA,2nd,37
lap,1,2'10.328,26.586,24.165,29.580,27.191,,,
lap,2,1'40.649,23.508,22.558,28.296,26.287,260.3,,
lap,3,1'39.791,23.240,22.526,28.064,25.961,259.6,,
lap,4,1'38.671,22.991,22.147,27.778,25.755,258.3,,
lap,5,1'38.075,22.777,21.912,27.612,25.774,261.0,,
lap,6,1'37.568,22.769,21.863,27.376,25.560,261.7,,
lap,7,1'37.679,22.914,21.812,27.411,25.542,260.3,,
lap,8,1'38.176,22.791,22.238*,27.546,25.601,259.6,,
lap,9,1'38.591,22.753,22.012*,27.751,26.075,261.0,,
lap,10,1'37.674,22.686,21.891,27.495,25.602,259.6,,
lap,11,1'37.528,22.691,21.838,27.527,25.472,258.3,,
lap,12,1'39.769,22.788,22.008,29.025,25.948,261.0,,
rider,3rd,33,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,
lap,1,2'31.252,25.283,24.895,29.361,27.467,,,
lap,2,1'40.426,23.861,22.727,27.837,26.001,262.4,,
lap,3,1'38.176,22.978,22.146,27.413,25.639,259.6,,
lap,4,1'37.871,22.749,22.087,27.325,25.710,261.0,,
lap,5,1'41.304,23.527,22.410,27.825,27.542,259.0,,
