0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,October 16,Moto2,MotorLand Aragón,FP2,,,,,,,
rider,Fabio,DI,GIANNANT,MB,Conveyors,Speed,ITA,1st,21,Total,laps=16,laps=11
lap,1,2'04.737,31.585,34.152,22.798,27.872,282.1,,,,,
lap,2,1'55.125,33.068,32.463,22.160,27.434,288.9,,,,,
lap,3,1'53.908,32.479,32.132,21.842,27.455,288.1,,,,,
lap,4,1'53.380,32.156,31.942,21.852,27.430,288.1,,,,,
lap,5,1'56.628,33.561,32.427,22.895,27.745,278.5,,,,,
lap,6,1'53.678,32.308,32.022,21.785,27.563,285.1,,,,,
lap,7,1'53.212,32.128,31.881,21.799,27.404,282.9,,,,,
lap,8,2'04.709,P,32.618,34.083,24.200,33.808,285.1,,,,
lap,9,12'39.560,30.942,33.758,22.508,28.043,274.3,,,,,
lap,10,1'53.694,32.326,31.981,21.828,27.559,282.1,,,,,
lap,11,1'52.748,31.878,31.781,21.621,27.468,282.9,,,,,
lap,12,1'55.932,32.591,32.716*,22.552,28.073,275.7,,,,,
lap,13,1'59.292,32.031,31.870,22.949*,32.442,258.6,,,,,
lap,14,1'53.471,32.274,31.927,21.736,27.534,282.1,,,,,
lap,15,1'53.010,31.961,31.834,21.741,27.474,284.4,,,,,
lap,16,1'53.426,32.124,32.002,21.832,27.468,283.6,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,2nd,72,Total,laps=17,laps=12
lap,1,2'02.701,32.716,33.838,22.894,28.582,273.6,,,,,
lap,2,1'54.359,32.820,32.247,21.861,27.431,288.9,,,,,
lap,3,1'53.606,32.241,31.784,22.173,27.408,290.5,,,,,
lap,4,1'53.299,32.211,31.936,21.883,27.269,288.9,,,,,
lap,5,1'53.108,32.063,31.875,21.832,27.338,287.4,,,,,
lap,6,1'53.735,32.316,32.022,21.885,27.512,282.1,,,,,
lap,7,1'54.182,32.460,32.186,22.065,27.471,285.1,,,,,
lap,8,1'53.459,32.372,31.912,21.787,27.388,289.7,,,,,
lap,9,2'05.110,P,33.221,34.890,22.827,34.172,288.1,,,,
lap,10,9'59.507,31.268,33.046,22.306,27.742*,284.4,,,,,
lap,11,1'53.449,32.380,32.109,21.753,27.207,287.4,,,,,
lap,12,1'52.805,31.999,31.628,21.881,27.297,288.1,,,,,
lap,13,1'52.793,32.039,31.687,21.824,27.243,286.6,,,,,
lap,14,2'00.414,32.157,38.018*,22.713*,27.526,287.4,,,,,
lap,15,1'52.909,32.257*,31.887,21.669,27.096,290.5,,,,,
lap,16,1'52.974,32.134,31.764,21.805,27.271,286.6,,,,,
lap,17,1'52.972,32.293,31.755,21.684,27.240,285.9,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,3rd,22,Total,laps=13,laps=9
lap,1,2'35.210,31.240,32.932,22.500,27.533,288.1,,,,,
lap,2,1'53.861,32.749,31.766,21.989,27.357,288.9,,,,,
lap,3,1'53.571,32.637,31.809,21.902,27.223,290.5,,,,,
lap,4,1'52.882,32.135,31.792,21.695,27.260,288.9,,,,,
lap,5,1'52.965,32.173,31.784,21.706,27.302,288.1,,,,,
lap,6,2'04.784,P,34.267,33.051,22.708,34.758,266.2,,,,
lap,7,9'58.104,31.996,33.380,22.250,27.780,284.4,,,,,
lap,8,1'52.931,32.262,31.603,21.730,27.336,286.6,,,,,
lap,9,1'52.889,32.397,31.643,21.631,27.218,287.4,,,,,
lap,10,1'52.854,32.014,31.702,21.702,27.436,285.9,,,,,
lap,11,1'53.049,32.066,32.036,21.648,27.299,287.4,,,,,
lap,12,1'55.794,31.882,31.937,24.356,27.619,287.4,,,,,
lap,unfinished,32.049,,,,,,,,,,
rider,Edgar,PONS,Federal,Oil,Gresini,M,SPA,4th,57,Total,laps=14,laps=9
lap,1,2'30.355,34.088,35.196,22.591,27.931,283.6,,,,,
lap,2,1'55.326,33.054,32.346,22.169,27.757,288.1,,,,,
lap,3,1'54.340,32.586,32.102,22.071,27.581,288.1,,,,,
lap,4,1'53.582,32.462,31.845,21.806,27.469,285.1,,,,,
lap,5,1'53.934,32.339,31.942,22.034,27.619,284.4,,,,,
lap,6,2'01.020,P,32.553,32.773,22.218,33.476,277.8,,,,
lap,7,15'42.163,31.136,36.960,23.692,29.720,272.2,,,,,
lap,8,1'53.889,32.477,31.979,21.986,27.447,286.6,,,,,
lap,9,1'53.017,32.230,31.762,21.649,27.376,284.4,,,,,
lap,10,2'03.141,32.580,35.786,26.616,28.159,280.7,,,,,
lap,11,2'03.249,32.607,40.546,22.495*,27.601,284.4,,,,,
lap,12,1'53.565,32.270,32.006,21.806,27.483,285.1,,,,,
lap,13,1'53.276,32.172,31.948,21.730,27.426*,285.9,,,,,
lap,14,2'00.041,36.193,33.067,22.647,28.134,282.1,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,5th,10,Total,laps=19,laps=13
lap,1,2'04.220,32.695,34.074,23.303,28.620,269.5,,,,,
lap,2,1'55.271,33.126,32.401,22.222,27.522,290.5,,,,,
lap,3,1'53.899,32.551,32.014,21.934,27.400,290.5,,,,,
lap,4,1'53.644,32.403,31.803,21.971,27.467,288.1,,,,,
lap,5,1'53.467,32.315,31.913,21.762,27.477,286.6,,,,,
lap,6,1'53.680,32.220,31.778,21.661,28.021,280.7,,,,,
lap,7,1'53.188,32.091,31.865,21.613,27.619,285.1,,,,,
