0,1,2,3,4,5,6,7,8,9
const,2020,October 17,Moto2,MotorLand Aragón,Q1,,,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,1st,88
lap,1,1'58.637,29.740,33.165,22.415,28.913,247.3,,
lap,2,1'52.630,32.010,31.715,21.723,27.182,286.6,,
lap,3,1'57.280,32.308,35.624*,21.900,27.448,285.9,,
lap,4,1'52.794,32.259,31.693,21.671,27.171,288.1,,
lap,5,2'03.455,P,35.282,32.778,21.921,33.474,282.1,
rider,Tetsuta,NAGASHIM,Red,Bull,KTM,Ajo,JPN,2nd,45
lap,1,1'59.565,29.924,33.239,22.593,27.642,284.4,,
lap,2,1'53.731,32.400,32.030,21.688,27.613,288.1,,
lap,3,1'52.724,32.078,31.627,21.561,27.458,287.4,,
lap,4,2'06.005,P,32.061,37.058*,21.811,35.075,230.0,
lap,5,3'12.645,28.498,32.448*,22.117,27.717,282.9,,
lap,6,1'53.862,32.390,32.240,21.680,27.552,284.4,,
lap,7,1'53.844,32.276,32.170*,21.872,27.526,285.1,,
lap,8,1'59.084,P,32.231,32.197*,21.764,32.892,282.9,
rider,Simone,CORSI,MV,Agusta,Forward,R,ITA,3rd,24
lap,1,1'59.659,31.130,33.259,22.654,27.869,276.4,,
lap,2,1'54.035,32.485,32.110,21.999,27.441,282.1,,
lap,3,1'52.736,32.126,31.662,21.597,27.351,282.1,,
lap,4,1'55.556,32.276,32.412,22.080,28.788,258.0,,
lap,5,2'06.084,P,32.323,32.445,27.955,33.361,280.7,
lap,6,4'10.916,29.839,32.635,22.034,27.756,277.8,,
lap,7,2'02.082,P,33.892,32.822*,22.214,33.154,277.8,
rider,Thomas,LUTHI,Liqui,Moly,Intact,GP,SWI,4th,12
lap,1,2'00.277,31.256,33.634,22.547,27.741,282.9,,
lap,2,1'54.772,32.449,32.498,22.470,27.355,282.9,,
lap,3,1'53.077,32.211,31.832,21.587,27.447,283.6,,
lap,4,1'58.370,P,32.209,31.921,21.734,32.506,281.4,
lap,5,3'08.284,28.386,32.624,21.847,27.862,277.8,,
lap,6,1'52.774,32.147,31.632,21.570,27.425,282.1,,
lap,7,1'52.965,32.083,31.653,21.735,27.494,283.6,,
lap,8,2'04.241,P,35.949,32.726,22.055,33.511,275.7,
rider,Hafizh,SYAHRIN,Kipin,Energy,Aspar,T,MAL,5th,55
lap,1,1'59.242,31.108,33.511,22.263,28.456,280.0,,
lap,2,1'53.452,32.543,31.750,21.693,27.466,283.6,,
lap,3,1'52.849,32.186,31.683,21.536,27.444,282.9,,
lap,4,2'05.768,37.707,37.797,22.663,27.601,282.1,,
lap,5,1'53.394,32.239,31.839,21.651,27.665,280.7,,
lap,6,1'58.078,36.024,32.698,21.784,27.572,280.7,,
lap,7,1'53.341,32.288,31.803,21.739,27.511,282.9,,
lap,8,1'58.846,36.393,32.926,21.821,27.706,280.7,,
rider,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,6th,97,
lap,1,1'57.898,30.283,33.419,22.288,28.372,260.4,,
lap,2,1'53.117,32.240,31.758,21.630,27.489,282.1,,
lap,3,1'52.989,32.202,31.742,21.635,27.410,281.4,,
lap,4,2'08.416,38.620,37.670,22.014,30.112,283.6,,
lap,5,1'55.834,32.428,32.087,22.009,29.310,251.4,,
lap,6,1'53.062,32.004,31.904,21.636,27.518,282.1,,
lap,7,1'53.224,32.161,31.832,21.743,27.488,282.9,,
lap,8,2'30.218,P,36.772,48.254,24.614,40.578,210.0,
rider,Lorenzo,BALDA,Flexbox,HP,40,ITA,7th,7,
lap,1,2'07.055,29.608,32.971,23.065,27.686,282.1,,
lap,2,1'53.083,32.278,31.765,21.681,27.359,283.6,,
lap,3,1'53.145,32.201,31.762,21.654,27.528,284.4,,
lap,4,1'53.762,32.352,32.104,21.768,27.538,284.4,,
lap,5,1'54.831,33.513,32.027,21.743,27.548,282.9,,
lap,6,1'53.234,32.212,31.856,21.779,27.387,288.1,,
lap,7,1'53.174,32.290,31.833,21.750,27.301,287.4,,
lap,8,1'53.515,32.332,31.912,21.821,27.450,287.4,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,8th,23
lap,1,1'56.745,30.749,33.372,22.288,27.827,278.5,,
lap,2,1'53.630,32.513,31.853,21.861,27.403,282.1,,
lap,3,1'58.947,33.690,35.245,22.291,27.721,285.1,,
lap,4,1'53.118,32.417,31.686,21.725,27.290,284.4,,
lap,5,1'57.539,32.089,31.792,24.494,29.164,227.1,,
lap,6,1'53.608,32.280,31.829,21.762,27.737*,280.7,,
lap,7,1'53.180,32.164,31.769,21.773,27.474,283.6,,
lap,8,1'53.298,32.307,31.745,21.669,27.577,282.1,,
rider,Stefano,MANZI,MV,Agusta,Forward,R,ITA,9th,62
lap,1,2'05.736,29.670,33.244,22.235,27.648,279.2,,
lap,2,1'55.883,32.403,31.803,21.761,29.916,252.5,,
lap,3,1'53.207,32.207,31.903,21.660,27.437,282.1,,
lap,4,1'53.163,32.187,31.949,21.554,27.473,282.9,,
lap,5,1'53.125,32.151,31.754,21.588,27.632,280.7,,
lap,6,1'53.696,32.100,32.064,21.744,27.788,280.7,,
lap,7,1'53.130,32.109,31.937,21.668,27.416,285.9,,
lap,8,1'53.700,32.354,31.907,21.887,27.552,284.4,,
rider,Lorenzo,DALLA,PO,Italtrans,Racing,Team,ITA,10th,19
lap,1,2'03.560,29.810,33.198,22.658,27.802,283.6,,
lap,2,1'54.198,32.752,32.129*,21.898,27.419,285.9,,
lap,3,1'53.600,32.442,31.767,21.870,27.521,291.2,,
lap,4,1'53.281,32.418,31.640,21.726,27.497,287.4,,
lap,5,1'58.765,36.607,32.083,21.960,28.115,275.7,,
lap,6,1'53.414,32.407,31.715,21.776,27.516,285.1,,
lap,7,1'53.330,32.273,31.885,21.710,27.462,286.6,,
lap,8,1'53.569,32.306,31.800,21.854,27.609,284.4,,
rider,Somkiat,CHANTRA,IDEMITSU,Honda,Te,THA,11th,35,
lap,1,2'00.650,30.373,33.562,22.375,27.709,289.7,,
lap,2,1'55.117,32.775,32.296*,22.534,27.512,285.1,,
lap,3,1'53.370,32.301,31.941,21.801,27.327,290.5,,
lap,4,1'53.711,32.857,31.725,21.706,27.423,286.6,,
lap,5,1'53.745,32.275,31.774,21.942,27.754,280.7,,
lap,6,2'08.011,41.458,36.771,22.118,27.664,283.6,,
lap,7,1'53.691,32.392,31.761,22.121,27.417,287.4,,
lap,8,1'55.175,32.844,32.382,22.089,27.860,282.9,,
rider,Nicolò,BULEGA,Federal,Oil,Gresini,M,ITA,12th,11
lap,1,2'00.542,32.575,34.529,22.407,27.769,287.4,,
lap,2,1'55.067,32.720,32.360,22.298,27.689,287.4,,
lap,3,1'54.201,32.367,32.382,21.909,27.543,286.6,,
lap,4,1'53.756,32.492,31.880,21.824,27.560,286.6,,
lap,5,1'57.136,32.271,31.965,22.663,30.237,213.3,,
lap,6,1'53.541,32.378,31.956,21.643,27.564,282.9,,
lap,7,1'53.628,32.306,31.857,21.903,27.562,284.4,,
lap,8,1'53.723,32.285,31.886,21.883,27.669,282.9,,
rider,Andi,Farid,IZDIHAR,IDEMITSU,Honda,Te,INA,13th,27
lap,1,2'02.183,30.579,33.738*,22.503,27.662*,285.1,,
lap,2,1'54.752,33.014,32.326,21.879,27.533,287.4,,
lap,3,1'54.389,32.714,32.170,21.859,27.646,288.1,,
lap,4,1'54.090,32.646,32.012,21.874,27.558,286.6,,
lap,5,1'54.892,32.279,32.062,22.632,27.919,281.4,,
