0,1,2,3,4,5,6,7,8,9
const,2020,October 18,Moto2,MotorLand Aragón,WUP,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,1st,22
lap,1,2'40.373,31.708,33.728,23.055,27.726,281.4,,
lap,2,1'54.896,33.075,32.052,22.272,27.497,282.9,,
lap,3,1'54.702,33.025,32.022,22.105,27.550,281.4,,
lap,4,1'53.461,32.254,31.967,21.900,27.340,282.1,,
lap,5,1'53.202,32.333,31.762,21.627,27.480,284.4,,
lap,6,1'54.646,32.238,32.299,22.630,27.479,284.4,,
lap,7,1'52.944,32.248,31.847,21.675,27.174,282.9,,
lap,8,1'52.811,32.146,31.716,21.682,27.267,284.4,,
lap,9,1'56.496,34.358,32.477,22.205,27.456,282.9,,
lap,10,1'52.687,32.130,31.742,21.590,27.225,284.4,,
lap,11,1'53.014,32.377*,31.693,21.705,27.239,283.6,,
rider,Jorge,NAVARRO,MB,Conveyors,Speed,SPA,2nd,9,
lap,1,2'23.780,31.090,34.308,23.398,37.014,191.7,,
lap,2,1'55.531,33.242,32.413,22.297,27.579,282.1,,
lap,3,1'53.903,32.600,31.885,22.016,27.402,282.9,,
lap,4,1'53.447,32.284,31.881*,21.952,27.330,282.1,,
lap,5,2'00.704,32.400,31.924,21.870,34.510,132.9,,
lap,6,1'53.369,32.306,31.976,21.749,27.338,282.1,,
lap,7,1'53.127,32.045,31.865,21.868,27.349,282.1,,
lap,8,1'53.233,32.275,31.801,21.819,27.338,282.1,,
lap,9,1'52.915,32.339,31.650,21.682,27.244,281.4,,
lap,10,1'52.734,32.137,31.746,21.647,27.204,281.4,,
lap,11,1'53.094,32.198,31.839,21.663,27.394,282.9,,
rider,Jake,DIXON,Petronas,Sprinta,Raci,GBR,3rd,96,
lap,1,2'12.326,31.687,33.909,23.525,31.802,253.7,,
lap,2,1'57.829,33.859,33.016,23.090,27.864,284.4,,
lap,3,1'55.553,33.317,32.235,22.295,27.706,278.5,,
lap,4,1'54.240,32.529,32.131,22.030,27.550,280.0,,
lap,5,1'53.888,32.277,32.118,21.792,27.701,282.1,,
lap,6,1'53.320,32.237,31.906,21.681,27.496,280.0,,
lap,7,1'53.429,32.278,31.908,21.721,27.522,279.2,,
lap,8,1'53.654,32.399,31.929,21.734,27.592,278.5,,
lap,9,1'53.666,32.296,31.956,21.867,27.547,280.0,,
lap,10,1'55.319,33.982,31.986,21.817,27.534,279.2,,
lap,11,1'52.846,32.112,31.769,21.680,27.285,282.1,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,4th,72
lap,1,2'14.498,32.322,36.643,24.661,29.931,268.2,,
lap,2,1'56.541,33.106,32.812,22.945,27.678,288.9,,
lap,3,1'55.539,32.903,33.028,22.261,27.347,284.4,,
lap,4,1'54.338,32.436,32.208,22.303,27.391,289.7,,
lap,5,1'53.388,32.158,32.108,21.997,27.125,288.1,,
lap,6,1'53.683,32.795,31.874,21.730,27.284,283.6,,
lap,7,1'53.013,32.051,31.918,21.732,27.312,283.6,,
lap,8,1'53.316,32.145,32.016*,21.887,27.268,285.1,,
lap,9,2'00.755,P,32.388,31.939,21.850,34.578,285.9,
lap,10,3'14.453,33.069,33.684,22.241,27.695,280.7,,
rider,Hector,GARZO,Flexbox,HP,40,SPA,5th,40,
lap,1,2'13.270,31.357,34.422,23.967,28.703,279.2,,
lap,2,1'58.015,33.354,33.135,23.668,27.858,280.0,,
lap,3,2'00.360,38.059,32.688,22.261,27.352,287.4,,
lap,4,1'54.480,32.608,32.303,22.142,27.427,286.6,,
lap,5,1'53.954,32.527,32.109,21.901,27.417,284.4,,
lap,6,1'53.753,32.410,32.066,21.996,27.281,287.4,,
lap,7,1'54.225,32.670,32.072,22.073,27.410,290.5,,
lap,8,1'53.647,32.405,31.976,21.951,27.315,285.1,,
lap,9,1'59.281,32.329,37.353*,22.151,27.448,283.6,,
lap,10,2'03.791,42.362,32.234,21.813,27.382,284.4,,
lap,11,1'53.080,32.225,31.851,21.768,27.236,288.9,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,6th,10
lap,1,2'11.427,32.118,35.206,23.895,28.681,279.2,,
lap,2,1'58.562,34.084,33.400,23.052,28.026,279.2,,
lap,3,1'56.028,33.574,32.551,22.253,27.650,282.9,,
lap,4,1'55.033,32.644,32.362,22.319,27.708,281.4,,
lap,5,1'53.764,32.302,32.126,21.924,27.412,286.6,,
lap,6,1'54.040,32.643,32.111,21.878,27.408,285.1,,
lap,7,1'53.546,32.372,32.016,21.694,27.464,281.4,,
lap,8,1'53.288,32.161,31.942,21.726,27.459,282.1,,
lap,9,1'53.204,32.051,32.001,21.767,27.385*,282.1,,
lap,10,1'53.424,32.157,31.971,21.741,27.555*,280.0,,
lap,11,1'53.345,32.227,31.858,21.739,27.521,280.7,,
rider,Simone,CORSI,MV,Agusta,Forward,R,ITA,7th,24
lap,1,2'06.425,32.948,35.387,23.888,28.870,275.0,,
lap,2,2'05.812,P,34.387,33.979,23.115,34.331,274.3,
lap,3,5'42.385,30.254,33.269,22.300,27.758,275.7,,
lap,4,1'54.063,32.653,32.011,21.840,27.559,278.5,,
lap,5,1'56.432,33.583,33.008*,22.359,27.482,280.7,,
lap,6,1'53.491,32.279,31.855,21.922,27.435,281.4,,
lap,7,1'54.173,32.429,32.023,22.177,27.544,280.7,,
lap,8,1'53.292,32.279,31.908,21.754,27.351,280.7,,
lap,9,1'55.298,32.816,32.439,22.459,27.584,281.4,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,8th,88
lap,1,2'19.409,28.513,33.023,22.436,27.802,283.6,,
lap,2,1'55.589,33.220,32.740,22.109,27.520,284.4,,
lap,3,1'54.517,32.713,32.404*,21.975,27.425,284.4,,
lap,4,1'53.835,32.339,32.092*,22.134,27.270,289.7,,
lap,5,1'54.078,32.296,32.007,22.284,27.491,289.7,,
lap,6,1'54.802,33.317,32.117,22.056,27.312,286.6,,
lap,7,1'53.355,32.252,31.933,21.835,27.335,285.1,,
lap,8,1'54.931,33.777,31.908,21.809,27.437,284.4,,
lap,9,1'53.298,32.277,31.931,21.854,27.236,288.9,,
lap,10,1'53.389,32.204,31.952,21.811,27.422,282.9,,
lap,11,1'53.427,32.143,32.055,21.916,27.313,284.4,,
rider,Fabio,DI,GIANNANT,MB,Conveyors,Speed,ITA,9th,21
lap,1,3'37.697,31.020,33.447,22.530,27.895,271.5,,
lap,2,1'59.913,P,31.997,31.951,21.859,34.106,277.8,
lap,3,5'11.144,29.306,32.964,22.115,27.848,272.2,,
lap,4,1'53.482,31.998,32.020,21.880,27.584,278.5,,
lap,5,1'53.392,32.022,32.000,21.811,27.559,277.8,,
lap,6,1'53.323,31.979,31.989,21.694,27.661,277.8,,
lap,7,2'00.617,34.495,34.613,22.451,29.058,250.8,,
rider,Stefano,MANZI,MV,Agusta,Forward,R,ITA,10th,62
lap,1,2'12.025,30.712,35.275,24.051,28.606,277.1,,
lap,2,1'58.943,34.314,33.327,23.251,28.051,280.7,,
lap,3,1'56.567,33.308,32.867,22.677,27.715,284.4,,
lap,4,1'54.974,32.671,32.471,22.061,27.771,279.2,,
lap,5,1'54.572,32.597,32.183,22.250,27.542,281.4,,
lap,6,1'55.354,33.518,32.111,22.051,27.674,278.5,,
lap,7,1'54.059,32.342,32.144,22.015,27.558,279.2,,
lap,8,1'53.660,32.340,31.972,21.777,27.571,279.2,,
lap,9,1'53.797,32.467,32.017,21.743,27.570,280.0,,
lap,10,1'53.441,32.258,32.015,21.750,27.418,282.9,,
lap,11,1'53.648,32.164,32.098,21.884,27.502,282.9,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,11th,87
lap,1,2'17.445,30.666,33.783,23.462,28.166,280.7,,
lap,2,1'56.320,33.090,32.789,22.760,27.681,289.7,,
lap,3,1'54.584,32.550,32.029,22.291,27.714,282.9,,
lap,4,1'54.644,32.510,31.934,22.420,27.780,288.1,,
lap,5,1'54.257,32.417,32.059,22.276,27.505,285.1,,
lap,6,1'53.946,32.242,32.044*,22.086,27.574,285.1,,
lap,7,1'54.061,32.554,32.069,22.013,27.425,284.4,,
lap,8,1'53.593,32.315,31.947,21.850,27.481,284.4,,
lap,9,1'53.639,32.367,31.923,21.819,27.530,281.4,,
lap,10,1'53.476,32.289,31.919,21.738,27.530,282.1,,
lap,11,1'54.245,32.308,32.268,22.047,27.622,280.7,,
rider,Augusto,FERNAND,EG,"0,0",Marc,VDS,SPA,12th,37
lap,1,2'15.405,29.413,32.981,23.380,28.456,281.4,,
lap,2,1'56.496,32.945,32.241,23.021,28.289,278.5,,
lap,3,1'55.934,32.588,32.734,22.815,27.797,282.9,,
lap,4,1'54.815,32.501,32.390,22.239,27.685,282.1,,
lap,5,1'54.177,32.555,32.142,21.947,27.533,282.1,,
lap,6,1'54.060,32.320,32.335,21.905,27.500,282.9,,
lap,7,1'53.972,32.356,32.100,21.974,27.542,282.1,,
lap,8,1'53.619,32.319,31.821,21.949,27.530,284.4,,
lap,9,1'53.698,32.435,31.881,21.866,27.516,280.7,,
lap,10,1'53.672,32.353,31.916,21.770,27.633,280.0,,
lap,11,1'53.532,32.289,31.897,21.806,27.540,279.2,,
rider,13th,45,Tetsuta,NAGASHIM,Red,Bull,KTM,Ajo,JPN
lap,1,2'11.621,31.022,35.329,23.846,28.559,278.5,,
lap,2,1'58.654,34.075,33.328,23.185,28.066,284.4,,
lap,3,1'57.081,33.423,33.160,22.821,27.677,285.1,,
lap,4,1'56.072,32.664,32.506,22.563,28.339,288.1,,
lap,5,1'55.435,32.807,32.374,22.433,27.821,284.4,,
lap,6,1'54.753,32.800,32.331,21.993,27.629,285.1,,
lap,7,1'54.336,32.759,32.139,21.922,27.516,283.6,,
lap,8,1'53.660,32.314,32.066,21.899,27.381,286.6,,
lap,9,1'53.618,32.305,32.155,21.683,27.475,286.6,,
lap,10,1'54.659,32.711,32.360,21.920,27.668,282.1,,
lap,11,1'54.178,32.504,32.264,21.779,27.631,282.1,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,14th,16,,
lap,1,2'38.685,31.068,33.820,23.448,28.277,280.0,,
lap,2,1'56.815,33.555,32.932,22.454,27.874,284.4,,
lap,3,1'55.692,33.303,32.386,22.263,27.740,281.4,,
lap,4,1'54.487,32.593,32.261,21.973,27.660,281.4,,
lap,5,1'54.598,32.555,32.213,22.077,27.753,280.7,,
lap,6,1'53.896,32.398,32.033,21.940,27.525,282.9,,
lap,7,1'53.812,32.395,31.996,21.964,27.457,286.6,,
lap,8,1'53.785,32.368,31.999,21.865,27.553,282.1,,
lap,9,1'57.012,34.933,32.178,22.092,27.809,281.4,,
lap,10,1'53.622,32.351,31.996,21.815,27.460,282.9,,
lap,11,1'53.576,32.363*,31.934,21.846,27.433,282.9,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,15th,33,
lap,1,2'12.734,31.160,34.415,23.708,28.647,280.7,,
lap,2,1'59.961,36.820,32.826,22.102,28.213,283.6,,
lap,3,2'00.999,32.794,32.325,24.183,31.697*,270.9,,
lap,4,1'53.972,32.505,32.114,21.794,27.559,288.1,,
lap,5,1'57.076,34.330,32.383,22.112,28.251,278.5,,
lap,6,1'53.882,32.440,32.060,21.745,27.637,284.4,,
lap,7,1'57.221,35.329,32.262,22.058,27.572,284.4,,
lap,8,1'53.747,32.397,32.078,21.744,27.528,284.4,,
lap,9,1'56.312,32.327,31.993,22.262,29.730,260.4,,
lap,10,1'57.976,32.387,32.008,22.575,31.006*,268.8,,
lap,11,1'53.623,32.424,31.964,21.792,27.443,285.1,,
rider,Marcos,RAMIREZ,Tennor,American,RaciSPA,16th,42,,
lap,1,2'38.016,30.570,36.030,23.738,28.583,278.5,,
lap,2,1'58.224,34.036,33.389,22.996,27.803,283.6,,
lap,3,1'55.287,33.143,32.438,22.202,27.504,283.6,,
lap,4,1'54.490,32.829,32.168,22.081,27.412,284.4,,
lap,5,1'55.203,32.695,32.316*,22.430,27.762,280.7,,
lap,6,1'54.162,32.584,32.132,22.056,27.390,284.4,,
lap,7,1'53.748,32.390,32.021,22.002,27.335,284.4,,
lap,8,2'05.541,P,33.841,33.814,23.414,34.472,276.4,
lap,9,4'28.941,33.368,34.274,23.380,28.405,279.2,,
rider,Somkiat,CHANTRA,IDEMITSU,Honda,Te,THA,17th,35,
lap,1,2'06.552,31.790,35.182,23.918,28.670,281.4,,
lap,2,2'06.412,34.559,34.739,23.930,33.184,239.7,,
lap,3,1'55.862,33.102,32.516*,22.478,27.766,282.9,,
