0,1,2,3,4,5,6,7,8,9
const,2020,October 24,Moto2,MotorLand Aragón,FP3,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,1st,22
lap,1,2'52.753,29.568,33.832,22.442,27.516,284.4,,
lap,2,1'53.083,32.194,31.851,21.779,27.259,285.1,,
lap,3,1'52.296,31.924,31.445,21.734,27.193,285.9,,
lap,4,1'52.154,31.799,31.603,21.589,27.163,285.1,,
lap,5,1'52.121,31.875,31.611,21.505,27.130,287.4,,
lap,6,1'52.364,31.780,31.451,21.617,27.516,284.4,,
lap,7,1'52.268,31.889,31.616,21.655,27.108,287.4,,
lap,8,2'02.960,P,31.783,32.890,23.200,35.087,268.2,
lap,9,7'32.772,30.137,32.528,21.954,27.714,280.0,,
lap,10,1'52.217,31.769,31.501,21.649,27.298,282.9,,
lap,11,1'51.819,31.830,31.378,21.535,27.076,285.1,,
lap,12,1'51.576,31.678,31.368,21.512,27.018,287.4,,
lap,13,1'52.299,31.897,31.617,21.589,27.196,285.1,,
lap,14,1'52.080,31.678,31.539,21.621,27.242,289.7,,
lap,15,1'52.451,31.706,31.404,21.490,27.851,287.4,,
lap,16,1'51.918,31.892,31.438,21.482,27.106,285.9,,
lap,17,1'52.015,31.670,31.406,21.775,27.164,285.9,,
lap,18,1'51.890,31.775,31.596,21.477,27.042,285.1,,
rider,Edgar,PONS,Federal,Oil,Gresini,M,SPA,2nd,57
lap,1,2'30.552,43.683,33.006,22.132,27.702,279.2,,
lap,2,1'53.872,32.451,32.090,21.880,27.451,285.9,,
lap,3,1'52.753,32.050,31.740,21.662,27.301,285.9,,
lap,4,1'53.939,32.144,32.543,21.752,27.500,285.9,,
lap,5,1'53.104,32.261,31.728,21.794,27.321,287.4,,
lap,6,1'52.817,32.007,31.805,21.615,27.390,285.1,,
lap,7,1'58.385,34.781,33.296,22.335,27.973,280.7,,
lap,8,1'53.665,32.250,31.912,21.869,27.634,280.0,,
lap,9,2'02.445,34.540,34.490,22.608,30.807,232.5,,
lap,10,2'05.063,P,33.707,35.517,22.633,33.206,282.9,
lap,11,7'30.813,32.909,35.079,23.785,28.291,277.1,,
lap,12,1'54.059,32.182,32.710,21.909,27.258,285.1,,
lap,13,1'51.640,31.786,31.326,21.477,27.051,286.6,,
lap,14,2'01.522,35.619,35.874,22.620,27.409,286.6,,
lap,15,1'53.381,32.481,31.854,21.778,27.268,286.6,,
lap,16,1'52.891,32.072,31.648,21.667,27.504,286.6,,
lap,17,2'00.152,32.199,31.678,26.556,29.719,261.1,,
lap,18,1'52.728,32.156,31.686,21.758,27.128,286.6,,
rider,Marcos,RAMIREZ,Tennor,American,RaciSPA,3rd,42,,
lap,1,1'59.107,30.388,32.913,22.935,27.460,285.9,,
lap,2,1'52.882,32.316,31.796,21.493,27.277,287.4,,
lap,3,1'52.223,31.907,31.482,21.543,27.291,286.6,,
lap,4,1'58.540,37.819,31.790,21.790,27.141,290.5,,
lap,5,1'52.294,31.995,31.543,21.610,27.146,292.8,,
