0,1,2,3,4,5,6,7,8,9
const,2020,October 25,Moto2,MotorLand Aragón,RACE,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,1st,22
lap,1,1'55.259,34.686,31.676,21.596,27.301,282.1,,
lap,2,1'51.730,31.825,31.335,21.382,27.188,282.1,,
lap,3,1'52.098,31.912,31.523,21.488,27.175,284.4,,
lap,4,1'52.837,32.167,31.739,21.679,27.252,283.6,,
lap,5,1'52.233,31.842,31.585,21.515,27.291,284.4,,
lap,6,1'52.305,32.025,31.489,21.558,27.233,284.4,,
lap,7,1'52.470,31.997,31.650,21.576,27.247,284.4,,
lap,8,1'52.375,32.008,31.522,21.629,27.216,285.1,,
lap,9,1'52.771,32.071,31.602,21.705,27.393,284.4,,
lap,10,1'52.546,32.122,31.504,21.581,27.339,283.6,,
lap,11,1'52.716,32.062,31.757,21.636,27.261,284.4,,
lap,12,1'52.485,31.963,31.590,21.611,27.321,284.4,,
lap,13,1'52.735,32.004,31.729,21.756,27.246,283.6,,
lap,14,1'52.286,31.869,31.628,21.543,27.246,283.6,,
lap,15,1'52.632,31.998,31.674,21.597,27.363,283.6,,
lap,16,1'52.502,31.991,31.684,21.531,27.296,284.4,,
lap,17,1'52.611,32.085,31.587,21.619,27.320,284.4,,
lap,18,1'52.742,32.074,31.698,21.682,27.288,285.1,,
lap,19,1'52.982,31.989,31.794,21.836,27.363,284.4,,
lap,20,1'52.994,32.115,31.750,21.724,27.405,282.9,,
lap,21,1'54.336,32.369,31.964,22.016,27.987,282.1,,
rider,Fabio,DI,GIANNANT,Lightech,Speed,Up,ITA,2nd,21
lap,1,1'56.031,35.154,31.774,21.737,27.366,280.0,,
lap,2,1'52.549,31.956,31.569,21.644,27.380,279.2,,
lap,3,1'52.364,31.895,31.533,21.626,27.310,280.7,,
lap,4,1'53.108,31.986,31.608,22.142,27.372,281.4,,
lap,5,1'52.558,31.836,31.677,21.624,27.421,282.1,,
lap,6,1'52.607,31.941,31.686,21.599,27.381,281.4,,
lap,7,1'52.775,31.949,31.767,21.654,27.405,280.7,,
lap,8,1'52.899,31.984,31.770,21.696,27.449,282.1,,
lap,9,1'52.634,31.937,31.558,21.684,27.455,281.4,,
lap,10,1'53.046,32.049,31.865,21.659,27.473,281.4,,
lap,11,1'52.827,31.990,31.680,21.740,27.417,281.4,,
lap,12,1'52.825,32.015,31.678,21.687,27.445,280.7,,
lap,13,1'52.653,31.881,31.647,21.684,27.441,280.0,,
lap,14,1'52.729,31.949,31.710,21.668,27.402,282.1,,
lap,15,1'52.802,31.969,31.733,21.701,27.399,281.4,,
lap,16,1'53.029,32.092,31.723,21.839,27.375,282.1,,
lap,17,1'53.057,32.051,31.798,21.730,27.478,282.1,,
lap,18,1'53.220,32.108,31.870,21.731,27.511,281.4,,
lap,19,1'53.551,32.205,31.930,21.936,27.480,281.4,,
lap,20,1'53.728,32.228,31.972,21.997,27.531,281.4,,
lap,21,1'55.078,32.483,32.299,22.189,28.107,280.0,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,3rd,33,
lap,1,1'56.888,35.517,32.085,21.805,27.481,285.9,,
lap,2,1'52.633,31.986,31.697,21.630,27.320,289.7,,
lap,3,1'52.700,32.131,31.722,21.475,27.372,286.6,,
lap,4,1'52.767,32.205,31.644,21.596,27.322,286.6,,
lap,5,1'53.130,32.172,31.760,21.734,27.464,283.6,,
lap,6,1'52.935,32.119,31.749,21.512,27.555,285.1,,
lap,7,1'52.813,32.022,31.808,21.470,27.513,284.4,,
lap,8,1'52.825,32.084,31.601,21.502,27.638*,285.1,,
lap,9,1'53.037,32.212,31.700,21.509,27.616,284.4,,
lap,10,1'52.869,32.008,31.796,21.471,27.594,284.4,,
lap,11,1'52.874,32.044,31.729,21.536,27.565,284.4,,
lap,12,1'52.833,32.037,31.715,21.483,27.598,284.4,,
lap,13,1'53.106,32.123,31.829,21.569,27.585,284.4,,
lap,14,1'52.958,32.110,31.774,21.475,27.599,284.4,,
lap,15,1'52.889,32.119,31.790,21.468,27.512,285.1,,
lap,16,1'53.041,32.138,31.826,21.466,27.611,285.1,,
lap,17,1'53.013,32.076,31.777,21.629,27.531,285.1,,
lap,18,1'53.317,32.239,31.862,21.625,27.591,285.1,,
lap,19,1'53.651,32.256,31.945,21.764,27.686,284.4,,
lap,20,1'54.139,32.517,32.032,21.846,27.744,283.6,,
lap,21,1'54.098,32.455,32.112,21.780,27.751,284.4,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,4th,87
lap,1,1'56.638,35.255,32.210,21.800,27.373,283.6,,
lap,2,1'52.766,32.055,31.673,21.658,27.380,285.1,,
lap,3,1'52.552,32.037,31.568,21.526,27.421,282.1,,
lap,4,1'52.868,32.169,31.627,21.594,27.478,283.6,,
lap,5,1'53.385,32.208,31.749,21.736,27.692,282.1,,
