0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,November 06,Moto2,Circuit Ricardo Tormo,FP1,,,,,,,
rider,Thomas,LUTHI,Liqui,Moly,Intact,GP,SWI,1st,12,Total,laps=14,laps=10
lap,1,2'30.819,27.565,33.666,29.357,32.690,,,,,,
lap,2,1'58.100,27.039,31.794,28.264,31.003,251.8,,,,,
lap,3,1'54.399,25.908,30.827,27.233,30.431,252.7,,,,,
lap,4,1'51.482,25.107,30.183,26.426,29.766,260.4,,,,,
lap,5,1'51.254,25.147,29.925,26.326,29.856,257.5,,,,,
lap,6,1'53.112,25.337,30.414,27.038,30.323,260.4,,,,,
lap,7,1'49.879,24.781,29.653,25.928,29.517,254.6,,,,,
lap,8,1'49.784,24.682,29.624,25.955,29.523,256.5,,,,,
lap,9,1'50.406,24.498,29.701,25.995,30.212*,256.5,,,,,
lap,10,1'49.749,24.788,29.560,25.960,29.441,251.8,,,,,
lap,11,1'49.054,24.475,29.353,25.802,29.424,254.6,,,,,
lap,12,1'48.975,24.437,29.265,25.910,29.363,256.5,,,,,
lap,13,5'31.616,P,24.343,3'54.293,35.680,37.300,256.5,,,,
lap,14,13'34.693,32.664,34.719,29.108,31.964,,,,,,
rider,Hector,GARZO,Flexbox,HP,40,SPA,2nd,40,Total,laps=16,laps=12,
lap,1,2'33.497,28.116,34.516,29.374,32.227,,,,,,
lap,2,1'58.518,27.536,32.397,27.691,30.894,227.6,,,,,
lap,3,1'54.905,26.176,31.148,27.355,30.226,255.6,,,,,
lap,4,1'52.707,25.379,30.797,26.601,29.930,259.4,,,,,
lap,5,1'51.759,25.374,30.197,26.434,29.754,253.7,,,,,
lap,6,1'50.394,24.822,29.908,26.087,29.577,255.6,,,,,
lap,7,1'51.114,25.591,29.847,26.011,29.665,257.5,,,,,
lap,8,1'51.658,25.283,30.813,26.184,29.378,241.2,,,,,
lap,9,1'50.223,24.399,29.476,26.181,30.167,255.6,,,,,
lap,10,1'49.103,24.612,29.399,25.794,29.298,253.7,,,,,
lap,11,1'58.866,P,25.882,30.655,26.853,35.476,254.6,,,,
lap,12,12'15.287,29.626,33.017,27.153,29.994,,,,,,
lap,13,1'50.353,24.706,29.952,26.115,29.580,257.5,,,,,
lap,14,1'49.633,24.674,29.707,25.966,29.286,257.5,,,,,
lap,15,2'15.054,27.768,30.655,45.383,31.248*,254.6,,,,,
lap,16,1'52.588,25.153,30.514,27.172,29.749,253.7,,,,,
rider,Aron,CANET,Inde,Aspar,Team,Mot,SPA,3rd,44,Total,laps=16,laps=10
lap,1,3'55.978,27.248,33.442,29.328,31.949,,,,,,
lap,2,1'57.532,26.886,31.723,27.933,30.990,250.0,,,,,
lap,3,1'53.760,25.727,30.652,27.009,30.372,253.7,,,,,
lap,4,1'52.678,25.276,30.608,26.831,29.963,253.7,,,,,
lap,5,1'51.765,25.199,30.306,26.457,29.803,254.6,,,,,
lap,6,1'51.301,24.886,30.141,26.419,29.855,252.7,,,,,
lap,7,1'56.862,28.140*,31.812,27.188,29.722,254.6,,,,,
lap,8,1'50.594,24.861,29.776,26.202,29.755*,252.7,,,,,
lap,9,2'01.578,P,25.032,31.110,28.091,37.345,251.8,,,,
lap,10,8'14.408,26.954,31.684,27.434,30.401,,,,,,
lap,11,1'57.161,25.216,30.410,26.625,34.910,256.5,,,,,
lap,12,1'51.451,25.516,30.156,26.272,29.507,247.3,,,,,
lap,13,1'59.446,24.627,29.563,30.496,34.760,254.6,,,,,
lap,14,1'49.731,24.604,29.580,26.167,29.380,254.6,,,,,
lap,15,1'49.396,24.509,29.362,26.014,29.511,254.6,,,,,
lap,16,2'12.940,P,30.600,33.217*,28.381,40.742,254.6,,,,
rider,Hafizh,SYAHRIN,Inde,Aspar,Team,Mot,MAL,4th,55,Total,laps=16,laps=12
lap,1,2'11.445,29.537,35.133,28.921,31.857,,,,,,
lap,2,1'56.129,26.332,31.819,27.405,30.573,252.7,,,,,
lap,3,1'53.997,25.749,30.807,27.175,30.266,252.7,,,,,
lap,4,1'51.243,25.225,30.069,26.208,29.741,257.5,,,,,
lap,5,1'50.642,25.047,29.964,26.367,29.264,255.6,,,,,
lap,6,1'50.066,24.960,29.766,26.051,29.289,256.5,,,,,
lap,7,1'49.579,24.792,29.403,25.947,29.437,255.6,,,,,
lap,8,2'02.164,P,24.649,29.595,29.953,37.967,259.4,,,,
lap,9,9'06.754,27.462,31.024,26.411,29.622,,,,,,
lap,10,1'50.939,24.936,30.257,26.212,29.534,255.6,,,,,
lap,11,1'50.139,24.756,29.668,26.327,29.388,257.5,,,,,
lap,12,1'49.686,24.570,29.581,26.111,29.424,257.5,,,,,
lap,13,1'50.368,24.541,29.592,26.428,29.807,256.5,,,,,
lap,14,1'50.212,24.879,29.638,26.170,29.525,255.6,,,,,
lap,15,1'50.251,24.759,29.824,26.291,29.377,257.5,,,,,
lap,unfinished,30.031,32.899,29.102,260.4,,,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,5th,72,Total,laps=17,laps=12
lap,1,2'23.663,30.086,36.706,30.325,33.319,,,,,,
lap,2,1'59.273,26.811,32.976,28.316,31.170,256.5,,,,,
lap,3,1'54.081,25.240,31.549,27.110,30.182,258.4,,,,,
lap,4,1'52.651,24.796,30.860,26.942,30.053,260.4,,,,,
lap,5,1'53.019,24.774,30.514,27.582,30.149,259.4,,,,,
lap,6,1'52.581,24.878,30.554,27.217,29.932,261.4,,,,,
lap,7,1'50.773,24.724,29.985,26.426,29.638,259.4,,,,,
lap,8,1'50.582,24.630,29.737,26.330,29.885,258.4,,,,,
lap,9,1'49.801,24.544,29.523,26.177,29.557*,259.4,,,,,
lap,10,2'03.179,P,25.589,32.101,27.802,37.687,259.4,,,,
lap,11,8'26.618,29.859,33.298,28.043,30.518,,,,,,
lap,12,1'52.108,24.735,30.623,26.719,30.031,259.4,,,,,
lap,13,1'50.769,24.704,30.104,26.438,29.523,258.4,,,,,
lap,14,1'50.009,24.399,29.619,26.287,29.704,259.4,,,,,
lap,15,1'49.595,24.325,29.561,26.140,29.569,259.4,,,,,
lap,16,1'50.090,24.614,29.656,26.221,29.599,256.5,,,,,
lap,17,1'58.864,P,24.508,29.991*,27.744,36.621,259.4,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,6th,22,Total,laps=11,laps=8
lap,1,3'01.220,28.462,33.710,30.569,34.808,,,,,,
lap,2,1'58.757,27.489,32.000,28.073,31.195,246.4,,,,,
lap,3,1'54.362,25.731,30.944,27.156,30.531,253.7,,,,,
