0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,November 07,Moto2,Circuit Ricardo Tormo,Q2,,,,,,,
rider,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,1st,97,Total,laps=9,laps=8,
lap,1,2'27.019,24.905,29.456,27.205,31.933,,,,,,
lap,2,1'48.540,24.984,27.975,25.882,29.699,263.4,,,,,
lap,3,1'45.157,24.614,26.924,24.896,28.723,265.4,,,,,
lap,4,1'43.495,23.992,26.597,24.387,28.519,266.5,,,,,
lap,5,1'44.079,24.180,26.642,24.623,28.634,265.4,,,,,
lap,6,1'42.370,23.828,26.255,24.086,28.201,266.5,,,,,
lap,7,1'43.254,23.456,26.122,23.880,29.796,267.5,,,,,
lap,8,1'40.115,23.234,25.880,23.430,27.571,267.5,,,,,
lap,9,1'38.936,22.969,25.670,23.195,27.102,267.5,,,,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,2nd,16,Total,laps=9,laps=8,,
lap,1,2'23.100,27.346,29.551,28.143,31.776,,,,,,
lap,2,1'47.418,25.363,27.175,25.662,29.218,261.4,,,,,
lap,3,1'44.604,24.409,26.446,25.320,28.429,265.4,,,,,
lap,4,1'44.848,23.861,26.749,25.518,28.720,266.5,,,,,
lap,5,1'42.785,23.957,26.088,24.728,28.012,265.4,,,,,
lap,6,1'41.612,23.537,25.866,24.327,27.882,267.5,,,,,
lap,7,1'41.316,23.400,25.801,24.350,27.765,268.5,,,,,
lap,8,1'40.268,23.361,25.741,23.906,27.260,267.5,,,,,
lap,9,1'39.117,23.194,25.423,23.516,26.984,268.5,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,3rd,22,Total,laps=9,laps=8
lap,1,2'38.399,24.849,29.089,28.211,32.002,,,,,,
lap,2,1'48.183,24.897,27.688,26.228,29.370,261.4,,,,,
lap,3,1'46.553,24.302,27.332,25.921,28.998,265.4,,,,,
lap,4,1'43.803,23.681,26.805,25.135,28.182,266.5,,,,,
lap,5,1'42.343,23.621,26.280,24.318,28.124,266.5,,,,,
lap,6,1'41.657,23.552,26.119,24.282,27.704,267.5,,,,,
lap,7,1'39.790,23.023,25.847,23.742,27.178,268.5,,,,,
lap,8,1'39.353,22.793,25.900,23.635,27.025,268.5,,,,,
lap,9,1'39.119,23.114,25.664,23.362,26.979,268.5,,,,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,4th,87,Total,laps=9,laps=8
lap,1,2'12.090,25.705,30.113,28.162,31.340,,,,,,
lap,2,1'48.297,25.017,27.517,25.991,29.772,264.4,,,,,
lap,3,1'47.519,24.799,26.984,25.715,30.021,265.4,,,,,
lap,4,1'45.496,24.665,26.711,25.205,28.915,262.4,,,,,
lap,5,1'44.001,24.142,26.738,24.748,28.373,265.4,,,,,
lap,6,1'45.555,24.106,27.436,25.586,28.427,266.5,,,,,
lap,7,1'41.188,23.475,26.040,23.894,27.779,267.5,,,,,
lap,8,1'40.388,23.351,25.824,23.722,27.491,267.5,,,,,
lap,9,1'39.375,23.232,25.583,23.400,27.160,269.6,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,5th,72,Total,laps=9,laps=8
lap,1,2'19.745,25.244,29.237,27.121,30.776,,,,,,
lap,2,1'47.096,24.721,27.376,26.023,28.976,269.6,,,,,
lap,3,1'45.088,24.834,26.787,25.241,28.226,268.5,,,,,
lap,4,1'44.047,23.990,26.912,24.661,28.484,271.7,,,,,
lap,5,1'42.721,23.684,26.453,24.644,27.940,269.6,,,,,
lap,6,1'43.272,23.518,26.784,24.969,28.001,270.7,,,,,
lap,7,1'40.976,23.227,26.115,24.069,27.565,268.5,,,,,
lap,8,1'40.999,23.506,25.984,23.947,27.562,269.6,,,,,
lap,9,1'39.408,23.049,25.702,23.558,27.099,270.7,,,,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,6th,88,Total,laps=8,laps=5
lap,1,2'05.568,24.451,28.649,27.302,30.027,,,,,,
lap,2,1'48.350,24.357,28.660,26.308,29.025,260.4,,,,,
