0,1,2,3,4,5,6,7,8,9
const,2020,November 08,Moto2,Circuit Ricardo Tormo,RACE,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,1st,72
lap,1,1'42.792,28.352,25.993,22.742,25.705,195.8,,
lap,2,1'36.097,22.231,25.534,22.491,25.841,275.0,,
lap,3,1'36.091,22.119,25.597,22.460,25.915,267.5,,
lap,4,1'36.052,22.133,25.499,22.480,25.940,268.5,,
lap,5,1'35.983,22.172,25.430,22.579,25.802,267.5,,
lap,6,1'36.221,22.112,25.578,22.586,25.945,268.5,,
lap,7,1'36.041,22.058,25.495,22.531,25.957,267.5,,
lap,8,1'36.008,22.009,25.597,22.483,25.919,268.5,,
lap,9,1'35.827,22.004,25.540,22.443,25.840,268.5,,
lap,10,1'35.896,21.959,25.478,22.586,25.873,268.5,,
lap,11,1'36.054,21.893,25.561,22.593,26.007,268.5,,
lap,12,1'35.905,22.035,25.518,22.499,25.853,267.5,,
lap,13,1'36.001,21.968,25.545,22.621,25.867,267.5,,
lap,14,1'35.895,21.885,25.561,22.530,25.919,268.5,,
lap,15,1'35.974,21.847,25.584,22.633,25.910,268.5,,
lap,16,1'35.930,21.925,25.546,22.561,25.898,268.5,,
lap,17,1'35.951,21.988,25.522,22.514,25.927,268.5,,
lap,18,1'35.794,21.980,25.445,22.483,25.886,268.5,,
lap,19,1'35.749,21.825,25.448,22.571,25.905,269.6,,
lap,20,1'35.826,21.808,25.498,22.511,26.009,269.6,,
lap,21,1'35.860,21.838,25.531,22.590,25.901,268.5,,
lap,22,1'35.987,21.843,25.619,22.580,25.945,267.5,,
lap,23,1'36.103,21.830,25.656,22.579,26.038,269.6,,
lap,24,1'36.245,21.925,25.636,22.683,26.001,269.6,,
lap,25,1'36.159,21.771,25.662,22.674,26.052,269.6,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,2nd,88
lap,1,1'43.418,28.700,25.900,22.830,25.988,198.7,,
lap,2,1'36.551,22.602,25.578,22.476,25.895,266.5,,
lap,3,1'36.407,22.186,25.654,22.699,25.868,268.5,,
lap,4,1'35.982,22.081,25.514,22.545,25.842,271.7,,
lap,5,1'36.185,22.323,25.586,22.469,25.807,270.7,,
lap,6,1'35.944,22.008,25.529,22.484,25.923,272.8,,
lap,7,1'35.800,22.016,25.455,22.457,25.872,267.5,,
lap,8,1'35.840,22.005,25.491,22.430,25.914,269.6,,
lap,9,1'35.923,22.007,25.578,22.452,25.886,269.6,,
lap,10,1'36.154,21.965,25.464,22.585,26.140,269.6,,
lap,11,1'35.948,22.131,25.517,22.440,25.860,272.8,,
lap,12,1'35.801,21.992,25.506,22.458,25.845,268.5,,
lap,13,1'35.932,22.024,25.446,22.518,25.944,268.5,,
lap,14,1'35.833,21.992,25.516,22.490,25.835,268.5,,
lap,15,1'35.968,21.989,25.530,22.530,25.919,268.5,,
lap,16,1'35.794,21.926,25.464,22.475,25.929,267.5,,
lap,17,1'35.832,21.931,25.487,22.522,25.892,266.5,,
lap,18,1'35.825,21.919,25.458,22.565,25.883,266.5,,
lap,19,1'35.755,21.830,25.527,22.516,25.882,267.5,,
lap,20,1'36.180,21.987,25.710,22.559,25.924,267.5,,
lap,21,1'35.882,21.869,25.562,22.508,25.943,266.5,,
lap,22,1'36.125,21.925,25.627,22.597,25.976,266.5,,
lap,23,1'36.225,21.961,25.698,22.568,25.998,266.5,,
lap,24,1'36.018,21.860,25.545,22.634,25.979,266.5,,
lap,25,1'37.060,22.011,26.007,22.919,26.123,267.5,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,3rd,87
lap,1,1'43.043,28.555,25.908,22.759,25.821,194.7,,
lap,2,1'36.129,22.351,25.474,22.458,25.846,267.5,,
lap,3,1'35.983,22.164,25.405,22.478,25.936,265.4,,
lap,4,1'35.989,22.142,25.411,22.538,25.898,267.5,,
lap,5,1'36.226,22.204,25.477,22.567,25.978,267.5,,
lap,6,1'36.222,22.163,25.639,22.454,25.966,265.4,,
lap,7,1'36.013,22.086,25.415,22.483,26.029,266.5,,
lap,8,1'35.906,22.056,25.428,22.484,25.938,266.5,,
lap,9,1'35.965,22.124,25.450,22.483,25.908,266.5,,
lap,10,1'36.627,22.112,25.622,22.720,26.173,266.5,,
lap,11,1'36.367,22.119,25.767,22.542,25.939,268.5,,
lap,12,1'35.771,22.054,25.349,22.448,25.920,266.5,,
lap,13,1'35.932,22.103,25.353,22.498,25.978,267.5,,
lap,14,1'35.912,21.959,25.405,22.565,25.983,267.5,,
lap,15,1'35.840,22.069,25.357,22.487,25.927,267.5,,
lap,16,1'35.943,22.005,25.422,22.569,25.947,267.5,,
lap,17,1'36.007,21.994,25.476,22.473,26.064,266.5,,
lap,18,1'36.180,22.125,25.457,22.560,26.038,266.5,,
lap,19,1'36.026,22.003,25.495,22.531,25.997,265.4,,
lap,20,1'36.230,22.120,25.539,22.570,26.001,264.4,,
lap,21,1'36.175,22.073,25.599,22.517,25.986,266.5,,
lap,22,1'36.348,22.078,25.604,22.631,26.035,265.4,,
lap,23,1'36.383,22.145,25.567,22.632,26.039,265.4,,
lap,24,1'36.150,22.082,25.469,22.543,26.056,266.5,,
lap,25,1'36.627,22.093,25.747,22.675,26.112,265.4,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,4th,33,
lap,1,1'44.717,29.383,26.325,22.932,26.077,208.9,,
lap,2,1'36.307,22.384,25.563,22.404,25.956,270.7,,
lap,3,1'35.935,22.149,25.317,22.583,25.886,269.6,,
lap,4,1'36.060,22.201,25.484,22.487,25.888,275.0,,
lap,5,1'36.182,22.214,25.489,22.544,25.935,270.7,,
lap,6,1'35.946,22.101,25.426,22.422,25.997,270.7,,
lap,7,1'35.974,22.143,25.372,22.441,26.018,270.7,,
lap,8,1'35.971,22.131,25.427,22.433,25.980,270.7,,
lap,9,1'35.908,22.018,25.395,22.495,26.000,270.7,,
lap,10,1'36.035,22.081,25.459,22.578,25.917,270.7,,
lap,11,1'36.169,22.175,25.525,22.484,25.985,270.7,,
lap,12,1'36.076,22.082,25.554,22.423,26.017,270.7,,
lap,13,1'35.853,22.018,25.376,22.498,25.961,269.6,,
lap,14,1'36.179,22.062,25.522,22.635,25.960,270.7,,
lap,15,1'36.254,22.072,25.509,22.609,26.064,271.7,,
lap,16,1'36.171,21.944,25.471,22.598,26.158,268.5,,
lap,17,1'36.478,22.071,25.597,22.577,26.233,267.5,,
