0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,November 08,Moto2,Circuit Ricardo Tormo,WUP,,,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,1st,72,Total,laps=12,laps=10
lap,1,2'20.674,23.634,27.929,23.728,26.399,,,,,,
lap,2,1'37.661,22.724,26.121,22.722,26.094,270.7,,,,,
lap,3,1'37.301,22.855,25.864,22.620,25.962,270.7,,,,,
lap,4,1'36.858,22.644,25.728,22.618,25.868,271.7,,,,,
lap,5,1'36.683,22.717,25.568,22.579,25.819,271.7,,,,,
lap,6,1'36.933,22.495,25.727,22.650,26.061,271.7,,,,,
lap,7,1'36.681,22.486,25.738,22.584,25.873,270.7,,,,,
lap,8,1'36.373,22.403,25.731,22.436,25.803,272.8,,,,,
lap,9,1'36.699,22.395,25.682,22.710,25.912,271.7,,,,,
lap,10,1'36.778,22.514,25.428,22.634,26.202,273.9,,,,,
lap,11,1'41.203,26.864*,26.030,22.451,25.858,277.2,,,,,
lap,12,1'35.944,22.398,25.464,22.382,25.700,271.7,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,2nd,22,Total,laps=12,laps=9
lap,1,2'43.912,24.655,30.266,24.635,26.733,,,,,,
lap,2,1'38.624,22.928,26.531*,22.893,26.272,266.5,,,,,
lap,3,1'37.434,22.620,25.955,22.672,26.187,265.4,,,,,
lap,4,1'37.136,22.286,26.214,22.573,26.063,268.5,,,,,
lap,5,1'36.400,22.284,25.730,22.381,26.005,267.5,,,,,
lap,6,1'37.792,23.089,25.783,22.599,26.321,267.5,,,,,
lap,7,1'36.241,22.164,25.633,22.390,26.054,267.5,,,,,
lap,8,1'36.666,22.151,25.717*,22.709,26.089,267.5,,,,,
lap,9,1'36.010,22.121,25.565,22.343,25.981,268.5,,,,,
lap,10,1'36.099,22.139,25.565,22.384,26.011,268.5,,,,,
lap,11,1'37.977,23.149,26.043,22.630,26.155,268.5,,,,,
lap,12,1'59.759,22.036,25.518,22.370,49.835,268.5,,,,,
rider,3rd,7,Lorenzo,BALDA,Flexbox,HP,40,ITA,Total,laps=12,laps=10,
lap,1,2'14.053,23.844,27.682,24.196,26.892,,,,,,
lap,2,1'39.557,23.427,26.197,23.049,26.884,264.4,,,,,
lap,3,1'37.505,22.482,25.953,22.826,26.244,265.4,,,,,
lap,4,1'36.833,22.392,25.636,22.665,26.140,267.5,,,,,
lap,5,1'36.928,22.359,25.775,22.718,26.076,267.5,,,,,
lap,6,1'36.873,22.335,25.648,22.754,26.136,267.5,,,,,
lap,7,1'37.370,22.547*,25.793,22.746,26.284,268.5,,,,,
lap,8,1'36.842,22.528,25.705,22.634,25.975,266.5,,,,,
lap,9,1'36.797,22.522,25.685,22.578,26.012,269.6,,,,,
lap,10,1'36.566,22.406,25.537,22.676,25.947,266.5,,,,,
lap,11,1'36.670,22.293,25.560,22.566,26.251,266.5,,,,,
lap,12,1'36.090,22.247,25.502,22.482,25.859,266.5,,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,4th,33,Total,laps=12,laps=8,
lap,1,2'16.346,24.447,28.330,23.978,26.846,,,,,,
lap,2,1'38.491,23.409,26.020,22.851,26.211,267.5,,,,,
lap,3,1'37.500,22.917,25.644,22.716,26.223,269.6,,,,,
lap,4,1'36.949,22.744,25.573,22.554,26.078,270.7,,,,,
lap,5,1'36.649,22.528,25.485,22.573,26.063,270.7,,,,,
lap,6,1'36.566,22.377,25.531,22.610,26.048,270.7,,,,,
lap,7,1'39.498,24.368*,26.189,22.743,26.198,271.7,,,,,
lap,8,1'40.738,22.400,29.141*,23.125,26.072,271.7,,,,,
lap,9,1'36.339,22.515,25.464,22.476,25.884,270.7,,,,,
lap,10,1'36.476,22.449,25.481,22.567,25.979,271.7,,,,,
lap,11,1'36.223,22.394,25.454,22.490,25.885,272.8,,,,,
lap,12,1'41.044,25.645*,26.452,22.801,26.146,270.7,,,,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,5th,16,Total,laps=11,laps=7,,
lap,1,2'20.792,23.295,28.239,23.634,26.954,,,,,,
lap,2,1'42.134,25.366*,27.227,23.158,26.383,264.4,,,,,
lap,3,1'37.316,22.842,25.948,22.586,25.940,268.5,,,,,
lap,4,1'37.194,22.674,25.834,22.671,26.015,268.5,,,,,
lap,5,1'36.600,22.552,25.650,22.511,25.887,268.5,,,,,
lap,6,1'36.479,22.499,25.529,22.497,25.954,268.5,,,,,
lap,7,1'41.404,P,23.692,26.098,22.827,28.787,267.5,,,,
lap,8,3'02.352,25.427,27.778,23.023,26.151,,,,,,
lap,9,1'36.503,22.615,25.715,22.338,25.835,267.5,,,,,
lap,10,1'36.232,22.603,25.464,22.353,25.812,269.6,,,,,
lap,11,1'36.359,22.582,25.431,22.409,25.937,270.7,,,,,
rider,Fabio,DI,GIANNANT,HDR,Heidrun,Speed,ITA,6th,21,Total,laps=11,laps=8
lap,1,2'41.232,P,26.533,28.965,24.117,28.832,,,,,
lap,2,2'47.703,25.904,27.932,23.017,26.173,,,,,,
lap,3,1'37.184,23.014,25.687,22.580,25.903,268.5,,,,,
lap,4,1'36.821,22.704,25.547,22.538,26.032,267.5,,,,,
lap,5,1'36.863,22.963,25.520,22.516,25.864,270.7,,,,,
lap,6,1'36.453,22.573,25.500,22.458,25.922,272.8,,,,,
lap,7,1'44.972,26.231*,29.679,22.990,26.072,266.5,,,,,
lap,8,1'36.284,22.486,25.484,22.468,25.846,268.5,,,,,
lap,9,1'36.590,22.347,25.479,22.745,26.019,269.6,,,,,
lap,10,1'36.283,22.602,25.402,22.514,25.765,268.5,,,,,
lap,11,1'36.724,22.333,25.586,22.633,26.172,272.8,,,,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,7th,88,Total,laps=12,laps=10
lap,1,2'10.119,23.195,27.775,26.170,28.380,,,,,,
lap,2,1'38.963,23.417,26.318,23.015,26.213,266.5,,,,,
lap,3,1'38.305,23.275,25.976,22.947,26.107,271.7,,,,,
lap,4,1'37.531,22.712,25.973,22.757,26.089,268.5,,,,,
lap,5,1'36.834,22.520,25.718,22.649,25.947,269.6,,,,,
lap,6,1'36.660,22.518,25.686,22.557,25.899,267.5,,,,,
lap,7,1'36.552,22.427,25.725,22.520,25.880,267.5,,,,,
lap,8,1'45.989,28.144*,29.039,22.780,26.026,268.5,,,,,
