0,1,2,3,4,5,6,7,8,9
const,2020,November 15,Moto2,Circuit Ricardo Tormo,WUP,,,,
rider,Hector,GARZO,Flexbox,HP,40,SPA,1st,40,
lap,1,1'54.059,25.641,28.363,23.778,27.153,,,
lap,2,1'37.750,22.608,26.217,22.674,26.251,269.6,,
lap,3,1'37.029,22.473,25.781,22.779,25.996,270.7,,
lap,4,1'35.648,21.947,25.493,22.457,25.751,268.5,,
lap,5,1'35.787,21.948,25.542,22.454,25.843,272.8,,
lap,6,1'35.345,21.761,25.534,22.349,25.701,271.7,,
lap,7,1'34.942,21.723,25.248,22.327,25.644,271.7,,
lap,8,1'35.215,21.790,25.325,22.363,25.737,271.7,,
lap,9,1'37.836,23.487,25.900,22.521,25.928,270.7,,
lap,10,1'35.364,21.912,25.445,22.259,25.748,269.6,,
lap,11,1'35.261,21.820,25.507,22.293,25.641,270.7,,
lap,12,1'42.576,26.305,27.965,22.500,25.806,270.7,,
lap,13,1'35.394,21.885,25.533,22.372,25.604,270.7,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,2nd,72
lap,1,2'25.763,27.247,28.773,24.528,29.179,,,
lap,2,1'37.903,22.501,26.417,23.049,25.936,272.8,,
lap,3,1'36.782,22.009,25.709,23.194,25.870,273.9,,
lap,4,1'36.026,22.027,25.696,22.566,25.737,273.9,,
lap,5,1'35.192,21.569,25.458,22.433,25.732,272.8,,
lap,6,1'38.041,23.817*,25.735,22.821,25.668,272.8,,
lap,7,1'35.029,21.601,25.390,22.412,25.626,272.8,,
lap,8,1'35.487,21.743*,25.484,22.492,25.768,275.0,,
lap,9,1'35.656,21.794,25.398,22.607,25.857,275.0,,
lap,10,1'45.963,P,23.136*,29.702,23.449,29.676,275.0,
lap,11,3'14.285,29.126,27.422,23.105,26.750,,,
rider,Tetsuta,NAGASHIM,Red,Bull,KTM,Ajo,JPN,3rd,45
lap,1,1'56.410,23.927,27.980,24.057,26.986,,,
lap,2,1'38.120,22.653,26.276,23.037,26.154,267.5,,
lap,3,1'36.711,22.054,25.711,22.965,25.981,271.7,,
lap,4,1'36.369,21.871,25.844,22.735,25.919,271.7,,
lap,5,1'36.251,21.870*,25.801,22.748,25.832,272.8,,
lap,6,1'35.613,21.828,25.437,22.553,25.795,270.7,,
lap,7,1'35.353,21.682,25.418,22.484,25.769,270.7,,
lap,8,1'35.652,21.768,25.570,22.516,25.798,272.8,,
lap,9,1'35.493,21.688,25.410,22.352,26.043,270.7,,
lap,10,1'35.624,21.668,25.617,22.545,25.794,272.8,,
lap,11,1'35.422,21.807,25.453,22.428,25.734,272.8,,
lap,12,1'35.047,21.684,25.313,22.323,25.727,271.7,,
lap,13,1'35.459,21.745,25.467,22.469,25.778,270.7,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,4th,23
lap,1,2'26.880,26.200,29.045,24.024,29.854,,,
