0,1,2,3,4,5,6,7,8,9,10
const,2020,November 20,Moto2,Autódromo Internacional do Algarve,FP2,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,1st,10,
lap,1,2'50.254,23.239,35.420,16.650,34.390,,,,
lap,2,1'46.480,22.266,34.738,16.057,33.419,290.3,,,
lap,3,1'43.980,21.913,33.260,15.798,33.009,291.1,,,
lap,4,1'44.175,22.181,33.223,15.747,33.024,292.6,,,
lap,5,1'43.902,22.014,33.006,15.754,33.128,291.8,,,
lap,6,1'44.517,21.889,33.067,16.396,33.165,291.8,,,
lap,7,1'44.102,22.010,33.270,15.720,33.102,291.8,,,
lap,8,1'55.776,23.848,37.344,20.324,34.260,292.6,,,
lap,9,1'53.438,P,26.130,34.712,16.261,36.335,291.8,,
lap,10,7'57.237,24.136,34.004,16.128,33.449,,,,
lap,11,1'44.692,22.116,33.148,16.023,33.405,288.7,,,
lap,12,1'43.713,21.924,33.048,15.711,33.030,290.3,,,
lap,13,1'43.513,21.806,33.059,15.707,32.941,291.8,,,
lap,14,1'43.442,21.878,32.985,15.645,32.934,291.8,,,
lap,15,1'56.021,P,26.120,35.778,16.977,37.146,292.6,,
lap,16,6'11.334,23.754,36.145,16.815,34.115,,,,
lap,17,1'45.199,22.340,33.555,15.960,33.344,287.2,,,
lap,18,1'44.356,22.577,32.997,15.694,33.088,291.1,,,
lap,19,1'44.704,22.052,33.739,15.808,33.105,291.1,,,
lap,20,1'43.701,21.852,33.051,15.749,33.049,291.1,,,
lap,21,1'43.443,21.898,32.928,15.669,32.948,291.1,,,
lap,22,1'43.161,21.878,32.860,15.571,32.852,291.8,,,
lap,23,1'58.149,26.797,37.606,17.320,36.426,293.4,,,
lap,24,1'44.256,22.046,33.069,15.653,33.488,290.3,,,
lap,25,1'42.941,21.810,32.768,15.551,32.812,292.6,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,2nd,22,
lap,1,2'53.698,23.400,35.680,16.479,34.529,,,,
lap,2,1'48.108,22.737*,35.371,16.111,33.889,289.5,,,
lap,3,1'45.205,22.267,33.511,15.899,33.528,288.0,,,
lap,4,1'44.485,22.253,33.127,15.757,33.348,287.2,,,
lap,5,1'43.728,21.971,32.957,15.622,33.178,288.7,,,
lap,6,1'44.211,22.061,33.089,15.815,33.246,290.3,,,
lap,7,1'44.092,21.977,33.155,15.704,33.256,288.7,,,
lap,8,1'59.940,P,22.120,35.042,16.734,46.044,286.4,,
lap,9,10'57.330,25.851,35.174,16.297,34.018,,,,
lap,10,1'45.153,22.210,33.582,15.810,33.551,286.4,,,
lap,11,1'44.962,22.145,33.387,15.893,33.537,287.2,,,
lap,12,1'44.839,22.224,33.384,15.889,33.342,287.2,,,
lap,13,1'56.045,P,22.527,36.183,17.654,39.681,287.2,,
lap,14,8'22.174,29.687,35.762,16.408,39.196,,,,
lap,15,1'44.218,22.238,33.205,15.700,33.075,288.7,,,
lap,16,1'43.517,21.944,32.882,15.633,33.058,289.5,,,
lap,17,1'44.107,21.966,32.928,15.819,33.394,288.7,,,
lap,18,1'43.197,21.867,32.789,15.565,32.976,290.3,,,
lap,19,1'43.123,21.858,32.828,15.566,32.871,289.5,,,
lap,20,1'59.655,P,22.468,39.733,16.490,40.964,291.1,,
lap,21,3'28.873,32.671,37.484,16.551,40.426,,,,
rider,Lorenzo,BALDA,Flexbox,HP,40,ITA,3rd,7,,
