0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,November 22,Moto2,Autódromo Internacional do Algarve,RACE,,,,,,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,1st,87,Total,laps=23,laps=22
lap,1,1'45.697,23.658,33.289,15.772,32.978,,,,,,
lap,2,1'43.652,22.093,33.006,15.636,32.917,278.3,,,,,
lap,3,1'43.452,22.049,32.883,15.647,32.873,279.7,,,,,
lap,4,1'43.549,22.049,32.979,15.623,32.898,280.5,,,,,
lap,5,1'43.420,21.999,32.856,15.614,32.951,279.0,,,,,
lap,6,1'43.581,22.076,32.897,15.585,33.023,275.5,,,,,
lap,7,1'43.825,22.128,33.040,15.617,33.040,279.7,,,,,
lap,8,1'43.966,22.619,32.934,15.516,32.897,279.7,,,,,
lap,9,1'43.501,21.943,32.905,15.633,33.020,283.4,,,,,
lap,10,1'43.159,22.062,32.826,15.558,32.713,291.1,,,,,
lap,11,1'43.343,22.097,32.970,15.554,32.722,284.9,,,,,
lap,12,1'43.040,21.898,32.851,15.540,32.751,286.4,,,,,
lap,13,1'42.817,21.850,32.763,15.490,32.714,286.4,,,,,
lap,14,1'43.000,21.910,32.889,15.566,32.635,282.7,,,,,
lap,15,1'42.738,21.882,32.806,15.484,32.566,281.9,,,,,
lap,16,1'42.745,21.849,32.735,15.556,32.605,284.2,,,,,
lap,17,1'43.132,22.004,32.778,15.531,32.819,283.4,,,,,
lap,18,1'42.933,22.068,32.640,15.482,32.743,279.0,,,,,
lap,19,1'42.957,21.999,32.800,15.508,32.650,281.9,,,,,
lap,20,1'42.898,21.973,32.657,15.491,32.777,284.9,,,,,
lap,21,1'42.907,21.938,32.661,15.519,32.789,285.7,,,,,
lap,22,1'42.660,21.964,32.658,15.459,32.579,283.4,,,,,
lap,23,1'42.504,21.765,32.709,15.474,32.556,281.2,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,2nd,10,Total,laps=23,laps=22
lap,1,1'46.344,23.913,33.584,15.870,32.977,,,,,,
lap,2,1'44.070,22.245,33.100,15.719,33.006,288.7,,,,,
lap,3,1'43.772,22.156,32.848,15.767,33.001,284.9,,,,,
lap,4,1'43.240,21.841,32.825,15.545,33.029,289.5,,,,,
lap,5,1'43.119,21.899,32.767,15.570,32.883,284.9,,,,,
lap,6,1'43.156,21.969,32.736,15.576,32.875,284.9,,,,,
lap,7,1'43.593,22.025,32.882,15.729,32.957,286.4,,,,,
lap,8,1'43.144,21.863,32.767,15.571,32.943,287.2,,,,,
lap,9,1'43.142,21.846,32.775,15.597,32.924,284.2,,,,,
lap,10,1'43.007,21.793,32.714,15.571,32.929,284.2,,,,,
lap,11,1'43.027,21.808,32.779,15.557,32.883,284.2,,,,,
lap,12,1'43.190,21.897,32.737,15.616,32.940,283.4,,,,,
lap,13,1'43.202,21.948,32.750,15.619,32.885,283.4,,,,,
lap,14,1'43.327,21.860,32.815,15.639,33.013,284.9,,,,,
lap,15,1'43.120,21.883,32.804,15.541,32.892,283.4,,,,,
lap,16,1'42.820,21.734,32.732,15.506,32.848,284.2,,,,,
lap,17,1'43.259,21.973,32.723,15.629,32.934,283.4,,,,,
lap,18,1'42.884,21.895,32.622,15.536,32.831,282.7,,,,,
lap,19,1'43.023,21.963,32.629,15.542,32.889,284.2,,,,,
lap,20,1'42.911,21.850,32.657,15.508,32.896,286.4,,,,,
lap,21,1'42.901,21.821,32.628,15.541,32.911,285.7,,,,,
lap,22,1'43.498,22.135,32.795,15.605,32.963,283.4,,,,,
lap,23,1'43.336,21.921,32.769,15.514,33.132,286.4,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,3rd,22,Total,laps=23,laps=21
lap,1,1'46.597,24.329,33.750,15.744,32.774,75.5,,,,,
lap,2,1'44.072,22.318,33.101,15.707,32.946,284.9,,,,,
lap,3,1'43.671,22.227,32.994,15.509,32.941,288.0,,,,,
lap,4,1'43.207,22.046,32.772,15.439,32.950,288.0,,,,,
lap,5,1'43.198,22.024,32.771,15.472,32.931,281.9,,,,,
lap,6,1'43.283,21.986,32.919,15.474,32.904,279.7,,,,,
lap,7,1'43.371,21.998,32.852,15.634,32.887,282.7,,,,,
lap,8,1'43.243,22.169,32.642,15.505,32.927,285.7,,,,,
lap,9,1'43.311,21.955,32.872,15.550,32.934,280.5,,,,,
lap,10,1'42.855,21.841,32.660,15.491,32.863,281.2,,,,,
lap,11,1'43.469,22.048,32.739,15.789,32.893,281.2,,,,,
lap,12,1'43.860,21.989,32.787*,15.586,33.498,279.7,,,,,
