0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,November 22,Moto2,Autódromo Internacional do Algarve,WUP,,,,,,,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,1st,23,Total,laps=11,laps=8,
lap,1,2'31.381,22.439,35.020,16.253,34.054,,,,,,,
lap,2,1'45.002,22.264,33.328,16.055,33.355,281.9,,,,,,
lap,3,1'45.171,22.594*,33.574,15.806,33.197,284.2,,,,,,
lap,4,1'51.163,25.183,34.940,17.585,33.455,288.0,,,,,,
lap,5,1'43.824,21.981,33.002,15.694,33.147,284.2,,,,,,
lap,6,1'43.705,21.949,32.884,15.690,33.182,285.7,,,,,,
lap,7,1'45.227,21.935,33.024,16.641,33.627,289.5,,,,,,
lap,8,1'43.363,21.794,32.886,15.661,33.022,284.9,,,,,,
lap,9,1'55.415,27.760,35.654,16.668,35.333,290.3,,,,,,
lap,10,1'43.935,22.028,33.036,15.723,33.148,283.4,,,,,,
lap,11,1'43.620,22.011,32.953*,15.710,32.946,283.4,,,,,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,2nd,88,Total,laps=12,laps=11,
lap,1,2'25.040,23.797,35.538,17.562,34.901,,,,,,,
lap,2,1'46.054,22.508,33.811,15.940,33.795,283.4,,,,,,
lap,3,1'50.129,25.793,34.013,15.685,34.638,292.6,,,,,,
lap,4,1'44.476,22.233,33.283,15.795,33.165,285.7,,,,,,
lap,5,1'44.557,22.463,33.064,15.885,33.145,292.6,,,,,,
lap,6,1'44.326,22.305,33.204,15.645,33.172,286.4,,,,,,
lap,7,1'44.020,22.188,32.881,15.647,33.304,288.7,,,,,,
lap,8,1'44.562,22.457,32.845,15.820,33.440,284.9,,,,,,
lap,9,1'43.793,22.128,32.890,15.609,33.166,284.9,,,,,,
lap,10,1'44.837,22.087,33.750,15.832,33.168,284.9,,,,,,
lap,11,1'43.815,22.046,33.004,15.690,33.075,284.2,,,,,,
lap,12,1'43.471,22.075,32.844,15.537,33.015,285.7,,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,3rd,10,Total,laps=11,laps=8,
lap,1,3'11.130,24.717,36.007,16.904,34.706,,,,,,,
lap,2,1'47.087,23.036,34.147,16.123,33.781,279.7,,,,,,
lap,3,1'44.919,22.287,33.269,15.842,33.521,281.9,,,,,,
lap,4,1'44.430,22.040,33.288,15.780,33.322,281.9,,,,,,
lap,5,1'44.160,22.165,33.086,15.639*,33.270,281.9,,,,,,
lap,6,1'43.708,21.979,33.021,15.604,33.104,281.9,,,,,,
lap,7,1'43.610,21.954,32.963,15.613,33.080,283.4,,,,,,
lap,8,1'43.608,22.002,32.895,15.592,33.119,283.4,,,,,,
lap,9,1'43.493,21.974,32.846,15.669,33.004,282.7,,,,,,
lap,10,1'43.676,21.976,32.986,15.647,33.067,284.2,,,,,,
lap,11,1'43.462,21.870,32.923*,15.632,33.037,284.2,,,,,,
rider,Marcos,RAMIREZ,Tennor,American,RaciSPA,4th,42,Total,laps=12,laps=10,,,
lap,1,2'05.699,21.372,34.892,16.419,34.352,,,,,,,
lap,2,1'46.033,22.622,33.789,15.924,33.698,280.5,,,,,,
lap,3,1'52.794,22.402,33.440,16.293,40.659,281.9,,,,,,
lap,4,1'44.870,22.232,33.407,15.680,33.551,280.5,,,,,,
lap,5,1'57.402,25.751*,36.057,21.755,33.839,281.9,,,,,,
lap,6,1'45.024,22.221,33.459,15.959,33.385,284.2,,,,,,
lap,7,1'45.483,22.532,33.855,15.760,33.336,284.9,,,,,,
lap,8,1'44.353,22.114,33.157,15.779,33.303,284.9,,,,,,
lap,9,1'43.889,22.024,33.032,15.596,33.237,284.2,,,,,,
lap,10,1'46.849,22.034,32.925,15.647,36.243,285.7,,,,,,
lap,11,1'43.590,21.947,33.039,15.530,33.074,285.7,,,,,,
lap,12,1'43.512,21.954,32.900,15.559,33.099,286.4,,,,,,
rider,Lorenzo,BALDA,Flexbox,HP,40,ITA,5th,7,Total,laps=11,laps=8,,
lap,1,2'43.476,22.347,36.627,16.959,35.097,,,,,,,
lap,2,1'47.850,22.716,34.427,16.472,34.235,276.2,,,,,,
lap,3,1'45.884,22.382,33.563,16.212,33.727,279.0,,,,,,
lap,4,1'45.291,22.309,33.338,15.960,33.684,278.3,,,,,,
lap,5,1'45.136,22.213,33.273,16.096*,33.554,279.7,,,,,,
lap,6,1'44.807,22.390,33.260,15.941,33.216,279.7,,,,,,
lap,7,1'44.376,22.140,33.151,15.805,33.280,280.5,,,,,,
lap,8,1'44.552,22.178*,33.102,15.994,33.278,279.7,,,,,,
lap,9,1'44.275,22.005,33.204,15.798,33.268,281.9,,,,,,
lap,10,1'43.793,21.986,33.061,15.670,33.076,283.4,,,,,,
lap,11,1'43.690,22.058,32.966,15.700,32.966,279.7,,,,,,
rider,Augusto,FERNAND,EG,"0,0",Marc,VDS,SPA,6th,37,Total,laps=12,laps=11,
lap,1,2'27.498,22.070,34.871,16.237,34.546,,,,,,,
lap,2,1'45.961,22.344,34.061,15.920,33.636,288.7,,,,,,
lap,3,1'45.259,22.587,33.350,15.874,33.448,282.7,,,,,,
lap,4,1'46.556,22.963,33.647,16.085,33.861,289.5,,,,,,
lap,5,1'44.283,22.076,32.985,15.764,33.458,287.2,,,,,,
lap,6,1'44.101,22.069,33.090,15.712,33.230,284.2,,,,,,
lap,7,1'44.915,22.112,33.352,15.971,33.480,288.0,,,,,,
lap,8,1'44.695,22.001,33.239,15.953,33.502,288.7,,,,,,
lap,9,1'43.770,22.131,33.007,15.571,33.061,286.4,,,,,,
lap,10,1'44.178,22.208,33.129,15.629,33.212,281.9,,,,,,
lap,11,1'43.973,21.988,33.162,15.618,33.205,282.7,,,,,,
lap,12,1'43.745,22.042,32.983,15.623,33.097,281.9,,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,7th,72,Total,laps=10,laps=6,
lap,1,2'23.374,24.679,36.287,17.822,35.140,,,,,,,
lap,2,1'47.492,23.105,34.405,16.071,33.911,288.0,,,,,,
lap,3,1'44.937,22.570,33.386,15.827,33.154,288.7,,,,,,
lap,4,1'44.900,22.097,33.459,15.902,33.442,288.0,,,,,,
lap,5,1'44.416,22.269,33.370*,15.674,33.103,284.9,,,,,,
lap,6,1'44.064,22.147,33.106,15.801,33.010,284.9,,,,,,
lap,7,1'55.317,P,22.456,33.599*,15.974,43.288,281.9,,,,,
lap,8,3'53.465,24.234,36.023,16.488,36.891,,,,,,,
lap,9,1'52.231,25.305,35.258,16.448,35.220,281.2,,,,,,
lap,10,1'43.787,21.988,33.088,15.676,33.035,287.2,,,,,,
rider,8th,21,Fabio,DI,GIANNANT,BETA,Tools,Speed,U,ITA,Total,laps=10,laps=6
lap,1,2'28.681,23.723,34.723*,16.169,34.130,,,,,,,
lap,2,1'45.688,22.421,34.065,15.854,33.348,284.2,,,,,,
lap,3,1'44.556,22.206,33.371,15.753,33.226,286.4,,,,,,
lap,4,1'44.905,22.550,33.258,15.695,33.402,290.3,,,,,,
lap,5,1'44.063,22.125,33.010,15.549,33.379,285.7,,,,,,
lap,6,1'43.987,22.070,33.207,15.629,33.081,289.5,,,,,,
lap,7,1'43.844,22.215,33.103*,15.550,32.976,284.9,,,,,,
lap,8,1'43.798,22.196,32.975,15.577,33.050,281.9,,,,,,
lap,9,1'43.772,22.037,32.981*,15.653,33.101,281.2,,,,,,
lap,10,2'01.433,P,21.880,44.308,16.962,38.283,282.7,,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,9th,33,Total,laps=11,laps=9,,
lap,1,2'58.379,23.026,34.801,16.122,33.917,,,,,,,
lap,2,1'46.739,22.275,33.931,16.534,33.999,276.9,,,,,,
lap,3,1'45.168,22.469,33.484,15.900,33.315,279.0,,,,,,
lap,4,1'44.581,22.173,33.351,15.808,33.249,280.5,,,,,,
lap,5,1'44.444,22.092,33.353,15.804*,33.195,280.5,,,,,,
lap,6,1'44.019,22.110,33.118,15.735,33.056,279.7,,,,,,
lap,7,1'44.012,22.079,33.141,15.689,33.103,281.2,,,,,,
lap,8,1'43.801,21.934,33.016,15.727,33.124,281.2,,,,,,
lap,9,1'49.945,22.051,34.202,16.148,37.544,280.5,,,,,,
lap,10,1'50.468,22.050,34.949,16.149,37.320,280.5,,,,,,
lap,11,1'43.957,21.957,33.210,15.708,33.082,282.7,,,,,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,10th,16,Total,laps=10,laps=6,,,
lap,1,2'22.850,23.062,36.227,17.279,34.972,,,,,,,
lap,2,1'45.956,22.470,34.043,15.901,33.542,284.2,,,,,,
lap,3,1'45.141,22.369,33.465,15.822,33.485,279.7,,,,,,
lap,4,1'45.097,22.196,33.562,15.881,33.458,280.5,,,,,,
lap,5,1'47.762,P,22.159,33.336,15.813,36.454,280.5,,,,,
lap,6,4'18.308,22.999,34.805,16.197,33.825,,,,,,,
lap,7,1'44.482,22.074,33.311*,15.697,33.400,278.3,,,,,,
lap,8,1'44.128,22.006,33.170,15.726,33.226,279.0,,,,,,
lap,9,1'44.152,22.009,33.258,15.777,33.108,280.5,,,,,,
lap,10,1'43.815,21.968,33.073,15.605,33.169,279.7,,,,,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,11th,87,Total,laps=12,laps=11,
lap,1,2'23.600,25.083,36.771,17.451,34.390,,,,,,,
lap,2,1'46.351,22.706,33.934,16.178,33.533,281.2,,,,,,
lap,3,1'44.772,22.357,33.201,15.919,33.295,280.5,,,,,,
lap,4,1'45.613,22.530,33.610,16.040,33.433,283.4,,,,,,
lap,5,1'44.400,22.443,33.129,15.788,33.040,280.5,,,,,,
lap,6,1'45.658,23.049,33.514,15.855,33.240,279.0,,,,,,
lap,7,1'44.264,22.201,33.180,15.785,33.098,286.4,,,,,,
lap,8,1'43.886,22.109,32.994,15.746,33.037,279.7,,,,,,
lap,9,1'44.053,22.040,33.160,15.856,32.997,280.5,,,,,,
lap,10,1'44.158,22.019,33.007,15.934,33.198,280.5,,,,,,
lap,11,1'43.941,22.079,33.020,15.734,33.108,276.9,,,,,,
lap,12,1'43.868,22.059,33.059,15.725,33.025,278.3,,,,,,
rider,Bo,BENDSNEYDER,NTS,RW,Racing,GP,NED,12th,64,Total,laps=12,laps=10,
lap,1,2'22.007,23.075,35.872,16.751,35.337,,,,,,,
lap,2,1'45.392,22.599,33.697,15.817,33.279,279.7,,,,,,
lap,3,1'45.042,22.440,33.560,15.716,33.326,276.2,,,,,,
lap,4,1'44.427,22.220,33.335,15.706,33.166,276.2,,,,,,
lap,5,1'44.249,22.194,33.196,15.711,33.148,276.9,,,,,,
lap,6,1'48.901,23.332,36.449,15.811,33.309,277.6,,,,,,
lap,7,1'45.513,22.156,33.297,15.848,34.212,279.0,,,,,,
lap,8,1'45.311,23.113*,33.298,15.738,33.162,276.2,,,,,,
lap,9,1'43.982,22.160,33.057,15.621,33.144,279.0,,,,,,
lap,10,1'44.216,22.137,33.132,15.678,33.269,279.0,,,,,,
lap,11,1'44.067,22.113,33.181,15.754,33.019,276.9,,,,,,
lap,12,1'43.915,22.109,33.126,15.606,33.074,276.9,,,,,,
rider,13th,44,Aron,CANET,Pull&Bear,Aspar,Tea,SPA,Total,laps=11,laps=9,,
lap,1,2'26.315,25.420,38.371,18.022,38.030,,,,,,,
lap,2,1'53.075,22.746,37.567,18.601,34.161,284.9,,,,,,
lap,3,1'44.650,22.325,33.377,15.836,33.112,281.9,,,,,,
lap,4,1'46.246,23.277,33.950,15.941,33.078,281.9,,,,,,
lap,5,1'44.300,22.054,33.293,15.662,33.291,282.7,,,,,,
lap,6,1'44.844,22.042,33.318,16.174,33.310,283.4,,,,,,
lap,7,1'44.110,22.110,33.095,15.737,33.168,283.4,,,,,,
lap,8,1'51.371,28.086*,33.680,15.726,33.879,281.2,,,,,,
lap,9,1'48.316,23.884,34.633,16.174,33.625,282.7,,,,,,
lap,10,1'43.961,22.070,33.134,15.620,33.137,281.2,,,,,,
lap,11,1'44.109,22.245,33.117,15.691,33.056,280.5,,,,,,
rider,14th,77,Dominique,AEGER,NTS,RW,Racing,GP,SWI,Total,laps=11,laps=10,
lap,1,2'19.949,28.228,37.124,16.890,37.357,,,,,,,
lap,2,1'56.932,25.139,40.956,16.351,34.486,272.7,,,,,,
lap,3,1'45.429,22.567,33.633,15.810,33.419,285.7,,,,,,
lap,4,1'46.966,24.478,33.374,15.836,33.278,281.2,,,,,,
lap,5,1'44.312,22.239,33.198,15.786,33.089,279.7,,,,,,
lap,6,1'46.309,22.078,33.560,17.020,33.651,281.9,,,,,,
lap,7,1'44.045,22.099,33.093,15.680,33.173,282.7,,,,,,
lap,8,1'44.709,22.309,33.236,15.739,33.425,281.9,,,,,,
lap,9,1'58.008,27.807,36.498,15.960,37.743,281.2,,,,,,
lap,10,2'00.908,22.315,33.287,15.853,49.453,281.9,,,,,,
lap,11,1'44.830,22.353,33.238,15.864,33.375,275.5,,,,,,
rider,15th,97,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,Total,laps=12,laps=11,,
lap,1,2'24.444,23.881,35.764,17.371,34.693,,,,,,,
lap,2,1'46.531,22.635,33.974,16.108,33.814,285.7,,,,,,
lap,3,1'47.176,23.094,33.988,16.042,34.052,289.5,,,,,,
lap,4,1'44.659,22.154,33.494,15.711,33.300,284.9,,,,,,
lap,5,1'44.872,22.306,33.291,15.870,33.405,285.7,,,,,,
lap,6,1'44.906,22.169,33.565,15.745,33.427,282.7,,,,,,
lap,7,1'44.193,22.161,33.167,15.676,33.189,284.9,,,,,,
lap,8,1'48.375,22.313,33.132,18.907,34.023,280.5,,,,,,
