0,1,2,3,4,5,6,7,8,9
const,2020,July 17,Moto2,Circuito de Jerez,FP1,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,1st,10
lap,1,3'18.085,33.215,17.959,33.675,33.204,196.7,,
lap,2,1'43.974,26.210,15.413,30.865,31.486,244.3,,
lap,3,1'42.503,25.431,15.237,30.499,31.336,247.1,,
lap,4,1'42.140,25.231,15.289,30.414,31.206,247.1,,
lap,5,1'41.996,25.293,15.257,30.265,31.181,247.1,,
lap,6,1'42.126,25.162,15.238,30.281,31.445*,247.7,,
lap,7,1'42.127,25.357,15.305,30.272,31.193,246.0,,
lap,8,1'42.168,25.308,15.322,30.308,31.230,245.4,,
lap,9,1'42.049,25.366,15.295,30.235,31.153,246.0,,
lap,10,1'41.832,25.221,15.266,30.157,31.188,246.0,,
lap,11,1'41.964,25.242,15.328,30.208,31.186,244.8,,
lap,12,1'41.946,25.295,15.279,30.202,31.170,245.4,,
lap,13,1'41.736,25.254,15.208,30.100,31.174,246.0,,
lap,14,1'41.775,25.220,15.201,30.154,31.200,246.0,,
lap,15,1'41.888,25.313,15.244,30.184,31.147,245.4,,
lap,16,1'42.208,25.361,15.293,30.369,31.185,246.5,,
lap,17,1'41.921,25.287,15.317,30.188,31.129,247.1,,
lap,18,1'42.191,25.218,15.259,30.479,31.235,247.7,,
lap,19,1'41.410,25.166,15.175,30.093,30.976,246.5,,
lap,20,1'41.448,25.121,15.219,30.080,31.028,247.7,,
lap,PIT,28.719,16.283,39.149,29.054,229.2,,,
rider,2nd,9,Jorge,NAVARRO,HDR,Heidrun,Speed,SPA,
lap,1,2'15.598,30.911,16.076,31.747,32.125,240.0,,
lap,2,1'43.408,25.748,15.413,30.544,31.703,245.4,,
lap,3,1'42.355,25.509,15.277,30.171,31.398,244.8,,
lap,4,1'42.036,25.159,15.252,30.218,31.407,244.3,,
lap,5,1'42.131,25.254,15.222,30.264,31.391,245.4,,
lap,6,1'41.922,25.183,15.248,30.231,31.260,244.8,,
lap,7,1'41.877,25.199*,15.285,30.185,31.208,245.4,,
lap,8,1'41.995,25.194,15.235,30.205,31.361,245.4,,
lap,9,1'43.372,P,27.281,15.946,31.541,28.604,240.5,
lap,10,1'47.615,29.812,15.501,30.714,31.588,242.1,,
lap,11,1'42.385,25.283,15.214,30.384,31.504,245.4,,
lap,12,1'47.605,29.459,16.067,30.581,31.498,243.7,,
lap,13,1'41.878,25.183,15.239,30.188,31.268,246.0,,
lap,14,1'41.458,25.070,15.227,30.022,31.139,246.0,,
lap,15,2'01.850,30.819,16.097,40.467,34.467,201.8,,
lap,16,1'42.503,25.192,15.266,30.426,31.619,246.5,,
lap,17,1'42.128,25.290,15.309,30.189,31.340,246.0,,
lap,18,1'51.300,26.110,15.962,31.541,37.687,227.8,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,3rd,72
lap,1,3'17.898,34.525,17.974,33.575,33.230,194.5,,
lap,2,1'43.609,26.096,15.228,30.826,31.459,246.5,,
lap,3,1'42.584,25.482,15.237,30.496,31.369,247.1,,
lap,4,1'42.096,25.331,15.217,30.310,31.238,247.1,,
lap,5,1'42.062,25.341,15.222,30.249,31.250,247.1,,
lap,6,1'42.614,25.379,15.205,30.403,31.627,248.2,,
lap,7,1'42.524,25.538,15.209,30.472,31.305,250.0,,
lap,8,1'42.400,25.526*,15.162,30.419,31.293,250.0,,
lap,9,1'42.063,25.408,15.145,30.328,31.182,248.8,,
lap,10,1'41.725,25.372,15.115,30.138,31.100,248.8,,
lap,11,1'41.771,25.409,15.109,30.155,31.098,248.8,,
lap,12,2'02.521,P,36.810,19.446,35.583,30.682,159.0,
lap,13,1'55.758,36.057,15.590,32.418,31.693,245.4,,
lap,14,1'42.244,25.529,15.133,30.315,31.267,249.4,,
