0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,July 17,Moto2,Circuito de Jerez,FP2,,,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,1st,10,Total,laps=18,laps=13
lap,1,1'51.811,29.960,15.789,31.522,31.987,241.0,,,,,
lap,2,1'42.803,25.663,15.345,30.498,31.297,243.7,,,,,
lap,3,1'42.316,25.516,15.305,30.198,31.297,242.6,,,,,
lap,4,1'42.228,25.367,15.385,30.319,31.157,242.1,,,,,
lap,5,1'39.529,P,25.494,15.576,31.024,27.435,241.0,,,,
lap,6,1'48.525,29.593,15.737,31.231,31.964,239.4,,,,,
lap,7,1'42.736,25.566,15.428,30.373,31.369,240.0,,,,,
lap,8,1'42.433,25.399,15.343,30.359,31.332,241.6,,,,,
lap,9,1'44.546,P,27.371,16.025,32.590,28.560,227.8,,,,
lap,10,1'53.142,33.110,16.105,31.706,32.221,231.2,,,,,
lap,11,1'42.686,25.803,15.316,30.247,31.320,244.3,,,,,
lap,12,1'42.700,25.428,15.353,30.421,31.498,242.1,,,,,
lap,13,1'42.670,25.557,15.312,30.430,31.371,242.1,,,,,
lap,14,1'42.490,25.478,15.343,30.361,31.308,242.6,,,,,
lap,15,1'42.726,25.474,15.386,30.445,31.421,241.6,,,,,
lap,16,1'42.426,25.365,15.428,30.359,31.274,241.6,,,,,
lap,17,1'52.922,27.417,17.708,34.451,33.346,220.4,,,,,
lap,18,1'42.718,25.543,15.371,30.422,31.382,242.6,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,2nd,72,Total,laps=16,laps=12
lap,1,1'53.180,30.523,15.656,31.539,32.453,244.8,,,,,
lap,2,1'43.035,25.741,15.256,30.547,31.491,247.1,,,,,
lap,3,1'42.674,25.852,15.144,30.293,31.385,247.7,,,,,
lap,4,1'42.536,25.528,15.299,30.300,31.409,243.7,,,,,
lap,5,1'42.556,25.502,15.281,30.285,31.488,245.4,,,,,
lap,6,1'42.796,25.655,15.299,30.323,31.519,244.8,,,,,
lap,7,1'45.840,P,28.856,16.740,32.285,27.959,182.1,,,,
lap,8,1'53.869,33.851,15.980,31.794,32.244,240.0,,,,,
lap,9,1'42.405,25.642,15.275,30.230,31.258,243.7,,,,,
lap,10,1'43.911,25.408*,16.118,30.737,31.648*,244.8,,,,,
lap,11,1'42.412,25.522,15.273,30.257,31.360,242.6,,,,,
lap,12,1'56.019,31.053,18.413,34.568,31.985,175.6,,,,,
lap,13,1'42.565,25.667,15.169,30.270,31.459,245.4,,,,,
lap,14,2'00.892,33.062,18.360,35.558,33.912,144.5,,,,,
lap,15,1'42.623,25.509,15.182,30.348,31.584,245.4,,,,,
lap,16,1'42.356,25.433,15.275,30.199,31.449,244.8,,,,,
rider,Tetsuta,NAGASHIM,Red,Bull,KTM,Ajo,JPN,3rd,45,Total,laps=17,laps=12
lap,1,2'16.156,30.268,15.756,30.987,31.988,242.1,,,,,
lap,2,1'43.137,25.933*,15.289,30.390,31.525,246.0,,,,,
lap,3,1'43.582,25.844*,15.409,30.518,31.811,242.6,,,,,
lap,4,1'43.059,25.590,15.471,30.348,31.650,244.3,,,,,
lap,5,1'44.432,26.541,15.597,30.651,31.643,243.2,,,,,
lap,6,1'45.679,25.696,15.424,32.203,32.356,243.2,,,,,
lap,7,1'44.054,25.720,15.482,30.785,32.067,241.6,,,,,
lap,8,1'42.865,25.629,15.421,30.359,31.456,243.7,,,,,
lap,9,1'42.800,25.591,15.401,30.398,31.410,243.2,,,,,
lap,10,1'42.435,25.494,15.343,30.274,31.324,243.7,,,,,
lap,11,1'46.044,P,27.909,16.327,32.661,29.147,238.4,,,,
lap,12,1'49.764,30.797,15.922,30.867,32.178,240.5,,,,,
lap,13,1'43.892,25.799,15.542,30.609,31.942,242.1,,,,,
lap,14,1'43.679,26.020,15.488,30.413,31.758,244.3,,,,,
lap,15,1'43.591,25.921,15.495,30.593,31.582,243.7,,,,,
lap,16,1'43.728,25.681,15.670,30.668,31.709,243.7,,,,,
lap,17,1'47.209,25.503,15.534,30.366,35.806,243.7,,,,,
rider,Aron,CANET,Inde,Aspar,Team,Mot,SPA,4th,44,Total,laps=17,laps=14
lap,1,2'13.424,29.517,15.761,31.642,32.677,238.9,,,,,
lap,2,1'43.433,25.677,15.315,30.724,31.717,242.6,,,,,
lap,3,1'50.108,28.688,15.451,33.761,32.208,240.0,,,,,
lap,4,1'43.155,25.588,15.259,30.466,31.842,244.8,,,,,
lap,5,1'47.287,29.776,15.366,30.523,31.622,243.7,,,,,
lap,6,1'43.127,25.584,15.276,30.633,31.634,242.1,,,,,
lap,7,1'42.928,25.654,15.298,30.457,31.519,241.6,,,,,
lap,8,1'42.842,25.557,15.279,30.467,31.539,242.6,,,,,
lap,9,1'44.316,P,27.106,15.731,31.413,30.066,235.8,,,,
lap,10,1'48.583,31.051,15.380,30.587,31.565,241.6,,,,,
lap,11,1'42.620,25.603,15.246,30.390,31.381,243.2,,,,,
lap,12,1'42.448,25.438,15.213,30.379,31.418,243.2,,,,,
lap,13,1'42.451,25.372,15.219,30.439,31.421,242.6,,,,,
lap,14,1'51.502,26.577,16.732,36.470,31.723,216.0,,,,,
lap,15,1'44.421,25.418,15.312,31.831,31.860,243.7,,,,,
lap,16,1'42.828,25.493,15.310,30.456,31.569,244.8,,,,,
lap,17,1'45.598,25.789,15.971,31.776,32.062,210.9,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,5th,22,Total,laps=18,laps=11
lap,1,2'51.613,30.193,16.184,31.755,32.304,241.6,,,,,
lap,2,1'43.951,26.177,15.443,30.815,31.516,242.6,,,,,
lap,3,1'43.585,26.031*,15.477,30.582,31.495,242.1,,,,,
lap,4,1'43.228,25.559,15.311,30.428,31.930,242.6,,,,,
lap,5,1'42.585,P,25.577,15.387,32.490,29.131,241.6,,,,
lap,6,1'49.900,30.863,15.808,31.035,32.194,236.3,,,,,
lap,7,1'43.201,25.819,15.435,30.336,31.611,240.0,,,,,
lap,8,1'43.194,25.629,15.428,30.466,31.671,242.1,,,,,
lap,9,1'42.955,25.591,15.403,30.231,31.730,241.6,,,,,
lap,10,1'42.553,25.482,15.343,30.088,31.640,242.6,,,,,
lap,11,1'49.089,30.002*,15.777,31.389,31.921,241.0,,,,,
lap,12,1'43.072,25.582,15.421,30.391,31.678,241.0,,,,,
lap,13,1'43.150,25.747,15.336,30.361,31.706,241.0,,,,,
lap,14,1'44.545,P,28.046,15.814,31.529,29.156,238.4,,,,
lap,15,1'49.826,30.620,15.819,31.289,32.098,238.9,,,,,
lap,16,1'42.755,25.671,15.486,30.179,31.419,240.5,,,,,
lap,17,1'42.454,25.452,15.365,30.292,31.345,242.6,,,,,
lap,18,1'42.935,25.417,15.372,30.524,31.622,243.2,,,,,
rider,6th,9,Jorge,NAVARRO,HDR,Heidrun,Speed,SPA,Total,laps=12,laps=7,
lap,1,2'12.479,30.445,16.028,31.549,32.146,242.6,,,,,
lap,2,1'43.571,25.768,15.547,30.602,31.654,240.0,,,,,
lap,3,1'54.340,32.777,16.591,33.085,31.887,198.5,,,,,
lap,4,1'42.988,25.582,15.367,30.476,31.563,242.1,,,,,
lap,5,1'42.532,25.460,15.403,30.265,31.404,242.6,,,,,
lap,6,1'45.105,P,25.439,15.379,35.935,28.352,241.0,,,,
lap,7,1'50.244,30.699,15.993,31.277,32.275,237.8,,,,,
lap,8,1'51.593,25.573,15.379,30.950,39.691,241.6,,,,,
lap,9,13'30.551,P,28.141,,,,,,,,
lap,10,1'52.109,30.453,15.780,33.488,32.388,239.4,,,,,
lap,11,1'51.118,25.647,15.343,30.484,39.644,244.3,,,,,
lap,12,1'43.557,25.612,15.456,30.620,31.869,244.3,,,,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,7th,23,Total,laps=16,laps=11
lap,1,2'33.228,29.791,15.860,31.388,31.882,239.4,,,,,
lap,2,1'43.150,25.782,15.442,30.363,31.563,242.6,,,,,
lap,3,1'42.671,25.559,15.353,30.284,31.475,243.2,,,,,
lap,4,1'42.649,25.461*,15.348,30.334,31.506,243.7,,,,,
lap,5,1'42.729,25.567,15.501,30.226,31.435,241.0,,,,,
lap,6,1'42.535,25.316,15.405,30.290,31.524,241.0,,,,,
lap,7,1'52.099,31.755,16.766,31.947,31.631,221.3,,,,,
lap,8,1'42.544,25.445,15.453,30.192,31.454,242.1,,,,,
lap,9,1'44.226,26.873,15.496,30.297,31.560,241.0,,,,,
lap,10,1'38.385,P,25.499,15.350,30.283,27.253,241.6,,,,
lap,11,1'50.270,30.625,15.791,31.938,31.916,239.4,,,,,
lap,12,1'43.059,25.523,15.487,30.361,31.688,240.5,,,,,
lap,13,1'43.113,25.557,15.426,30.389,31.741,241.0,,,,,
lap,14,1'42.786,25.473,15.434,30.384,31.495,242.6,,,,,
lap,15,1'49.684,25.534,16.855,32.660,34.635,179.7,,,,,
lap,16,1'43.265,25.584,15.420,30.375,31.886*,242.1,,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,8th,33,Total,laps=16,laps=10,
lap,1,2'25.791,29.824,15.840,32.081,33.559,241.6,,,,,
lap,2,1'43.814,25.813,15.481,30.892,31.628,245.4,,,,,
lap,3,1'48.741,30.848,15.413,30.687,31.793,244.3,,,,,
lap,4,1'43.200,25.571,15.289,30.711,31.629*,244.8,,,,,
lap,5,1'48.179,28.569*,16.209,30.912,32.489,239.4,,,,,
lap,6,1'43.113,25.535,15.378,30.444,31.756,244.3,,,,,
lap,7,1'47.882,27.931,15.499,32.464,31.988,242.6,,,,,
lap,8,1'38.705,P,25.665,15.468,30.654,26.918,242.6,,,,
lap,9,1'48.042,29.772,15.738,30.839,31.693,240.0,,,,,
lap,10,1'42.945,25.670,15.377,30.429,31.469,244.8,,,,,
lap,11,1'42.591,25.520,15.354,30.288,31.429*,242.6,,,,,
lap,12,1'42.582,25.549,15.282,30.354,31.397,243.7,,,,,
lap,13,1'47.253,28.794,15.407,30.819,32.233,244.3,,,,,
lap,14,1'59.928,31.232,16.709,34.892,37.095,208.0,,,,,
lap,15,1'43.140,25.775,15.374,30.520,31.471,243.7,,,,,
lap,16,1'44.617,25.600,15.359,31.205,32.453,247.7,,,,,
rider,Lorenzo,BALDA,Flexbox,HP,40,ITA,9th,7,Total,laps=18,laps=14,
lap,1,2'18.776,31.038,15.779,31.814,32.447,240.0,,,,,
lap,2,1'42.670,25.460,15.284,30.291,31.635,244.3,,,,,
lap,3,1'43.868,25.613,15.547,30.994,31.714,240.5,,,,,
lap,4,1'43.282,25.436,15.340,30.669,31.837,242.6,,,,,
lap,5,1'47.845,28.947,15.926,31.383,31.589*,238.4,,,,,
lap,6,1'41.143,P,25.571,15.423,32.027,28.122,240.0,,,,
lap,7,2'19.297,47.039,16.414,34.268,41.576,238.4,,,,,
lap,8,1'45.341,26.453,15.681,31.153,32.054,239.4,,,,,
lap,9,1'44.253,25.933,15.578,30.787,31.955,240.0,,,,,
lap,10,1'44.180,25.883,15.553,30.734,32.010,240.5,,,,,
lap,11,1'44.156,25.820,15.493,30.882,31.961,241.6,,,,,
lap,12,1'44.264,25.829,15.679,30.745,32.011,241.0,,,,,
lap,13,1'44.247,25.880,15.623,30.800,31.944,241.0,,,,,
lap,14,1'43.908,25.747,15.574,30.644,31.943,241.0,,,,,
lap,15,1'43.973,25.883,15.533,30.679,31.878,242.1,,,,,
lap,16,1'44.046,25.811,15.531,30.751,31.953,240.5,,,,,
lap,17,1'43.954,25.800,15.561,30.719,31.874,242.1,,,,,
lap,18,1'43.796,25.698,15.574,30.603,31.921,242.6,,,,,
rider,10th,55,Hafizh,SYAHRIN,Inde,Aspar,Team,Mot,MAL,Total,laps=14,laps=10
lap,1,2'27.628,30.341,15.794,33.074,33.584,242.1,,,,,
lap,2,1'44.371,26.276,15.476,30.824,31.795,242.6,,,,,
lap,3,1'43.105,25.681,15.333,30.376,31.715,243.2,,,,,
lap,4,1'47.939,27.603,16.874,31.753,31.709,223.1,,,,,
lap,5,1'43.010,25.560,15.407,30.443,31.600,243.7,,,,,
lap,6,1'42.856,25.447,15.412,30.414,31.583,242.1,,,,,
lap,7,1'54.047,29.134,16.827,35.453,32.633,181.2,,,,,
lap,8,1'39.470,P,25.626,15.509,30.313,28.022,241.0,,,,
lap,9,1'54.468,33.374,16.305,32.580,32.209,235.8,,,,,
lap,10,1'46.982,28.253,15.973,31.063,31.693,223.6,,,,,
lap,11,1'43.110,25.700,15.441,30.408,31.561,243.7,,,,,
lap,12,1'42.721,25.502,15.356,30.257,31.606,243.7,,,,,
lap,13,1'49.067,29.516,16.162,31.654,31.735,229.2,,,,,
lap,PIT,25.653,15.419,32.694,29.053,243.2,,,,,,
rider,11th,12,Thomas,LUTHI,Liqui,Moly,Intact,GP,SWI,Total,laps=13,laps=8
lap,1,2'36.501,31.050,16.061,31.539,32.252,238.9,,,,,
lap,2,1'44.199,26.114,15.493,30.731,31.861,242.6,,,,,
lap,3,1'43.276,25.647,15.353,30.506,31.770,241.6,,,,,
lap,4,1'43.064,25.595,15.412,30.455,31.602,240.5,,,,,
lap,5,1'43.286,25.605,15.427,30.596,31.658,243.2,,,,,
lap,6,1'44.335,25.451,15.289,31.411,32.184,243.7,,,,,
lap,7,1'42.813,25.481,15.432,30.396,31.504,241.6,,,,,
lap,8,1'42.748,25.599,15.354,30.340,31.455,242.6,,,,,
lap,9,1'43.794,P,28.060,15.853,30.625,29.256,241.6,,,,
lap,10,1'58.084,37.952,16.033,31.296,32.803,238.9,,,,,
lap,11,1'39.132,P,25.769,15.590,30.513,27.260,239.4,,,,
lap,12,1'48.651,30.636,15.774,30.600,31.641,238.9,,,,,
lap,13,1'42.774,25.655,15.318,30.377,31.424,242.6,,,,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,12th,88,Total,laps=15,laps=10
lap,1,2'13.974,29.491,15.600,30.950,32.071,244.3,,,,,
lap,2,1'43.476,25.996,15.278,30.500,31.702,246.5,,,,,
lap,3,1'47.005,26.873,17.734,30.530,31.868,245.4,,,,,
lap,4,1'40.636,P,25.522,15.265,30.615,29.234,247.1,,,,
lap,5,1'50.109,31.306,15.768,31.126,31.909,240.0,,,,,
lap,6,1'42.959,25.531,15.383,30.429,31.616,243.2,,,,,
lap,7,1'45.666,27.434,15.510,30.671,32.051,244.3,,,,,
lap,8,1'43.118,25.564,15.353,30.449,31.752,245.4,,,,,
lap,9,1'47.920,P,28.849,16.381,33.128,29.562,212.5,,,,
lap,10,2'08.798,38.801,15.712,36.023,38.262,242.1,,,,,
lap,11,1'48.276,25.633,15.438,32.594,34.611,244.3,,,,,
lap,12,1'43.018,25.531,15.305,30.447,31.735,245.4,,,,,
lap,13,1'42.817,25.483,15.315,30.343,31.676,246.0,,,,,
lap,14,1'48.327,29.905,15.483,31.058,31.881,246.0,,,,,
lap,15,1'44.035,25.616,15.299,30.422,32.698,246.0,,,,,
rider,Augusto,FERNAND,EG,"0,0",Marc,VDS,SPA,13th,37,Total,laps=18,laps=15
lap,1,2'49.778,31.434,16.076,35.603,32.525,213.8,,,,,
lap,2,1'43.522,25.777,15.404,30.585,31.756,243.7,,,,,
lap,3,1'42.948,25.557,15.413,30.319,31.659,243.7,,,,,
lap,4,1'43.005,25.508,15.402,30.432,31.663,243.2,,,,,
lap,5,1'42.935,25.617,15.405,30.340,31.573,243.7,,,,,
lap,6,1'45.352,26.787,15.563,30.561,32.441,240.5,,,,,
lap,7,1'37.845,P,25.632,15.466,30.364,26.383,242.1,,,,
lap,8,1'48.058,29.333,15.706,31.051,31.968,237.3,,,,,
lap,9,1'43.649,25.909,15.508,30.435,31.797,240.0,,,,,
lap,10,1'43.298,25.702,15.438,30.422,31.736,242.1,,,,,
lap,11,1'43.352,25.637,15.440,30.489,31.786,243.2,,,,,
lap,12,1'43.655,25.824,15.429,30.511,31.891,243.2,,,,,
lap,13,1'43.315,25.657,15.526,30.382,31.750,241.6,,,,,
lap,14,1'43.632,25.839,15.489,30.467,31.837,241.6,,,,,
lap,15,1'43.533,25.759,15.535,30.462,31.777,242.6,,,,,
lap,16,1'43.430,25.650,15.411,30.630,31.739,245.4,,,,,
lap,17,1'43.401,25.677,15.432,30.430,31.862,242.1,,,,,
lap,18,1'45.117,25.722,15.520,30.708,33.167,243.2,,,,,
rider,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,14th,97,Total,laps=16,laps=11,
lap,1,2'17.361,31.370,15.774,31.220,31.907,242.1,,,,,
lap,2,1'43.381,25.735,15.307,30.617,31.722,246.0,,,,,
lap,3,1'43.194,25.541,15.329,30.603,31.721,246.0,,,,,
lap,4,1'43.030,25.494,15.383,30.534,31.619,244.8,,,,,
lap,5,1'51.925,30.966*,17.583,31.487,31.889,220.4,,,,,
lap,6,1'43.398,25.578,15.475,30.620,31.725,243.7,,,,,
lap,7,1'53.854,31.721,17.357,32.991,31.785,148.1,,,,,
lap,8,1'43.704,25.608,15.595,30.590,31.911,242.6,,,,,
lap,9,1'44.943,25.778,15.389,30.846,32.930,243.7,,,,,
lap,10,1'43.105,25.641,15.395,30.504,31.565,243.2,,,,,
lap,11,1'41.525,P,25.682,15.464,30.684,29.695,244.3,,,,
lap,12,1'51.122,32.377,15.858,30.946,31.941,241.0,,,,,
lap,13,1'51.202,29.510,15.580,30.972,35.140,240.5,,,,,
lap,14,1'43.498,25.639,15.504,30.563,31.792,244.3,,,,,
lap,15,1'43.517,25.736,15.491,30.594,31.696,243.7,,,,,
lap,PIT,34.931,16.745,33.455,28.431,228.3,,,,,,
rider,15th,87,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,Total,laps=14,laps=9
lap,1,2'25.372,30.228,15.920,32.041,33.314,240.5,,,,,
lap,2,1'44.081,26.093,15.558,30.759,31.671,242.1,,,,,
lap,3,1'43.689,25.703,15.492,30.726,31.768,241.6,,,,,
lap,4,1'43.463,25.658,15.430,30.604,31.771,242.1,,,,,
lap,5,1'43.356,25.692,15.481,30.641,31.542,242.6,,,,,
lap,6,1'43.440,25.593,15.464,30.663,31.720,241.6,,,,,
lap,7,1'51.238,P,30.312,17.495,33.162,30.269,185.2,,,,
lap,8,1'56.231,33.350,17.604,32.678,32.599,178.2,,,,,
lap,9,1'43.665,25.689,15.467,30.627,31.882,240.0,,,,,
lap,10,1'43.174,25.697,15.434,30.488,31.555,241.6,,,,,
lap,11,1'40.225,P,25.609,15.500,30.618,28.498,241.6,,,,
lap,12,2'11.505,31.783,17.104,43.564,39.054,182.1,,,,,
lap,13,1'43.487,25.767,15.411,30.630,31.679,242.1,,,,,
lap,14,1'44.363,25.661,15.612,30.669,32.421,243.2,,,,,
rider,16th,24,Simone,CORSI,MV,Agusta,Forward,R,ITA,Total,laps=18,laps=15
lap,1,2'26.738,30.258,15.857,31.916,33.120,241.0,,,,,
lap,2,1'44.406,26.132,15.489,30.878,31.907,242.1,,,,,
lap,3,1'43.706,25.693,15.464,30.643,31.906,241.6,,,,,
lap,4,1'47.571,25.781,15.449,32.462,33.879,242.6,,,,,
lap,5,1'43.729,25.705,15.569,30.595,31.860,241.6,,,,,
lap,6,1'44.839,25.687,15.425,31.337,32.390,243.2,,,,,
lap,7,1'43.555,25.692,15.596,30.557,31.710,239.4,,,,,
lap,8,1'45.064,26.328,15.754,30.906,32.076,237.3,,,,,
lap,9,1'43.449,25.677,15.536,30.565,31.671,238.9,,,,,
lap,10,1'44.113,25.883,15.583,30.731,31.916,238.4,,,,,
lap,11,1'43.477,25.644,15.570,30.566,31.697,240.5,,,,,
lap,12,1'43.022,P,27.026,15.888,31.609,28.499,235.2,,,,
lap,13,1'49.852,29.932,15.919,31.918,32.083,236.3,,,,,
lap,14,1'45.137,25.891,15.910,30.827,32.509,230.2,,,,,
lap,15,1'43.188,25.652,15.397,30.523,31.616,242.1,,,,,
lap,16,1'43.813,25.563,15.563,30.511,32.176,241.6,,,,,
