0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,July 19,Moto2,Circuito de Jerez,RACE,,,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,1st,10,Total,laps=23,laps=22
lap,1,1'49.000,31.849,15.291,30.517,31.343,245.4,,,,,
lap,2,1'42.378,25.572,15.193,30.364,31.249,246.5,,,,,
lap,3,1'42.385,25.367,15.249,30.366,31.403,245.4,,,,,
lap,4,1'42.336,25.483,15.295,30.264,31.294,246.0,,,,,
lap,5,1'42.209,25.334,15.372,30.314,31.189,242.1,,,,,
lap,6,1'42.172,25.370,15.343,30.256,31.203,243.2,,,,,
lap,7,1'42.341,25.334,15.362,30.378,31.267,243.7,,,,,
lap,8,1'42.211,25.260,15.341,30.309,31.301,244.3,,,,,
lap,9,1'42.297,25.333,15.362,30.337,31.265,243.7,,,,,
lap,10,1'42.304,25.361,15.397,30.310,31.236,243.2,,,,,
lap,11,1'42.401,25.350,15.354,30.417,31.280,243.2,,,,,
lap,12,1'42.201,25.292,15.304,30.412,31.193,243.7,,,,,
lap,13,1'42.378,25.362,15.339,30.350,31.327,243.2,,,,,
lap,14,1'42.261,25.333,15.323,30.360,31.245,243.7,,,,,
lap,15,1'42.444,25.394,15.281,30.421,31.348,243.7,,,,,
lap,16,1'42.358,25.342,15.329,30.406,31.281,243.7,,,,,
lap,17,1'42.548,25.348,15.412,30.418,31.370,243.2,,,,,
lap,18,1'42.733,25.400,15.418,30.559,31.356,244.3,,,,,
lap,19,1'42.346,25.293,15.313,30.418,31.322,246.0,,,,,
lap,20,1'42.525,25.353,15.355,30.424,31.393,245.4,,,,,
lap,21,1'42.756,25.395,15.380,30.536,31.445,246.0,,,,,
lap,22,1'43.166,25.545,15.504,30.596,31.521,244.3,,,,,
lap,23,1'43.547,25.668,15.436,30.780,31.663,245.4,,,,,
rider,Tetsuta,NAGASHIM,Red,Bull,KTM,Ajo,JPN,2nd,45,Total,laps=23,laps=21
lap,1,1'49.584,32.463,15.194,30.738,31.189,247.1,,,,,
lap,2,1'42.202,25.388,15.221,30.244,31.349,244.3,,,,,
lap,3,1'42.335,25.434,15.268,30.187,31.446,244.8,,,,,
lap,4,1'42.285,25.396,15.242,30.291,31.356,243.7,,,,,
lap,5,1'42.359,25.403,15.388,30.253,31.315,242.6,,,,,
lap,6,1'42.223,25.430*,15.300,30.171,31.322,243.7,,,,,
lap,7,1'42.076,25.344,15.298,30.209,31.225,244.8,,,,,
lap,8,1'42.911,25.992,15.347,30.225,31.347,244.3,,,,,
lap,9,1'42.349,25.508,15.302,30.212,31.327,243.7,,,,,
lap,10,1'42.719,25.387,15.334,30.631,31.367,244.3,,,,,
lap,11,1'41.995,25.278,15.320,30.203,31.194,243.2,,,,,
lap,12,1'42.915,25.724,15.343,30.438,31.410,243.2,,,,,
lap,13,1'42.269,25.331,15.328,30.231,31.379,244.3,,,,,
lap,14,1'42.018,25.296,15.267,30.149,31.306,244.8,,,,,
lap,15,1'42.312,25.388,15.339,30.222,31.363,244.3,,,,,
lap,16,1'42.390,25.397,15.320,30.355,31.318,242.1,,,,,
lap,17,1'42.744,25.382,15.382,30.635,31.345,244.3,,,,,
lap,18,1'42.294,25.345,15.288,30.328,31.333,245.4,,,,,
lap,19,1'42.625,25.531,15.311,30.343,31.440,243.2,,,,,
lap,20,1'42.643,25.509,15.364,30.283,31.487,246.5,,,,,
lap,21,1'42.881,25.560,15.355,30.435,31.531,247.1,,,,,
lap,22,1'43.215,25.620,15.393,30.619,31.583,245.4,,,,,
lap,23,1'43.224,25.615,15.317,30.498,31.794,244.8,,,,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,3rd,88,Total,laps=23,laps=21
lap,1,1'48.800,31.379,15.265,30.477,31.679,242.6,,,,,
lap,2,1'42.390,25.305,15.205,30.326,31.554,243.7,,,,,
lap,3,1'42.528,25.371,15.252,30.374,31.531,244.8,,,,,
lap,4,1'42.757,25.420,15.298,30.453,31.586,244.8,,,,,
lap,5,1'42.556,25.476,15.342,30.303,31.435,247.7,,,,,
lap,6,1'42.553,25.295,15.333,30.376,31.549,245.4,,,,,
lap,7,1'42.737,25.423,15.275,30.515,31.524,247.7,,,,,
lap,8,1'42.490,25.439,15.266,30.287,31.498,246.5,,,,,
lap,9,1'42.531,25.453,15.338,30.371,31.369,246.0,,,,,
lap,10,1'42.606,25.373,15.367,30.359,31.507,246.0,,,,,
lap,11,1'42.594,25.446,15.299,30.380,31.469,246.0,,,,,
lap,12,1'42.811,25.529,15.311,30.463,31.508,244.8,,,,,
lap,13,1'42.611,25.413,15.333,30.416,31.449,244.3,,,,,
lap,14,1'42.913,25.470,15.276,30.592,31.575,245.4,,,,,
lap,15,1'42.526,25.424,15.223,30.371,31.508,246.0,,,,,
lap,16,1'43.037,25.395*,15.404,30.563,31.675,245.4,,,,,
lap,17,1'42.838,25.565,15.346,30.461,31.466,246.0,,,,,
lap,18,1'42.833,25.460,15.341,30.480,31.552,247.1,,,,,
lap,19,1'42.742,25.438,15.283,30.455,31.566,246.0,,,,,
lap,20,1'42.924,25.545,15.213,30.629,31.537,247.7,,,,,
lap,21,1'42.823,25.546,15.301,30.464,31.512,247.7,,,,,
lap,22,1'42.566,25.438,15.326,30.365,31.437,246.5,,,,,
lap,23,1'42.969,25.527,15.271,30.480,31.691,247.1,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,4th,22,Total,laps=23,laps=22
lap,1,1'49.582,32.104,15.244,30.572,31.662,244.8,,,,,
lap,2,1'42.744,25.645,15.241,30.466,31.392,247.1,,,,,
lap,3,1'43.359,25.845,15.377,30.579,31.558,243.7,,,,,
lap,4,1'42.476,25.477,15.228,30.257,31.514,245.4,,,,,
lap,5,1'42.639,25.473,15.253,30.347,31.566,246.0,,,,,
lap,6,1'42.739,25.408,15.379,30.471,31.481,246.0,,,,,
lap,7,1'42.742,25.507,15.371,30.374,31.490,244.8,,,,,
lap,8,1'42.604,25.424,15.249,30.417,31.514,245.4,,,,,
lap,9,1'42.356,25.432,15.295,30.247,31.382,243.7,,,,,
lap,10,1'42.481,25.420,15.299,30.303,31.459,244.8,,,,,
lap,11,1'42.847,25.453,15.379,30.442,31.573,243.7,,,,,
lap,12,1'42.816,25.424,15.554,30.390,31.448,241.6,,,,,
lap,13,1'42.609,25.482,15.340,30.308,31.479,242.6,,,,,
lap,14,1'42.466,25.342,15.253,30.245,31.626,244.3,,,,,
lap,15,1'42.476,25.315,15.254,30.303,31.604,244.3,,,,,
lap,16,1'42.560,25.456,15.273,30.332,31.499,243.7,,,,,
lap,17,1'42.838,25.545,15.334,30.428,31.531,243.2,,,,,
lap,18,1'42.666,25.452,15.346,30.412,31.456,243.2,,,,,
lap,19,1'42.649,25.385,15.321,30.376,31.567,244.8,,,,,
lap,20,1'42.777,25.431,15.245,30.498,31.603,246.5,,,,,
lap,21,1'42.903,25.500,15.314,30.522,31.567,245.4,,,,,
lap,22,1'43.036,25.479,15.425,30.540,31.592,244.8,,,,,
lap,23,1'43.132,25.600,15.335,30.602,31.595,244.3,,,,,
rider,5th,44,Aron,CANET,Inde,Aspar,Team,Mot,SPA,Total,laps=23,laps=22
lap,1,1'48.958,31.700,15.191,30.490,31.577,243.7,,,,,
lap,2,1'42.582,25.396,15.189,30.363,31.634,243.2,,,,,
lap,3,1'42.613,25.463,15.196,30.330,31.624,242.6,,,,,
lap,4,1'42.546,25.626,15.198,30.281,31.441,244.8,,,,,
lap,5,1'43.080,25.541,15.253,30.469,31.817,245.4,,,,,
lap,6,1'42.617,25.510,15.301,30.356,31.450,243.7,,,,,
lap,7,1'42.756,25.611,15.281,30.447,31.417,243.7,,,,,
lap,8,1'42.771,25.546,15.299,30.355,31.571,243.7,,,,,
lap,9,1'42.771,25.605,15.314,30.372,31.480,243.2,,,,,
lap,10,1'42.739,25.509,15.307,30.477,31.446,243.2,,,,,
lap,11,1'43.307,25.544,15.314,30.820,31.629,242.1,,,,,
lap,12,1'43.156,25.570,15.310,30.791,31.485,238.4,,,,,
lap,13,1'42.719,25.578,15.303,30.463,31.375,243.7,,,,,
lap,14,1'42.636,25.496,15.232,30.403,31.505,243.2,,,,,
lap,15,1'42.869,25.519,15.273,30.528,31.549,242.1,,,,,
lap,16,1'43.245,25.579,15.353,30.684,31.629,243.2,,,,,
lap,17,1'43.189,25.718,15.331,30.603,31.537,242.1,,,,,
lap,18,1'43.223,25.620,15.308,30.630,31.665,243.2,,,,,
lap,19,1'42.852,25.579,15.280,30.455,31.538,242.6,,,,,
lap,20,1'43.005,25.647,15.282,30.504,31.572,244.3,,,,,
lap,21,1'43.479,25.766,15.332,30.748,31.633,243.2,,,,,
lap,22,1'43.406,25.665,15.394,30.708,31.639,243.2,,,,,
lap,23,1'43.572,25.703,15.324,30.746,31.799,243.2,,,,,
rider,6th,55,Hafizh,SYAHRIN,Inde,Aspar,Team,Mot,MAL,Total,laps=23,laps=21
lap,1,1'50.866,33.177,15.236,30.870,31.583,246.5,,,,,
lap,2,1'43.491,25.771,15.196,31.061,31.463,247.7,,,,,
lap,3,1'43.475,25.567,15.215,30.745,31.948,244.8,,,,,
lap,4,1'43.292,25.733,15.293,30.529,31.737,246.5,,,,,
