0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,July 19,Moto2,Circuito de Jerez,WUP,,,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,1st,22,Total,laps=11,laps=10
lap,1,2'51.670,29.814,15.922,31.628,32.300,239.4,,,,,
lap,2,1'43.499,25.698,15.428,30.599,31.774,243.2,,,,,
lap,3,1'42.368,25.481,15.325,30.212,31.350,244.3,,,,,
lap,4,1'41.882,25.269,15.238,30.171,31.204,245.4,,,,,
lap,5,1'42.808,25.664,15.258,30.423,31.463,244.3,,,,,
lap,6,1'42.215,25.217,15.233,30.472,31.293,245.4,,,,,
lap,7,1'41.993,25.347,15.241,30.121,31.284,245.4,,,,,
lap,8,1'45.967,28.103,15.389,30.857,31.618,243.2,,,,,
lap,9,1'41.754,25.270,15.269,30.074,31.141,244.8,,,,,
lap,10,1'41.561,25.171,15.164,30.026,31.200,245.4,,,,,
lap,11,1'45.629,26.710,15.842,31.140,31.937,240.5,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,2nd,10,Total,laps=12,laps=11
lap,1,2'46.104,31.319,16.049,32.305,32.339,242.6,,,,,
lap,2,1'43.698,25.892,15.484,30.742,31.580,244.3,,,,,
lap,3,1'42.475,25.404,15.306,30.415,31.350,245.4,,,,,
lap,4,1'42.490,25.499,15.329,30.286,31.376,245.4,,,,,
lap,5,1'42.007,25.315,15.278,30.289,31.125,245.4,,,,,
lap,6,1'41.824,25.254,15.281,30.162,31.127,245.4,,,,,
lap,7,1'42.151,25.366,15.295,30.337,31.153,247.1,,,,,
lap,8,1'43.463,25.867,15.523,30.397,31.676,248.2,,,,,
lap,9,1'42.144,25.221,15.215,30.461,31.247,247.1,,,,,
lap,10,1'41.978,25.307,15.266,30.252,31.153,245.4,,,,,
lap,11,1'41.888,25.278,15.247,30.240,31.123,245.4,,,,,
lap,12,1'41.632,25.193,15.203,30.184,31.052,247.1,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,3rd,72,Total,laps=12,laps=9
lap,1,2'32.269,30.694,15.738,32.253,32.035,243.2,,,,,
lap,2,1'42.964,25.743,15.268,30.491,31.462,246.0,,,,,
lap,3,1'43.808,25.519,15.187,31.222,31.880,252.9,,,,,
lap,4,1'42.151,25.500,15.152,30.190,31.309,247.7,,,,,
lap,5,1'41.893,25.386,15.110,30.297,31.100,248.2,,,,,
lap,6,1'41.975,25.294,15.126,30.289,31.266,252.3,,,,,
lap,7,1'41.656,25.338,15.042,30.097,31.179,250.0,,,,,
lap,8,1'52.769,25.957*,16.895,38.286,31.631,241.0,,,,,
lap,9,1'41.871,25.297,15.207,30.275,31.092,246.5,,,,,
lap,10,1'50.297,29.019,17.781,31.696,31.801,161.9,,,,,
