0,1,2,3,4,5,6,7,8,9,10
const,2020,July 26,Moto2,Circuito de Jerez,RACE,,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,1st,33,,
lap,1,1'48.456,31.448,15.238,30.523,31.247,245.4,,,
lap,2,1'42.077,25.351,15.264,30.315,31.147,243.7,,,
lap,3,1'42.213,25.324,15.254,30.189,31.446,244.3,,,
lap,4,1'42.150,25.318,15.258,30.212,31.362,243.7,,,
lap,5,1'42.221,25.303,15.328,30.320,31.270,244.3,,,
lap,6,1'42.258,25.312,15.275,30.273,31.398,244.8,,,
lap,7,1'42.492,25.343,15.323,30.402,31.424,244.3,,,
lap,8,1'42.315,25.332,15.284,30.400,31.299,244.8,,,
lap,9,1'42.288,25.311,15.277,30.294,31.406,244.3,,,
lap,10,1'42.344,25.355,15.329,30.338,31.322,244.8,,,
lap,11,1'42.685,25.308,15.319,30.644,31.414,244.8,,,
lap,12,1'42.572,25.380,15.379,30.433,31.380,245.4,,,
lap,13,1'42.436,25.387,15.365,30.369,31.315,245.4,,,
lap,14,1'42.373,25.385,15.294,30.336,31.358,244.3,,,
lap,15,1'42.492,25.384,15.320,30.475,31.313,244.8,,,
lap,16,1'42.500,25.371,15.375,30.375,31.379,246.0,,,
lap,17,1'42.362,25.313,15.334,30.378,31.337,245.4,,,
lap,18,1'42.459,25.337,15.294,30.390,31.438*,246.0,,,
lap,19,1'42.654,25.527,15.297,30.407,31.423,244.8,,,
lap,20,1'42.639,25.429,15.337,30.483,31.390,246.0,,,
lap,21,1'42.871,25.591,15.298,30.555,31.427,246.5,,,
lap,22,1'42.958,25.572,15.359,30.551,31.476,246.5,,,
lap,23,1'44.107,25.641,15.407,30.783,32.276,246.0,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,2nd,10,
lap,1,1'48.905,31.588,15.270,30.637,31.410,247.1,,,
lap,2,1'42.173,25.356,15.294,30.227,31.296,246.0,,,
lap,3,1'42.209,25.317,15.270,30.311,31.311,246.0,,,
lap,4,1'42.297,25.356,15.321,30.315,31.305,246.0,,,
lap,5,1'42.275,25.323,15.334,30.236,31.382,246.5,,,
lap,6,1'42.249,25.378,15.293,30.188,31.390,245.4,,,
lap,7,1'42.244,25.305,15.324,30.293,31.322,244.8,,,
lap,8,1'42.199,25.309,15.284,30.269,31.337,245.4,,,
lap,9,1'42.300,25.293,15.324,30.319,31.364,244.8,,,
lap,10,1'42.260,25.339,15.293,30.243,31.385,244.8,,,
lap,11,1'42.691,25.269,15.360,30.435,31.627,244.3,,,
lap,12,1'42.509,25.396,15.355,30.311,31.447,243.7,,,
lap,13,1'42.428,25.377,15.346,30.359,31.346,244.3,,,
lap,14,1'42.636,25.354,15.400,30.408,31.474,243.2,,,
lap,15,1'42.767,25.493,15.342,30.498,31.434,245.4,,,
lap,16,1'42.741,25.432,15.381,30.405,31.523,244.8,,,
lap,17,1'42.658,25.368,15.345,30.444,31.501,245.4,,,
lap,18,1'42.903,25.504,15.330,30.485,31.584,245.4,,,
lap,19,1'42.667,25.453,15.321,30.416,31.477,246.0,,,
lap,20,1'43.134,25.546,15.415,30.542,31.631,244.8,,,
lap,21,1'43.090,25.553,15.366,30.576,31.595,246.5,,,
lap,22,1'43.245,25.661,15.348,30.647,31.589,247.1,,,
lap,23,1'43.495,25.532,15.401,30.663,31.899,245.4,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,3rd,72,
lap,1,1'49.026,31.366,15.263,30.952,31.445,246.0,,,
lap,2,1'42.147,25.416,15.215,30.269,31.247,247.7,,,
lap,3,1'42.284,25.413,15.168,30.332,31.371,248.2,,,
lap,4,1'42.276,25.380,15.184,30.456,31.256,249.4,,,
lap,5,1'42.317,25.488,15.191,30.335,31.303,247.7,,,
lap,6,1'42.233,25.493,15.172,30.280,31.288,247.1,,,
lap,7,1'42.716,25.463,15.232,30.431,31.590,247.7,,,
lap,8,1'42.496,25.431,15.215,30.453,31.397,246.5,,,
lap,9,1'42.602,25.523,15.183,30.426,31.470,246.5,,,
lap,10,1'42.499,25.553,15.267,30.361,31.318,244.3,,,
lap,11,1'42.496,25.524,15.239,30.351,31.382,246.5,,,
lap,12,1'42.645,25.561,15.226,30.421,31.437,246.0,,,
lap,13,1'42.560,25.449,15.283,30.369,31.459,246.0,,,
lap,14,1'42.681,25.598,15.242,30.470,31.371,246.0,,,
lap,15,1'42.791,25.483,15.222,30.575,31.511,247.1,,,
lap,16,1'42.653,25.527,15.218,30.543,31.365,247.1,,,
lap,17,1'42.847,25.523,15.280,30.599,31.445,246.0,,,
lap,18,1'42.717,25.619,15.280,30.492,31.326,247.1,,,
lap,19,1'42.825,25.642,15.199,30.504,31.480,247.1,,,
lap,20,1'43.120,25.680,15.302,30.580,31.558,246.0,,,
lap,21,1'43.055,25.648,15.269,30.681,31.457,247.1,,,
lap,22,1'43.128,25.653,15.366,30.634,31.475,247.1,,,
lap,23,1'43.051,25.728,15.316,30.565,31.442,247.1,,,
