0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,August 07,Moto2,Automotodrom Brno,FP1,,,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,1st,22,Total,laps=15,laps=11
lap,1,3'27.124,46.313,40.082,36.531,21.552,,,,,,
lap,2,2'05.959,32.378,37.786,34.709,21.086,259.6,,,,,
lap,3,2'04.909,32.286,37.265,34.288,21.070,255.9,,,,,
lap,4,2'09.934,32.401,40.639,34.745,22.149,257.1,,,,,
lap,5,2'04.999,32.206,37.323,34.384,21.086,258.9,,,,,
lap,6,2'04.684,32.140,37.107,34.413,21.024,260.2,,,,,
lap,7,2'12.189,36.197,38.018,36.534,21.440,258.3,,,,,
lap,8,2'04.397,32.031,37.006,34.293,21.067,258.9,,,,,
lap,9,2'04.352,32.051,36.971,34.316,21.014,258.3,,,,,
lap,10,2'04.138,31.896,36.993,34.255,20.994,257.7,,,,,
lap,11,2'19.909,P,31.959,38.992,36.355,32.603,258.3,,,,
lap,12,9'20.321,40.120,37.402,34.105,21.068,,,,,,
lap,13,2'02.738,31.543,36.601,33.817,20.777,257.1,,,,,
lap,14,2'02.480,31.509,36.424,33.764,20.783,258.9,,,,,
lap,15,2'02.800,31.603,36.545,33.935,20.717,260.2,,,,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,2nd,16,Total,laps=15,laps=10,,
lap,1,2'25.998,37.328,39.477,35.537,21.737,,,,,,
lap,2,2'05.903,32.698,37.564,34.480,21.161,262.1,,,,,
lap,3,2'04.854,32.277,37.143,34.338,21.096,262.1,,,,,
lap,4,2'04.794,31.907,37.317,34.402,21.168,262.7,,,,,
lap,5,2'04.296,31.821,37.119,34.222,21.134,262.1,,,,,
lap,6,2'06.017,31.961,37.962,34.769,21.325,262.1,,,,,
lap,7,2'14.755,P,32.140,37.360,34.790,30.465,262.1,,,,
lap,8,8'36.603,37.716,37.890,34.090,20.987,,,,,,
lap,9,2'03.394,31.683,36.901,33.829,20.981,260.2,,,,,
lap,10,2'02.816,31.663,36.562,33.756,20.835,260.8,,,,,
lap,11,2'03.190,31.547,36.781,33.980,20.882,261.5,,,,,
lap,12,2'03.036,31.543,36.704,33.915,20.874,262.1,,,,,
