0,1,2,3,4,5,6,7,8,9
const,2020,August 07,Moto2,Automotodrom Brno,FP2,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,1st,33,
lap,1,2'40.528,33.947,37.635,34.330,21.207,,,
lap,2,2'03.805,31.888,36.971,34.066,20.880,264.7,,
lap,3,2'04.091,31.948,36.978,34.192,20.973,263.4,,
lap,4,2'04.025,31.800,37.066,34.183,20.976,262.7,,
lap,5,2'08.982,31.851,41.623*,34.443,21.065,263.4,,
lap,6,2'04.327,31.940,36.991,34.377,21.019,262.7,,
lap,7,2'17.149,P,32.101,38.646,35.119,31.283,260.8,
lap,8,14'21.485,35.113,37.161,33.993,20.857,,,
lap,9,2'05.793,31.524,37.868,35.361,21.040,262.7,,
lap,10,2'02.689,31.612,36.445,33.788,20.844,263.4,,
lap,11,2'06.079,31.640,36.679,35.951,21.809,262.7,,
lap,12,2'03.183,31.732,36.638,33.985,20.828,262.7,,
lap,13,2'04.647,31.474,37.255,34.737,21.181,264.7,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,2nd,22
lap,1,2'42.819,32.824,37.801,34.439,21.066,,,
lap,2,2'03.593,31.774,36.770,34.138,20.911,261.5,,
lap,3,2'03.422,31.831,36.738,34.013,20.840,260.2,,
lap,4,2'17.789,P,34.186,38.197,35.163,30.243,261.5,
lap,5,8'33.270,35.318,37.537,34.480,21.129,,,
lap,6,2'04.159,32.161,36.903,34.224,20.871,255.3,,
lap,7,2'03.800,31.973,36.781,34.178,20.868,258.9,,
lap,8,2'03.535,31.806,36.775,34.036,20.918,259.6,,
lap,9,2'03.599,31.824,36.768,34.110,20.897,258.9,,
lap,10,2'16.606,P,31.801,38.423,35.519,30.863,257.7,
lap,11,6'43.031,37.445,37.442,34.248,20.933,,,
lap,12,2'02.722,31.597,36.384,33.882,20.859,258.3,,
lap,13,2'02.742,31.507,36.506,33.990,20.739,260.2,,
lap,14,2'05.441,32.251,37.573,34.705,20.912,260.2,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,3rd,10
lap,1,2'29.305,35.774,38.915,34.380,20.934,,,
lap,2,2'03.073,31.630,36.862,33.828,20.753,264.7,,
lap,3,2'02.799,31.451,36.611,33.913,20.824,264.0,,
lap,4,2'04.052,31.590,37.232,34.162,21.068,262.7,,
lap,5,2'03.282,31.624,36.772,34.035,20.851,260.2,,
lap,6,2'03.560,31.523,37.100,34.041,20.896,258.9,,
lap,7,2'03.466,31.671,36.888,34.041,20.866,259.6,,
lap,8,2'11.718,P,31.636,36.878,34.138,29.066,260.2,
lap,9,6'43.823,35.148,37.911,34.462,21.141,,,
lap,10,2'04.303,32.098,37.095,34.111,20.999,257.7,,
lap,11,2'03.986,31.786,36.957,34.289,20.954,259.6,,
lap,12,2'04.179,31.876,37.059,34.241,21.003,262.1,,
lap,13,2'03.623,31.854,36.830,34.069,20.870,258.9,,
lap,14,2'03.498,31.681,36.873,34.080,20.864,262.1,,
lap,15,2'03.416,31.717,36.808,34.051,20.840,261.5,,
lap,16,2'03.510,31.703,36.963,33.999,20.845,262.7,,
lap,17,2'03.403,31.697,36.847,34.057,20.802,262.7,,
rider,Jorge,NAVARRO,MB,Conveyors,Speed,SPA,4th,9,
lap,1,2'40.016,33.729,37.892,34.726,21.664,,,
lap,2,2'04.247,31.953,37.124,34.219,20.951,261.5,,
lap,3,2'04.558,32.213,37.018,34.244,21.083,260.2,,
lap,4,2'17.062,P,31.931,37.309,37.777,30.045,263.4,
lap,5,13'51.927,33.519,37.866,34.860,21.335,,,
lap,6,2'05.084,32.233,37.399,34.496,20.956,257.7,,
lap,7,2'04.793,32.043,37.312,34.347,21.091,258.9,,
lap,8,2'04.462,31.923,37.147,34.380,21.012,258.9,,
lap,9,2'11.329,P,31.855,37.186,34.460,27.828,260.2,
lap,10,5'25.655,32.991,37.543,34.458,21.029,,,
lap,11,2'03.741,31.841,36.884,34.235,20.781,255.9,,
lap,12,2'02.823,31.677,36.556,33.907,20.683,262.1,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,5th,16,,
lap,1,2'10.192,33.292,37.715,34.571,21.192,,,
lap,2,2'04.470,32.028,37.071,34.272,21.099,260.2,,
lap,3,2'05.556,33.066,37.182,34.268,21.040,258.9,,
lap,4,2'04.518,32.030,37.013,34.240,21.235,258.9,,
lap,5,2'04.270,31.899,37.007,34.244,21.120,258.9,,
lap,6,2'12.528,P,31.872,37.123,34.326,29.207,258.3,
lap,7,11'39.351,32.794,37.337,34.459,20.989,,,
lap,8,2'03.969,31.880,36.908,34.233,20.948,259.6,,
lap,9,2'10.950,P,31.850,36.938,34.653,27.509,260.2,
lap,10,5'00.851,33.054,37.104,34.398,20.892,,,
lap,11,2'02.825,31.681,36.446,33.822,20.876,258.3,,
lap,12,2'03.647,31.533,36.628,34.358,21.128,259.6,,
lap,13,2'03.686,31.719,36.763,34.185,21.019,260.2,,
lap,14,2'03.888,31.724,37.076,34.093,20.995,262.1,,
rider,Fabio,DI,GIANNANT,MB,Conveyors,Speed,ITA,6th,21
lap,1,2'35.444,34.102,37.965,35.133,21.349,,,
lap,2,2'04.796,32.070,37.103,34.409,21.214,257.7,,
lap,3,2'04.600,32.091,37.123,34.334,21.052,258.9,,
lap,4,2'04.233,31.946,36.942,34.292,21.053,259.6,,
lap,5,2'13.175,32.958,44.138,34.725,21.354,257.7,,
lap,6,2'15.264,P,32.154,38.108,36.204,28.798,258.3,
lap,7,15'39.128,33.722,37.335,34.536,21.026,,,
lap,8,2'02.930,31.610,36.462,33.974,20.884,257.7,,
lap,9,2'03.362,31.632,36.934,33.944,20.852,258.3,,
lap,10,2'03.546,31.683,36.589,34.010,21.264*,257.7,,
lap,11,2'03.761,32.038,36.679,34.163,20.881,256.5,,
lap,12,2'03.894,31.786,36.852,34.344,20.912,258.3,,
