0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,August 08,Moto2,Automotodrom Brno,Q2,,,,,,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,1st,16,Total,laps=7,laps=4,,
lap,1,2'14.269,35.442,37.504,35.171,21.305,,,,,,
lap,2,2'02.115,31.480,36.224,33.679,20.732,260.8,,,,,
lap,3,2'01.692,31.258,36.095,33.621,20.718,260.2,,,,,
lap,4,2'02.256,31.349,36.355,33.772,20.780,260.8,,,,,
lap,5,2'02.854,31.500,36.544,33.964,20.846,260.2,,,,,
lap,6,2'09.881,P,31.679,36.588,34.058,27.556,258.9,,,,
lap,7,3'19.106,32.054,37.135,34.420,21.321,,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,2nd,22,Total,laps=7,laps=4
lap,1,2'16.798,32.834,37.952,34.967,21.128,,,,,,
lap,2,2'17.027,P,31.851,41.347,34.577,29.252,260.2,,,,
lap,3,3'34.023,32.253,36.539,34.039,20.784,,,,,,
lap,4,2'01.822,31.400,36.209,33.591,20.622,260.2,,,,,
lap,5,2'04.694,32.570,37.260,33.956,20.908,257.7,,,,,
lap,6,2'02.360,31.554,36.300,33.815,20.691,258.9,,,,,
lap,7,2'07.077,33.045,37.258,34.783,21.991,258.9,,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,3rd,33,Total,laps=7,laps=6,
lap,1,2'54.858,33.977,37.168,33.857,21.128,,,,,,
lap,2,2'01.881,31.301,36.222,33.663,20.695,262.7,,,,,
lap,3,2'02.271,31.404,36.378,33.772,20.717,263.4,,,,,
lap,4,2'09.345,33.536,40.707,34.137,20.965,263.4,,,,,
lap,5,2'20.340,31.700,39.484,36.995,32.161,260.2,,,,,
lap,6,2'03.540,31.773,36.801,34.021,20.945,259.6,,,,,
lap,7,2'04.683,32.742,36.904,34.091,20.946,259.6,,,,,
rider,Hafizh,SYAHRIN,Openbank,Aspar,Tea,MAL,4th,55,Total,laps=8,laps=7,
lap,1,2'17.882,36.317,37.700,36.158,21.790,,,,,,
lap,2,2'02.145,31.439,36.350,33.685,20.671,261.5,,,,,
lap,3,2'07.699,34.168,38.586,34.067,20.878,260.2,,,,,
lap,4,2'02.818,31.493,36.519,33.844,20.962,258.9,,,,,
lap,5,2'12.823,35.404,37.096,37.775,22.548,256.5,,,,,
lap,6,2'03.345,31.786,36.646,33.956,20.957,254.7,,,,,
lap,7,2'03.319,31.860,36.549,33.975,20.935,254.7,,,,,
lap,8,2'06.644,33.187,37.119,34.807,21.531,253.5,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,5th,72,Total,laps=7,laps=6
lap,1,2'50.970,34.274,37.291,39.142,32.419,,,,,,
lap,2,2'02.178,31.477,36.289,33.674,20.738,262.1,,,,,
lap,3,2'02.187,31.362,36.349,33.841,20.635,260.8,,,,,
lap,4,2'15.530,36.685,43.081,34.505,21.259,262.1,,,,,
lap,5,2'13.907,31.543,39.836,35.507,27.021,262.1,,,,,
lap,6,2'03.114,31.483,36.571,34.084,20.976,262.7,,,,,
lap,7,2'03.008,31.577,36.664,33.907,20.860,260.2,,,,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,6th,88,Total,laps=7,laps=6
lap,1,2'53.439,37.261,37.361,39.442,33.933,,,,,,
lap,2,2'02.508,31.572,36.482,33.705,20.749,260.2,,,,,
lap,3,2'02.289,31.431,36.369,33.845,20.644,260.8,,,,,
lap,4,2'07.173,31.501,36.560,33.879,25.233,261.5,,,,,
lap,5,2'15.607,31.906,47.433,35.323,20.945,258.9,,,,,
lap,6,2'04.156,31.755,36.808,34.616,20.977,258.9,,,,,
