0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,August 09,Moto2,Automotodrom Brno,RACE,,,,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,1st,33,Total,laps=19,laps=18,
lap,1,2'08.114,36.829,36.673,33.798,20.814,197.4,,,,,
lap,2,2'02.763,31.528,36.628,33.723,20.884,260.8,,,,,
lap,3,2'02.799,31.566,36.524,33.917,20.792,261.5,,,,,
lap,4,2'02.993,31.673,36.631,33.906,20.783,262.1,,,,,
lap,5,2'03.325,31.736,36.717,33.992,20.880,262.1,,,,,
lap,6,2'03.329,31.703,36.736,34.030,20.860,260.2,,,,,
lap,7,2'03.370,31.741,36.742,33.983,20.904,258.9,,,,,
lap,8,2'03.528,31.770,36.832,34.064,20.862,260.8,,,,,
lap,9,2'03.745,31.914,36.808,34.152,20.871,259.6,,,,,
lap,10,2'03.560,31.800,36.853,34.050,20.857,259.6,,,,,
lap,11,2'03.819,31.769,36.896,34.144,21.010,258.9,,,,,
lap,12,2'03.820,31.780,36.871,34.236,20.933,262.7,,,,,
lap,13,2'03.805,31.819,36.924,34.195,20.867,262.1,,,,,
lap,14,2'04.155,31.834,36.978,34.187,21.156,262.1,,,,,
lap,15,2'04.087,31.863,36.958,34.308,20.958,262.1,,,,,
lap,16,2'04.163,31.879,36.908,34.219,21.157,261.5,,,,,
lap,17,2'04.037,31.783,37.025,34.214,21.015,261.5,,,,,
lap,18,2'04.218,31.858,37.116,34.292,20.952,262.7,,,,,
lap,19,2'04.296,31.951,37.096,34.353,20.896,261.5,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,2nd,22,Total,laps=19,laps=18
lap,1,2'08.950,37.239,36.858,34.108,20.745,194.2,,,,,
lap,2,2'02.814,31.684,36.645,33.721,20.764,262.7,,,,,
lap,3,2'02.808,31.602,36.447,33.949,20.810,260.8,,,,,
lap,4,2'02.996,31.702,36.547,34.034,20.713,260.8,,,,,
lap,5,2'03.134,31.716,36.487,34.082,20.849,260.8,,,,,
lap,6,2'03.171,31.756,36.517,34.039,20.859,259.6,,,,,
lap,7,2'03.374,31.767,36.663,34.092,20.852,258.3,,,,,
lap,8,2'03.534,31.774,36.780,34.155,20.825,259.6,,,,,
lap,9,2'03.835,31.966,36.733,34.237,20.899,258.9,,,,,
lap,10,2'03.518,31.739,36.767,34.189,20.823,258.3,,,,,
lap,11,2'03.754,31.776,36.822,34.174,20.982,258.3,,,,,
lap,12,2'03.995,31.856,36.853,34.270,21.016,258.9,,,,,
lap,13,2'03.868,31.951,36.807,34.176,20.934,260.8,,,,,
lap,14,2'04.037,31.904,36.919,34.262,20.952,260.8,,,,,
lap,15,2'04.349,31.917,37.012,34.511,20.909,261.5,,,,,
lap,16,2'04.131,31.934,36.917,34.320,20.960,260.8,,,,,
lap,17,2'04.165,31.997,36.969,34.277,20.922,260.2,,,,,
lap,18,2'04.002,31.920,36.884,34.330,20.868,261.5,,,,,
lap,19,2'03.914,31.976,36.791,34.288,20.859,260.8,,,,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,3rd,16,Total,laps=19,laps=18,,
lap,1,2'08.900,36.969,37.073,34.040,20.818,194.5,,,,,
lap,2,2'03.112,31.816,36.712,33.783,20.801,262.7,,,,,
lap,3,2'02.849,31.550,36.542,33.979,20.778,262.7,,,,,
lap,4,2'03.136,31.543,36.772,33.980,20.841,264.0,,,,,
lap,5,2'03.375,31.768,36.728,34.053,20.826,263.4,,,,,
lap,6,2'03.590,31.771,36.784,34.143,20.892,261.5,,,,,
lap,7,2'03.439,31.746,36.740,34.077,20.876,258.9,,,,,
lap,8,2'03.367,31.699,36.760,34.143,20.765,260.2,,,,,
lap,9,2'03.748,31.759,36.812,34.224,20.953,260.8,,,,,
lap,10,2'03.833,31.764,36.894,34.207,20.968,260.8,,,,,
lap,11,2'03.914,31.745,36.990,34.238,20.941,259.6,,,,,
lap,12,2'04.339,31.829,37.136,34.308,21.066,262.7,,,,,
lap,13,2'04.326,31.867,37.038,34.370,21.051,262.1,,,,,
lap,14,2'04.280,31.803,37.067,34.396,21.014,261.5,,,,,
lap,15,2'04.377,31.939,37.076,34.361,21.001,260.8,,,,,
lap,16,2'04.521,31.996,37.191,34.364,20.970,260.8,,,,,
lap,17,2'04.687,32.038,37.121,34.469,21.059,260.8,,,,,
lap,18,2'04.706,32.000,37.171,34.476,21.059,261.5,,,,,
lap,19,2'05.375,32.063,37.285,34.501,21.526,260.8,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,4th,10,Total,laps=19,laps=18
lap,1,2'09.705,37.590,37.208,33.925,20.982,203.0,,,,,
lap,2,2'03.386,31.715,36.979,33.863,20.829,264.0,,,,,
lap,3,2'03.584,31.707,37.021,34.045,20.811,264.0,,,,,
lap,4,2'03.340,31.691,36.734,34.063,20.852,264.7,,,,,
lap,5,2'03.426,31.809,36.781,34.027,20.809,263.4,,,,,
lap,6,2'03.441,31.689,36.826,34.095,20.831,262.7,,,,,
lap,7,2'03.607,31.751,36.928,34.114,20.814,263.4,,,,,
