0,1,2,3,4,5,6,7,8,9
const,2020,August 09,Moto2,Automotodrom Brno,WUP,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,1st,22
lap,1,3'07.114,36.379,39.260,34.862,20.958,,,
lap,2,2'03.422,31.788,36.671,34.068,20.895,258.3,,
lap,3,2'03.606,31.910,36.680,34.060,20.956,255.9,,
lap,4,2'03.290,31.675,36.761,34.031,20.823,258.9,,
lap,5,2'02.921,31.588,36.551,33.971,20.811,258.9,,
lap,6,2'03.067,31.631,36.700,33.915,20.821,259.6,,
lap,7,2'02.970,31.647,36.647,33.858,20.818,258.9,,
lap,8,2'03.251,31.590,36.807,34.005,20.849,255.9,,
lap,9,2'07.285,32.971,38.176,35.248,20.890,258.9,,
lap,10,2'03.156,31.728,36.631,33.961,20.836,260.2,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,2nd,72
lap,1,2'26.103,33.649,39.764,38.953,21.268,,,
lap,2,2'03.625,31.655,37.015,34.153,20.802,260.8,,
lap,3,2'02.944,31.606,36.655,33.914,20.769,262.1,,
lap,4,2'11.719,31.726,36.734,39.966,23.293,261.5,,
lap,5,2'03.101,31.582,36.847,33.937,20.735,267.3,,
lap,6,2'10.058,31.709,37.218,40.111,21.020,265.3,,
lap,7,2'03.511,31.616,36.976,34.022,20.897,263.4,,
lap,8,2'12.030,P,31.943,37.067,34.211,28.809,260.8,
lap,9,4'34.760,42.348,38.174,35.518,21.497,,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,3rd,87
lap,1,2'32.051,43.443,42.831,34.644,21.111,,,
lap,2,2'02.952,31.820,36.455,33.808,20.869,258.9,,
lap,3,2'02.602,31.598,36.380,33.788,20.836,255.9,,
lap,4,2'10.624,32.846,42.432,34.424,20.922,255.9,,
lap,5,2'03.125,31.629,36.514,34.022,20.960,257.7,,
lap,6,2'03.015,31.578,36.750,33.876,20.811,258.3,,
lap,7,2'03.522,31.867,36.720,34.036,20.899,258.3,,
lap,8,2'10.062,31.878,38.041,35.936,24.207,255.3,,
lap,9,2'03.565,31.917,36.859,33.947,20.842,253.5,,
lap,10,2'03.489,31.737,36.645,33.981,21.126,256.5,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,4th,10
lap,1,2'09.593,32.343,37.977,34.720,21.052,,,
lap,2,2'03.615,31.809,36.933,34.045,20.828,258.9,,
lap,3,2'03.273,31.868,36.673,33.899,20.833,259.6,,
lap,4,2'03.265,31.657,36.860,33.985,20.763,259.6,,
lap,5,2'03.363,31.628,36.805,34.009,20.921,260.2,,
lap,6,2'03.094,31.678,36.724,33.918,20.774,259.6,,
lap,7,2'02.991,31.677,36.655,33.906,20.753,259.6,,
lap,8,2'03.155,31.604,36.683,33.999,20.869,259.6,,
lap,9,2'03.214,31.705,36.661,33.982,20.866,259.6,,
lap,10,2'03.131,31.568,36.753,33.993,20.817,258.9,,
rider,Nicolo,BULEGA,Federal,Oil,Gresini,M,ITA,5th,11
lap,1,2'13.280,32.822,37.584,34.440,21.154,,,
lap,2,2'03.681,31.793,36.761,34.076,21.051,256.5,,
lap,3,2'03.161,31.566,36.669,34.082,20.844,258.9,,
lap,4,2'03.094,31.626,36.677,33.983,20.808,258.9,,
lap,5,2'03.072,31.594,36.596,34.016,20.866,259.6,,
lap,6,2'03.461,31.684*,36.757,34.079,20.941,258.3,,
lap,7,2'03.335,31.622,36.778,33.994,20.941,257.7,,
lap,8,2'03.536,31.702,36.794,34.104,20.936,257.7,,
lap,9,2'03.566,31.718,36.795,34.077,20.976,257.1,,
lap,10,2'03.736,31.772,36.775,34.132,21.057,257.7,,
rider,Jorge,NAVARRO,MB,Conveyors,Speed,SPA,6th,9,
lap,1,2'34.128,33.936,39.641,35.014,21.030,,,
lap,2,2'03.650,31.844,36.720,34.078,21.008,258.9,,
lap,3,2'03.116,31.708,36.470,34.058,20.880,260.2,,
lap,4,2'03.105,31.613,36.607,33.963,20.922*,260.2,,
lap,5,2'03.073,31.640,36.583,34.047,20.803,261.5,,
lap,6,2'13.699,34.559,41.913,35.858,21.369,258.9,,
lap,7,2'12.978,31.668,36.720,35.362,29.228*,258.9,,
lap,8,2'04.045,31.781,37.014,34.209,21.041,255.9,,
lap,9,2'03.496,31.741,36.800,34.086,20.869,259.6,,
lap,10,2'03.592,31.737,36.845,34.194,20.816,261.5,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,7th,23
lap,1,2'49.214,34.501,38.653,35.336,21.271,,,
lap,2,2'03.949,32.029,36.870,34.132,20.918,257.7,,
lap,3,2'03.553,32.057,36.715,33.949,20.832,257.7,,
lap,4,2'03.180,31.832,36.624,33.836,20.888,259.6,,
lap,5,2'03.330,31.603,36.636,33.963,21.128,259.6,,
lap,6,2'03.515,31.824,36.821,33.989,20.881,259.6,,
lap,7,2'03.649,31.679,36.894,34.177,20.899,263.4,,
lap,8,2'03.825,31.733,36.958,34.203,20.931,264.7,,
lap,9,2'03.716,31.778,36.885,34.165,20.888,261.5,,
lap,10,2'04.034,31.973,36.829,34.363,20.869,262.7,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,8th,33,
lap,1,2'57.320,33.582,37.698,34.567,22.021,,,
lap,2,2'07.473,31.831,36.854,36.417,22.371,260.8,,
lap,3,2'03.437,31.901,36.717,33.994,20.825,260.8,,
lap,4,2'03.181,31.546,36.682,34.058,20.895,262.1,,
lap,5,2'06.885,34.062,37.319,34.435,21.069,260.8,,
lap,6,2'05.677,31.756,36.675,33.891,23.355,260.8,,
lap,7,2'03.340,31.743,36.748,33.997,20.852,262.1,,
lap,8,2'03.443,31.692,36.805,34.036,20.910,262.1,,
lap,9,2'04.596,31.824,37.817,34.057,20.898,262.7,,
lap,10,2'03.413,31.632,36.885,34.032,20.864,262.7,,
rider,Fabio,DI,GIANNANT,MB,Conveyors,Speed,ITA,9th,21
lap,1,2'10.426,32.250,37.493,34.652,21.166,,,
lap,2,2'03.599,31.813,36.869,34.042,20.875,255.9,,
lap,3,2'03.046,31.763,36.565,33.916,20.802,257.1,,
lap,4,2'03.245,31.711,36.613,34.071,20.850,257.7,,
lap,5,2'03.222,31.651,36.713,33.985,20.873,256.5,,
rider,Tetsuta,NAGASHIM,Red,Bull,KTM,Ajo,JPN,10th,45
lap,1,2'32.721,35.052,38.205,34.623,21.108,,,
lap,2,2'03.825,31.723,37.071,34.115,20.916,260.8,,
lap,3,2'03.457,31.745,36.743,34.079,20.890,260.8,,
lap,4,2'03.625,31.819,36.784,34.137,20.885,259.6,,
lap,5,2'03.273,31.620,36.758,34.007,20.888,258.3,,
lap,6,2'08.473,31.968,37.138,37.246,22.121,258.9,,
lap,7,2'03.228,31.642,36.704,33.971,20.911,259.6,,
lap,8,2'04.521,31.684,36.705,35.139,20.993,259.6,,
lap,9,2'03.837,31.811,36.930,34.029,21.067,258.9,,
lap,10,2'03.381,31.692,36.659,34.136,20.894,258.9,,
rider,Thomas,LUTHI,Liqui,Moly,Intact,GP,SWI,11th,12
lap,1,2'37.555,33.685,38.048,34.951,21.346,,,
lap,2,2'03.839,32.058,36.865,33.974,20.942,259.6,,
lap,3,2'04.149,32.538,36.749,34.042,20.820,263.4,,
lap,4,2'03.272,31.657,36.724,34.018,20.873,261.5,,
lap,5,2'03.234,31.623,36.723,33.984,20.904,260.8,,
lap,6,2'03.787,31.691,36.931,34.121,21.044,260.8,,
lap,7,2'03.924,31.866,36.833,34.129,21.096,260.2,,
lap,8,2'03.553,31.805,36.834,33.999,20.915,259.6,,
lap,9,2'03.719,31.789,36.891,34.028,21.011,261.5,,
lap,10,2'03.406,31.928,36.708,33.920,20.850,261.5,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,12th,16,,
lap,1,2'59.693,33.154,37.597,34.485,21.116,,,
lap,2,2'03.526,31.767,36.700,34.089,20.970,259.6,,
lap,3,2'03.370,31.674,36.651,34.101,20.944,258.9,,
lap,4,2'06.187,31.723,36.804,36.601,21.059,259.6,,
lap,5,2'03.315,31.708,36.674,34.031,20.902,260.8,,
lap,6,2'03.632,31.695,36.723,34.203,21.011,259.6,,
lap,7,2'04.067,31.805,36.911,34.192,21.159,259.6,,
lap,8,2'04.107,31.840,36.933,34.234,21.100,259.6,,
lap,9,2'04.577,31.812,37.025,34.375,21.365,260.2,,
lap,10,2'04.362,31.890,37.021,34.307,21.144,258.9,,
rider,Hafizh,SYAHRIN,Openbank,Aspar,Tea,MAL,13th,55,
lap,1,2'39.586,35.446,38.098,34.553,20.980,,,
lap,2,2'03.741,32.012,36.862,33.939,20.928,257.1,,
lap,3,2'09.040,32.071,42.065,34.071,20.833,257.7,,
lap,4,2'03.439,31.724,36.771,34.007,20.937,258.3,,
lap,5,2'04.042,31.707,37.099,34.217,21.019,260.2,,
lap,6,2'07.954,35.362,37.612,34.086,20.894,236.3,,
lap,7,2'03.776,31.781,36.886,34.074,21.035,257.7,,
lap,8,2'03.958,31.910,36.990,34.135,20.923,257.1,,
lap,9,2'17.758,38.770*,42.842,34.357,21.789,260.8,,
lap,10,2'03.972,31.949,36.939,34.139,20.945,255.9,,
rider,Stefano,MANZI,MV,Agusta,Forward,R,ITA,14th,62
lap,1,2'36.703,35.268,38.281,34.886,21.141*,,,
lap,2,2'04.601,32.202,37.100,34.253,21.046,254.7,,
lap,3,2'04.178,32.238,36.902,34.126,20.912,257.1,,
lap,4,2'03.533,31.865,36.745,33.996,20.927,256.5,,
lap,5,2'03.446,31.708,36.778,33.944,21.016,260.8,,
lap,6,2'03.533,31.832,36.798,34.006,20.897,259.6,,
lap,7,2'03.876,31.841,36.909,34.080,21.046,259.6,,
lap,8,2'03.881,31.843,36.927,34.125,20.986,260.2,,
lap,9,2'03.945,31.882,36.980,34.123,20.960,257.1,,
lap,10,2'03.872,31.929,36.913,34.060,20.970,257.1,,
rider,Augusto,FERNAND,EG,"0,0",Marc,VDS,SPA,15th,37
lap,1,2'41.320,33.583,37.950,35.309,21.250,,,
lap,2,2'04.246,31.869,37.044,34.299,21.034,262.7,,
lap,3,2'04.516,32.023,36.847,34.360,21.286,262.1,,
lap,4,2'04.700,32.265,37.251,34.267,20.917,262.1,,
lap,5,2'03.457,31.727,36.716,34.124,20.890,262.1,,
lap,6,2'04.205,31.910,36.927,34.432,20.936,262.7,,
lap,7,2'03.455,31.725,36.715,34.071,20.944,263.4,,
lap,8,2'05.292,32.039,37.788,34.305,21.160,262.7,,
lap,9,2'03.929,31.693,36.843,34.273,21.120,263.4,,
lap,10,2'03.772,31.744,36.873,34.170,20.985,262.7,,
rider,Edgar,PONS,Federal,Oil,Gresini,M,SPA,16th,57
lap,1,2'13.579,33.413,37.823,34.556,21.531,,,
lap,2,2'03.996,31.988,36.952,33.999,21.057,257.7,,
lap,3,2'03.511,31.721,36.749,34.027,21.014,258.9,,
