0,1,2,3,4,5,6,7,8,9,10
const,2020,August 16,Moto2,Red Bull Ring,RACE,,,,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,1st,88,
lap,1,1'32.594,22.077,28.409,24.796,17.312,255.9,,,
lap,2,1'29.360,19.181,28.162,24.737,17.280,257.7,,,
lap,3,1'29.300,19.124,28.156,24.790,17.230,257.7,,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,2nd,23,
lap,1,1'33.230,22.405,28.658,24.771,17.396,258.3,,,
lap,2,1'29.391,19.191,28.277,24.581,17.342,258.3,,,
lap,3,1'29.481,19.126,28.358,24.628,17.369,258.9,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,3rd,10,
lap,1,1'33.957,22.572,28.902,24.844,17.639,255.9,,,
lap,2,1'29.259,19.090,28.203,24.710,17.256,259.6,,,
lap,3,1'29.294,19.066,28.196,24.849,17.183,259.6,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,4th,72,
lap,1,1'34.673,23.091,29.477,24.793,17.312,264.0,,,
lap,2,1'29.424,18.991,28.486,24.641,17.306,266.6,,,
lap,3,1'29.149,19.003,28.248,24.564,17.334,262.7,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,5th,33,,
lap,1,1'33.834,22.582,29.014,24.874,17.364,254.1,,,
lap,2,1'29.778,19.226,28.587,24.822,17.143,257.1,,,
lap,3,1'29.733,19.107,28.334,24.838,17.454,258.3,,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,6th,87,
lap,1,1'33.659,22.307,29.021,24.956,17.375,252.3,,,
lap,2,1'30.184,19.420,28.706,24.739,17.319,254.7,,,
lap,3,1'29.652,19.163,28.499,24.506,17.484,257.1,,,
rider,Aron,CANET,Inde,Aspar,Team,SPA,7th,44,,
lap,1,1'34.094,22.799,29.126,24.739,17.430,257.1,,,
lap,2,1'30.014,19.494,28.472,24.671,17.377,259.6,,,
lap,3,1'29.476,19.284,28.306,24.503,17.383,257.7,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,8th,22,
lap,1,1'34.146,22.858,29.354,24.543,17.391,260.2,,,
lap,2,1'30.102,19.475,28.765,24.579,17.283,260.2,,,
lap,3,1'29.469,19.285,28.338,24.430,17.416,260.2,,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,9th,16,,,
lap,1,1'34.897,23.573,29.127,24.765,17.432,258.3,,,
lap,2,1'29.901,19.211,28.580,24.676,17.434,262.1,,,
lap,3,1'29.295,19.236,28.218,24.523,17.318,260.8,,,
rider,Thomas,LUTHI,Liqui,Moly,Intact,GP,SWI,10th,12,
lap,1,1'35.123,23.003,29.838,24.769,17.513,259.6,,,
lap,2,1'29.808,19.186,28.408,24.837,17.377,260.8,,,
lap,3,1'29.566,19.248,28.285,24.725,17.308,260.2,,,
rider,Augusto,FERNAND,EG,"0,0",Marc,VDS,SPA,11th,37,
lap,1,1'35.231,23.615,29.368,24.780,17.468,257.1,,,
lap,2,1'29.914,19.315,28.428,24.743,17.428,260.8,,,
lap,3,1'29.629,19.231,28.414,24.673,17.311,260.8,,,
rider,Lorenzo,BALDA,Flexbox,HP,40,ITA,12th,7,,
lap,1,1'35.757,23.813,29.650,24.825,17.469,261.5,,,
lap,2,1'29.671,19.214,28.491,24.520,17.446,260.8,,,
lap,3,1'29.680,19.217,28.523,24.636,17.304,259.6,,,
rider,Jorge,NAVARRO,Beta,Tools,Speed,Up,SPA,13th,9,
lap,1,1'36.209,23.677,29.811,25.212,17.509,256.5,,,
lap,2,1'29.865,19.279,28.367,24.864,17.355,258.9,,,
lap,3,1'29.741,19.247,28.439,24.694,17.361,261.5,,,
rider,Somkiat,CHANTRA,IDEMITSU,Honda,Te,THA,14th,35,,
lap,1,1'35.492,23.960,29.393,24.871,17.268,256.5,,,
lap,2,1'30.011,19.317,28.321,24.818,17.555,259.6,,,
lap,3,1'30.429,19.705,28.337,24.876,17.511,257.1,,,
rider,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,15th,97,,
lap,1,1'36.412,23.982,29.647,25.340,17.443,260.8,,,
lap,2,1'30.483,19.295,28.969,24.887,17.332,261.5,,,
lap,3,1'29.561,19.133,28.414,24.660,17.354,260.8,,,
rider,Tetsuta,NAGASHIM,Red,Bull,KTM,Ajo,JPN,16th,45,
lap,1,1'36.632,23.952,29.687,25.387,17.606,255.3,,,
lap,2,1'30.562,19.112,29.185,24.800,17.465,263.4,,,
lap,3,1'29.800,19.152,28.617,24.755,17.276,260.2,,,
rider,Nicolò,BULEGA,Federal,Oil,Gresini,M,ITA,17th,11,
lap,1,1'36.766,23.722,30.136,25.257,17.651,259.6,,,
lap,2,1'30.793,19.215,28.995,24.854,17.729,262.7,,,
lap,3,1'30.109,19.214,28.773,24.648,17.474,260.8,,,
rider,Jake,DIXON,Petronas,Sprinta,Raci,GBR,18th,96,,
lap,1,1'36.181,23.472,30.003,25.167,17.539,254.7,,,
lap,2,1'31.238,19.495,29.167,24.868,17.708,259.6,,,
lap,3,1'30.390,19.345,28.604,24.772,17.669,257.1,,,
rider,Hafizh,SYAHRIN,Inde,Aspar,Team,MAL,19th,55,,
lap,1,1'37.340,24.238,30.102,25.213,17.787,258.3,,,
lap,2,1'30.688,19.397,28.950,24.804,17.537,259.6,,,
lap,3,1'29.942,19.313,28.569,24.661,17.399,257.7,,,
rider,Hector,GARZO,Flexbox,HP,40,SPA,20th,40,,
lap,1,1'36.997,24.160,29.879,25.333,17.625,260.8,,,
lap,2,1'31.258,19.442,29.329,24.776,17.711,258.9,,,
lap,3,1'30.144,19.464,28.657,24.689,17.334,259.6,,,
rider,Dominique,AEGER,NTS,RW,Racing,GP,SWI,21st,77,
lap,1,1'37.546,24.732,29.882,25.147,17.785,248.8,,,
lap,2,1'30.838,19.550,28.783,24.891,17.614,258.9,,,
lap,3,1'30.412,19.534,28.669,24.776,17.433,260.2,,,
rider,Stefano,MANZI,MV,Agusta,Forward,R,ITA,22nd,62,
lap,1,1'36.918,24.206,29.765,25.323,17.624,252.3,,,
lap,2,1'31.338,19.608,28.974,24.932,17.824,260.2,,,
lap,3,1'30.882,19.560,29.019,24.844,17.459,259.6,,,
rider,Edgar,PONS,Federal,Oil,Gresini,M,SPA,23rd,57,
lap,1,1'37.450,24.214,30.226,25.161,17.849,248.8,,,
lap,2,1'31.078,19.326,29.309,24.741,17.702,262.1,,,
lap,3,1'30.859,19.519,29.199,24.689,17.452,261.5,,,
rider,Simone,CORSI,MV,Agusta,Forward,R,ITA,24th,24,
lap,1,1'37.762,24.719,29.919,25.325,17.799,250.0,,,
lap,2,1'30.925,19.433,29.046,24.910,17.536,260.2,,,
lap,3,1'30.825,19.445,28.895,24.871,17.614,262.1,,,
rider,Fabio,DI,GIANNANT,Beta,Tools,Speed,Up,ITA,25th,21
lap,1,1'38.279,24.720,30.510,25.390,17.659,250.5,,,
lap,2,1'30.795,19.387,29.055,24.840,17.513,262.1,,,
lap,3,1'30.771,19.344,29.160,24.814,17.453,262.1,,,
rider,Andi,Farid,IZDIHAR,IDEMITSU,Honda,Te,INA,26th,27,
lap,1,1'37.957,24.491,30.161,25.568,17.737,258.9,,,
lap,2,1'30.924,19.362,29.056,24.995,17.511,262.1,,,
lap,3,1'31.139,19.406,29.523,24.744,17.466,264.0,,,
rider,Marcos,RAMIREZ,Tennor,American,RaciSPA,27th,42,,,
lap,1,1'38.489,24.844,30.548,25.460,17.637,254.1,,,
lap,2,1'30.648,19.359,29.170,24.730,17.389,263.4,,,
lap,3,1'31.096,19.422,29.333,24.769,17.572,264.0,,,
rider,Lorenzo,DALLA,PO,Italtrans,Racing,Team,ITA,28th,19,
lap,1,1'38.121,24.777,30.129,25.395,17.820,260.2,,,
lap,2,1'31.866,19.430,29.732,25.133,17.571,264.0,,,
lap,3,1'30.752,19.265,28.963,24.995,17.529,261.5,,,
rider,Bo,BENDSNEYDER,NTS,RW,Racing,GP,NED,29th,64,
lap,1,1'39.093,24.789,30.519,25.820,17.965,251.1,,,
lap,2,1'31.928,19.593,29.200,25.260,17.875,258.3,,,
lap,3,1'31.462,19.599,28.879,25.269,17.715,256.5,,,
rider,Kasma,DANIEL,Onexox,TKKR,SAG,T,MAL,30th,99,
lap,1,1'38.945,24.885,30.208,25.708,18.144,253.5,,,
lap,2,1'33.024,19.592,29.889,25.560,17.983,258.9,,,
lap,3,1'31.978,19.524,28.979,25.450,18.025,259.6,,,
