0,1,2,3,4,5,6,7,8,9,10
const,2020,August 16,Moto2,Red Bull Ring,RACE2,,,,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,1st,88,
lap,1,1'32.171,21.802,28.274,24.804,17.291,256.5,,,
lap,2,1'29.102,19.174,27.929,24.717,17.282,258.3,,,
lap,3,1'29.278,19.159,28.147,24.718,17.254,257.1,,,
lap,4,1'29.255,19.160,28.076,24.783,17.236,258.9,,,
lap,5,1'29.250,19.111,28.049,24.770,17.320,258.3,,,
lap,6,1'29.164,19.087,27.959,24.805,17.313,257.7,,,
lap,7,1'29.161,19.069,28.031,24.755,17.306,258.3,,,
lap,8,1'29.432,19.205,28.027,24.827,17.373,258.3,,,
lap,9,1'29.357,19.131,28.081,24.808,17.337,259.6,,,
lap,10,1'29.372,19.131,28.106,24.822,17.313,258.9,,,
lap,11,1'29.312,19.066,28.020,24.885,17.341,258.9,,,
lap,12,1'29.608,19.162,28.228,24.919,17.299,258.3,,,
lap,13,1'30.261,19.190,28.538,24.976*,17.557,257.7,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,2nd,10,
lap,1,1'32.310,21.858,28.454,24.781,17.217,260.8,,,
lap,2,1'29.223,19.069,28.197,24.723,17.234,261.5,,,
lap,3,1'29.302,19.035,28.203,24.806,17.258,260.8,,,
lap,4,1'29.250,19.032,28.151,24.780,17.287,259.6,,,
lap,5,1'29.283,19.092,28.098,24.837,17.256,260.2,,,
lap,6,1'29.384,19.095,28.058,24.905,17.326,259.6,,,
lap,7,1'29.549,19.273*,28.112,24.916,17.248,257.1,,,
lap,8,1'29.508,19.137,28.051,24.952,17.368,258.3,,,
lap,9,1'29.560,19.130,28.095,25.001,17.334,258.3,,,
lap,10,1'29.833,19.133,28.235,25.056,17.409,258.3,,,
lap,11,1'29.721,19.165,28.156,25.042,17.358,257.7,,,
lap,12,1'29.831,19.138,28.236,25.041,17.416,257.1,,,
lap,13,1'30.164,19.119,28.393,25.195,17.457,257.1,,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,3rd,23,
lap,1,1'32.631,21.969,28.591,24.626,17.445,262.1,,,
lap,2,1'30.234,19.353,28.934,24.565,17.382,260.8,,,
lap,3,1'29.344,19.196,28.224,24.548,17.376,258.9,,,
lap,4,1'29.494,19.148,28.401,24.566,17.379,259.6,,,
lap,5,1'29.617,19.229*,28.307,24.705,17.376,258.3,,,
lap,6,1'29.760,19.265,28.348,24.687,17.460,258.3,,,
lap,7,1'29.577,19.350,28.252,24.618,17.357,258.3,,,
lap,8,1'30.072,19.193,28.646,24.826,17.407,259.6,,,
lap,9,1'29.809,19.211,28.302,24.795,17.501,258.9,,,
lap,10,1'29.730,19.207,28.425,24.720,17.378,258.9,,,
lap,11,1'29.487,19.197,28.186,24.670,17.434,258.3,,,
lap,12,1'29.888,19.271*,28.475,24.736,17.406,258.3,,,
lap,13,1'29.862,19.298,28.313,24.762,17.489,257.7,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,4th,22,
lap,1,1'33.486,22.882,28.751,24.623,17.230,262.1,,,
lap,2,1'29.799,19.252,28.514,24.662,17.371,259.6,,,
lap,3,1'30.418,19.240,28.941,24.928,17.309,258.9,,,
lap,4,1'29.350,19.283,28.401,24.415,17.251,258.3,,,
lap,5,1'29.882,19.377,28.457,24.789,17.259,255.3,,,
lap,6,1'29.590,19.280,28.311,24.736,17.263,256.5,,,
lap,7,1'30.262,19.377,28.864,24.635,17.386,254.7,,,
lap,8,1'29.750,19.280,28.456,24.619,17.395,258.9,,,
lap,9,1'29.831,19.695,28.358,24.561,17.217,256.5,,,
lap,10,1'29.629,19.239,28.616,24.517,17.257,257.7,,,
lap,11,1'29.561,19.349*,28.287,24.557,17.368,255.9,,,
lap,12,1'30.198,19.318,28.860,24.723,17.297,257.1,,,
lap,13,1'30.216,19.304,28.882,24.579,17.451,257.1,,,
rider,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,5th,97,,
lap,1,1'34.287,23.000,29.136,24.722,17.429,262.1,,,
lap,2,1'29.623,19.157,28.488,24.604,17.374,263.4,,,
lap,3,1'30.300,19.379,28.743,24.786,17.392,263.4,,,
lap,4,1'29.490,19.090,28.385,24.669,17.346,266.0,,,
lap,5,1'29.771,19.293*,28.386,24.643,17.449,258.3,,,
lap,6,1'29.517,19.241,28.182,24.730,17.364,258.9,,,
lap,7,1'29.700,19.237,28.330,24.792,17.341,259.6,,,
lap,8,1'29.788,19.239,28.406,24.772,17.371,257.1,,,
lap,9,1'29.567,19.148,28.235,24.820,17.364,257.7,,,
lap,10,1'29.679,19.173,28.264,24.846,17.396,258.3,,,
lap,11,1'29.773,19.300,28.200,24.888,17.385,256.5,,,
lap,12,1'30.189,19.421,28.492,24.918,17.358,259.6,,,
lap,13,1'30.364,19.234,28.392,25.065,17.673,257.1,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,6th,72,
lap,1,1'32.663,22.327,28.448,24.556,17.332,260.8,,,
lap,2,1'30.786,19.148,29.303,24.935,17.400*,260.2,,,
lap,3,1'31.427,19.108,30.215,24.768,17.336,264.0,,,
lap,4,1'29.660,19.207,28.479,24.605,17.369,262.7,,,
lap,5,1'29.531,19.024,28.530,24.666,17.311,263.4,,,
lap,6,1'29.775,19.033,28.656,24.619,17.467,262.1,,,
lap,7,1'29.356,19.140,28.251,24.592,17.373,260.2,,,
lap,8,1'29.664,19.115,28.444,24.721,17.384,262.7,,,
lap,9,1'30.236,19.078,28.884,24.949,17.325,263.4,,,
lap,10,1'29.525,19.066,28.258,24.781,17.420,261.5,,,
lap,11,1'29.510,19.012,28.372,24.705,17.421,261.5,,,
lap,12,1'29.956,19.094,28.527,25.005,17.330,260.8,,,
lap,13,1'30.405,19.152,28.881,24.969,17.403,262.7,,,
rider,Thomas,LUTHI,Liqui,Moly,Intact,GP,SWI,7th,12,
lap,1,1'33.218,22.657,28.603,24.619,17.339,260.2,,,
lap,2,1'30.429,19.133,28.565,24.712,18.019*,259.6,,,
lap,3,1'30.439,19.536,28.770,24.784,17.349,262.7,,,
lap,4,1'30.163,19.159,28.945,24.601,17.458,261.5,,,
lap,5,1'29.597,19.212,28.365,24.568,17.452,259.6,,,
lap,6,1'30.262,19.273,28.623,24.811,17.555,260.8,,,
lap,7,1'30.010,19.422,28.366,24.865,17.357,258.3,,,
lap,8,1'29.796,19.182,28.377,24.801,17.436,258.9,,,
lap,9,1'30.018,19.253,28.458,24.891,17.416,257.7,,,
lap,10,1'29.735,19.161,28.211,24.905,17.458,258.9,,,
lap,11,1'29.915,19.127,28.498,24.841,17.449,262.7,,,
lap,12,1'30.373,19.140,28.913,24.895,17.425,261.5,,,
lap,13,1'30.173,19.255,28.706,24.870,17.342,258.3,,,
rider,Augusto,FERNAND,EG,"0,0",Marc,VDS,SPA,8th,37,
lap,1,1'34.515,23.079,29.272,24.777,17.387,255.9,,,
lap,2,1'29.679,19.337,28.362,24.642,17.338,260.2,,,
lap,3,1'30.240,19.172,28.953,24.727,17.388,263.4,,,
lap,4,1'29.714,19.157,28.500,24.661,17.396*,262.1,,,
lap,5,1'29.564,19.193,28.381,24.631,17.359,259.6,,,
lap,6,1'30.075,19.221,28.680,24.745,17.429,264.0,,,
lap,7,1'29.954,19.434,28.427,24.717,17.376,260.8,,,
