0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,August 21,Moto2,Red Bull Ring,FP1,,,,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,1st,22,Total,laps=20,laps=15,
lap,1,2'33.818,12.047,30.844,25.575,17.641,241.0,,,,,,
lap,2,1'30.721,19.694,28.695,24.898,17.434,254.1,,,,,,
lap,3,1'29.981,19.455,28.534,24.685,17.307,257.1,,,,,,
lap,4,1'29.861,19.413,28.226,24.740,17.482,257.1,,,,,,
lap,5,1'29.858,19.452,28.440,24.674,17.292,255.9,,,,,,
lap,6,1'29.500,19.282,28.245,24.648,17.325,257.1,,,,,,
lap,7,1'38.340,P,19.318,28.310,26.518,24.194,257.1,,,,,
lap,8,6'10.674,14.164,31.606,25.566,17.638,175.3,,,,,,
lap,9,1'29.747,19.508,28.244,24.778,17.217,254.7,,,,,,
lap,10,1'29.439,19.423,28.101,24.734,17.181,255.9,,,,,,
lap,11,1'30.861,19.306,29.307,24.924,17.324,255.9,,,,,,
lap,12,1'29.363,19.218,28.423,24.547,17.175,257.1,,,,,,
lap,13,1'28.733,19.166,27.983,24.465,17.119,257.1,,,,,,
lap,14,1'28.999,19.310,28.068,24.468,17.153,256.5,,,,,,
lap,15,1'29.101,19.225,28.113,24.520,17.243,256.5,,,,,,
lap,16,1'40.032,P,19.977,31.091,25.491,23.473,244.8,,,,,
lap,17,6'11.583,13.011,30.437,25.887,17.546,181.2,,,,,,
lap,18,1'29.557,19.455,28.228,24.593,17.281,255.9,,,,,,
lap,19,1'33.283,19.260,32.099,24.693,17.231,258.3,,,,,,
lap,20,1'29.149,19.276,28.119,24.577,17.177,257.7,,,,,,
rider,2nd,87,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,Total,laps=19,laps=12,
lap,1,2'05.492,11.353,30.824,25.955,17.956,250.0,,,,,,
lap,2,1'31.895,19.758,29.537,25.038,17.562,254.7,,,,,,
lap,3,1'30.386,19.712,28.586,24.734,17.354,255.3,,,,,,
lap,4,1'29.772,19.429,28.303,24.668,17.372,255.9,,,,,,
lap,5,1'29.725,19.349,28.372,24.656,17.348,255.9,,,,,,
lap,6,1'31.964,19.289,28.164,24.486,20.025*,256.5,,,,,,
lap,7,1'29.859,19.389,28.344,24.742*,17.384,255.9,,,,,,
lap,8,1'29.512,19.343,28.284,24.505,17.380,257.1,,,,,,
lap,9,1'30.064,19.323,28.414,24.813,17.514*,255.9,,,,,,
lap,10,1'43.751,P,20.923,31.953,26.862,24.013,242.6,,,,,
lap,11,12'42.738,12.655,29.515,25.367,17.504*,243.7,,,,,,
lap,12,1'30.318,19.375,29.010,24.688,17.245,254.1,,,,,,
lap,13,1'28.993,19.281,27.976,24.546,17.190,255.9,,,,,,
lap,14,1'28.749,19.157,27.938,24.467,17.187,256.5,,,,,,
lap,15,1'40.322,19.217,34.369,28.598,18.138,257.7,,,,,,
lap,16,1'28.994,19.157,27.985,24.584,17.268,261.5,,,,,,
lap,17,1'28.840,19.096,28.029,24.479,17.236,257.7,,,,,,
