0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,August 22,Moto2,Red Bull Ring,Q2,,,,,,,
rider,Aron,CANET,Openbank,Aspar,Tea,SPA,1st,44,Total,laps=8,laps=3,
lap,1,1'43.912,11.016,29.814,25.205,18.956,250.0,,,,,
lap,2,1'29.531,19.320,28.125,24.871,17.215,257.7,,,,,
lap,3,1'28.787,19.063,28.056,24.488,17.180,257.7,,,,,
lap,4,1'29.548,19.105,28.031,24.915,17.497,257.7,,,,,
lap,5,1'40.928,P,19.292,32.363,25.406,23.867,257.1,,,,
lap,6,4'11.341,11.414,29.115,25.095,17.394*,247.7,,,,,
lap,7,1'30.177,19.424,28.339,25.151,17.263*,254.7,,,,,
lap,8,1'29.420,19.272,28.149,24.668*,17.331*,256.5,,,,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,2nd,88,Total,laps=8,laps=5
lap,1,1'53.915,10.573,29.533,25.231,17.424,254.7,,,,,
lap,2,1'29.184,18.993,28.051,24.632,17.508,261.5,,,,,
lap,3,1'29.067,19.010,28.111,24.602,17.344,261.5,,,,,
lap,4,1'28.905,19.027,28.145,24.513,17.220,262.1,,,,,
lap,5,1'36.540,P,20.040,29.247,25.147*,22.106,257.7,,,,
lap,6,4'37.569,10.470,28.967,26.325*,18.313,254.1,,,,,
lap,7,1'32.468,19.206,29.069,26.271,17.922,259.6,,,,,
lap,8,1'28.972,18.987,28.023,24.563,17.399,262.1,,,,,
rider,Tetsuta,NAGASHIM,Red,Bull,KTM,Ajo,JPN,3rd,45,Total,laps=10,laps=6
lap,1,1'41.708,11.055,29.932,25.789,18.058,254.7,,,,,
lap,2,1'29.764,19.271,28.394,24.721,17.378*,258.3,,,,,
lap,3,1'29.175,19.032,28.268,24.601,17.274,260.2,,,,,
lap,4,1'29.157,19.088,28.192,24.614,17.263,260.8,,,,,
lap,5,1'31.827,19.073,30.701,24.771,17.282,259.6,,,,,
lap,6,1'30.326,19.119,28.512,25.307,17.388,257.7,,,,,
lap,7,1'30.003,19.155,28.249,24.867,17.732*,257.7,,,,,
lap,8,1'30.204,19.392,28.737,24.770*,17.305,258.3,,,,,
lap,9,1'29.305,19.166,28.191,24.670,17.278,259.6,,,,,
lap,10,1'29.253,19.049,28.223,24.743,17.238,260.2,,,,,
rider,Augusto,FERNAND,EG,"0,0",Marc,VDS,SPA,4th,37,Total,laps=9,laps=5
lap,1,1'40.720,10.636,29.627,25.133,19.518,252.9,,,,,
lap,2,1'29.672,19.260,28.335,24.669,17.408,259.6,,,,,
lap,3,1'29.226,19.224,28.121,24.576,17.305,259.6,,,,,
lap,4,1'29.231,19.164,28.127,24.621,17.319,257.7,,,,,
lap,5,1'36.583,P,20.597,29.156,24.900,21.930,231.2,,,,
lap,6,2'56.596,11.107,29.381,24.881,17.359,250.5,,,,,
lap,7,1'29.218,19.228,28.058,24.681,17.251,257.1,,,,,
lap,8,1'29.168,19.161,28.183,24.617,17.207,257.1,,,,,
lap,9,1'29.377,19.136,28.085,24.650,17.506*,258.9,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,5th,72,Total,laps=10,laps=8
lap,1,1'44.892,P,10.869,29.492,25.308,23.776,252.3,,,,
lap,2,2'36.963,10.621,29.008,25.011,18.004,255.3,,,,,
lap,3,1'29.432,19.173,28.359,24.628,17.272,260.8,,,,,
lap,4,1'29.177,19.092,28.133,24.692,17.260,261.5,,,,,
lap,5,1'29.341,19.076,28.298,24.644,17.323,258.3,,,,,
lap,6,1'29.307,19.093,28.254,24.663,17.297,258.3,,,,,
lap,7,1'29.185,19.099,28.099,24.701,17.286,258.3,,,,,
lap,8,1'31.277,19.132,28.610,25.817,17.718,259.6,,,,,
lap,9,1'29.568,19.105,28.418,24.711,17.334,260.2,,,,,
lap,10,1'29.283,19.110,28.233,24.693,17.247,260.2,,,,,
rider,6th,87,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,Total,laps=8,laps=5
lap,1,1'42.705,11.064,30.010,25.821,19.264*,252.3,,,,,
lap,2,1'29.641,19.359,28.313,24.628,17.341,257.1,,,,,
lap,3,1'29.454,19.295,28.263,24.562,17.334,259.6,,,,,
lap,4,1'29.190,19.210,28.200,24.529,17.251,257.7,,,,,
lap,5,4'40.008,3'23.456,31.400,27.421,17.731*,210.1,,,,,
lap,6,1'30.734,19.667,28.736,25.000,17.331,254.1,,,,,
lap,7,1'51.765,19.427,28.247,46.344,17.747*,256.5,,,,,
lap,8,1'30.063,19.373,28.438,24.749,17.503,258.3,,,,,
rider,7th,12,Thomas,LUTHI,Liqui,Moly,Intact,GP,SWI,Total,laps=10,laps=8
lap,1,1'55.635,10.708,29.418,25.265,17.503,251.7,,,,,
lap,2,1'29.986,19.351,28.324,24.910,17.401,256.5,,,,,
lap,3,1'29.640,19.308,28.180,24.781,17.371,257.1,,,,,
lap,4,1'29.482,19.214,28.179,24.764,17.325,258.3,,,,,
lap,5,1'31.889,19.607,28.985,25.153,18.144,251.7,,,,,
lap,6,1'38.525,19.260,28.616,28.712,21.937,256.5,,,,,
lap,7,1'29.241,19.136,28.014,24.848,17.243,257.7,,,,,
lap,8,1'29.506,19.092,28.289,24.737,17.388,259.6,,,,,
lap,9,1'29.512,19.123,28.088,24.964,17.337,257.7,,,,,
lap,10,1'29.498,19.166,28.028,24.974,17.330,257.1,,,,,
rider,8th,40,Hector,GARZO,Flexbox,HP,40,SPA,Total,laps=10,laps=7,
lap,1,1'59.812,11.008,30.142,25.509,17.592,252.9,,,,,
lap,2,1'29.241,19.223,28.238,24.559,17.221,258.9,,,,,
lap,3,1'29.943,19.101,28.411,24.738,17.693,260.8,,,,,
lap,4,1'36.562,19.348*,34.311,25.122*,17.781,258.9,,,,,
lap,5,1'41.401,21.938,32.676,26.888,19.899,186.2,,,,,
lap,6,1'29.659,19.256,28.380,24.678,17.345,258.9,,,,,
lap,7,1'29.636,19.166,28.363,24.680,17.427,258.9,,,,,
lap,8,1'34.348,19.248,32.241,25.219,17.640,257.7,,,,,
lap,9,1'32.428,19.530,30.339,25.021,17.538,256.5,,,,,
lap,10,1'29.781,19.210,28.445,24.660,17.466,260.2,,,,,
rider,Jorge,NAVARRO,+,EGO,Speed,Up,SPA,9th,9,Total,laps=10,laps=7
lap,1,1'47.982,11.836,30.147,26.354,18.121,244.8,,,,,
lap,2,1'31.089,19.398,28.563,25.373,17.755,255.9,,,,,
lap,3,1'29.667,19.179,28.290,24.836,17.362,259.6,,,,,
lap,4,1'29.341,19.196,28.088,24.672,17.385,258.9,,,,,
lap,5,1'39.599,19.656,34.096,25.088,20.759*,220.8,,,,,
lap,6,1'39.841,19.449,28.428,27.306,24.658,257.7,,,,,
lap,7,1'31.566,19.416,29.614,25.112,17.424,257.7,,,,,
lap,8,1'29.471,19.204*,28.120,24.829,17.318,257.1,,,,,
lap,9,1'30.105,19.254,28.262,25.004,17.585,258.9,,,,,
lap,10,1'29.253,19.142,28.174,24.701,17.236,259.6,,,,,
rider,Nicolò,BULEGA,Federal,Oil,Gresini,M,ITA,10th,11,Total,laps=9,laps=5
lap,1,1'41.919,11.201,30.885,25.596,17.861,246.5,,,,,
lap,2,1'30.314,19.264,28.699,24.997,17.354,260.2,,,,,
lap,3,1'32.259,19.148,30.821,24.902,17.388*,258.9,,,,,
lap,4,1'29.465,19.155,28.228,24.758,17.324,258.9,,,,,
lap,5,1'36.998,P,19.244,29.727,25.151,22.876,258.3,,,,
lap,6,4'07.437,12.003,29.797,25.416,17.491,241.6,,,,,
lap,7,1'29.913,19.341,28.479,24.779,17.314,257.1,,,,,
lap,8,1'29.439,19.251,28.259,24.679,17.250,258.3,,,,,
lap,9,1'29.260,19.149,28.181,24.688,17.242,257.7,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,11th,22,Total,laps=9,laps=6
lap,1,1'52.211,11.207,29.601,25.192,17.523,250.0,,,,,
lap,2,1'29.529,19.269,28.327,24.753,17.180,257.1,,,,,
lap,3,1'29.531,19.206,28.268,24.559,17.498,257.7,,,,,
lap,4,1'29.271,19.269,28.347,24.494,17.161,257.7,,,,,
lap,5,1'38.937,P,20.319,29.661,25.699,23.258,230.2,,,,
lap,6,3'00.492,11.863,29.173,24.956,17.409,248.2,,,,,
lap,7,1'29.475,19.380,28.239,24.565,17.291,254.7,,,,,
lap,8,1'29.543,19.353,28.340,24.475,17.375,257.7,,,,,
lap,9,1'29.296,19.284,28.266,24.501,17.245,257.1,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,12th,10,Total,laps=10,laps=8
lap,1,1'43.697,P,10.759,29.631,25.487,22.977,250.5,,,,
lap,2,2'37.439,10.757,28.741,25.392,17.694,252.9,,,,,
