0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,September 11,Moto2,Misano World Circuit Marco Simoncelli,FP2,,,,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,1st,33,Total,laps=18,laps=12,
lap,1,2'10.996,35.101,23.289,27.581*,22.274,242.6,,,,,
lap,2,1'38.582,27.288,22.719,26.716,21.859,244.8,,,,,
lap,3,1'37.843,26.964,22.416,26.615,21.848,247.1,,,,,
lap,4,1'42.454,31.180,22.629,26.630,22.015,246.0,,,,,
lap,5,1'37.756,26.844,22.495,26.607,21.810,244.8,,,,,
lap,6,1'37.560,26.865,22.388,26.540,21.767,246.5,,,,,
lap,7,1'42.276,27.465,23.239,27.152,24.420,242.1,,,,,
lap,8,1'41.255,26.982,22.428,27.342,24.503,246.0,,,,,
lap,9,1'39.125,27.057,22.307,26.488,23.273*,245.4,,,,,
lap,10,1'40.615,29.431,22.675,26.647,21.862,244.8,,,,,
lap,11,1'37.542,26.883,22.445,26.438,21.776,245.4,,,,,
lap,12,1'38.318,P,26.868,22.349,26.700*,22.401,244.3,,,,
lap,13,1'49.769,36.135,23.666,27.396*,22.572,243.2,,,,,
lap,14,1'39.497,26.737,23.195,27.669,21.896,236.8,,,,,
lap,15,1'45.629,26.751,22.518,30.695,25.665,203.0,,,,,
lap,16,1'36.933,26.585,22.312,26.315,21.721,246.0,,,,,
lap,17,1'37.002,26.666,22.302,26.335,21.699,246.5,,,,,
lap,18,1'41.566,28.910*,23.627,26.975,22.054*,245.4,,,,,
rider,2nd,22,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,Total,laps=19,laps=15
lap,1,2'42.848,36.158,23.689,27.491,22.384,240.0,,,,,
lap,2,1'38.605,27.154,22.552,26.830,22.069,242.1,,,,,
lap,3,1'38.025,26.995,22.409,26.703,21.918,242.1,,,,,
lap,4,1'37.889,27.020,22.367,26.724,21.778,241.6,,,,,
lap,5,1'37.600,26.732,22.357,26.736,21.775,242.6,,,,,
lap,6,1'37.464,26.752,22.329,26.699,21.684,242.6,,,,,
lap,7,1'37.640,26.815,22.308,26.752,21.765,243.7,,,,,
lap,8,1'37.257,26.675,22.261,26.586,21.735,242.6,,,,,
lap,9,1'37.520,26.803,22.302,26.598,21.817,243.2,,,,,
lap,10,1'37.541,26.836,22.275,26.619,21.811,243.2,,,,,
lap,11,1'37.473,26.826,22.319,26.594,21.734,243.2,,,,,
lap,12,1'47.111,P,30.416,22.876,27.692,26.127,241.6,,,,
lap,13,1'58.085,40.129,27.755,27.625,22.576*,240.0,,,,,
lap,14,1'42.878,29.922,23.331,27.358,22.267,241.0,,,,,
lap,15,1'37.344,26.802,22.332,26.467,21.743,243.7,,,,,
lap,16,1'36.992,26.633,22.219,26.506,21.634,244.8,,,,,
lap,17,1'37.610,26.806,22.407,26.573,21.824,243.7,,,,,
lap,18,1'40.807,26.548,22.256,29.871,22.132,235.8,,,,,
lap,19,1'37.440,26.820,22.260,26.451,21.909,244.8,,,,,
rider,Augusto,FERNAND,EG,"0,0",Marc,VDS,SPA,3rd,37,Total,laps=21,laps=15
lap,1,2'28.573,34.151,23.607,28.199,23.332,240.5,,,,,
lap,2,1'39.219,27.253,22.790,27.239,21.937,242.1,,,,,
lap,3,1'39.061,27.021,22.609,27.395*,22.036,242.6,,,,,
lap,4,1'38.450,26.865,22.542,27.168,21.875,242.1,,,,,
lap,5,1'38.116,26.877,22.474,27.014,21.751,243.2,,,,,
lap,6,1'37.734,26.698,22.448,26.865,21.723,242.1,,,,,
lap,7,1'37.637,26.698,22.339,26.828,21.772,243.2,,,,,
lap,8,1'37.287,26.604,22.285,26.720,21.678,242.6,,,,,
lap,9,1'37.753,26.680,22.450,26.843,21.780,243.2,,,,,
lap,10,1'37.567,26.653,22.337,26.780,21.797,242.6,,,,,
lap,11,1'40.257,28.545,22.621,27.240,21.851,243.2,,,,,
lap,12,1'38.854,26.907,22.547,27.544,21.856,240.5,,,,,
lap,13,1'37.502,26.663,22.318,26.789,21.732,243.2,,,,,
lap,14,1'40.399,P,27.395,22.921,27.282,22.801,239.4,,,,
lap,15,1'48.179,35.309,23.252,27.664,21.954,240.5,,,,,
lap,16,1'37.568,26.513,22.638,26.801,21.616,241.6,,,,,
lap,17,1'36.933,26.528,22.150,26.666*,21.589,243.7,,,,,
lap,18,1'37.048,26.461,22.289,26.623,21.675,243.7,,,,,
lap,19,1'37.152,26.493,22.270,26.650,21.739,243.7,,,,,
lap,20,1'37.198,26.545,22.173,26.821,21.659,244.3,,,,,
lap,21,1'46.625,27.864,24.111,30.049,24.601,234.2,,,,,
rider,4th,11,Nicolò,BULEGA,Federal,Oil,Gresini,M,ITA,Total,laps=20,laps=13
lap,1,1'53.442,34.334,23.318,27.473,22.628,243.7,,,,,
lap,2,1'38.982,27.290,22.625,27.068,21.999,246.5,,,,,
lap,3,1'38.434,26.998,22.519,26.974,21.943,247.7,,,,,
lap,4,1'38.734,26.867,22.427,27.383*,22.057,244.8,,,,,
lap,5,1'37.962,26.915,22.589,26.563*,21.895,243.7,,,,,
lap,6,1'38.230,27.093,22.561,26.648,21.928,243.7,,,,,
lap,7,1'44.521,30.677,25.242*,26.756,21.846,243.7,,,,,
lap,8,1'37.958,27.015,22.460,26.718,21.765,243.7,,,,,
lap,9,1'37.827,26.938,22.466,26.555*,21.868,245.4,,,,,
lap,10,1'37.980,26.935,22.415,26.673,21.957,245.4,,,,,
lap,11,1'38.072,26.961,22.289,26.884,21.938,245.4,,,,,
lap,12,1'38.405,27.111,22.563,26.663,22.068,243.2,,,,,
lap,13,1'38.193,27.170,22.425,26.722,21.876,243.2,,,,,
lap,14,1'49.470,P,32.126,25.171,28.483,23.690,232.7,,,,
lap,15,1'48.245,36.046,23.448,26.798,21.953,243.7,,,,,
lap,16,1'45.386,26.766,23.438,27.104,28.078,243.7,,,,,
lap,17,1'37.181,26.682,22.292,26.446,21.761,244.8,,,,,
lap,18,1'37.898,27.121,22.387,26.585,21.805,243.7,,,,,
lap,19,1'37.481,26.770,22.253,26.461,21.997,244.8,,,,,
lap,20,1'37.334,26.730,22.356,26.505,21.743,243.7,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,5th,10,Total,laps=20,laps=16
lap,1,1'52.335,33.451,23.760,27.726,22.370,241.0,,,,,
lap,2,1'38.502,27.137,22.674,26.789,21.902,241.6,,,,,
lap,3,1'38.044,26.861,22.565,26.771,21.847*,242.6,,,,,
lap,4,1'37.984,26.829,22.550,26.798,21.807,242.1,,,,,
lap,5,1'44.224,26.748,22.466,26.728,28.282,242.1,,,,,
