0,1,2,3,4,5,6,7,8,9
const,2020,Saturday September,Moto2,Misano World Circuit Marco Simoncelli,FP3,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,1st,72
lap,1,1'50.998,34.480,23.169,27.415,22.141,246.0,,
lap,2,1'38.668,27.936,22.381,26.626,21.725,250.5,,
lap,3,1'37.504,26.718,22.736,26.385,21.665,250.0,,
lap,4,1'37.278,26.753,22.241,26.647*,21.637,251.7,,
lap,5,1'36.937,26.667,22.188,26.488,21.594,248.2,,
lap,6,1'36.956,26.568,22.220,26.471,21.697,248.2,,
lap,7,1'36.512,26.520,22.103,26.282,21.607,250.0,,
lap,8,1'36.873,26.774,22.041,26.335,21.723,248.8,,
lap,9,1'44.354,P,30.077,22.808,27.545,23.924,242.6,
lap,10,1'49.462,36.531,23.410,27.362,22.159,246.5,,
lap,11,1'37.142,26.758,22.265,26.447,21.672,247.7,,
lap,12,1'36.909,26.560,22.204,26.453,21.692,248.2,,
lap,13,1'36.779,26.541,22.258,26.364,21.616,249.4,,
lap,14,1'45.429,30.276,25.865,27.225,22.063,244.3,,
lap,15,1'37.015,26.650,22.259,26.364,21.742,247.1,,
lap,16,1'36.754,26.446,22.149,26.346,21.813,247.7,,
lap,17,1'48.196,26.573,27.538,31.696,22.389,222.6,,
lap,18,1'36.998,26.627,22.226,26.455,21.690,248.8,,
lap,19,1'36.730,26.625,22.112,26.430,21.563,249.4,,
lap,20,1'36.955,26.615,22.301,26.429,21.610,247.7,,
lap,21,1'48.955,32.141,24.777,29.100,22.937,235.2,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,2nd,10
lap,1,1'47.946,35.447,23.297,27.094,21.986,244.8,,
lap,2,1'37.518,26.657,22.446,26.617,21.798,244.8,,
lap,3,1'37.270,26.672,22.294,26.485,21.819*,244.8,,
lap,4,1'37.010,26.489,22.426,26.455,21.640,244.8,,
lap,5,1'36.769,26.488,22.219,26.442,21.620,244.8,,
lap,6,1'37.016,26.572,22.233,26.538*,21.673,244.8,,
lap,7,1'36.935,26.490,22.309,26.439,21.697,245.4,,
lap,8,1'37.108,26.524,22.344,26.564,21.676,244.8,,
lap,9,1'51.274,30.467,25.446,31.448,23.913,206.5,,
lap,10,1'37.008,26.617,22.314,26.479,21.598,244.8,,
lap,11,1'36.595,26.434,22.204,26.407,21.550,245.4,,
lap,12,1'44.703,P,28.848,23.261,28.810,23.784,241.0,
lap,13,1'47.876,34.886,23.060,27.316*,22.614,243.7,,
lap,14,1'42.195,P,26.671,22.822,30.712,21.990,151.2,
lap,15,1'47.506,34.094,24.350,27.167,21.895,244.8,,
lap,16,1'36.987,26.513,22.317,26.513,21.644,244.8,,
lap,17,1'36.672,26.471,22.149,26.483,21.569,244.8,,
lap,18,1'37.008,26.525,22.205,26.462*,21.816,244.8,,
lap,19,1'36.977,26.544,22.173,26.492,21.768,244.8,,
lap,20,1'51.487,38.175*,23.715,27.384,22.213*,244.3,,
lap,21,1'36.929,26.594,22.237,26.463*,21.635,246.0,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,3rd,87
lap,1,1'51.488,33.963,23.704,28.680,22.142,242.1,,
lap,2,1'37.903,27.040,22.446,26.589,21.828,246.5,,
lap,3,1'37.553,26.740,22.516,26.400,21.897,245.4,,
lap,4,1'37.812,26.662,22.326,27.000,21.824,244.8,,
