0,1,2,3,4,5,6,7,8,9
const,2020,Saturday September,Moto2,Misano World Circuit Marco Simoncelli,Q1,,,,
rider,Fabio,DI,GIANNANT,+EGO,Speed,Up,ITA,1st,21
lap,1,1'51.197,33.919,23.016,27.408,21.940,237.3,,
lap,2,1'37.904,26.594,22.351,27.155,21.804,241.6,,
lap,3,1'37.006,26.458,22.371,26.537,21.640,241.0,,
lap,4,1'37.095,26.433,22.239,26.587,21.836,240.5,,
lap,5,1'48.666,34.328*,24.035,27.848,22.455,239.4,,
lap,6,1'36.964,26.461,22.258,26.603,21.642,241.6,,
lap,PIT,37.765,26.303,30.049,28.485,213.8,,,
rider,Hector,GARZO,Flexbox,HP,40,SPA,2nd,40,
lap,1,1'52.676,34.909,23.401,27.222,22.236,245.4,,
lap,2,1'37.582,26.907,22.558,26.599,21.518,246.0,,
lap,3,1'37.019,26.620,22.312,26.575,21.512,247.1,,
lap,4,1'37.651,26.828,22.353,26.795,21.675,242.6,,
lap,5,1'40.141,29.060,22.508,26.945,21.628,244.3,,
lap,6,1'37.309,26.767,22.215,26.669,21.658,244.3,,
lap,7,1'51.175,32.591,24.937,29.804,23.843*,232.2,,
lap,8,1'40.641,26.971,22.509,29.206,21.955,180.3,,
lap,9,1'37.561,26.775,22.376,26.754,21.656,244.3,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,3rd,16,,
lap,1,2'18.662,36.413,24.574,28.153,22.282,240.0,,
lap,2,1'37.696,26.880,22.424,26.695,21.697,244.3,,
lap,3,1'37.045,26.546,22.256,26.582,21.661,243.7,,
lap,4,4'39.121,P,26.441,22.195,26.765,3'23.720,242.6,
lap,PIT,36.924,24.212,28.107,23.505,238.4,,,
rider,Marcos,RAMIREZ,Tennor,American,RaciSPA,4th,42,,
lap,1,1'52.123,36.020,23.650,27.281,21.941,242.1,,
lap,2,1'37.867,26.902,22.671,26.659,21.635,243.7,,
lap,3,1'37.065,26.727,22.313,26.451,21.574,243.7,,
lap,4,1'38.550,26.913*,22.967,26.701,21.969,243.2,,
lap,5,1'46.842,27.015,24.478,28.743,26.606,231.7,,
lap,6,1'37.624,26.788,22.386,26.658,21.792,243.7,,
lap,7,1'50.093,34.426*,25.986,27.083,22.598,242.6,,
lap,8,1'37.849,26.728,22.383,26.643,22.095,243.7,,
lap,9,1'37.131,26.654,22.452,26.424,21.601,243.2,,
rider,Nicolò,BULEGA,Federal,Oil,Gresini,M,ITA,5th,11
lap,1,2'04.379,39.224,23.435,28.071,24.954,243.2,,
lap,2,1'37.579,26.703,22.329,26.586,21.961,246.0,,
lap,3,1'37.398,26.673,22.164,26.823,21.738,249.4,,
lap,4,1'37.093,26.548,22.353,26.475,21.717,245.4,,
lap,5,1'45.055,26.659,22.115,34.199,22.082,144.3,,
rider,Lorenzo,BALDA,Flexbox,HP,40,ITA,6th,7,
lap,1,3'29.506,35.208,23.550,27.838*,21.871,242.1,,
lap,2,1'37.289,26.881,22.275,26.512,21.621,243.2,,
lap,3,1'39.812,27.148,24.161,26.809,21.694,242.6,,
lap,4,1'37.504,26.712,22.394,26.682,21.716,240.5,,
lap,5,1'37.094,26.631,22.273,26.558,21.632,241.6,,
lap,6,1'38.345,27.574,22.396,26.668,21.707,240.5,,
lap,7,1'37.170,26.696,22.184,26.624,21.666,241.6,,
lap,8,1'37.318,26.704,22.291,26.558,21.765,240.5,,
lap,9,1'37.197,26.645,22.330,26.543,21.679,241.6,,
rider,Stefano,MANZI,MV,Agusta,Forward,R,ITA,7th,62
lap,1,2'02.968,38.763,23.676,27.736,22.116,241.6,,
lap,2,1'38.451,26.741,22.536,27.347,21.827,243.7,,
lap,3,1'37.674,26.812,22.356,26.851,21.655,243.2,,
lap,4,1'51.670,27.174,30.286,30.081,24.129*,221.3,,
lap,5,1'37.586,26.681,22.354,26.892*,21.659*,241.0,,
lap,6,1'41.139,29.306,23.102*,27.037,21.694,241.6,,
lap,7,1'37.627,26.716,22.340,26.922,21.649,241.0,,
lap,8,1'47.028,28.705*,22.529,30.271,25.523,171.4,,
lap,9,1'37.275,26.603,22.231,26.829,21.612,241.6,,
rider,Aron,CANET,Oceanica,Aspar,Tea,SPA,8th,44,
lap,1,2'01.021,39.608,23.122,29.142,22.816,241.6,,
lap,2,1'37.619,26.673,22.250,26.690,22.006,244.8,,
lap,3,1'37.644,26.793,22.232,26.774,21.845,243.7,,
lap,4,1'37.507,26.533,22.283,26.801,21.890,243.7,,
lap,5,1'44.086,P,28.944*,22.990,27.961,24.191,241.0,
lap,6,1'46.306,34.443,23.085,26.935,21.843,238.9,,
lap,7,1'37.347,26.494,22.407,26.683,21.763,241.0,,
lap,PIT,29.058,25.550,29.126,24.780,238.4,,,
rider,Simone,CORSI,MV,Agusta,Forward,R,ITA,9th,24
lap,1,1'56.431,36.121,23.748,28.091,22.379,239.4,,
lap,2,1'42.794,27.360,22.780,29.638,23.016,227.8,,
lap,3,1'37.611,26.825,22.247,26.830,21.709,243.2,,
lap,4,1'37.456,26.672,22.356,26.816,21.612,243.2,,
lap,5,1'47.934,30.909*,23.110,27.733,26.182,242.6,,
lap,6,1'39.042,27.077,22.572,27.510,21.883,241.0,,
lap,7,1'46.858,26.880,25.593,29.829,24.556,219.9,,
lap,PIT,26.944,22.480,30.265,27.418,178.8,,,
rider,Somkiat,CHANTRA,IDEMITSU,Honda,Te,THA,10th,35,
lap,1,1'59.652,37.773,25.736,28.490,23.584,235.8,,
lap,2,1'38.935,27.190,22.627,26.957,22.161,241.6,,
lap,3,1'38.486,27.238,22.646,26.860,21.742,246.5,,
lap,4,1'37.473,26.761,22.339,26.719,21.654,246.0,,
lap,5,1'42.339,29.456,22.789,27.207,22.887,241.6,,
lap,6,1'42.132,26.988,24.914,28.127,22.103,235.8,,
lap,7,1'38.820,26.992,22.826,27.019,21.983,241.6,,
lap,8,1'38.825,27.140,22.733,27.044,21.908,242.1,,
