0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,Saturday September,Moto2,Misano World Circuit Marco Simoncelli,Q2,,,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,1st,22,Total,laps=9,laps=7
lap,1,2'29.477,34.344,23.624,27.254,25.058,241.6,,,,,
lap,2,1'42.746,26.970,25.964,27.501,22.311,243.7,,,,,
lap,3,1'36.666,26.609,22.200,26.330,21.527,245.4,,,,,
lap,4,1'36.170,26.373,22.104,26.261,21.432,244.8,,,,,
lap,5,1'43.569,32.340*,22.574,26.694,21.961,242.1,,,,,
lap,6,1'39.360,28.737,22.345,26.595,21.683,243.2,,,,,
lap,7,1'36.787,26.559,22.125,26.502,21.601,243.7,,,,,
lap,8,1'42.107,29.432,22.529,26.754,23.392,241.0,,,,,
lap,9,1'37.093,26.616,22.079,26.651,21.747,243.7,,,,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,2nd,87,Total,laps=8,laps=4
lap,1,2'12.202,44.727,23.895,34.603,22.768,204.9,,,,,
lap,2,1'37.439,26.911,22.376,26.496,21.656,244.3,,,,,
lap,3,1'40.898,26.693,22.305,27.430*,24.470,241.6,,,,,
lap,4,1'37.120,26.635,22.365,26.481,21.639,242.1,,,,,
lap,5,1'41.232,P,27.071,22.523,28.032,23.606,219.9,,,,
lap,6,1'52.191,34.993,25.884,29.219,22.095,229.7,,,,,
lap,7,1'36.731,26.632,22.211,26.346,21.542,242.6,,,,,
lap,8,1'36.424,26.527,22.156,26.282,21.459,244.3,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,3rd,10,Total,laps=9,laps=8
lap,1,3'11.065,33.284,23.223,27.534,21.964,242.1,,,,,
lap,2,1'39.392,26.628,22.418,28.385,21.961,233.7,,,,,
lap,3,1'36.927,26.541,22.300,26.493,21.593,244.3,,,,,
lap,4,1'36.899,26.395,22.284,26.650,21.570,243.2,,,,,
lap,5,1'36.611,26.332,22.123,26.387,21.769,243.2,,,,,
lap,6,1'43.596,26.394,25.660,28.529,23.013,242.1,,,,,
lap,7,1'37.139,26.520,22.210,26.755,21.654,242.6,,,,,
lap,8,1'36.515,26.399,22.156,26.474,21.486,243.2,,,,,
lap,9,1'36.496,26.372,22.116,26.445,21.563,243.7,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,4th,72,Total,laps=6,laps=3
lap,1,2'38.914,35.314,23.868,27.770,21.967,243.2,,,,,
lap,2,1'37.267,26.553,22.304,26.783,21.627,246.5,,,,,
lap,3,1'36.721,26.588,22.151,26.403,21.579,246.5,,,,,
lap,4,1'36.541,26.605,22.102,26.318,21.516,247.1,,,,,
lap,5,3'06.193,26.501,22.223,26.382,1'51.087,246.0,,,,,
lap,PIT,41.340,29.773,31.962,27.003,209.7,,,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,5th,33,Total,laps=8,laps=4,
lap,1,2'22.774,35.110,24.204,29.047,31.552,235.8,,,,,
lap,2,1'46.323,30.317,23.768,26.605,25.633,243.7,,,,,
lap,3,1'37.167,26.787,22.356,26.271,21.753,244.3,,,,,
lap,4,1'37.014,26.620,22.314,26.320,21.760,244.3,,,,,
lap,5,1'36.823,26.448,22.319,26.383*,21.673,244.3,,,,,
lap,6,1'38.978,P,27.339,22.591,26.731,22.317,244.3,,,,
lap,7,1'48.550,34.876,24.300,27.320,22.054,240.5,,,,,
lap,8,1'36.614,26.598,22.163,26.252,21.601,243.7,,,,,
rider,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,6th,97,Total,laps=8,laps=5,
lap,1,2'11.500,44.203,23.917,35.638,22.842,168.4,,,,,
lap,2,1'38.062,26.839,22.604,26.717,21.902,243.2,,,,,
lap,3,1'38.045,26.646,22.531,27.111,21.757,243.7,,,,,
lap,4,1'36.772,26.512,22.296,26.384,21.580,243.7,,,,,
lap,5,1'37.311,26.507,22.269,26.620,21.915,242.6,,,,,
lap,6,1'41.112,P,29.083*,22.463,27.219,22.347,240.5,,,,
lap,7,1'51.287,34.942,23.006,30.672,22.667,169.5,,,,,
lap,8,1'36.663,26.389,22.132,26.648,21.494,241.6,,,,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,7th,23,Total,laps=9,laps=7
lap,1,2'26.500,46.718,24.660,32.048,32.661,198.5,,,,,
lap,2,1'41.506,27.101,25.137,27.421,21.847,244.3,,,,,
lap,3,1'37.199,26.510,22.364,26.726,21.599,243.7,,,,,
lap,4,1'37.106,26.422,22.337,26.731,21.616,244.3,,,,,
lap,5,1'37.209,26.500,22.228,26.656,21.825,244.8,,,,,
lap,6,1'36.704,26.500,22.236,26.473,21.495,244.8,,,,,
lap,7,1'43.060,31.567*,22.964,26.797,21.732,243.2,,,,,
lap,8,1'36.695,26.496,22.194,26.518,21.487,245.4,,,,,
lap,9,1'36.929,26.578,22.186,26.587,21.578,244.8,,,,,
rider,Augusto,FERNAND,EG,"0,0",Marc,VDS,SPA,8th,37,Total,laps=8,laps=5
lap,1,2'10.155,35.416,24.647,29.009,22.115,239.4,,,,,
lap,2,1'38.122,26.638,22.445,26.880,22.159,244.8,,,,,
lap,3,1'41.612,29.935,22.540,27.274,21.863,244.8,,,,,
lap,4,1'39.807,P,26.740,22.421,28.877,21.769,202.6,,,,
lap,5,1'44.655,32.853,22.836,27.145,21.821,240.5,,,,,
lap,6,1'37.186,26.581,22.413,26.634,21.558,241.0,,,,,
lap,7,1'36.856,26.359,22.332,26.624,21.541,242.1,,,,,
lap,8,1'36.828,26.342,22.220,26.510,21.756,242.1,,,,,
rider,Tetsuta,NAGASHIM,Red,Bull,KTM,Ajo,JPN,9th,45,Total,laps=9,laps=8
lap,1,2'08.295,39.453,23.764,28.137,22.423*,238.4,,,,,
lap,2,1'39.058,27.112,22.785,27.180,21.981,242.6,,,,,
lap,3,1'38.004,26.985,22.442,26.718,21.859,242.6,,,,,
lap,4,1'37.461,26.603,22.381,26.755,21.722,243.2,,,,,
lap,5,1'40.111,26.752,24.356,27.083,21.920,243.2,,,,,
lap,6,1'37.900,26.808,22.486,26.888,21.718,242.6,,,,,
lap,7,1'37.018,26.611,22.367,26.525,21.515,243.7,,,,,
lap,8,1'39.577,26.469,22.339,28.253,22.516,236.8,,,,,
lap,9,1'40.054,29.117,22.479,26.646,21.812,243.7,,,,,
rider,10th,21,Fabio,DI,GIANNANT,+EGO,Speed,Up,ITA,Total,laps=8,laps=3
lap,1,2'25.356,50.439,25.851,29.296,32.995*,237.3,,,,,
lap,2,1'44.792,26.643,22.468,29.650*,26.031,241.6,,,,,
lap,3,1'37.225,26.724,22.324,26.523,21.654,243.2,,,,,
lap,4,1'37.019,26.572,22.300,26.495,21.652,242.6,,,,,
lap,5,1'41.731,P,26.599,22.378,28.588,24.166,229.7,,,,
lap,6,1'47.519,34.905,23.466,27.175,21.973,241.0,,,,,
lap,7,1'37.178,26.511,22.356,26.555*,21.756,242.1,,,,,
lap,8,1'37.136,26.502,22.282,26.619,21.733,242.6,,,,,
rider,11th,42,Marcos,RAMIREZ,Tennor,American,RaciSPA,Total,laps=9,laps=7,,
lap,1,2'13.027,35.487,28.756,41.465,23.311,73.6,,,,,
lap,2,1'37.443,26.898,22.517,26.493,21.535,244.3,,,,,
lap,3,1'40.618,26.667,22.436,27.080,24.435,244.3,,,,,
lap,4,1'37.369,26.740,22.312,26.660,21.657,244.8,,,,,
lap,5,1'40.988,28.992*,22.506,27.577,21.913,238.4,,,,,
lap,6,1'37.335,26.690,22.213,26.676,21.756,242.6,,,,,
lap,7,1'37.517,26.763,22.343,26.695,21.716,243.7,,,,,
lap,8,1'42.591,28.730,23.130,26.819,23.912,243.2,,,,,
lap,9,1'37.083,26.724,22.227,26.575,21.557,243.2,,,,,
rider,12th,12,Thomas,LUTHI,Liqui,Moly,Intact,GP,SWI,Total,laps=9,laps=7
lap,1,2'08.388,36.607,23.755,29.026,22.000,225.9,,,,,
lap,2,1'39.400,27.171,22.884,27.305,22.040,241.6,,,,,
lap,3,1'38.131,26.680,22.438,27.024,21.989,244.3,,,,,
lap,4,1'37.085,26.579,22.269,26.641,21.596,244.8,,,,,
lap,5,1'46.051,33.256*,23.030,27.593,22.172,237.8,,,,,
lap,6,1'37.458,26.701,22.233,26.726,21.798,243.7,,,,,
lap,7,1'37.317,26.670,22.204,26.663,21.780,245.4,,,,,
lap,8,1'42.575,30.450,23.001,27.120,22.004,241.0,,,,,
lap,9,1'37.205,26.672,22.182,26.647,21.704,244.8,,,,,
rider,13th,9,Jorge,NAVARRO,+EGO,Speed,Up,SPA,Total,laps=6,laps=3,
lap,1,2'14.773,38.168,23.728,41.142,24.115,113.0,,,,,
lap,2,1'56.318,27.104,22.311,27.275,39.628,244.8,,,,,
lap,3,5'59.227,P,26.690,22.225,26.381,4'43.931,245.4,,,,
lap,4,1'56.077,39.955,23.504,27.717,24.901,240.5,,,,,
lap,5,1'37.848,26.924,22.299,26.600,22.025,243.7,,,,,
lap,6,1'37.089,26.776,22.254,26.410,21.649,244.3,,,,,
rider,Hafizh,SYAHRIN,Oceanica,Aspar,Tea,MAL,14th,55,Total,laps=9,laps=6,
lap,1,2'24.074,48.131,26.500,29.223,32.496,232.2,,,,,
lap,2,1'45.571,29.907,23.336,26.966,25.362,244.8,,,,,
lap,3,1'37.208,26.770,22.232,26.610,21.596,244.8,,,,,
lap,4,1'37.106,26.601,22.290,26.585,21.630,244.3,,,,,
lap,5,1'44.819,32.604*,23.660,26.790,21.765,244.3,,,,,
lap,6,1'39.807,28.106,23.348,26.734,21.619,244.3,,,,,
lap,7,1'37.111,26.687,22.216,26.623,21.585,245.4,,,,,
lap,8,1'46.436,31.176*,24.232,28.692,22.336,237.3,,,,,
lap,9,1'39.254,26.887,22.755,27.126,22.486,241.6,,,,,
rider,Hector,GARZO,Flexbox,HP,40,SPA,15th,40,Total,laps=3,laps=1,
lap,1,2'12.728,39.929,25.471,36.060,22.992,154.2,,,,,
lap,2,1'37.328,26.889,22.350,26.434,21.655,244.8,,,,,
lap,PIT,26.547,22.250,27.403,2'18.720,246.5,,,,,,
rider,Lorenzo,DALLA,PO,Italtrans,Racing,Team,ITA,16th,19,Total,laps=9,laps=8
lap,1,2'09.157,38.194,23.736,29.099*,22.113,229.2,,,,,
lap,2,1'38.931,27.175,22.593,27.037,22.126,244.8,,,,,
lap,3,1'37.924,26.830,22.438,26.782,21.874,246.0,,,,,
lap,4,1'37.551,26.877,22.386,26.604,21.684,245.4,,,,,
lap,5,1'39.819,26.807,23.858,27.117,22.037,244.8,,,,,
lap,6,1'37.920,26.838,22.334,26.744,22.004,245.4,,,,,
lap,7,1'42.400,27.827,25.159,27.535,21.879,237.8,,,,,
lap,8,1'37.425,26.757,22.358,26.562,21.748,243.2,,,,,
lap,9,1'37.581,26.888,22.422,26.551,21.720,244.3,,,,,
rider,Jake,DIXON,Petronas,Sprinta,Raci,GBR,17th,96,Total,laps=9,laps=6,
lap,1,2'10.607,38.285,25.822,38.770,22.848,103.0,,,,,
lap,2,1'38.384,26.792,22.396,26.616,22.580*,244.8,,,,,
lap,3,1'41.897,26.627,22.391,27.419*,25.460,233.7,,,,,
lap,4,1'37.435,26.795,22.240,26.749,21.651,243.2,,,,,
lap,5,1'41.917,26.800,22.314,28.590,24.213,230.2,,,,,
lap,6,1'38.984,26.843,22.336,27.861,21.944,240.0,,,,,
lap,7,1'37.516,26.726,22.180,26.809,21.801,242.6,,,,,
lap,8,1'42.207,28.475,23.441,27.250,23.041,242.1,,,,,
lap,9,1'37.663,26.789,22.270,26.642,21.962,242.6,,,,,
rider,Joe,ROBERTS,Tennor,American,RaciUSA,18th,16,Total,laps=9,laps=8,,
lap,1,3'06.508,38.988,25.747,28.920,22.313,237.8,,,,,
lap,2,1'41.559,26.912,23.221,29.266,22.160,223.6,,,,,
lap,3,1'38.458,27.009,22.506,27.070,21.873,241.0,,,,,
lap,4,1'39.192,27.779,22.622,26.873,21.918,242.1,,,,,
lap,5,1'37.796,26.741,22.434,26.796,21.825,242.1,,,,,
lap,6,1'37.666,26.699,22.282,26.830,21.855,241.6,,,,,
lap,7,1'42.462,26.772,22.904,30.625,22.161,166.4,,,,,
lap,8,1'37.878,26.731,22.424,26.828,21.895,241.6,,,,,
lap,9,1'37.689,26.709,22.378,26.717,21.885,242.1,,,,,
