0,1,2,3,4,5,6,7,8,9
const,2020,September 13,Moto2,Misano World Circuit Marco Simoncelli,RACE,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,1st,10
lap,1,1'43.452,32.226,22.612,26.830,21.784,241.6,,
lap,2,1'37.588,26.710,22.386,26.737,21.755,241.0,,
lap,3,1'37.274,26.512,22.488,26.623,21.651,241.6,,
lap,4,1'37.013,26.498,22.320,26.558,21.637,242.1,,
lap,5,1'37.158,26.559,22.336,26.584,21.679,241.0,,
lap,6,1'37.165,26.524,22.309,26.600,21.732,241.6,,
lap,7,1'37.419,26.604,22.437,26.615,21.763,242.1,,
lap,8,1'37.320,26.604,22.349,26.698,21.669,241.6,,
lap,9,1'37.214,26.490,22.324,26.723,21.677,242.1,,
lap,10,1'37.231,26.539,22.262,26.701,21.729,242.6,,
lap,11,1'37.268,26.650,22.242,26.632,21.744,242.1,,
lap,12,1'37.289,26.543,22.305,26.687,21.754,242.1,,
lap,13,1'37.659,26.784,22.330,26.737,21.808,242.6,,
lap,14,1'37.520,26.664,22.351,26.682,21.823,242.1,,
lap,15,1'37.359,26.664,22.254,26.686,21.755,243.2,,
lap,16,1'37.277,26.604,22.301,26.603,21.769,242.6,,
lap,17,1'37.461,26.704,22.340,26.674,21.743,243.7,,
lap,18,1'38.487,26.686,22.337,26.677,22.787,243.2,,
lap,19,1'37.172,26.561,22.314,26.541,21.756,243.7,,
lap,20,1'37.635,26.718,22.272,26.673,21.972,244.3,,
lap,21,1'37.796,26.931,22.226,26.900,21.739,242.1,,
lap,22,1'37.830,26.853,22.239,26.925,21.813,242.6,,
lap,23,1'37.386,26.720,22.166,26.687,21.813,243.2,,
lap,24,1'37.063,26.702,22.211,26.478,21.672,244.3,,
lap,25,1'37.738,26.575,22.200,26.593,22.370,244.3,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,2nd,72
lap,1,1'43.628,32.539,22.507,26.791,21.791,244.3,,
lap,2,1'37.654,26.834,22.368,26.629,21.823,244.3,,
lap,3,1'37.313,26.686,22.386,26.578,21.663,245.4,,
lap,4,1'37.314,26.651,22.446,26.456,21.761,245.4,,
lap,5,1'37.038,26.616,22.314,26.441,21.667,244.8,,
lap,6,1'37.357,26.773,22.327,26.523,21.734,244.8,,
lap,7,1'37.361,26.734,22.370,26.523,21.734,245.4,,
lap,8,1'37.277,26.772,22.272,26.542,21.691,244.3,,
lap,9,1'37.737,27.207,22.280,26.586,21.664,244.8,,
lap,10,1'37.350,26.743,22.253,26.657,21.697,244.8,,
lap,11,1'37.423,26.723,22.207,26.586,21.907,244.8,,
lap,12,1'37.312,26.788,22.230,26.589,21.705,245.4,,
lap,13,1'37.329,26.800,22.169,26.610,21.750,245.4,,
lap,14,1'37.267,26.752,22.231,26.539,21.745,245.4,,
lap,15,1'37.307,26.877,22.232,26.497,21.701,246.5,,
lap,16,1'37.361,26.810,22.319,26.544,21.688,246.0,,
lap,17,1'37.412,26.711,22.271,26.595,21.835,246.5,,
lap,18,1'37.450,26.816,22.286,26.513,21.835,247.1,,
lap,19,1'37.191,26.651,22.256,26.448,21.836,245.4,,
lap,20,1'37.625,26.744,22.168,26.886,21.827,243.2,,
lap,21,1'37.830,27.061,22.435,26.571,21.763,244.8,,
lap,22,1'38.395,26.886,22.533,27.048,21.928,246.5,,
lap,23,1'37.469,26.899,22.198,26.634,21.738,247.7,,
lap,24,1'37.654,26.718,22.162,26.460,22.314,247.7,,
lap,25,1'37.519,26.710,22.279,26.527,22.003,247.1,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,3rd,33,
lap,1,1'44.017,32.413,22.787,27.000,21.817,245.4,,
lap,2,1'37.963,26.753,22.681,26.690,21.839,243.2,,
lap,3,1'37.603,26.909,22.476,26.462,21.756,244.3,,
lap,4,1'37.532,26.757,22.477,26.489,21.809,242.6,,
lap,5,1'37.610,26.806,22.403,26.604,21.797,242.6,,
lap,6,1'37.408,26.680,22.472,26.492,21.764,242.6,,
lap,7,1'37.358,26.595,22.411,26.574,21.778,243.7,,
lap,8,1'37.385,26.687,22.462,26.464*,21.772,243.2,,
lap,9,1'37.459,26.665,22.485,26.573,21.736,243.7,,
lap,10,1'37.182,26.647,22.357,26.443,21.735,244.3,,
lap,11,1'37.399,26.713,22.471,26.426,21.789,243.2,,
lap,12,1'37.233,26.665,22.465,26.429,21.674,244.3,,
lap,13,1'37.181,26.640,22.419,26.406,21.716,243.2,,
lap,14,1'37.158,26.613,22.438,26.360,21.747,243.7,,
lap,15,1'37.152,26.663,22.413,26.387,21.689,244.8,,
lap,16,1'38.967,26.676,23.879,26.620,21.792,244.3,,
lap,17,1'37.535,26.746,22.525,26.479,21.785,243.7,,
lap,18,1'37.680,26.762,22.496,26.512,21.910,244.8,,
lap,19,1'37.472,26.750,22.438,26.442,21.842,244.3,,
lap,20,1'37.195,26.714,22.327,26.373,21.781,244.8,,
lap,21,1'37.088,26.685,22.329,26.376,21.698,244.3,,
lap,22,1'37.260,26.689,22.406,26.400,21.765,245.4,,
lap,23,1'37.227,26.730,22.350,26.303,21.844,244.8,,
lap,24,1'37.353,26.857,22.420,26.219,21.857,245.4,,
lap,25,1'37.254,26.654,22.383,26.303,21.914,244.8,,
rider,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,4th,97,
lap,1,1'44.714,32.929,22.560,26.964,22.261,242.6,,
