0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,September 13,Moto2,Misano World Circuit Marco Simoncelli,WUP,,,,,,,
rider,Aron,CANET,Oceanica,Aspar,Tea,SPA,1st,44,Total,laps=11,laps=6,
lap,1,2'08.193,33.850,23.171,26.977,22.396,244.3,,,,,
lap,2,1'38.190,26.952,22.526,26.845,21.867,248.2,,,,,
lap,3,1'44.467,26.920,22.423,26.704,28.420,247.7,,,,,
lap,4,1'37.148,26.647,22.336,26.370,21.795,246.0,,,,,
lap,5,1'41.795,31.147*,22.477,26.314,21.857,246.5,,,,,
lap,6,1'36.923,26.598,22.236,26.354,21.735,247.1,,,,,
lap,7,1'42.271,26.940,26.367,26.691,22.273,245.4,,,,,
lap,8,1'36.905,26.547,22.219,26.299,21.840,246.5,,,,,
lap,9,1'41.455,P,26.692,22.791,244.8,,,,,,
lap,10,1'57.303,40.567,23.735,132.8,,,,,,,
lap,11,1'36.649,26.382,22.310,26.204,21.753,247.1,,,,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,2nd,87,Total,laps=11,laps=7
lap,1,1'52.079,35.086,23.576,27.285,22.280,242.1,,,,,
lap,2,1'37.524,26.889,22.578,26.365,21.692,244.3,,,,,
lap,3,1'37.104,26.540,22.481,26.406,21.677,244.8,,,,,
lap,4,1'37.282,26.620,22.403,26.417,21.842,244.8,,,,,
lap,5,1'36.762,26.547,22.262,26.348,21.605,246.0,,,,,
lap,6,1'36.930,26.556,22.356,26.292*,21.726,246.5,,,,,
lap,7,1'36.973,26.612,22.253,26.427,21.681,247.1,,,,,
lap,8,1'36.935,26.518,22.220,26.351*,21.846,247.7,,,,,
lap,9,1'45.767,31.523,23.691,27.404,23.149,244.3,,,,,
lap,10,1'37.802,26.894,22.531,26.524,21.853,245.4,,,,,
lap,unfinished,26.714,22.377,245.4,,,,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,3rd,10,Total,laps=11,laps=7
lap,1,1'51.351,34.368,23.396,27.186,22.272,244.3,,,,,
lap,2,1'37.700,26.954,22.444,26.502,21.800,244.3,,,,,
lap,3,1'37.235,26.648,22.405,26.422,21.760,244.8,,,,,
lap,4,1'37.216,26.652,22.423,26.455,21.686,244.8,,,,,
lap,5,1'36.774,26.521,22.280,26.309,21.664,246.0,,,,,
lap,6,1'37.009,26.569,22.331,26.406,21.703,245.4,,,,,
lap,7,1'37.052,26.628,22.292,26.395,21.737,246.0,,,,,
lap,8,1'37.801,26.483,22.223,26.365,22.730,246.5,,,,,
lap,9,1'37.229,26.758,22.357,26.405,21.709,245.4,,,,,
lap,10,1'39.843,P,26.624,22.208,26.439,24.572,245.4,,,,
lap,11,1'47.345,34.357,23.059,27.653,22.276,244.3,,,,,
rider,Augusto,FERNAND,EG,"0,0",Marc,VDS,SPA,4th,37,Total,laps=12,laps=9
lap,1,2'18.278,33.696,23.555,27.805,22.400,242.6,,,,,
lap,2,1'39.356,26.952,22.730,27.008,22.666,244.8,,,,,
lap,3,1'38.091,26.733,22.543,26.753,22.062,245.4,,,,,
lap,4,1'37.803,26.678,22.416,26.816*,21.893,246.0,,,,,
lap,5,1'37.145,26.554,22.345,26.395,21.851,247.1,,,,,
lap,6,1'37.153,26.635,22.327,26.486,21.705,247.1,,,,,
lap,7,1'38.588,26.659,22.579,26.771,22.579,246.0,,,,,
lap,8,1'37.461,26.651,22.424,26.648,21.738,246.5,,,,,
lap,9,1'40.778,27.735,23.897,27.239,21.907,241.6,,,,,
lap,10,1'36.850,26.599,22.247,26.408,21.596,247.7,,,,,
lap,11,1'40.552,26.534,22.205,29.051*,22.762*,249.4,,,,,
lap,12,1'36.819,26.556,22.308,26.371,21.584,247.1,,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,5th,33,Total,laps=12,laps=7,
lap,1,2'07.207,35.060,23.361,27.583,22.757,243.2,,,,,
lap,2,1'40.932,27.091,22.825,26.580*,24.436,247.7,,,,,
lap,3,1'44.096,26.859,23.904,28.211,25.122,240.5,,,,,
lap,4,1'37.396,26.887,22.449,26.337,21.723,246.5,,,,,
lap,5,1'37.357,26.735,22.375,26.410,21.837,246.0,,,,,
lap,6,1'37.120,26.645,22.321,26.354,21.800,246.5,,,,,
lap,7,1'44.164,31.263,23.788,27.156,21.957,244.8,,,,,
lap,8,1'37.093,26.772,22.288,26.276*,21.757*,247.7,,,,,
lap,9,1'37.056,26.714,22.387,26.217,21.738,247.7,,,,,
lap,10,1'36.913,26.600,22.340,26.250,21.723,248.2,,,,,
lap,11,1'49.639,31.329*,22.929,30.823,24.558,150.2,,,,,
lap,12,1'36.850,26.621,22.309,26.245,21.675,248.2,,,,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,6th,23,Total,laps=12,laps=9
lap,1,3'14.450,36.010,24.074,27.761,22.442,241.6,,,,,
lap,2,1'38.925,27.291,22.722,26.955,21.957,244.3,,,,,
lap,3,1'38.678,26.719,22.642,26.816,22.501,244.3,,,,,
lap,4,1'37.560,26.739,22.389,26.709,21.723,245.4,,,,,
lap,5,1'37.564,26.564,22.344,26.546,22.110,246.0,,,,,
lap,6,1'37.293,26.735,22.338,26.569,21.651,246.0,,,,,
lap,7,1'37.094,26.691,22.322,26.479,21.602,246.5,,,,,
lap,8,1'36.988,26.596,22.279,26.482,21.631,246.0,,,,,
lap,9,1'37.138,26.592,22.338,26.415,21.793,246.0,,,,,
lap,10,1'44.540,26.678,22.417,32.722,22.723,147.3,,,,,
lap,11,1'37.751,26.750,22.492,26.586*,21.923*,246.5,,,,,
lap,12,1'37.332,26.592,22.469,26.438,21.833,247.1,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,7th,72,Total,laps=12,laps=7
lap,1,2'01.914,35.949,24.864,29.617,24.521,207.2,,,,,
lap,2,1'38.884,27.189,22.919,26.850,21.926,247.7,,,,,
lap,3,1'37.419,26.751,22.408,26.501*,21.759,249.4,,,,,
lap,4,1'37.000,26.653,22.191,26.423,21.733,249.4,,,,,
lap,5,1'37.002,26.653,22.221,26.381,21.747,249.4,,,,,
lap,6,1'37.174,26.743,22.317,26.459,21.655,248.2,,,,,
lap,7,1'38.866,26.618,22.285,26.589,23.374,250.5,,,,,
lap,8,1'37.138,26.621,22.216,26.531,21.770,248.2,,,,,
lap,9,1'37.305,26.666,22.230,26.606*,21.803,248.8,,,,,
lap,10,1'37.247,26.810,22.216,26.474,21.747,248.8,,,,,
lap,11,1'45.891,P,29.987,22.584,29.548,23.772,237.8,,,,
lap,12,1'53.717,39.614,23.926,27.586,22.591,244.8,,,,,
rider,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,8th,97,Total,laps=12,laps=7,
lap,1,2'05.719,36.578,25.207,30.195,23.020,187.8,,,,,
lap,2,1'40.045,27.846,22.976,27.037,22.186,242.6,,,,,
lap,3,1'38.568,27.082,22.574,26.849*,22.063,245.4,,,,,
lap,4,1'37.756,26.810,22.418,26.695,21.833,245.4,,,,,
lap,5,1'37.741,26.873,22.352,26.602,21.914*,247.7,,,,,
lap,6,1'37.661,26.897,22.348,26.637,21.779,246.5,,,,,
lap,7,1'37.830,26.711,22.472,26.791,21.856,245.4,,,,,
lap,8,1'37.621,26.793,22.408,26.670,21.750,245.4,,,,,
lap,9,1'37.548,26.759,22.341,26.692,21.756,245.4,,,,,
lap,10,1'37.456,26.739,22.326,26.593,21.798,246.0,,,,,
