0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,September 20,Moto2,Misano World Circuit Marco Simoncelli,RACE2,,,,,,,,
rider,Enea,BASTIANINI,Italtrans,Racing,Team,ITA,1st,33,Total,laps=10,laps=8,,
lap,1,1'42.385,32.032,22.313,26.428,21.612,244.3,,,,,,
lap,2,1'36.387,26.409,22.152,26.200,21.626,243.7,,,,,,
lap,3,1'36.608,26.416,22.240,26.307,21.645,242.1,,,,,,
lap,4,1'36.596,26.394,22.228,26.279,21.695,243.7,,,,,,
lap,5,1'36.612,26.482,22.204,26.297,21.629,244.3,,,,,,
lap,6,1'36.902,26.468,22.392,26.279,21.763,244.3,,,,,,
lap,7,1'36.940,26.568,22.246,26.416,21.710*,244.3,,,,,,
lap,8,1'36.428,26.401,22.126,26.317,21.584,244.8,,,,,,
lap,9,1'36.530,26.481,22.145,26.255,21.649,244.3,,,,,,
lap,10,1'36.589,26.475,22.235,26.216,21.663,245.4,,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,2nd,72,Total,laps=10,laps=8,
lap,1,1'43.331,32.573,22.430,26.744,21.584,250.0,,,,,,
lap,2,1'37.059,26.773,22.232,26.538,21.516,250.5,,,,,,
lap,3,1'36.680,26.598,22.178,26.150,21.754,251.1,,,,,,
lap,4,1'36.848,26.641,22.310,26.274,21.623,250.5,,,,,,
lap,5,1'36.371,26.537,22.106,26.145,21.583,251.1,,,,,,
lap,6,1'36.607,26.730,22.110,26.223,21.544,247.1,,,,,,
lap,7,1'36.309,26.445,22.053,26.256,21.555,248.2,,,,,,
lap,8,1'36.352,26.555,22.040,26.182,21.575,248.2,,,,,,
lap,9,1'36.352,26.559,22.017,26.235*,21.541,248.2,,,,,,
lap,10,1'36.788,26.666,22.017,26.217,21.888,248.2,,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,3rd,22,Total,laps=10,laps=9,
lap,1,1'43.845,32.860,22.563,26.708,21.714,244.8,,,,,,
lap,2,1'36.958,26.884,22.074,26.308,21.692,245.4,,,,,,
lap,3,1'36.586,26.654,22.003,26.268,21.661,244.8,,,,,,
lap,4,1'36.794,26.723,22.079,26.437,21.555,244.8,,,,,,
lap,5,1'36.999,27.044,22.225,26.272,21.458,244.3,,,,,,
lap,6,1'36.280,26.398,22.015,26.313,21.554,243.2,,,,,,
lap,7,1'36.195,26.356,21.938,26.383,21.518,243.7,,,,,,
lap,8,1'36.325,26.511,22.046,26.278,21.490,244.3,,,,,,
lap,9,1'36.380,26.552,21.998,26.343,21.487,244.3,,,,,,
lap,10,1'36.739,26.586,22.126,26.361,21.666,245.4,,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,4th,10,Total,laps=10,laps=9,
lap,1,1'43.248,32.482,22.389,26.768,21.609,248.2,,,,,,
lap,2,1'37.009,26.704,22.209,26.582,21.514,250.5,,,,,,
lap,3,1'36.429,26.558,22.035,26.315,21.521,246.5,,,,,,
lap,4,1'37.354,26.809,22.393,26.554,21.598,247.1,,,,,,
lap,5,1'37.392,27.268,22.251,26.423,21.450,248.8,,,,,,
lap,6,1'36.624,26.703,22.176,26.271,21.474,246.5,,,,,,
lap,7,1'36.693,26.711,22.136,26.268,21.578,244.3,,,,,,
lap,8,1'36.429,26.610,22.000,26.320,21.499,244.8,,,,,,
lap,9,1'36.569,26.546,22.055,26.398,21.570,244.3,,,,,,
lap,10,1'36.540,26.437,22.029,26.338,21.736,246.0,,,,,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,5th,23,Total,laps=10,laps=9,
lap,1,1'42.894,32.209,22.444,26.593,21.648,241.0,,,,,,
lap,2,1'37.047,26.535,22.472,26.469,21.571,245.4,,,,,,
lap,3,1'36.547,26.451,22.141,26.408,21.547,244.3,,,,,,
lap,4,1'37.079,26.933,22.305,26.334,21.507,244.3,,,,,,
lap,5,1'36.677,26.533,22.108,26.354,21.682,244.8,,,,,,
lap,6,1'37.700,26.620,22.375,27.160,21.545,244.3,,,,,,
lap,7,1'37.295,26.731,22.431,26.380,21.753,244.3,,,,,,
lap,8,1'36.711,26.582,22.189,26.316,21.624,244.3,,,,,,
lap,9,1'37.058,26.615,22.190,26.518,21.735,243.7,,,,,,
lap,10,1'37.101,26.618,22.246,26.399,21.838,243.7,,,,,,
rider,Jake,DIXON,Petronas,Sprinta,Raci,GBR,6th,96,Total,laps=10,laps=8,,
lap,1,1'43.702,33.000,22.501,26.504,21.697,244.3,,,,,,
lap,2,1'36.999,26.630,22.222,26.469,21.678,246.0,,,,,,
lap,3,1'37.876,26.913,22.113,26.278,22.572*,244.8,,,,,,
lap,4,1'38.063,26.797,22.875,26.560,21.831,246.0,,,,,,
lap,5,1'36.971,26.837,22.087,26.329,21.718,246.0,,,,,,
lap,6,1'36.870,26.459,22.187,26.478,21.746,243.2,,,,,,
lap,7,1'36.952,26.546,22.116,26.473,21.817,246.0,,,,,,
lap,8,1'37.195,26.770,22.161,26.574,21.690,243.7,,,,,,
lap,9,1'37.164,26.755,22.149,26.440,21.820,244.8,,,,,,
lap,10,1'37.386,26.670,22.303,26.544,21.869,243.2,,,,,,
rider,Jorge,NAVARRO,Beta,Tools,Speed,Up,SPA,7th,9,Total,laps=10,laps=8,
lap,1,1'43.140,32.321,22.455,244.8,,,,,,,,
lap,2,1'36.993,26.598,22.265,26.540,21.590,245.4,,,,,,
lap,3,1'37.180,26.521,22.238,26.572,21.849,247.1,,,,,,
lap,4,1'37.311,26.987,22.194,246.0,,,,,,,,
lap,5,1'37.128,26.819,22.290,26.408*,21.611,249.4,,,,,,
lap,6,1'37.152,26.679,22.163,26.512,21.798,246.0,,,,,,
lap,7,1'37.468,26.824,22.243,243.2,,,,,,,,
lap,8,1'37.405,26.792,22.228,26.589,21.796,243.2,,,,,,
lap,9,1'37.710,26.918,22.307,26.648,21.837,241.6,,,,,,
lap,10,1'38.048,26.819,22.549,26.708,21.972,245.4,,,,,,
rider,Fabio,DI,GIANNANT,Beta,Tools,Speed,Up,ITA,8th,21,Total,laps=10,laps=9
lap,1,1'43.467,32.683,22.501,26.683,21.600,243.7,,,,,,
lap,2,1'37.989,27.011,22.262,26.590,22.126,246.5,,,,,,
lap,3,1'36.961,26.627,22.134,26.592,21.608,241.6,,,,,,
lap,4,1'36.720,26.444,22.200,242.1,,,,,,,,
lap,5,1'37.008,26.531,22.301,26.494,21.682,244.3,,,,,,
lap,6,1'37.169,26.676,22.205,26.562,21.726,243.2,,,,,,
lap,7,1'37.253,26.767,22.180,26.611,21.695,242.6,,,,,,
lap,8,1'37.505,26.760,22.284,26.627,21.834,242.6,,,,,,
lap,9,1'37.932,26.840,22.346,26.613,22.133,242.6,,,,,,
lap,10,1'37.677,26.757,22.350,26.594,21.976,246.0,,,,,,
rider,Thomas,LUTHI,Liqui,Moly,Intact,GP,SWI,9th,12,Total,laps=10,laps=8,
lap,1,1'44.171,33.190,22.941,26.378,21.662,246.5,,,,,,
lap,2,1'37.117,26.919,22.272,26.223,21.703,247.7,,,,,,
lap,3,1'37.644,26.945,22.112,26.643,21.944,245.4,,,,,,
