0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,September 25,Moto2,Circuit de Barcelona,FP1,,,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,1st,22,Total,laps=17,laps=12
lap,1,2'57.607,21.688,35.925,23.025,33.671,162.8,,,,,
lap,2,1'47.495,19.300,33.351,22.204,32.640*,283.4,,,,,
lap,3,1'52.196,19.118,33.838,22.040,37.200,284.2,,,,,
lap,4,1'46.692,18.868,33.289,22.147,32.388,285.7,,,,,
lap,5,1'46.009,18.777,33.126,21.945,32.161,284.9,,,,,
lap,6,1'46.121,18.865,32.911,21.981,32.364,283.4,,,,,
lap,7,1'45.623,18.774,32.865,21.895,32.089,284.2,,,,,
lap,8,1'48.904,18.822,35.216,22.227,32.639,283.4,,,,,
lap,9,1'45.682,18.697,32.910,21.944,32.131,284.2,,,,,
lap,10,2'05.004,P,19.460,36.506,24.333,44.705,284.9,,,,
lap,11,10'32.889,27.234,35.808,22.196,32.214,146.9,,,,,
lap,12,1'44.980,18.778,32.628,21.826,31.748,282.7,,,,,
lap,13,1'44.580,18.603,32.484,21.793,31.700,284.9,,,,,
lap,14,1'44.310,18.427,32.402,21.754,31.727,286.4,,,,,
lap,15,1'44.122,18.461,32.429,21.648,31.584,288.0,,,,,
lap,16,1'57.157,20.990,36.248,26.444,33.475,287.2,,,,,
lap,17,1'50.430,19.439*,35.494*,22.315,33.182,285.7,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,2nd,10,Total,laps=20,laps=14
lap,1,1'52.109,23.600,34.584,22.853,32.883,198.1,,,,,
lap,2,1'47.275,19.376,33.300,22.278,32.321,282.7,,,,,
lap,3,1'46.317,18.954,32.899,22.137,32.327,284.2,,,,,
lap,4,1'45.642,18.748,32.791,21.947,32.156,285.7,,,,,
lap,5,1'47.419,18.820,33.028,21.949,33.622,285.7,,,,,
lap,6,1'45.480,18.700,32.680,21.752,32.348,285.7,,,,,
lap,7,1'45.902,18.614,32.682,22.266,32.340,286.4,,,,,
lap,8,1'45.723,18.801,32.761,21.977,32.184,284.9,,,,,
lap,9,1'45.712,18.824,32.791,21.904*,32.193,284.2,,,,,
lap,10,1'55.447,18.792,34.766,24.616,37.273,284.9,,,,,
lap,11,1'47.144,19.243,33.273,22.204,32.424,284.9,,,,,
lap,12,1'45.698,18.771,32.739,21.947,32.241,284.2,,,,,
lap,13,1'56.515,P,18.728,32.677,22.017,43.093,285.7,,,,
lap,14,6'07.284,21.159,34.166,22.601,32.559,187.8,,,,,
lap,15,1'45.539,19.104,32.781,21.761,31.893,280.5,,,,,
