0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,September 26,Moto2,Circuit de Barcelona,Q2,,,,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,1st,10,Total,laps=9,laps=6
lap,1,1'46.613,18.899,33.403,21.894,31.809,201.1,,,,,
lap,2,1'43.959,18.458,32.444,21.524,31.533,285.7,,,,,
lap,3,1'43.603,18.401,32.301,21.433,31.468,287.2,,,,,
lap,4,1'43.355,18.298,32.227,21.453,31.377,287.2,,,,,
lap,5,1'43.739,18.339,32.273,21.524*,31.603,288.0,,,,,
lap,6,1'43.548,18.316,32.297,21.504,31.431,287.2,,,,,
lap,7,1'43.591,18.309,32.297,21.493,31.492,285.7,,,,,
lap,8,1'43.869,18.355,32.503,21.541,31.470,284.9,,,,,
lap,9,1'44.445,18.355,32.394,21.513*,32.183,286.4,,,,,
rider,Jorge,NAVARRO,HDR,Heidrun,Speed,SPA,2nd,9,Total,laps=8,laps=6,
lap,1,3'40.405,20.817,33.949,22.030,32.011,182.4,,,,,
lap,2,1'44.113,18.632,32.325,21.584,31.572,282.7,,,,,
lap,3,1'43.536,18.272,32.268,21.504,31.492,287.2,,,,,
lap,4,1'44.037,18.384,32.332,21.618,31.703,286.4,,,,,
lap,5,1'43.751,18.357,32.309,21.498,31.587*,284.2,,,,,
lap,6,1'43.873,18.349,32.440,21.593,31.491,283.4,,,,,
lap,7,1'43.890,18.358,32.381,21.552,31.599,283.4,,,,,
lap,8,1'44.062,18.369,32.416,21.614,31.663,283.4,,,,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,3rd,22,Total,laps=8,laps=7
lap,1,2'44.167,21.007,33.694,22.097,32.335,166.1,,,,,
lap,2,1'44.304,18.650,32.436,21.569,31.649,284.9,,,,,
lap,3,1'43.711,18.443,32.307,21.464,31.497,285.7,,,,,
lap,4,1'48.004,18.283,34.949,22.670,32.102,286.4,,,,,
lap,5,1'43.927,18.397,32.351,21.615,31.564,287.2,,,,,
lap,6,1'43.637,18.331,32.237,21.597,31.472,285.7,,,,,
lap,7,1'43.639,18.335,32.293,21.486,31.525,286.4,,,,,
lap,8,1'49.323,18.314,36.607,22.204,32.198,285.7,,,,,
rider,Fabio,DI,GIANNANT,HDR,Heidrun,Speed,ITA,4th,21,Total,laps=9,laps=8
lap,1,2'22.830,21.181,33.795,22.314,42.437*,151.0,,,,,
lap,2,1'44.465,18.760,32.425,21.616,31.664,284.9,,,,,
