0,1,2,3,4,5,6,7,8,9
const,2020,September 27,Moto2,Circuit de Barcelona,RACE,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,1st,10
lap,1,1'47.807,21.940,32.595,21.711,31.561,241.0,,
lap,2,1'44.052,18.519,32.419,21.591,31.523,284.9,,
lap,3,1'44.165,18.489,32.474,21.602,31.600,286.4,,
lap,4,1'43.998,18.487,32.411,21.586,31.514,285.7,,
lap,5,1'43.903,18.490,32.406,21.587,31.420,284.9,,
lap,6,1'43.948,18.472,32.383,21.481,31.612,284.9,,
lap,7,1'43.853,18.359,32.386,21.613,31.495,285.7,,
lap,8,1'44.002,18.446,32.454,21.625,31.477,284.9,,
lap,9,1'43.951,18.445,32.395,21.535,31.576,284.9,,
lap,10,1'44.386,18.822,32.499,21.571,31.494,285.7,,
lap,11,1'43.899,18.454,32.380,21.581,31.484,285.7,,
lap,12,1'43.848,18.400,32.324,21.563,31.561,285.7,,
lap,13,1'43.862,18.408,32.419,21.548,31.487,285.7,,
lap,14,1'44.099,18.446,32.420,21.608,31.625,285.7,,
lap,15,1'43.942,18.449,32.373,21.644,31.476,285.7,,
lap,16,1'44.037,18.662,32.391,21.564,31.420,286.4,,
lap,17,1'43.829,18.384,32.290,21.597,31.558,290.3,,
lap,18,1'43.687,18.347,32.332,21.540,31.468,289.5,,
lap,19,1'43.768,18.386,32.351,21.601,31.430,290.3,,
lap,20,1'44.168,18.401,32.501,21.649,31.617,291.1,,
lap,21,1'43.834,18.424,32.318,21.520,31.572,285.7,,
lap,22,1'44.065,18.420,32.413,21.519,31.713,284.9,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,2nd,22
lap,1,1'49.116,22.743,32.916,21.694,31.763,242.6,,
lap,2,1'43.998,18.485,32.339,21.704,31.470,294.2,,
lap,3,1'44.137,18.353,32.580,21.768,31.436,294.2,,
lap,4,1'43.627,18.394,32.233,21.594,31.406,286.4,,
lap,5,1'43.766,18.397,32.317,21.625,31.427,288.7,,
lap,6,1'43.621,18.389,32.295,21.544,31.393,289.5,,
lap,7,1'44.905,18.354,32.429,21.501,32.621,289.5,,
lap,8,1'43.544,18.299,32.172,21.614,31.459,285.7,,
lap,9,1'43.660,18.456,32.168,21.564,31.472,284.9,,
