0,1,2,3,4,5,6,7,8,9
const,2020,September 27,Moto2,Circuit de Barcelona,WUP,,,,
rider,Luca,MARINI,SKY,Racing,Team,VR,ITA,1st,10
lap,1,2'40.815,20.491,34.364,22.703*,32.603,199.6,,
lap,2,1'46.296,19.035,33.112,21.907,32.242,288.0,,
lap,3,1'44.789,18.634,32.644,21.858,31.653,288.0,,
lap,4,1'44.535,18.489,32.622,21.859,31.565,288.7,,
lap,5,1'44.291,18.464,32.556,21.709,31.562,288.7,,
lap,6,1'44.069,18.406,32.479,21.592,31.592,288.7,,
lap,7,1'44.086,18.352,32.514,21.656,31.564,289.5,,
lap,8,1'43.924,18.404,32.439,21.633,31.448,288.7,,
lap,9,1'54.265,P,18.312,32.521,21.723,41.709,288.7,
lap,10,3'53.605,21.703,34.356,22.739,33.696,193.5,,
rider,Sam,LOWES,EG,"0,0",Marc,VDS,GBR,2nd,22
lap,1,2'30.091,19.904,34.666,23.071*,32.631,191.4,,
lap,2,1'45.496,18.952,32.796,21.810,31.938*,284.2,,
lap,3,1'44.813,18.763,32.634,21.669,31.747,285.7,,
lap,4,1'44.148,18.537,32.445,21.629,31.537,285.7,,
lap,5,1'44.439,18.475,32.450,21.691,31.823,286.4,,
lap,6,1'44.098,18.513,32.391,21.616,31.578,287.2,,
lap,7,1'44.147,18.436,32.434,21.634,31.643,289.5,,
lap,8,1'48.179,19.517*,34.762*,21.821,32.079,291.1,,
lap,9,1'44.046,18.495,32.463,21.626,31.462,288.7,,
lap,10,1'44.551,18.529,32.334,21.650,32.038*,289.5,,
lap,11,1'44.746,18.437,32.547,21.750,32.012*,288.7,,
lap,12,1'44.215,18.470,32.437,21.659,31.649,288.7,,
rider,Jorge,MARTIN,Red,Bull,KTM,Ajo,SPA,3rd,88
lap,1,2'16.534,22.825,34.037,22.230*,33.191,123.7,,
lap,2,1'45.392,18.746,33.016,21.698,31.932,288.7,,
lap,3,1'50.605,18.925,33.183,21.659,36.838,290.3,,
lap,4,1'44.669,18.576,32.649,21.656,31.788,290.3,,
lap,5,1'44.415,18.457,32.497,21.749,31.712,292.6,,
lap,6,1'44.261,18.519,32.480,21.593,31.669,291.1,,
lap,7,1'47.993,19.405*,34.910*,21.793,31.885,290.3,,
lap,8,1'44.150,18.480,32.481,21.547,31.642,289.5,,
lap,9,1'44.424,18.516,32.592,21.618,31.698,289.5,,
lap,10,1'45.839,18.504,32.609,21.636,33.090*,288.7,,
lap,11,1'44.711,18.588,32.555,21.798,31.770*,287.2,,
lap,12,1'44.527,18.645,32.518,21.533,31.831*,288.0,,
rider,Aron,CANET,Inde,Aspar,Team,Mot,SPA,4th,44
lap,1,2'14.889,21.346,34.139,23.158*,32.971,171.7,,
lap,2,1'45.842,19.045,32.815,21.807,32.175,285.7,,
lap,3,1'52.082,20.065,33.753,21.827,36.437,291.1,,
lap,4,1'44.481,18.617,32.520,21.693,31.651,287.2,,
lap,5,1'55.060,P,18.610,32.505,21.764,42.181,294.2,
lap,6,4'02.842,19.927,34.833,21.916,31.729,165.3,,
lap,7,1'44.769,18.780,32.643,21.757,31.589,279.7,,
lap,8,1'44.378,18.618,32.575,21.549,31.636,281.2,,
lap,9,1'44.774,18.602,32.561,21.669,31.942*,280.5,,
lap,10,1'44.309,18.500,32.478,21.658,31.673,281.2,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,5th,23
lap,1,3'06.036,22.206,34.587,22.615*,32.415,187.1,,
lap,2,1'45.505,18.837,32.845,21.819*,32.004,281.9,,
lap,3,1'44.758,18.583,32.709,21.686,31.780,283.4,,
lap,4,1'44.550,18.605,32.597,21.650*,31.698,284.2,,
lap,5,1'44.570,18.630,32.595,21.647,31.698,283.4,,
lap,6,1'44.356,18.561,32.478,21.609,31.708,284.2,,
