0,1,2,3,4,5,6,7,8,9,10
const,2020,October 09,Moto3,Le Mans,FP1,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,1st,17,,
lap,1,5'23.307,39.427,29.720,35.055,33.038*,,,,
lap,2,2'00.874,29.175,26.902,33.391,31.406,206.4,,,
lap,3,2'02.580,30.573*,27.034,33.623,31.350,208.6,,,
lap,4,1'57.774,28.067,26.055,33.032,30.620,208.6,,,
lap,5,1'59.830,29.291*,26.373,33.190,30.976,210.8,,,
lap,6,1'58.902,28.423*,26.028,33.135,31.316,210.8,,,
lap,7,1'57.790,27.982*,25.721,32.905,31.182,209.9,,,
lap,8,2'02.168,27.967,25.853,37.397,30.951,214.9,,,
lap,9,1'57.781,27.542,26.043,33.366,30.830,210.3,,,
lap,10,1'57.673,28.356,25.912,32.922,30.483,213.9,,,
lap,11,1'56.876,27.807,25.875,32.768,30.426,209.9,,,
lap,12,1'55.616,27.655,25.454,32.299,30.208,209.4,,,
lap,13,1'55.274,27.485,25.312,32.431,30.046*,209.9,,,
lap,14,1'55.716,27.676,25.379,32.442,30.219,209.9,,,
lap,15,1'55.217,27.585,25.143,32.243,30.246,209.0,,,
lap,16,1'56.194,27.551,25.252,32.441,30.950,209.0,,,
lap,17,1'56.653,28.326,25.563,32.373,30.391,212.1,,,
lap,18,1'56.422,27.487,25.644,32.651,30.640*,210.8,,,
lap,19,1'55.382,27.455,25.345,32.345,30.237,209.4,,,
rider,2nd,16,Andrea,MIGNO,SKY,Racing,Team,VR,ITA,
lap,1,3'11.296,41.513,29.664,35.901,32.590,,,,
lap,2,2'02.232,29.583,27.296,34.028,31.325,208.6,,,
lap,3,1'59.073,28.232,26.350,33.488,31.003,211.7,,,
lap,4,1'58.634,28.516*,26.449,33.175,30.494,212.6,,,
lap,5,1'57.159,27.781,25.906,33.093,30.379,212.6,,,
lap,6,1'57.725,27.900,25.969,33.392,30.464,214.4,,,
lap,7,1'56.955,27.812,25.547,33.333,30.263,212.1,,,
lap,8,1'56.848,28.050,25.639,32.860,30.299,211.2,,,
lap,9,1'55.866,27.758,25.556,32.560,29.992,211.7,,,
lap,10,1'55.795,27.893,25.477,32.492,29.933,212.1,,,
lap,11,1'55.432,27.573,25.438,32.452,29.969,210.8,,,
lap,12,1'58.902,28.765,26.611,33.072,30.454,209.4,,,
lap,13,1'55.952,27.983,25.305,32.555,30.109,209.9,,,
lap,14,1'55.530,28.023,25.336,32.238,29.933,210.3,,,
lap,15,1'56.763,28.228,25.612,32.733,30.190,210.8,,,
lap,16,1'56.481,27.919,25.657,32.761,30.144,209.9,,,
lap,17,1'55.320,27.786,25.289,32.194,30.051*,209.9,,,
lap,18,1'55.472,27.873,25.285,32.356,29.958,209.9,,,
lap,19,1'54.810,27.530,25.220,32.190,29.870*,210.8,,,
lap,20,1'56.547,28.159*,25.407,32.697,30.284,211.2,,,
rider,Albert,ARENAS,Gaviota,Aspar,Team,SPA,3rd,75,,
lap,1,4'38.376,35.071,30.272,36.664,33.317,,,,
lap,2,2'02.996,29.021,28.051,34.101,31.823,209.0,,,
lap,3,2'01.359,28.858*,27.458,33.580,31.463,208.1,,,
lap,4,1'58.719,28.257,26.579,33.207,30.676,209.4,,,
lap,5,1'58.263,28.203,26.606,32.931,30.523,209.4,,,
lap,6,1'57.549,27.983,26.341,32.862,30.363,209.9,,,
lap,7,1'57.404,27.782,26.493,32.625,30.504,209.9,,,
lap,8,1'56.781,27.569,26.330,32.596,30.286,210.3,,,
lap,9,1'56.694,27.617,26.100,32.805,30.172,211.2,,,
lap,10,1'56.280,27.482,26.114,32.598,30.086,211.2,,,
lap,11,1'55.589,27.378,25.856,32.193,30.162,210.8,,,
lap,12,1'58.423,P,27.476,25.897,32.433,32.617,210.3,,
lap,13,7'57.503,34.536,26.640,33.087,30.649*,,,,
lap,14,1'57.043,27.797,26.166,32.797,30.283,210.3,,,
lap,15,1'56.314,27.608,25.873,32.413,30.420*,211.2,,,
lap,16,1'58.072,28.289*,26.198,32.999,30.586,210.3,,,
rider,Filip,SALAC,Rivacold,Snipers,Tea,CZE,4th,12,,
lap,1,5'12.302,41.755,29.611,36.037,32.836,,,,
lap,2,2'02.726,29.040,27.379,34.062,32.245,209.0,,,
lap,3,2'02.388,29.094*,27.158,34.142,31.994,209.4,,,
lap,4,2'02.089,28.340,26.820,33.734,33.195,210.3,,,
lap,5,1'59.383,28.283*,26.617,33.339,31.144,209.9,,,
lap,6,1'58.760,28.188*,26.527,33.159,30.886,209.0,,,
lap,7,1'57.676,28.053,26.347,32.795,30.481,209.4,,,
lap,8,1'56.313,27.756,25.959,32.285,30.313,210.3,,,
lap,9,1'55.845,27.643,25.757,32.198,30.247,210.8,,,
lap,10,2'04.023,P,28.488,29.521,33.065,32.949,213.9,,
lap,11,7'30.981,37.182,26.794,33.062,30.646,,,,
lap,12,1'56.367,27.686,26.012,32.466,30.203,209.0,,,
lap,13,2'00.984,28.157,26.528,33.068,33.231*,211.7,,,
lap,14,1'56.866,27.690,26.090,32.470,30.616,209.0,,,
lap,15,1'57.547,28.055,25.724,32.450,31.318*,208.1,,,
lap,16,1'58.776,29.097,26.316,32.877,30.486,211.7,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,5th,25,
lap,1,3'05.541,37.499,30.456,35.935,33.572,,,,
lap,2,2'03.824,29.357,27.991,34.576,31.900,206.8,,,
lap,3,2'00.429,28.771,26.847,33.692,31.119,206.0,,,
lap,4,1'59.435,29.150*,26.346,33.163,30.776,206.8,,,
lap,5,1'57.324,27.909,25.970,32.963,30.482,208.1,,,
lap,6,1'57.728,27.997,26.071,32.984,30.676,208.1,,,
lap,7,1'56.349,27.767,25.927,32.472,30.183,209.0,,,
lap,8,1'56.537,27.552,25.965,32.740,30.280,209.0,,,
lap,9,2'05.861,P,29.202,27.901,34.708,34.050,202.6,,
lap,10,10'58.722,40.219,28.393,33.922,31.588,,,,
lap,11,1'58.949,28.651,26.812,32.934,30.552,210.3,,,
lap,12,1'57.329,28.152,26.093,32.590,30.494,207.7,,,
lap,13,1'57.122,28.182,26.049,32.633,30.258,207.7,,,
lap,unfinished,27.993,26.053,32.310,207.7,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,6th,5,,,
lap,1,3'48.310,38.239,29.343,37.659,35.535,,,,
lap,2,2'05.238,30.463*,28.108,34.808,31.859*,214.4,,,
lap,3,1'59.339,28.721,26.563,33.243,30.812,212.1,,,
lap,4,2'00.975,29.515,26.941,33.743,30.776,213.9,,,
lap,5,1'58.209,28.240*,26.191,33.202,30.576,214.9,,,
lap,6,2'00.173,28.273,26.393,34.788,30.719,211.2,,,
lap,7,1'58.253,28.076*,25.953,33.435*,30.789,214.4,,,
lap,8,1'57.578,28.488,25.923,32.884,30.283,212.6,,,
lap,9,2'04.950,P,29.336*,26.951,34.265,34.398,214.4,,
lap,10,9'29.758,42.584,28.280,33.696,30.801*,,,,
lap,11,1'58.107,28.178,26.019,33.036,30.874,214.9,,,
lap,12,1'57.472,28.000,25.916,33.223,30.333,214.4,,,
lap,13,1'58.186,27.809,25.985,34.073,30.319,214.4,,,
lap,14,1'56.477,27.813,25.843,32.625,30.196,214.4,,,
lap,15,1'56.639,27.663,25.828,32.840,30.308,215.3,,,
lap,16,2'03.625,P,28.302,26.958,34.118,34.247,213.9,,
rider,Sergio,GARCIA,Estrella,Galicia,"0,0",SPA,7th,11,,
lap,1,3'53.890,35.146,28.960,34.976,32.311,,,,
lap,2,2'00.914,27.800*,27.135,34.213,31.766*,208.6,,,
lap,3,1'58.464,27.838,26.543,33.308,30.775,210.8,,,
lap,4,1'59.547,27.821,27.237,33.375,31.114,209.4,,,
lap,5,1'59.017,27.902*,26.717,33.503,30.895,208.1,,,
lap,6,1'58.933,27.855,26.779,33.379,30.920,208.6,,,
lap,7,1'59.608,28.260*,26.821,33.598,30.929,207.7,,,
lap,8,1'59.082,28.830,26.502,32.961,30.789,209.4,,,
lap,9,1'58.034,27.583,26.606,33.006,30.839,211.2,,,
lap,10,2'04.911,P,27.864,27.071,34.741,35.235,209.9,,
lap,11,6'16.044,38.195,28.066,34.198,31.379,,,,
lap,12,1'58.401,28.042*,26.699,33.032,30.628,208.6,,,
lap,13,1'56.489,27.558,26.178,32.566,30.187,210.3,,,
lap,unfinished,27.424,25.828,32.473,210.3,,,,,
rider,Stefano,NEPA,Gaviota,Aspar,Team,ITA,8th,82,,
lap,1,4'39.908,35.925,29.676,36.266,32.535,,,,
lap,2,2'02.868,28.786,27.892,34.551,31.639,209.4,,,
lap,3,2'01.802,28.580*,27.426,34.375,31.421,213.5,,,
lap,4,2'01.462,28.594,27.040,34.100,31.728,210.8,,,
lap,5,1'59.701,28.472,26.743,33.704,30.782,211.7,,,
lap,6,1'59.953,28.294,26.625,33.956,31.078,211.2,,,
lap,7,1'58.831,28.077,26.592,33.364,30.798,210.8,,,
lap,8,1'57.737,27.894,26.250,33.098,30.495,211.2,,,
lap,9,2'04.481,P,28.664,27.322,35.580*,32.915,211.2,,
lap,10,6'51.467,36.593,27.212,33.610,30.582,,,,
lap,11,1'57.520,27.930*,26.141,32.904,30.545*,210.3,,,
lap,12,1'57.177,27.963,26.035,32.725,30.454,211.2,,,
lap,13,1'56.918,27.880,25.856,32.869,30.313,209.9,,,
lap,14,1'56.814,27.966,25.860,32.783,30.205,210.3,,,
lap,15,1'57.800,27.758,25.749,32.641,31.652,211.2,,,
lap,16,1'56.690,27.785,25.606,32.774,30.525,211.2,,,
rider,Yuki,KUNII,Honda,Team,Asia,JPN,9th,92,,
lap,1,3'04.940,37.459,28.501,35.302,32.113,,,,
lap,2,2'00.461,28.554,27.669,33.419,30.819,207.3,,,
lap,3,1'59.136,27.951,26.722,33.346,31.117,207.3,,,
lap,4,2'00.233,28.454*,27.041,33.649,31.089,207.7,,,
lap,5,1'59.136,28.345,26.709,33.287,30.795,208.6,,,
lap,6,1'58.275,28.224,26.499,33.059,30.493,208.1,,,
lap,7,1'57.240,27.929,26.362,32.587,30.362,208.1,,,
lap,8,1'57.295,27.968,26.196,32.682,30.449,208.1,,,
lap,9,2'03.106,P,28.545,26.845,34.132,33.584,208.6,,
lap,10,8'20.524,41.610,28.049,32.998,31.011,,,,
lap,11,1'58.850,28.103,26.322,33.332,31.093*,209.9,,,
lap,12,1'57.416,28.300,26.143,32.567,30.406,207.7,,,
lap,13,1'57.218,27.967,26.211,32.545,30.495,208.1,,,
lap,14,1'57.207,28.137,26.218,32.375,30.477,207.7,,,
lap,15,1'56.940,27.970,26.021,32.320*,30.629*,208.6,,,
lap,16,1'57.179,27.777,25.978,32.736,30.688,209.0,,,
lap,17,1'56.757,27.801,25.973,32.571,30.412,208.1,,,
rider,Kaito,TOBA,Red,Bull,KTM,Ajo,JPN,10th,27,
lap,1,3'06.999,38.151,30.590,35.882,33.421,,,,
lap,2,2'04.007,29.032,27.672,34.585,32.718,211.2,,,
lap,3,2'00.119,28.399,26.921,33.613,31.186,213.5,,,
lap,4,1'59.590,28.469*,26.856,33.388,30.877,213.5,,,
lap,5,1'57.338,27.759,26.209,32.929,30.441,213.5,,,
lap,6,1'57.106,27.517,26.296,32.772,30.521,213.0,,,
lap,7,2'08.724,P,27.820,26.198,38.311,36.395,211.2,,
lap,8,14'47.647,41.874,28.716,34.370,32.282,,,,
lap,9,2'00.104,28.713,27.315,33.333,30.743,203.0,,,
lap,10,1'57.093,27.899,26.256,32.468,30.470,210.8,,,
lap,11,1'57.328,28.034,26.225,32.538,30.531,210.3,,,
lap,12,1'56.820,27.829,26.071,32.465,30.455,210.8,,,
lap,13,2'11.386,P,28.022*,26.345,39.496,37.523,210.3,,
rider,Romano,FENATI,Sterilgarda,Max,Racin,ITA,11th,55,,
lap,1,6'54.108,P,3'46.493,32.579,,,,,
lap,2,9'31.780,40.930,28.891,37.260,32.768,,,,
lap,3,2'02.347,28.972,27.395,34.346,31.634,208.6,,,
lap,4,2'00.751,28.740,26.657,34.068,31.286,207.7,,,
lap,5,1'58.652,28.101,26.299,33.241,31.011,210.3,,,
lap,6,1'58.478,28.048,26.291,33.375,30.764,209.0,,,
lap,7,1'57.589,28.086,26.043,32.979,30.481,209.4,,,
lap,8,1'56.978,27.956,25.881,32.868,30.273,209.0,,,
lap,9,1'58.423,28.900*,26.134,32.913,30.476,209.9,,,
lap,10,1'56.902,27.898,25.791,32.589,30.624,209.4,,,
lap,11,1'57.203,28.261,25.817,32.453,30.672*,207.7,,,
