0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,October 10,Moto3,Le Mans,FP3,,,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,1st,25,Total,laps=17,laps=9,
lap,1,2'57.524,33.233,25.384,30.965,28.280,,,,,,,
lap,2,1'47.291,26.101,23.649,30.244,27.297,211.2,,,,,,
lap,3,1'45.611,25.116,23.262,30.230,27.003,212.6,,,,,,
lap,4,1'44.636,24.931,23.068,29.804,26.833,212.6,,,,,,
lap,5,1'52.162,P,26.950,24.777,30.423,30.012,212.6,,,,,
lap,6,6'11.216,25.232,24.183,30.407,28.155,,,,,,,
lap,7,1'43.816,24.999,22.790,29.260,26.767*,214.4,,,,,,
lap,8,1'43.511,24.869,22.791,29.426,26.425,213.0,,,,,,
lap,9,1'50.427,24.804,22.680,34.695*,28.248,213.9,,,,,,
lap,10,1'43.206,24.797,22.670,29.306,26.433,213.9,,,,,,
lap,11,1'49.906,P,24.761,23.423,33.006*,28.716,219.6,,,,,
lap,12,7'20.708,24.929,23.380,29.554,27.003,,,,,,,
lap,13,1'42.681,24.784,22.604,29.110,26.183,213.5,,,,,,
lap,14,1'42.413,24.634,22.543,29.034,26.202,214.4,,,,,,
lap,15,1'43.568,24.849*,23.123,29.272,26.324,213.9,,,,,,
lap,16,1'42.252,24.563,22.397,28.967,26.325,215.8,,,,,,
lap,17,1'42.153,24.555,22.496,28.966,26.136,216.3,,,,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,2nd,13,Total,laps=20,laps=13,
lap,1,2'59.232,42.013,25.660,31.112,28.704,,,,,,,
lap,2,1'47.120,25.614,23.974,30.013,27.519,217.7,,,,,,
lap,3,1'45.502,25.020,23.445,29.891,27.146,218.2,,,,,,
lap,4,1'44.889,24.973,23.203,29.575,27.138,215.3,,,,,,
lap,5,1'44.522,24.793,23.081,29.740,26.908,221.1,,,,,,
lap,6,1'44.379,24.878,23.156,29.510,26.835,215.8,,,,,,
lap,7,1'44.199,24.865,23.025,29.573,26.736,215.8,,,,,,
lap,8,1'43.742,24.724,22.925,29.446,26.647,215.3,,,,,,
lap,9,1'43.827,24.788,22.968,29.351,26.720,215.3,,,,,,
lap,10,1'43.766,24.718,22.893,29.500,26.655,213.9,,,,,,
lap,11,1'48.821,P,24.753*,24.091,30.571,29.406,213.5,,,,,
lap,12,4'46.055,34.416,24.354,29.685,26.780,,,,,,,
lap,13,1'42.930,24.588,22.782,29.139,26.421,217.7,,,,,,
lap,14,1'43.220,24.741,22.846,29.112,26.521,220.1,,,,,,
lap,15,1'47.572,P,24.818*,23.836,29.868,29.050,215.3,,,,,
lap,16,3'54.789,24.311,23.932,29.917,27.353,,,,,,,
lap,17,1'45.396,24.921,22.883,29.301,28.291,217.7,,,,,,
lap,18,1'51.204,24.626,22.662,29.352,34.564,222.5,,,,,,
lap,19,1'43.029,24.683,22.797,29.259*,26.290,219.1,,,,,,
lap,20,1'42.198,24.353,22.598,29.029,26.218,219.1,,,,,,
rider,Romano,FENATI,Sterilgarda,Max,Racin,ITA,3rd,55,Total,laps=15,laps=12,,
lap,1,8'45.128,27.592,23.934,32.458*,27.112,,,,,,,
lap,2,1'44.802,24.872,23.199,29.797,26.934,216.7,,,,,,
lap,3,1'44.201,24.847,22.885,29.806,26.663,216.3,,,,,,
lap,4,1'43.558,24.780,22.677,29.564,26.537,215.3,,,,,,
lap,5,1'43.536,24.770,22.694,29.633,26.439,215.3,,,,,,
lap,6,1'43.257,24.781,22.611,29.491,26.374,214.9,,,,,,
lap,7,1'46.566,P,24.954,22.869,30.009,28.734,214.4,,,,,
lap,8,9'45.902,25.003,23.371,29.518,26.710,,,,,,,
lap,9,1'42.621,24.586,22.547,29.222,26.266,216.3,,,,,,
lap,10,1'42.615,24.533,22.437,29.360,26.285,215.8,,,,,,
lap,11,1'42.537,24.612,22.485,29.241,26.199,215.3,,,,,,
lap,12,1'43.383,24.882,22.869,29.400,26.232,214.9,,,,,,
lap,13,1'42.646,24.689,22.557,29.228,26.172,214.4,,,,,,
lap,14,1'42.431,24.536,22.532,29.194,26.169,214.4,,,,,,
lap,15,1'42.451,24.617,22.518,29.170,26.146,214.9,,,,,,
rider,Andrea,MIGNO,SKY,Racing,Team,VR,ITA,4th,16,Total,laps=19,laps=12,
lap,1,3'03.595,37.652,26.155,31.865,29.323,,,,,,,
lap,2,1'49.435,26.283,24.148,31.027,27.977,216.3,,,,,,
lap,3,1'46.680,25.432,23.595,30.057,27.596,219.6,,,,,,
lap,4,1'46.498,25.226,23.234,30.368,27.670,219.6,,,,,,
lap,5,1'46.576,25.131,23.470,30.252,27.723,216.7,,,,,,
lap,6,1'44.509,25.171,23.008,29.486,26.844,216.7,,,,,,
lap,7,1'49.909,P,25.112,23.332,29.905,31.560,217.2,,,,,
lap,8,4'17.121,25.371,23.465,29.607,26.829,,,,,,,
lap,9,1'43.584,24.761,22.772,29.413,26.638,217.7,,,,,,
lap,10,1'47.102,24.558,22.767,32.010,27.767,221.1,,,,,,
lap,11,1'43.208,24.718,22.684,29.141,26.665,217.2,,,,,,
lap,12,1'58.517,24.868,37.125,29.886,26.638,218.6,,,,,,
lap,13,1'43.003,24.655,22.718,29.286,26.344,217.7,,,,,,
lap,14,1'47.493,P,24.682,22.884,30.926,29.001,217.7,,,,,
lap,15,5'36.492,24.564,23.833,29.708,26.908,,,,,,,
lap,16,1'45.116,25.068,22.999,29.282,27.767,216.7,,,,,,
lap,17,1'47.585,24.765,22.782,29.935,30.103,219.1,,,,,,
lap,18,1'50.436,24.723,23.971,34.511,27.231*,216.3,,,,,,
lap,19,1'42.545,24.615,22.630,28.987,26.313,218.2,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,5th,14,Total,laps=16,laps=9,,
lap,1,3'09.434,31.882,24.075,30.354,28.707,,,,,,,
lap,2,1'47.520,25.577,23.610,29.819*,28.514*,217.2,,,,,,
lap,3,1'44.561,25.042,23.162,29.543,26.814,218.2,,,,,,
lap,4,1'44.743,24.861,23.114,29.524,27.244,219.1,,,,,,
lap,5,1'51.115,24.734,24.875,31.913,29.593,220.1,,,,,,
lap,6,1'44.425,24.870,22.984,29.472,27.099,218.2,,,,,,
lap,7,1'48.665,P,24.728,24.042,29.962,29.933,222.5,,,,,
lap,8,7'46.498,25.018,24.554,34.134,30.538,,,,,,,
lap,9,1'44.149,24.890,23.108,29.439,26.712,219.6,,,,,,
lap,10,1'47.471,24.731,22.994,32.757,26.989,218.6,,,,,,
lap,11,1'43.277,24.630,22.935,29.248,26.464,218.6,,,,,,
lap,12,1'48.905,P,24.769,24.635,29.650,29.851,222.5,,,,,
lap,13,7'26.520,36.556,26.376,29.964,32.446,,,,,,,
lap,14,1'52.544,24.713,22.962,36.495*,28.374,217.2,,,,,,
lap,15,1'42.574,24.542,22.629,29.048,26.355,222.0,,,,,,
lap,16,1'42.553,24.473,22.723,29.063,26.294,220.6,,,,,,
rider,6th,75,Albert,ARENAS,Gaviota,Aspar,Team,SPA,Total,laps=14,laps=9,,
lap,1,3'09.839,30.385,23.998,30.198,28.829,,,,,,,
lap,2,1'45.462,25.247,23.419,29.633,27.163,218.2,,,,,,
lap,3,1'44.851,25.022,23.142,29.713,26.974,217.7,,,,,,
lap,4,1'48.991,25.026,23.089,31.759,29.117,220.1,,,,,,
lap,5,1'43.841,24.855,22.846,29.243,26.897,218.2,,,,,,
lap,6,1'43.470,24.830,22.810,29.351,26.479,218.6,,,,,,
lap,7,1'48.870,P,25.883,23.572,30.313,29.102,201.0,,,,,
lap,8,9'38.671,36.160,25.364,29.579,27.006,,,,,,,
lap,9,1'43.652,24.733,22.914,29.464,26.541,218.2,,,,,,
lap,10,1'43.070,24.645,22.823,29.184,26.418,220.1,,,,,,
lap,11,1'49.264,P,25.005,25.286,29.417,29.556,215.3,,,,,
lap,12,8'53.901,28.089,23.514,29.682,26.568,,,,,,,
lap,13,1'42.856,24.671,22.675,29.135,26.375,215.3,,,,,,
lap,14,1'42.572,24.574,22.606,29.148,26.244,215.8,,,,,,
rider,7th,71,Ayumu,SASAKI,Red,Bull,KTM,Tech,3,JPN,Total,laps=16,laps=10
lap,1,3'04.466,36.565,25.746,31.272,29.694,,,,,,,
lap,2,1'48.772,25.745,24.094,31.047,27.886,217.7,,,,,,
lap,3,1'46.194,25.385,23.503,29.909,27.397,219.6,,,,,,
lap,4,1'45.797,25.123,23.303,30.152,27.219,220.1,,,,,,
lap,5,1'48.506,25.572,23.588,29.876,29.470,221.6,,,,,,
lap,6,1'46.407,25.302,23.200*,30.181*,27.724,217.7,,,,,,
lap,7,1'45.086,25.164,23.070,29.606,27.246,217.7,,,,,,
lap,8,1'50.577,P,25.673,23.764,30.232,30.908,214.4,,,,,
lap,9,7'48.099,29.844,25.949,30.105,27.247,,,,,,,
lap,10,1'43.926,25.001,22.891,29.457,26.577,215.8,,,,,,
lap,11,1'43.793,24.833,22.850,29.396,26.714,221.1,,,,,,
lap,12,1'48.566,P,25.095,23.583,29.848,30.040,213.0,,,,,
lap,13,7'15.473,32.842,24.646,30.033,26.476,,,,,,,
lap,14,1'43.331,25.098,22.952,29.011,26.270,216.7,,,,,,
lap,15,1'42.593,24.529,22.569,29.088,26.407,219.1,,,,,,
lap,16,1'42.625,24.572,22.565,29.084,26.404,219.1,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,8th,17,Total,laps=15,laps=12,,
lap,1,6'42.352,25.840,24.051,30.429,27.206,,,,,,,
lap,2,1'45.133,25.063,23.070,29.871,27.129,216.7,,,,,,
lap,3,1'45.425,24.938,22.910,29.784,27.793,216.7,,,,,,
lap,4,1'50.373,25.128,23.227,34.936,27.082,215.8,,,,,,
lap,5,1'44.740,24.920,23.161,29.670,26.989,216.3,,,,,,
lap,6,1'43.815,24.781,22.844,29.526,26.664,214.4,,,,,,
lap,7,1'45.106,24.988,23.304,29.818,26.996,215.8,,,,,,
lap,8,1'44.513,25.084,23.001,29.629,26.799,212.1,,,,,,
lap,9,1'44.091,25.005,22.799,29.533,26.754,211.7,,,,,,
lap,10,1'48.162,P,24.903*,23.676,30.136,29.447,211.2,,,,,
lap,11,11'41.276,25.962,24.078,36.506*,27.107,,,,,,,
lap,12,1'45.707,25.715,22.977,30.198,26.817,215.3,,,,,,
lap,13,1'58.242,24.802,35.662,30.176,27.602,213.5,,,,,,
lap,14,1'42.909,24.639,22.727,29.196,26.347,217.2,,,,,,
lap,15,1'42.662,24.660,22.549,29.106,26.347,213.9,,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,9th,5,Total,laps=15,laps=9,,,
lap,1,3'07.586,33.929,24.070,30.504,27.549,,,,,,,
lap,2,1'50.443,25.101,23.700,29.709,31.933,219.6,,,,,,
lap,3,1'44.402,24.956,23.102,29.456,26.888,221.1,,,,,,
lap,4,1'44.109,24.678,23.052,29.521,26.858,222.0,,,,,,
lap,5,1'43.932,24.819,23.107,29.409,26.597,226.6,,,,,,
lap,6,1'43.354,24.650,22.834,29.424,26.446,219.6,,,,,,
lap,7,1'43.279,24.582,22.870,29.294,26.533,219.1,,,,,,
lap,8,1'48.692,P,25.251,23.358,29.961,30.122,219.1,,,,,
lap,9,7'57.065,40.649,25.055,29.473,26.557,,,,,,,
lap,10,1'43.040,24.556,22.922,29.181,26.381,222.0,,,,,,
lap,11,1'48.869,24.475,22.854,34.706*,26.834,225.1,,,,,,
lap,12,1'50.386,P,24.561,24.678,31.149,29.998,219.6,,,,,
lap,13,8'52.248,32.675,24.139,30.252,27.553,,,,,,,
lap,14,1'42.806,24.514,22.797,29.122,26.373,222.0,,,,,,
lap,15,1'42.669,24.560,22.661,29.134,26.314,219.6,,,,,,
rider,Sergio,GARCIA,Estrella,Galicia,"0,0",SPA,10th,11,Total,laps=17,laps=11,,
lap,1,2'59.609,35.556,24.836,31.043,28.673,,,,,,,
lap,2,1'47.257,25.409,23.888,30.189,27.771,215.8,,,,,,
lap,3,1'45.500,25.253,23.084,29.824,27.339,214.9,,,,,,
lap,4,1'44.833,25.125,23.023,29.621,27.064,214.9,,,,,,
lap,5,1'44.676,25.127,22.918,29.719,26.912,215.8,,,,,,
lap,6,1'45.052,25.219,22.949,29.620,27.264,213.9,,,,,,
lap,7,1'50.150,P,25.707,23.874,30.501,30.068,213.0,,,,,
lap,8,8'10.730,23.257,23.386,29.427*,26.916,,,,,,,
lap,9,1'43.919,24.852,22.843,29.524,26.700,214.4,,,,,,
lap,10,1'43.439,24.707,22.789,29.291,26.652,215.3,,,,,,
lap,11,1'43.508,24.750,22.756,29.380,26.622,215.3,,,,,,
lap,12,1'43.966,24.832,23.248,29.325,26.561,215.3,,,,,,
lap,13,1'46.531,P,24.290*,23.308,29.857*,29.076,215.8,,,,,
lap,14,5'40.123,28.408,25.568,29.815,32.746,,,,,,,
lap,15,1'50.939,24.748,22.631,29.916*,33.644,216.7,,,,,,
lap,16,1'44.966,24.670,23.601,29.685,27.010,218.2,,,,,,
lap,17,1'42.741,24.602,22.636,29.157,26.346,219.1,,,,,,
rider,Carlos,TATAY,Reale,Avintia,Moto3,SPA,11th,99,Total,laps=17,laps=10,,
lap,1,2'58.520,36.547,26.322,31.823,28.637,,,,,,,
lap,2,1'48.854,25.887,24.285,30.842,27.840,217.7,,,,,,
lap,3,1'46.204,25.308,23.509,30.053,27.334,218.6,,,,,,
lap,4,1'46.127,25.320,23.433,30.003,27.371,217.2,,,,,,
lap,5,1'45.732,25.247,23.406,29.804,27.275*,215.3,,,,,,
lap,6,1'45.031,25.029,23.476,29.675,26.851,215.3,,,,,,
lap,7,1'44.621,25.016,23.178,29.526,26.901,217.2,,,,,,
lap,8,1'44.444,24.853,23.133,29.563,26.895,216.3,,,,,,
lap,9,1'44.308,24.870,23.158,29.443,26.837,215.3,,,,,,
lap,10,1'48.956,P,25.559,23.985,30.347,29.065,215.3,,,,,
lap,11,7'43.628,24.991,23.809,30.139,27.030,,,,,,,
lap,12,1'44.168,24.978,23.084,29.418,26.688,215.8,,,,,,
lap,13,1'44.058,24.764,23.017,29.508,26.769*,215.8,,,,,,
lap,14,1'48.034,P,25.021,23.818,30.264,28.931,214.4,,,,,
lap,15,5'45.106,25.364,24.021,30.458,27.050,,,,,,,
lap,16,1'43.538,24.687,22.805,29.463,26.583,218.6,,,,,,
lap,17,1'42.793,24.610,22.665,29.095,26.423,218.2,,,,,,
rider,Stefano,NEPA,Gaviota,Aspar,Team,ITA,12th,82,Total,laps=16,laps=11,,
lap,1,3'22.308,35.698,25.849,31.661,28.879,,,,,,,
lap,2,1'49.133,26.205,24.501,30.422,28.005,214.4,,,,,,
lap,3,1'46.956,25.580,23.707,30.099,27.570,217.2,,,,,,
lap,4,1'46.068,25.496,23.407,29.866,27.299,217.7,,,,,,
lap,5,1'45.732,25.289,23.330,29.777,27.336,217.2,,,,,,
lap,6,1'44.935,24.953,23.174,29.720,27.088,219.6,,,,,,
lap,7,1'44.424,24.972,23.086,29.516,26.850,220.1,,,,,,
lap,8,1'52.378,P,25.463,24.520,30.818,31.577,219.1,,,,,
lap,9,9'21.401,32.743,24.148,30.536,29.863,,,,,,,
lap,10,1'44.109,24.984,22.837,29.407,26.881,217.7,,,,,,
lap,11,1'48.582,25.558,24.905,29.870,28.249,218.6,,,,,,
lap,12,1'43.905,24.954,22.865,29.430,26.656,216.7,,,,,,
lap,13,1'46.400,P,25.470*,22.971,29.688,28.271,215.3,,,,,
lap,14,5'18.174,28.220,23.523,29.729,26.694,,,,,,,
lap,15,1'42.911,24.758,22.633,29.170,26.350,217.7,,,,,,
lap,16,1'42.859,24.667,22.669,29.223,26.300,218.2,,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,13th,40,Total,laps=17,laps=10,,
lap,1,3'03.267,39.265,25.369,31.653,29.568,,,,,,,
lap,2,1'49.575,26.333,24.090,30.989,28.163,214.4,,,,,,
lap,3,1'46.370,25.446,23.497,30.017,27.410,218.6,,,,,,
lap,4,1'45.864,25.216,23.302,30.084,27.262,220.1,,,,,,
lap,5,1'49.905,25.223,23.260,33.453*,27.969,220.1,,,,,,
lap,6,1'45.005,25.058,22.983,29.724,27.240,216.7,,,,,,
lap,7,1'48.416,P,25.110,23.014,29.769,30.523,215.8,,,,,
lap,8,7'44.537,30.944,24.791,33.807,28.306,,,,,,,
lap,9,1'45.187,25.417,23.125,29.696,26.949,214.4,,,,,,
lap,10,1'48.964,25.109,23.183,33.691*,26.981,214.4,,,,,,
lap,11,1'44.126,25.032,23.105,29.570,26.419,215.8,,,,,,
lap,12,1'43.370,24.648,22.688,29.599,26.435,216.7,,,,,,
lap,13,1'46.416,P,25.053,23.050,29.745,28.568,214.4,,,,,
lap,14,5'48.394,36.205,26.469,29.666,33.817,,,,,,,
lap,15,1'50.345,25.010,22.682,29.842,32.811,220.6,,,,,,
lap,16,1'43.059,24.882,22.615,29.354,26.208,218.2,,,,,,
lap,17,1'42.895,24.603,22.577,29.615,26.100,218.2,,,,,,
rider,Ai,OGURA,Honda,Team,Asia,JPN,14th,79,Total,laps=17,laps=11,,
lap,1,3'25.454,31.582,25.157,31.059,28.883,,,,,,,
lap,2,1'48.187,26.425,23.793,30.239,27.730,213.0,,,,,,
lap,3,1'46.924,25.807,23.377,30.202,27.538,213.9,,,,,,
lap,4,1'45.768,25.572,23.234,29.891,27.071,213.5,,,,,,
lap,5,1'44.955,25.371,22.994,29.709,26.881,214.9,,,,,,
lap,6,1'44.477,25.214,23.008,29.535,26.720,214.9,,,,,,
lap,7,1'44.078,25.144,22.952,29.436,26.546,215.8,,,,,,
lap,8,1'52.260,P,25.419,23.842,30.806,32.193,217.2,,,,,
lap,9,8'09.140,26.204,23.787,30.007*,27.168*,,,,,,,
lap,10,1'44.482,25.244,22.998,29.496,26.744,212.6,,,,,,
lap,11,1'43.835,24.967,22.953,29.460,26.455,213.0,,,,,,
lap,12,1'43.425,24.844,22.795,29.349,26.437,213.0,,,,,,
lap,13,1'43.382,24.897,22.714,29.368,26.403,212.6,,,,,,
lap,14,1'50.737,P,24.585*,23.525,31.772,30.855,213.0,,,,,
lap,15,5'11.126,31.375,24.059,30.483,27.159*,,,,,,,
lap,16,1'46.756,24.998,22.841,32.222*,26.695,215.3,,,,,,
lap,17,1'43.010,24.715,22.719,29.285,26.291,215.3,,,,,,
rider,15th,6,Ryusei,YAMANAKA,Estrella,Galicia,"0,0",JPN,Total,laps=16,laps=9,,
lap,1,3'02.473,37.334,25.490,31.233,28.681,,,,,,,
lap,2,1'47.899,26.105,23.929,30.171,27.694,212.6,,,,,,
lap,3,1'46.636,25.586,23.408,30.151,27.491,217.2,,,,,,
lap,4,1'45.420,25.424,23.418,29.645,26.933,213.0,,,,,,
lap,5,1'44.614,25.057,23.107,29.492,26.958,215.8,,,,,,
lap,6,1'44.784,25.213,23.051,29.573,26.947,214.9,,,,,,
lap,7,1'49.482,P,25.267,23.056,29.692,31.467,213.9,,,,,
lap,8,7'47.773,24.634,23.938,31.105,27.448,,,,,,,
lap,9,1'45.062,25.244,23.163,29.664,26.991,212.1,,,,,,
lap,10,1'44.683,25.319,23.009,29.529*,26.826*,212.1,,,,,,
lap,11,1'44.749,25.102,22.972,29.754,26.921,214.9,,,,,,
lap,12,1'44.688,25.266,22.874,29.482*,27.066*,213.5,,,,,,
lap,13,1'48.172,P,25.351,22.864,29.454,30.503,212.1,,,,,
lap,14,7'19.950,35.133,23.660,29.931,27.810,,,,,,,
lap,15,1'44.104,25.144,22.791,29.644,26.525,213.9,,,,,,
lap,16,1'43.030,24.841,22.560,29.259,26.370,217.2,,,,,,
rider,16th,92,Yuki,KUNII,Honda,Team,Asia,JPN,Total,laps=18,laps=12,,
lap,1,3'03.828,33.224,25.558,31.592,29.452,,,,,,,
lap,2,1'50.561,26.118,24.198,31.134,29.111,215.3,,,,,,
lap,3,1'46.561,25.436,23.460,30.053,27.612,217.7,,,,,,
lap,4,1'45.429,25.067,23.171,29.764,27.427,220.6,,,,,,
lap,5,1'51.383,25.223,23.328,34.507*,28.325,219.1,,,,,,
lap,6,1'44.433,25.131,22.942,29.650,26.710,216.3,,,,,,
lap,7,1'49.733,P,24.950,23.153,29.801*,31.829,215.3,,,,,
lap,8,6'06.088,25.662,24.007,30.311*,27.217,,,,,,,
lap,9,1'44.788,25.115,22.973,29.872,26.828,212.6,,,,,,
lap,10,1'44.267,24.917,22.982,29.653,26.715,212.6,,,,,,
lap,11,1'44.021,24.799,22.928,29.567,26.727,214.4,,,,,,
lap,12,1'44.059,24.857,22.887,29.582,26.733,213.9,,,,,,
lap,13,1'48.172,P,24.850,22.935,29.460,30.927,215.3,,,,,
lap,14,5'31.116,25.367,24.432,30.676*,27.060*,,,,,,,
lap,15,1'55.283,25.383,23.324,34.735,31.841,213.9,,,,,,
lap,16,1'51.014,25.029,22.777,29.469,33.739,217.2,,,,,,
lap,17,1'44.607,25.001,22.894,30.022,26.690,216.7,,,,,,
lap,18,1'43.040,24.638,22.768,29.256,26.378,219.6,,,,,,
rider,17th,9,Davide,PIZZOLI,BOE,Skull,Rider,Facil,ITA,Total,laps=14,laps=8,
lap,1,3'05.347,37.046,26.139,31.512,30.041,,,,,,,
lap,2,1'53.316,27.591,23.761,29.990,31.974,219.6,,,,,,
lap,3,1'46.420,25.512,23.347,30.136,27.425,216.3,,,,,,
lap,4,1'45.111,25.198,23.184,29.557,27.172,216.7,,,,,,
lap,5,1'45.448,25.116,23.053,29.684,27.595,217.7,,,,,,
lap,6,1'48.465,26.776*,24.971,29.634,27.084,221.1,,,,,,
lap,7,1'49.640,P,25.127,23.233,30.111,31.169,217.2,,,,,
lap,8,7'42.829,29.765,26.509,35.593,28.531,,,,,,,
lap,9,1'45.398,25.265,23.355,29.452,27.326,217.2,,,,,,
lap,10,1'43.746,24.903,22.823,29.331,26.689,219.1,,,,,,
lap,11,1'51.097,P,25.725*,25.790,30.197,29.385,218.2,,,,,
lap,12,10'40.030,27.883,23.911,33.521,28.341,,,,,,,
lap,13,1'44.915,24.983,23.032,29.336,27.564,216.7,,,,,,
lap,14,1'43.067,24.663,22.700,29.192,26.512,220.6,,,,,,
rider,18th,7,Dennis,FOGGIA,Leopard,Racing,ITA,Total,laps=18,laps=12,,,
lap,1,2'59.021,38.733,25.367,30.954,28.381,,,,,,,
lap,2,1'46.929,25.611,23.852,30.030,27.436,217.2,,,,,,
lap,3,1'46.627,25.261,23.505,30.237,27.624,221.6,,,,,,
lap,4,1'45.139,25.276,23.100,29.756,27.007,220.6,,,,,,
lap,5,1'44.512,25.031,23.030,29.567,26.884,217.2,,,,,,
lap,6,1'45.947,24.926,23.047,30.922,27.052*,220.6,,,,,,
lap,7,1'44.777,24.965,23.009,30.006,26.797,216.3,,,,,,
lap,8,1'44.268,24.869,23.017,29.648,26.734,215.8,,,,,,
lap,9,1'43.924,24.891,22.873,29.575,26.585,214.4,,,,,,
lap,10,1'47.799,P,24.885,22.882,29.729,30.303,214.9,,,,,
lap,11,6'35.680,33.189,23.481,29.810,26.629,,,,,,,
