0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,October 10,Moto3,Le Mans,Q2,,,,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,1st,5,Total,laps=7,laps=3,,,
lap,1,2'34.318,22.849,23.596,29.467,26.609,,,,,,,
lap,2,1'42.945,24.569,22.809,29.311,26.256,218.6,,,,,,
lap,3,1'51.790,P,24.596*,22.839,29.425,34.930,217.2,,,,,
lap,4,5'12.698,23.966,23.566,29.706,29.745,,,,,,,
lap,5,1'46.622,24.423,22.575,28.930,30.694,222.5,,,,,,
lap,6,1'41.816,24.477,22.458,28.776,26.105,217.7,,,,,,
lap,7,1'41.399,24.267,22.400,28.619,26.113,222.5,,,,,,
rider,Albert,ARENAS,Gaviota,Aspar,Team,SPA,2nd,75,Total,laps=7,laps=2,,
lap,1,2'27.341,22.273,23.602,31.549,26.739,,,,,,,
lap,2,1'42.883,24.684,22.665,29.231,26.303,217.2,,,,,,
lap,3,1'58.607,P,27.111*,24.409,30.108,36.979,216.3,,,,,
lap,4,4'56.829,30.467,23.160,28.955*,26.410,,,,,,,
lap,5,1'42.143,24.520,22.458,29.056,26.109,214.9,,,,,,
lap,6,1'53.819,24.513,26.834*,35.815*,26.657,214.9,,,,,,
lap,7,1'41.419,24.379,22.321,28.671,26.048,216.7,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,3rd,17,Total,laps=7,laps=2,,
lap,1,2'24.144,24.513,24.015,36.699,27.160,,,,,,,
lap,2,1'44.123,24.995,22.730,29.435,26.963,215.8,,,,,,
lap,3,1'51.086,P,26.452*,23.890,30.753,29.991,214.4,,,,,
lap,4,5'16.422,27.810,23.537,29.755,32.583,,,,,,,
lap,5,1'51.305,24.905,22.800,34.957*,28.643,213.5,,,,,,
lap,6,1'42.576,24.721,22.448,29.033,26.374,213.9,,,,,,
lap,7,1'41.846,24.473,22.392,28.729,26.252,213.5,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,4th,25,Total,laps=7,laps=3,
lap,1,2'07.150,23.255,23.604,30.413,33.833,,,,,,,
lap,2,1'42.349,24.884,22.429,28.844,26.192,214.4,,,,,,
lap,3,1'45.154,24.744,22.457,28.978,28.975,212.1,,,,,,
lap,4,1'46.354,P,24.643*,23.602,29.766,28.343,212.1,,,,,
lap,5,5'05.871,22.175,23.163,29.176,26.354,,,,,,,
lap,6,1'42.119,24.682,22.657*,28.713,26.067*,210.8,,,,,,
lap,7,1'41.856,24.601,22.342,28.911,26.002,211.2,,,,,,
rider,Sergio,GARCIA,Estrella,Galicia,"0,0",SPA,5th,11,Total,laps=7,laps=3,,
lap,1,2'25.127,22.600,24.056,30.369*,27.115,,,,,,,
lap,2,1'43.571,24.829,22.836,29.221,26.685,215.8,,,,,,
lap,3,1'56.131,P,26.803*,26.000,30.523,32.805,214.9,,,,,
lap,4,5'16.376,27.638,23.490,29.931,37.356,,,,,,,
lap,5,1'47.367,24.617,22.618,29.172,30.960,215.8,,,,,,
lap,6,1'42.517,24.945,22.389,28.976,26.207,213.5,,,,,,
lap,7,1'41.920,24.459,22.433,28.851,26.177,217.2,,,,,,
rider,Gabriel,RODRIGO,Kömmerling,Gresini,MARG,6th,2,Total,laps=6,laps=2,,,
lap,1,4'38.884,25.037,23.508,29.627,26.585,,,,,,,
lap,2,1'43.503,24.918,22.819,29.381,26.385,211.2,,,,,,
lap,3,1'47.097,P,24.777,22.992,29.664,29.664,212.6,,,,,
lap,4,4'43.401,27.331,23.236,29.292,26.477,,,,,,,
lap,5,1'48.135,24.676,22.997*,33.762,26.700,212.1,,,,,,
lap,6,1'41.947,24.422,22.413,28.921,26.191,213.9,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,7th,14,Total,laps=7,laps=3,,
lap,1,2'26.376,23.505,23.852,33.781*,26.887,,,,,,,
lap,2,1'43.234,24.974,22.829,29.139,26.292,217.2,,,,,,
