0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,October 11,Moto3,Le Mans,RACE,,,,,,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,1st,13,Total,laps=22,laps=20,
lap,1,1'47.334,28.733,22.881,29.348,26.372,175.5,,,,,,
lap,2,1'42.579,24.629,22.636,29.172,26.142,218.6,,,,,,
lap,3,1'42.563,24.566,22.637,29.100,26.260,225.1,,,,,,
lap,4,1'43.016,24.414,22.761,29.295,26.546,223.5,,,,,,
lap,5,1'42.597,24.689,22.541,28.945,26.422*,225.1,,,,,,
lap,6,1'42.298,24.605,22.513,28.970,26.210,224.5,,,,,,
lap,7,1'42.104,24.431,22.483,29.028,26.162,223.5,,,,,,
lap,8,1'42.156,24.357,22.513,29.026,26.260,221.1,,,,,,
lap,9,1'41.862,24.414,22.430,28.903,26.115,224.0,,,,,,
lap,10,1'41.690,24.297,22.563,28.885,25.945,225.6,,,,,,
lap,11,1'42.655,24.421,23.063,29.120,26.051,221.6,,,,,,
lap,12,1'42.144,24.558,22.600,28.911,26.075,221.1,,,,,,
lap,13,1'42.150,24.485,22.547,28.917,26.201,220.6,,,,,,
lap,14,1'42.248,24.473,22.569,29.090,26.116,223.5,,,,,,
lap,15,1'42.538,24.657,22.594,29.078,26.209,222.0,,,,,,
lap,16,1'42.690,24.498,22.590,29.282,26.320,223.0,,,,,,
lap,17,1'42.133,24.376,22.489,29.098,26.170,221.1,,,,,,
lap,18,1'42.877,24.658,22.598,29.225,26.396,222.0,,,,,,
lap,19,1'42.644,24.440,22.739,29.173,26.292,220.1,,,,,,
lap,20,1'42.493,24.454,22.680,29.050,26.309,223.5,,,,,,
lap,21,1'42.179,24.355,22.563,29.101,26.160,223.5,,,,,,
lap,22,1'42.434,24.531,22.595,28.971,26.337,214.9,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,2nd,14,Total,laps=22,laps=21,,
lap,1,1'46.961,28.200,22.812,29.398,26.551,170.1,,,,,,
lap,2,1'42.530,24.450,22.694,29.195,26.191,220.1,,,,,,
lap,3,1'42.727,24.706,22.520,29.135,26.366,217.7,,,,,,
lap,4,1'42.759,24.340,22.752,29.296,26.371,219.6,,,,,,
lap,5,1'42.493,24.376,22.634,29.104,26.379,219.1,,,,,,
lap,6,1'41.995,24.337,22.549,29.082,26.027,217.2,,,,,,
lap,7,1'42.562,24.367,22.585,29.336,26.274,217.2,,,,,,
lap,8,1'42.044,24.456,22.515,28.983,26.090,221.1,,,,,,
lap,9,1'42.121,24.297,22.520,28.945,26.359,218.2,,,,,,
lap,10,1'41.823,24.312,22.515,28.804,26.192,221.1,,,,,,
lap,11,1'42.464,24.552,22.781,28.981,26.150,221.1,,,,,,
lap,12,1'42.084,24.600,22.471,28.924,26.089,216.7,,,,,,
lap,13,1'42.387,24.419,22.528,29.006,26.434,217.2,,,,,,
lap,14,1'42.149,24.308,22.613,28.957,26.271,223.5,,,,,,
lap,15,1'42.631,24.677,22.596,29.095,26.263,219.6,,,,,,
lap,16,1'42.413,24.355,22.625,29.126,26.307,218.6,,,,,,
lap,17,1'42.320,24.400,22.613,28.983,26.324,218.6,,,,,,
lap,18,1'42.938,24.893,22.562,29.110,26.373,213.0,,,,,,
lap,19,1'42.720,24.459,22.694,29.151,26.416,218.2,,,,,,
lap,20,1'42.461,24.449,22.647,29.011,26.354,221.6,,,,,,
lap,21,1'42.713,24.706,22.571,29.139,26.297,215.3,,,,,,
lap,22,1'42.231,24.378,22.514,29.009,26.330,221.1,,,,,,
rider,Albert,ARENAS,Gaviota,Aspar,Team,SPA,3rd,75,Total,laps=22,laps=21,,
lap,1,1'46.527,27.862,22.903,29.436,26.326,167.8,,,,,,
lap,2,1'42.702,24.669,22.621,29.124,26.288,214.4,,,,,,
lap,3,1'43.396,24.637,22.730,29.196,26.833,216.3,,,,,,
lap,4,1'42.586,24.353,22.558,29.259,26.416,223.0,,,,,,
lap,5,1'42.473,24.410,22.567,29.164,26.332,222.5,,,,,,
