0,1,2,3,4,5,6,7,8,9,10
const,2020,October 11,Moto3,Le Mans,WUP,,,,,
rider,Andrea,MIGNO,SKY,Racing,Team,VR,ITA,1st,16,
lap,1,3'48.677,24.900,24.538,30.615,27.985,,,,
lap,2,1'45.178,25.219,23.228,29.783,26.948,217.2,,,
lap,3,1'44.161,24.847,22.954,29.552,26.808,219.1,,,
lap,4,1'43.574,24.811,22.808,29.297,26.658,219.1,,,
lap,5,1'43.487,24.650,22.855,29.320,26.662,219.6,,,
lap,6,1'43.444,24.688,22.813,29.360,26.583,217.7,,,
lap,7,1'43.211,24.665,22.752,29.468,26.326,217.2,,,
lap,8,1'42.596,24.556,22.668,29.159,26.213,218.2,,,
lap,9,1'43.765,24.502,22.687,30.101,26.475,218.2,,,
lap,10,1'42.514,24.448,22.640,29.033,26.393,219.1,,,
lap,11,2'18.031,49.181,26.376,33.221,29.253,219.6,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,2nd,14,,
lap,1,4'58.378,42.434,26.842,42.840,28.038*,,,,
lap,2,1'45.491,25.280,23.151,29.585,27.475*,219.6,,,
lap,3,1'43.825,24.797,23.004,29.484,26.540,220.6,,,
lap,4,1'43.735,24.608,22.843,29.715,26.569,221.6,,,
lap,5,1'43.295,24.763,22.819,29.259,26.454,217.7,,,
lap,6,1'46.374,27.648*,23.010,29.314,26.402*,219.1,,,
lap,7,1'42.833,24.417,22.732,29.146,26.538,221.6,,,
lap,8,1'42.635,24.449,22.633,29.300,26.253,221.1,,,
lap,9,1'42.699,24.472,22.664,29.169,26.394,223.0,,,
lap,10,1'47.975,25.225,24.514,31.116,27.120*,222.5,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,3rd,13,
lap,1,3'47.479,25.530,24.735,30.712,29.180,,,,
lap,2,1'45.787,25.451,23.403,29.926,27.007,215.8,,,
lap,3,1'44.515,24.948,23.180,29.696,26.691,216.3,,,
lap,4,1'43.612,24.783,22.953,29.287,26.589,216.7,,,
lap,5,1'43.867,24.703,22.923,29.308,26.933,216.7,,,
lap,6,1'43.786,24.724,22.853,29.355,26.854,216.3,,,
lap,7,1'43.037,24.574,22.744,29.232,26.487,218.2,,,
lap,8,1'42.667,24.560,22.704,29.145,26.258,218.2,,,
lap,9,1'42.740,24.431,22.631,29.257,26.421,219.6,,,
lap,10,1'43.016,24.614,22.779,29.137,26.486,217.2,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,4th,25,
lap,1,4'54.278,39.363,25.260,40.342,28.031,,,,
lap,2,1'44.091,25.043,22.862,29.420,26.766,214.4,,,
lap,3,1'47.355,26.774*,23.745,29.894,26.942,217.7,,,
lap,4,1'43.133,24.685,22.606,29.271,26.571,214.4,,,
lap,5,1'43.151,24.561,22.689,29.358,26.543,216.7,,,
lap,6,1'45.726,25.982*,23.256,29.859,26.629,213.5,,,
lap,7,1'43.079,24.690,22.778,29.251,26.360,216.7,,,
lap,8,1'43.029,24.815,22.619,29.288,26.307,213.9,,,
lap,9,1'42.683,24.620,22.628,29.158,26.277,213.9,,,
lap,10,1'42.879,24.759,22.620,29.140,26.360,214.4,,,
rider,Albert,ARENAS,Gaviota,Aspar,Team,SPA,5th,75,,
lap,1,4'55.259,48.601,25.944,43.363,27.696,,,,
lap,2,1'44.079,24.967,22.923,29.521,26.668,219.1,,,
lap,3,1'44.063,24.649,22.945,29.483,26.986,219.1,,,
lap,4,1'43.765,24.611,22.944,29.596,26.614,221.1,,,
lap,5,1'49.898,30.381*,23.609,29.374,26.534,216.3,,,
lap,6,1'43.260,24.845,22.800,29.163,26.452,219.1,,,
lap,7,1'43.190,24.618,22.804,29.210,26.558,219.6,,,
lap,8,1'42.811,24.554,22.625,29.378,26.254,219.1,,,
lap,9,1'42.749,24.560,22.593,29.087,26.509,220.1,,,
lap,10,1'44.414,25.188,22.866,29.470,26.890,217.7,,,
rider,Barry,BALTUS,CarXpert,PruestelGP,BEL,6th,70,,,
lap,1,4'31.574,31.107,23.783,33.006*,31.335,,,,
lap,2,1'45.035,25.334,23.055,29.561,27.085,216.7,,,
lap,3,1'44.027,24.996,22.932,29.406,26.693,213.9,,,
lap,4,1'43.683,24.882,22.934,29.387,26.480,214.9,,,
lap,5,1'43.530,24.765,22.850,29.392,26.523,214.9,,,
lap,6,1'43.300,24.716,22.775,29.286,26.523,214.9,,,
lap,7,1'43.304,24.844,22.577,29.349,26.534,215.8,,,
lap,8,1'42.833,24.487,22.546,29.198,26.602,219.6,,,
lap,9,1'43.691,24.800,22.911,29.269,26.711,221.1,,,
lap,10,1'44.408,24.835,23.290,29.552,26.731,218.6,,,
rider,Romano,FENATI,Sterilgarda,Max,Racin,ITA,7th,55,,
lap,1,4'33.753,31.863,24.047,33.034*,34.113,,,,
lap,2,1'44.613,25.283,23.040,29.641,26.649,215.8,,,
lap,3,1'43.555,24.816,22.795,29.503,26.441,217.2,,,
lap,4,1'43.333,24.685,22.757,29.389,26.502,217.2,,,
lap,5,1'43.127,24.736,22.695,29.325,26.371,217.7,,,
lap,6,1'42.886,24.500,22.644,29.265,26.477,217.7,,,
lap,7,1'42.996,24.527,22.599,29.413,26.457,221.1,,,
lap,8,1'42.884,24.507,22.549,29.214,26.614,218.2,,,
lap,9,1'43.426,24.850,22.553,29.234,26.789,221.6,,,
lap,10,1'46.920,25.012,24.772,30.270,26.866,220.6,,,
rider,Tatsuki,SUZUKI,SIC58,Squadra,Corse,JPN,8th,24,,
lap,1,4'43.251,40.358,26.335,33.805,28.935*,,,,
lap,2,1'48.978,25.933,24.451,30.742,27.852*,214.4,,,
lap,3,1'45.927,25.233,23.476,29.981,27.237,214.4,,,
lap,4,1'50.991,25.181,24.159,34.478*,27.173,214.9,,,
lap,5,1'44.250,24.737,23.085,29.562,26.866*,219.1,,,
lap,6,1'45.777,26.275*,23.410,29.557,26.535,216.7,,,
lap,7,1'43.535,24.812,22.766,29.456,26.501,221.1,,,
lap,8,1'42.913,24.629,22.623,29.317,26.344,219.6,,,
lap,9,1'43.035,24.643,22.731,29.184,26.477,219.1,,,
lap,10,1'54.117,P,26.360*,23.710,32.271*,31.776,215.3,,
rider,Gabriel,RODRIGO,Kömmerling,Gresini,MARG,9th,2,,,
lap,1,4'52.217,38.027,26.016,42.432,29.041,,,,
lap,2,1'45.878,25.546,23.483,29.897,26.952,214.4,,,
lap,3,1'49.019,25.214,23.521,33.182*,27.102,217.2,,,
lap,4,1'44.552,24.945,23.060,29.962,26.585,216.3,,,
lap,5,1'43.319,24.829,22.792,29.299,26.399,219.1,,,
lap,6,1'43.987,24.853,22.924,29.673,26.537*,218.6,,,
lap,7,1'43.963,24.721,22.881,29.565,26.796,215.3,,,
lap,8,1'42.932,24.541,22.674,29.297,26.420,220.1,,,
lap,9,1'43.188,24.591,22.678,29.168,26.751,219.6,,,
lap,10,1'43.884,24.803,22.916,29.585,26.580,219.6,,,
rider,Jeremy,ALCOBA,Kömmerling,Gresini,MSPA,10th,52,,,
lap,1,4'52.476,39.933,26.130,40.754,30.511,,,,
lap,2,1'46.217,25.480,23.481,30.376,26.880,214.4,,,
lap,3,1'44.463,24.956,22.923,29.718,26.866,216.7,,,
lap,4,1'44.341,25.123,22.954,29.694,26.570,212.6,,,
lap,5,1'48.389,26.613,23.882,31.158,26.736,214.9,,,
lap,6,1'43.340,24.778,22.755,29.380,26.427,218.6,,,
lap,7,1'43.211,24.683,22.723,29.404,26.401,220.1,,,
lap,8,1'42.952,24.735,22.657,29.221,26.339,215.3,,,
