0,1,2,3,4,5,6,7,8,9,10
const,2020,October 16,Moto3,MotorLand Aragón,FP1,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,1st,40,,
lap,1,3'39.176,31.396,36.294,24.220,31.366,235.5,,,
lap,2,2'05.302,35.894,34.957,23.582,30.869,238.1,,,
lap,3,2'04.071,35.355,34.653,23.210,30.853,239.2,,,
lap,4,2'04.008,35.161,34.761,23.131,30.955,234.0,,,
lap,5,2'04.561,35.477,34.910,23.382,30.792,234.5,,,
lap,6,2'02.841,34.702,34.325,22.979,30.835,234.0,,,
lap,7,2'02.421,34.703*,34.240,22.740,30.738,235.0,,,
lap,8,2'02.396,34.692,34.144,22.799,30.761,234.5,,,
lap,9,2'02.294,34.513,34.098,22.809,30.874,233.5,,,
lap,10,2'01.846,34.346,34.183,22.794,30.523,234.5,,,
lap,11,2'08.050,P,34.482,34.300,22.755,36.513,232.0,,
lap,12,10'58.871,51.698,36.103,22.957,30.561,235.5,,,
lap,13,2'00.706,34.020,33.825,22.480,30.381,237.1,,,
lap,14,2'01.196,34.367,34.065,22.514,30.250,236.5,,,
lap,15,1'59.813,33.873,33.600,22.291,30.049,240.2,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,2nd,13,
lap,1,3'17.563,33.324,37.890,25.017,31.638,233.0,,,
lap,2,2'06.347,36.282,35.360,23.509,31.196,235.5,,,
lap,3,2'05.016,35.598,35.028,23.305,31.085,234.0,,,
lap,4,2'04.079,35.356,34.734,23.060,30.929,233.0,,,
lap,5,2'03.489,35.030,34.616,22.976,30.867,233.0,,,
lap,6,2'02.759,34.871,34.380,22.805,30.703,232.5,,,
lap,7,2'02.661,34.782*,34.305,22.839,30.735,232.0,,,
lap,8,2'02.411,34.740,34.194,22.819,30.658,233.5,,,
lap,9,2'02.523,34.715,34.147,22.779,30.882*,233.0,,,
lap,10,2'01.861,34.664,34.070,22.713,30.414,235.0,,,
lap,11,2'01.347,34.335,33.930,22.665,30.417,235.0,,,
lap,12,2'06.787,P,34.402,34.395,22.977,35.013,230.5,,
lap,13,8'31.606,30.844,36.619,22.926,30.460,235.0,,,
lap,14,2'06.845,34.438,39.337,22.724,30.346,239.2,,,
lap,15,2'00.659,34.216,33.709,22.474,30.260,236.5,,,
lap,16,2'00.144,34.020,33.578,22.450,30.096,238.6,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,3rd,17,,
lap,1,5'40.273,31.771,36.158,24.104,31.429,230.0,,,
lap,2,2'04.494,35.434,34.988,23.423,30.649,236.0,,,
lap,3,2'04.205,35.279,34.636,23.369,30.921,232.0,,,
lap,4,2'03.665,35.232,34.500,22.937,30.996,229.5,,,
lap,5,2'05.628,37.363,34.449,23.158,30.658,232.5,,,
lap,6,2'02.252,34.746*,34.277,22.800,30.429,239.7,,,
lap,7,2'02.153,34.677,34.276,22.815,30.385,236.5,,,
lap,8,2'09.217,P,34.750,34.468,22.909,37.090,224.3,,
lap,9,6'59.845,30.562,35.656,23.396,30.961,230.0,,,
lap,10,2'02.411,34.835,34.187,22.669,30.720,232.0,,,
lap,11,2'08.612,P,34.745,34.185,22.856,36.826,229.0,,
lap,12,5'11.385,34.365,35.309*,23.788,30.528,235.5,,,
lap,13,2'00.543,34.236,33.749,22.458,30.100,240.2,,,
lap,14,2'00.316,33.984,33.671,22.424,30.237,242.4,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,4th,25,
lap,1,3'35.241,33.974,36.089,23.599,31.172,232.5,,,
lap,2,2'04.733,35.702,34.762,23.400,30.869,234.5,,,
lap,3,2'04.416,35.307,34.624,23.314,31.171,232.0,,,
lap,4,2'09.958,P,35.309,34.783,23.392,36.474,229.5,,
lap,5,7'11.534,31.823,35.497,23.243,31.161,229.5,,,
lap,6,2'03.066,34.922,34.485,22.819,30.840,229.5,,,
lap,7,2'03.226,35.118,34.404,22.996*,30.708,230.5,,,
lap,8,2'02.481,34.910,34.198,22.700,30.673,231.0,,,
lap,9,2'01.697,34.601,33.899,22.635,30.562,232.5,,,
lap,10,2'10.722,P,35.579,35.421,23.565,36.157,229.0,,
lap,11,7'48.343,31.999,34.937,22.841,30.679,231.5,,,
lap,12,2'00.835,34.144,33.826,22.373,30.492,232.5,,,
lap,13,2'00.887,34.433,33.769,22.414,30.271,234.5,,,
lap,14,2'00.367,34.223,33.679,22.246,30.219,237.6,,,
rider,Niccolò,ANTONELL,SIC58,Squadra,Corse,ITA,5th,23,,
lap,1,5'23.341,32.948,37.802,24.164,31.603*,233.5,,,
lap,2,2'05.657,36.055,35.274,23.339,30.989,237.6,,,
lap,3,2'04.234,35.416,34.721,23.118,30.979,234.5,,,
lap,4,2'03.699,34.942,34.610,23.050,31.097,226.6,,,
lap,5,2'02.393,34.585,34.296,22.955,30.557,234.5,,,
lap,6,2'02.995,34.869*,34.349,22.860,30.917,231.0,,,
lap,7,2'02.029,34.455,34.155,22.877,30.542,237.1,,,
lap,8,2'02.106,34.582,34.184,22.633,30.707,234.5,,,
lap,9,2'01.848,34.606,34.052,22.608,30.582,234.5,,,
lap,10,2'01.423,34.377,33.927,22.552,30.567,234.0,,,
lap,11,2'08.361,P,34.628,34.607,23.026,36.100,225.7,,
lap,12,9'07.313,38.780,34.956,22.555,31.867,215.8,,,
