0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,October 17,Moto3,MotorLand Aragón,Q2,,,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,1st,25,Total,laps=6,laps=2,
lap,1,2'31.855,28.736,33.564,22.156,30.450,229.5,,,,,,
lap,2,1'58.208,33.355,32.786,21.850,30.217,229.5,,,,,,
lap,3,1'57.681,33.164,32.784,21.764,29.969,237.1,,,,,,
lap,4,2'07.888,P,36.712,34.078,22.514,34.584,232.0,,,,,
lap,5,6'17.026,35.382,40.252*,31.508,42.492*,229.0,,,,,,
lap,6,1'58.397,33.477*,33.022,21.974,29.924,236.5,,,,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,2nd,13,Total,laps=7,laps=4,
lap,1,2'08.028,29.781,33.938,22.464,30.436,231.5,,,,,,
lap,2,2'04.132,P,33.966,33.434,22.125,34.607,230.5,,,,,
lap,3,4'20.553,31.782,36.233,35.602,30.387,236.5,,,,,,
lap,4,1'58.096,33.418,32.856,21.867,29.955,234.0,,,,,,
lap,5,1'57.943,33.127,32.987,21.752,30.077,232.5,,,,,,
lap,6,2'03.789,33.161,32.970,21.844,35.814,232.0,,,,,,
lap,7,1'57.740,33.084,32.816,21.898,29.942,234.5,,,,,,
rider,Albert,ARENAS,Solunion,Aspar,Team,SPA,3rd,75,Total,laps=5,laps=2,,
lap,1,4'27.005,33.762,43.701,27.787,37.022,180.0,,,,,,
lap,2,1'58.747,33.608,33.119,21.960,30.060,233.5,,,,,,
lap,3,2'05.644,P,33.730,33.240,22.312,36.362,225.2,,,,,
lap,4,6'20.035,37.005,35.479,27.761,42.353,189.1,,,,,,
lap,5,1'58.191,33.560,32.995,21.763,29.873,235.5,,,,,,
rider,Alonso,LOPEZ,Sterilgarda,Max,Racin,SPA,4th,21,Total,laps=6,laps=4,,
lap,1,5'23.141,29.142,33.875,22.094,30.636,228.6,,,,,,
lap,2,1'59.540,33.660,33.276,22.013,30.591,230.0,,,,,,
lap,3,1'58.212,33.256,32.935,21.879,30.142,235.5,,,,,,
lap,4,1'59.006,33.629,33.075,21.831,30.471,231.5,,,,,,
lap,5,1'59.886,33.464,33.163,22.778,30.481,231.0,,,,,,
lap,6,1'59.851,33.544,33.293,22.110,30.904*,227.6,,,,,,
rider,Tatsuki,SUZUKI,SIC58,Squadra,Corse,JPN,5th,24,Total,laps=6,laps=3,,
lap,1,4'23.845,P,34.168,41.363,24.618,36.744,225.7,,,,,
lap,2,3'59.742,31.258,35.470*,25.408,30.827,226.2,,,,,,
lap,3,2'11.374,33.610,33.174*,33.956,30.634,231.0,,,,,,
lap,4,1'58.422,33.332,33.117,21.917,30.056,235.0,,,,,,
lap,5,1'58.718,33.284,33.148,22.146,30.140,233.5,,,,,,
lap,6,1'58.268,33.265,32.924,21.923,30.156,237.1,,,,,,
rider,Romano,FENATI,Sterilgarda,Max,Racin,ITA,6th,55,Total,laps=6,laps=5,,
lap,1,5'24.235,28.139,33.767,22.338,31.296,216.2,,,,,,
lap,2,1'58.272,33.293,33.037,21.794,30.148,236.0,,,,,,
lap,3,1'58.330,33.145,33.054,21.832,30.299,231.0,,,,,,
lap,4,1'59.944,33.297,32.967,21.855,31.825,208.7,,,,,,
lap,5,1'59.717,33.107,32.972,22.018,31.620,228.6,,,,,,
lap,6,1'58.884,33.136,33.138,22.228,30.382,230.0,,,,,,
rider,Carlos,TATAY,Reale,Avintia,Moto3,SPA,7th,99,Total,laps=6,laps=4,,
lap,1,6'28.378,34.042,35.251,23.033,33.099,211.2,,,,,,
lap,2,1'58.506,33.383,32.977,22.128,30.018,234.0,,,,,,
lap,3,1'58.315,33.231,32.885,22.060,30.139,231.0,,,,,,
lap,4,2'01.821,34.822,34.221,22.366,30.412,230.0,,,,,,
lap,5,2'01.399,34.181,34.623,22.164,30.431*,232.5,,,,,,
lap,6,1'59.394,33.463,33.319,22.203,30.409,230.0,,,,,,
rider,Ai,OGURA,Honda,Team,Asia,JPN,8th,79,Total,laps=6,laps=4,,
lap,1,4'29.093,P,37.542,39.178,25.176,41.255,172.0,,,,,
lap,2,4'04.982,31.924,35.983,34.419,30.730,233.0,,,,,,
lap,3,1'58.947,33.695,33.000,22.039,30.213,230.5,,,,,,
lap,4,1'58.365,33.468,32.891,21.945,30.061,234.5,,,,,,
lap,5,1'59.521,33.378,33.264,22.238,30.641,231.5,,,,,,
lap,6,1'59.330,33.597,33.126,22.103,30.504,230.5,,,,,,
rider,Gabriel,RODRIGO,Kömmerling,Gresini,MARG,9th,2,Total,laps=6,laps=3,,,
lap,1,4'22.102,39.075,44.041,25.933,33.379,192.1,,,,,,
lap,2,2'01.279,34.903,33.792,22.112,30.472,232.0,,,,,,
lap,3,1'59.452,33.484,33.278,22.107,30.583,231.0,,,,,,
lap,4,2'06.169,P,34.361,33.695*,22.588,35.525,229.0,,,,,
lap,5,4'21.760,39.001,36.917*,26.887,43.210,191.7,,,,,,
lap,6,1'58.549,33.512,33.008,21.842,30.187,234.0,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,10th,17,Total,laps=7,laps=1,,
lap,1,2'09.679,28.924,33.894,22.569,30.328,233.0,,,,,,
lap,2,1'58.550,33.359,32.916,21.993,30.282,238.1,,,,,,
lap,3,2'14.025,P,41.826,33.726,22.580,35.893,232.0,,,,,
lap,4,4'06.483,28.513,35.579*,22.542,30.578,230.0,,,,,,
lap,5,2'03.029,33.292,36.741*,22.366,30.630,231.0,,,,,,
lap,6,2'16.271,33.318,37.254*,24.343,41.356,165.9,,,,,,
lap,7,2'13.555,P,34.022,39.487*,22.893,37.153,225.2,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,11th,40,Total,laps=5,laps=2,,
lap,1,2'09.329,29.087,33.885,22.293,30.445,232.5,,,,,,
lap,2,1'58.826,33.402,33.133,21.889,30.402,234.5,,,,,,
lap,3,2'12.837,P,39.769,33.850*,22.710,36.508,229.0,,,,,
lap,4,8'31.261,35.836,37.003*,25.615,46.973,155.4,,,,,,
lap,5,1'58.562,33.671,33.124,21.758,30.009,241.3,,,,,,
rider,12th,23,Niccolò,ANTONELL,SIC58,Squadra,Corse,ITA,Total,laps=7,laps=4,,
lap,1,4'25.735,32.116,41.583,23.142,42.159*,152.1,,,,,,
lap,2,2'03.712,36.278,34.897*,22.137,30.400,235.0,,,,,,
lap,3,1'58.866,33.308,32.991,22.131,30.436,234.5,,,,,,
lap,4,1'58.806,33.374,32.983,22.057,30.392,231.5,,,,,,
lap,5,2'04.998,36.225,36.002,22.366,30.405,237.1,,,,,,
lap,6,2'19.514,33.250,36.771,25.576,43.917,187.1,,,,,,
lap,7,1'59.417,33.779,33.258*,22.010,30.370,238.1,,,,,,
rider,Andrea,MIGNO,SKY,Racing,Team,VR,ITA,13th,16,Total,laps=7,laps=3,
lap,1,2'08.658,28.821,33.746,22.465,30.570,233.0,,,,,,
lap,2,2'05.149,P,33.923,33.300,22.486,35.440,232.0,,,,,
lap,3,4'13.591,32.914,40.812*,22.987,30.844,228.1,,,,,,
lap,4,2'00.595,34.005,33.951,22.259,30.380,234.0,,,,,,
lap,5,2'02.386,33.631,36.513*,22.150,30.092,236.5,,,,,,
lap,6,1'59.996,33.978,33.390,22.127,30.501,233.5,,,,,,
lap,7,1'58.890,33.494,33.037,21.988,30.371,233.0,,,,,,
rider,Sergio,GARCIA,Estrella,Galicia,"0,0",SPA,14th,11,Total,laps=5,laps=1,,
lap,1,3'52.590,P,1'15.197,37.821,24.491,37.490,224.3,,,,,
lap,2,2'35.821,35.559,40.250*,23.710,33.675,221.1,,,,,,
lap,3,2'04.935,P,34.172,33.486,22.368,34.909,236.5,,,,,
lap,4,6'14.999,36.190,35.872,24.227,44.242,145.8,,,,,,
lap,5,1'59.221,33.618,33.219,22.124,30.260,234.5,,,,,,
rider,Deniz,ÖNCÜ,Red,Bull,KTM,Tech,3,TUR,15th,53,Total,laps=7,laps=2
lap,1,4'26.918,32.928,37.164,29.656,38.920,177.6,,,,,,
lap,2,1'59.280,34.155,33.173,22.121,29.831,238.1,,,,,,
lap,3,2'01.317,33.615,33.108*,22.319,32.275,190.7,,,,,,
lap,4,2'01.930,33.571,33.178*,22.297,32.884,194.8,,,,,,
lap,5,2'01.037,33.554,34.944,22.199,30.340,228.6,,,,,,
lap,6,2'22.513,33.918,34.853,27.392,46.350*,212.4,,,,,,
lap,7,1'59.374,33.840*,33.216,22.161,30.157,235.0,,,,,,
rider,Jeremy,ALCOBA,Kömmerling,Gresini,MSPA,16th,52,Total,laps=7,laps=4,,,
lap,1,4'26.873,32.911,41.375,24.834,39.848,165.1,,,,,,
lap,2,1'59.319,33.831,33.278,22.073,30.137,232.5,,,,,,
lap,3,1'59.439,33.435,33.131,22.323,30.550,228.6,,,,,,
lap,4,2'03.360,33.414,33.142*,23.662,33.142,212.4,,,,,,
lap,5,2'01.581,33.204,35.539,22.716,30.122,234.0,,,,,,
lap,6,2'21.033,33.559,36.473*,24.802,46.199,158.8,,,,,,
lap,7,1'59.415,33.705,33.169,21.972,30.569,230.0,,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,17th,5,Total,laps=5,laps=1,,,
lap,1,4'26.515,34.384,40.472,26.068,37.436,166.7,,,,,,
lap,2,2'02.063,33.991,34.519*,22.309,31.244,228.1,,,,,,
lap,3,2'03.935,P,33.821,33.300,22.385,34.429,240.8,,,,,
lap,4,6'19.534,37.580,35.368,26.313,43.827,198.4,,,,,,
lap,5,1'59.438,33.569,33.519,22.310,30.040,241.3,,,,,,
rider,Ayumu,SASAKI,Red,Bull,KTM,Tech,3,JPN,18th,71,Total,laps=5,laps=2
lap,1,6'27.900,34.708,35.839*,23.554,32.871,209.1,,,,,,
lap,2,2'09.253,P,36.793,34.127,22.539,35.794,234.5,,,,,
lap,3,3'52.843,31.891,35.331*,22.357,30.485,229.0,,,,,,
lap,4,2'17.658,34.405,34.765,27.010,41.478,157.7,,,,,,
lap,5,1'59.949,34.032,33.264,22.478,30.175,232.5,,,,,,
