0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,October 18,Moto3,MotorLand Aragón,WUP,,,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,1st,25,Total,laps=10,laps=8,
lap,1,3'45.429,30.321,34.148,22.639,30.639,228.1,,,,,,
lap,2,1'59.160,33.527,33.216,22.227,30.190,239.2,,,,,,
lap,3,1'59.560,33.754,33.515,22.113,30.178,232.0,,,,,,
lap,4,1'59.878,33.944,33.415,22.227,30.292,230.5,,,,,,
lap,5,2'00.008,33.846,33.540,22.280,30.342,232.0,,,,,,
lap,6,1'59.465,33.501,33.243,22.222*,30.499*,227.6,,,,,,
lap,7,1'59.978,33.792,33.450,22.186,30.550,227.6,,,,,,
lap,8,1'59.809,33.566,33.408,22.221,30.614,225.2,,,,,,
lap,9,2'00.288,33.711,33.368,22.233,30.976,225.7,,,,,,
lap,10,2'00.046,33.859,33.555,22.216,30.416,230.0,,,,,,
rider,Deniz,ÖNCÜ,Red,Bull,KTM,Tech,3,TUR,2nd,53,Total,laps=10,laps=4
lap,1,2'57.237,30.175,34.127,23.099,30.536,227.6,,,,,,
lap,2,2'00.488,33.926,33.693,22.543,30.326,228.6,,,,,,
lap,3,1'59.611,33.713,33.323,22.287,30.288,232.0,,,,,,
lap,4,2'04.043,35.210,33.710*,22.801,32.322*,204.4,,,,,,
lap,5,1'59.167,33.640,33.254,22.310,29.963,231.5,,,,,,
lap,6,2'01.110,34.281,33.833,22.367,30.629*,226.2,,,,,,
lap,7,2'00.015,33.731,33.506*,22.347,30.431,228.6,,,,,,
lap,8,2'01.004,33.900,34.235*,22.446,30.423*,228.1,,,,,,
lap,9,2'00.443,33.992,33.551*,22.433,30.467*,227.6,,,,,,
lap,10,2'00.445,33.913,33.596,22.505,30.431,227.6,,,,,,
rider,Albert,ARENAS,Solunion,Aspar,Team,SPA,3rd,75,Total,laps=10,laps=8,,
lap,1,3'08.851,28.862,34.260,22.980,30.616,228.1,,,,,,
lap,2,2'00.492,33.954,33.703,22.442,30.393,231.0,,,,,,
lap,3,1'59.824,33.621,33.585,22.384,30.234,230.0,,,,,,
