0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,October 23,Moto3,MotorLand Aragón,FP1,,,,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,1st,5,Total,laps=14,laps=9,,,
lap,1,3'21.724,34.205,37.763,25.105,32.901,232.0,,,,,,
lap,2,2'01.943,34.802,34.135,22.767,30.239,238.6,,,,,,
lap,3,2'01.046,34.322,33.829,22.631,30.264,238.1,,,,,,
lap,4,1'59.827,33.788,33.584,22.368,30.087,242.4,,,,,,
lap,5,2'07.674,33.843,33.820,29.443,30.568,236.5,,,,,,
lap,6,1'59.679,33.653,33.324,22.494,30.208,239.2,,,,,,
lap,7,1'59.832,33.637,33.293,22.471,30.431,233.5,,,,,,
lap,8,2'11.864,P,38.008,34.747,23.457,35.652,235.5,,,,,
lap,9,8'13.796,31.754,36.684,22.641,30.667,229.0,,,,,,
lap,10,2'00.315,33.871,33.631,22.442,30.371,235.5,,,,,,
lap,11,2'05.755,P,33.701,33.734*,22.543,35.777,231.0,,,,,
lap,12,6'10.824,29.805,33.687,22.748,30.095,236.5,,,,,,
lap,13,1'58.995,33.514,33.247,22.238,29.996,237.6,,,,,,
lap,14,1'58.076,33.264,33.060,21.968,29.784,243.5,,,,,,
rider,Romano,FENATI,Sterilgarda,Max,Racin,ITA,2nd,55,Total,laps=13,laps=8,,
lap,1,6'00.688,28.856,34.701,22.899,30.816,231.0,,,,,,
lap,2,2'00.974,34.042,33.792,22.605,30.535,232.0,,,,,,
lap,3,2'00.559,33.858,33.710,22.346,30.645,233.0,,,,,,
lap,4,2'00.663,33.808,33.608,22.561,30.686,233.5,,,,,,
lap,5,2'00.511,33.843,33.612,22.449,30.607,232.5,,,,,,
lap,6,2'10.098,P,34.555,34.513,23.168,37.862,218.4,,,,,
lap,7,7'19.286,28.415,33.975,22.410,30.541,233.0,,,,,,
lap,8,1'59.487,33.556,33.413,22.199,30.319,233.5,,,,,,
lap,9,1'59.356,33.467,33.381,22.150,30.358,232.5,,,,,,
lap,10,2'06.358,P,33.587,33.829,22.312,36.630,223.8,,,,,
lap,11,6'50.532,27.976,33.690,22.076,30.159,232.5,,,,,,
lap,12,1'58.521,33.263,33.126,22.054,30.078,234.5,,,,,,
lap,13,1'58.212,33.224,33.033,22.088,29.867,237.6,,,,,,
rider,Deniz,ÖNCÜ,Red,Bull,KTM,Tech,3,TUR,3rd,53,Total,laps=13,laps=7
lap,1,2'41.167,30.881,35.544,23.273,30.839,233.5,,,,,,
lap,2,2'02.135,34.544,33.938,23.173,30.480,240.2,,,,,,
lap,3,2'01.583,34.130,33.978,23.152,30.323,237.1,,,,,,
lap,4,2'01.407,34.066,33.733,23.259,30.349,235.5,,,,,,
lap,5,2'04.709,34.037,33.873,26.196,30.603,233.0,,,,,,
lap,6,2'00.371,33.983,33.553,22.661,30.174,238.1,,,,,,
lap,7,2'00.436,33.869,33.592,22.501,30.474*,234.5,,,,,,
lap,8,2'04.979,P,33.970,33.724,22.455,34.830,236.5,,,,,
lap,9,9'37.459,29.989,34.105*,22.681,30.599,231.5,,,,,,
lap,10,2'00.784,33.985,33.807,22.480,30.512,234.0,,,,,,
lap,11,2'07.777,P,35.515,34.569*,22.773,34.920,227.1,,,,,
lap,12,7'33.003,39.648,33.797*,22.265,30.170,234.0,,,,,,
lap,13,1'58.279,33.363,33.031,22.008,29.877,237.1,,,,,,
rider,Albert,ARENAS,Solunion,Aspar,Team,SPA,4th,75,Total,laps=13,laps=7,,
lap,1,3'16.891,37.006,38.867,25.073,30.810,234.5,,,,,,
lap,2,2'18.700,34.719,34.125,38.821,31.035*,228.6,,,,,,
lap,3,2'01.261,34.371,33.850,22.492,30.548,230.5,,,,,,
lap,4,2'01.259,34.305,33.764,22.708,30.482,233.0,,,,,,
lap,5,1'59.972,33.944,33.466,22.223,30.339,234.5,,,,,,
lap,6,2'05.581,P,33.873,33.543,22.311,35.854,234.5,,,,,
lap,7,8'24.239,33.611,34.773,23.449,31.087*,227.6,,,,,,
lap,8,1'59.610,33.709,33.383,22.198,30.320,231.5,,,,,,
lap,9,1'58.978,33.624,33.203,22.089,30.062,233.5,,,,,,
lap,10,1'58.657,33.460,32.984,22.037,30.176,230.5,,,,,,
lap,11,2'05.735,P,33.989,33.867*,22.391,35.488,233.0,,,,,
lap,12,8'04.492,38.603,33.688,22.142,30.267,232.5,,,,,,
lap,13,1'58.519,33.429,33.065,21.920,30.105,235.0,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,5th,14,Total,laps=13,laps=6,,
lap,1,3'21.374,36.699,37.398,25.616,33.481*,223.8,,,,,,
lap,2,2'02.704,34.836,34.160,23.188,30.520,238.6,,,,,,
lap,3,2'01.004,34.345,33.774,22.626,30.259,240.2,,,,,,
lap,4,2'00.375,33.925,33.608,22.401,30.441,238.6,,,,,,
lap,5,2'00.585,33.933,33.603,22.438,30.611,235.5,,,,,,
lap,6,2'13.291,P,36.524,38.276,23.468,35.023,229.0,,,,,
lap,7,8'35.988,30.901,34.556,22.894,30.830,232.5,,,,,,
lap,8,2'01.560,34.421,33.840,22.564,30.735,231.5,,,,,,
lap,9,2'01.616,34.232,33.853,22.550,30.981*,230.5,,,,,,
lap,10,2'09.114,P,34.861,34.355,23.339,36.559,218.4,,,,,
lap,11,7'43.908,35.028,36.722,22.721,30.346,236.0,,,,,,
lap,12,1'59.772,33.793,33.166,22.329,30.484*,231.5,,,,,,
lap,13,1'58.670,33.383,33.108,22.158,30.021,241.3,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,6th,17,Total,laps=13,laps=8,,
lap,1,3'20.317,37.697,37.947,25.020,31.862,222.5,,,,,,
lap,2,2'02.245,34.675,34.306,22.851,30.413,234.0,,,,,,
lap,3,2'00.993,34.204,33.912,22.724,30.153,236.5,,,,,,
lap,4,2'00.592,34.063,33.823,22.441,30.265,236.5,,,,,,
lap,5,2'07.301,39.464,34.106,23.264,30.467,234.0,,,,,,
lap,6,2'00.530,33.988,33.489,22.645,30.408,234.5,,,,,,
lap,7,2'00.085,33.815,33.550,22.531,30.189,237.1,,,,,,
lap,8,2'08.884,P,34.202,34.533,22.701,37.448,226.6,,,,,
lap,9,10'28.891,32.655,34.403,22.892,30.603,229.5,,,,,,
lap,10,2'07.225,P,34.070,33.755,22.527,36.873,230.5,,,,,
