0,1,2,3,4,5,6,7,8,9,10,11,12
const,2020,October 24,Moto3,MotorLand Aragón,Q1,,,,,,,
rider,Filip,SALAC,Rivacold,Snipers,Tea,CZE,1st,12,Total,laps=6,laps=3,
lap,1,2'38.712,28.507,33.594*,22.340,30.268,231.5,,,,,
lap,2,1'58.130,33.352,32.817,21.886,30.075,233.0,,,,,
lap,3,1'59.117,33.291,32.930,22.174,30.722,226.6,,,,,
lap,4,2'05.601,P,33.655,33.237,22.436,36.273,225.2,,,,
lap,5,4'51.025,27.986,34.324,33.908,31.174,231.0,,,,,
lap,6,1'57.551,33.078,32.748,21.872,29.853,239.2,,,,,
rider,Stefano,NEPA,Solunion,Aspar,Team,ITA,2nd,82,Total,laps=6,laps=3,
lap,1,2'43.154,28.425,33.576,22.476,30.553,231.0,,,,,
lap,2,1'59.340,33.770,33.063,22.272,30.235,233.0,,,,,
lap,3,1'58.963,33.416,32.998,22.199,30.350,229.5,,,,,
lap,4,2'05.230,P,33.558,33.615,22.499,35.558,231.5,,,,
lap,5,4'42.176,29.387,36.787,25.620,36.191,206.4,,,,,
lap,6,1'57.947,33.283,32.673,21.923,30.068,238.6,,,,,
rider,Kaito,TOBA,Red,Bull,KTM,Ajo,JPN,3rd,27,Total,laps=6,laps=3
lap,1,2'25.680,29.896,33.910,22.613,30.555,232.5,,,,,
lap,2,1'59.629,33.781,33.209,22.128,30.511,231.0,,,,,
lap,3,1'59.195,33.640,33.088,22.091,30.376,229.5,,,,,
lap,4,2'06.488,P,33.863,33.536,23.121,35.968,228.1,,,,
lap,5,4'59.117,31.082,37.786,27.348,33.700,218.4,,,,,
lap,6,1'57.971,33.322,32.665,22.024,29.960,238.6,,,,,
rider,Gabriel,RODRIGO,Kömmerling,Gresini,MARG,4th,2,Total,laps=6,laps=3,,
lap,1,2'37.995,28.770,33.301*,22.154,30.277,235.0,,,,,
lap,2,1'58.627,33.238,33.060,21.876,30.453,234.5,,,,,
lap,3,1'58.712,33.233,33.170,21.844,30.465,231.0,,,,,
lap,4,2'06.053,P,34.186,33.318,22.656,35.893,233.0,,,,
lap,5,4'47.370,32.050,37.104,29.107,32.661,222.0,,,,,
lap,6,1'58.007,33.256,32.696,21.683,30.372,233.5,,,,,
rider,Niccolò,ANTONELL,SIC58,Squadra,Corse,ITA,5th,23,Total,laps=6,laps=3,
lap,1,2'32.238,29.179,33.757,22.205,30.422,234.0,,,,,
lap,2,1'59.101,33.386,33.299,22.026,30.390,233.5,,,,,
lap,3,1'58.923,33.446,33.046,22.021,30.410,231.0,,,,,
lap,4,2'05.571,P,33.880,33.444*,22.292,35.955,222.0,,,,
