0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,October 25,Moto3,MotorLand Aragón,RACE,,,,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,1st,5,Total,laps=19,laps=18,,,
lap,1,2'02.687,37.110,33.544,22.214,29.819,242.9,,,,,,
lap,2,1'58.375,33.351,32.983,22.161,29.880,240.8,,,,,,
lap,3,1'59.299,33.777,33.490,22.083,29.949,241.8,,,,,,
lap,4,1'59.119,33.579,33.334,22.320,29.886,240.8,,,,,,
lap,5,1'58.867,33.622,33.116,22.049,30.080,236.5,,,,,,
lap,6,1'58.519,33.417,33.024,22.048,30.030,236.5,,,,,,
lap,7,1'58.863,33.335,33.297,22.222,30.009,237.1,,,,,,
lap,8,1'58.652,33.279,33.213,22.149,30.011,241.8,,,,,,
lap,9,1'59.004,33.461,33.114,22.307,30.122,236.5,,,,,,
lap,10,1'59.411,33.725,33.256,22.322,30.108,238.6,,,,,,
lap,11,1'58.664,33.375,33.162,22.086,30.041,240.2,,,,,,
lap,12,1'58.671,33.275,33.243,22.114,30.039,235.5,,,,,,
lap,13,1'59.000,33.471,33.177,22.162,30.190,234.5,,,,,,
lap,14,1'59.089,33.624,33.107,22.170,30.188,236.0,,,,,,
lap,15,1'59.390,33.579,33.289,22.230,30.292,234.5,,,,,,
lap,16,1'59.003,33.370,33.316,22.179,30.138,234.5,,,,,,
lap,17,1'59.391,33.459,33.554,22.196,30.182,234.5,,,,,,
lap,18,1'59.322,33.357,33.442,22.508,30.015,237.6,,,,,,
lap,19,1'59.276,33.480,33.566,22.079,30.151,237.1,,,,,,
rider,Ayumu,SASAKI,Red,Bull,KTM,Tech,3,JPN,2nd,71,Total,laps=19,laps=18
lap,1,2'02.059,36.774,33.455,21.987,29.843,238.6,,,,,,
lap,2,1'58.632,33.529,33.033,21.980,30.090,234.0,,,,,,
lap,3,1'59.128,33.471,33.115,22.125,30.417,231.0,,,,,,
lap,4,1'59.221,33.904,32.947,22.078,30.292,232.0,,,,,,
lap,5,1'58.998,33.928,32.849,22.204,30.017,235.0,,,,,,
lap,6,1'58.892,33.811,33.004,22.083,29.994,236.0,,,,,,
lap,7,1'58.473,33.373,32.991,22.186,29.923,235.0,,,,,,
lap,8,1'59.058,33.541,33.214,22.315,29.988,236.0,,,,,,
lap,9,1'59.019,33.641,33.067,22.186,30.125,239.2,,,,,,
lap,10,1'58.948,33.735,32.960,22.062,30.191,234.5,,,,,,
lap,11,1'58.964,33.648,33.077,22.120,30.119,234.5,,,,,,
lap,12,1'58.987,33.809,33.085,22.177,29.916,237.6,,,,,,
lap,13,1'59.548,34.222,33.182,22.103,30.041,233.0,,,,,,
lap,14,1'59.137,33.410,33.663,22.067,29.997,233.0,,,,,,
lap,15,1'59.287,33.391,33.317,22.595,29.984,238.1,,,,,,
lap,16,1'59.306,33.293,33.505,22.361,30.147,232.0,,,,,,
lap,17,1'59.094,33.330,33.344,22.489,29.931,236.0,,,,,,
lap,18,1'58.805,33.314,33.180,22.500,29.811,237.1,,,,,,
lap,19,1'59.097,33.452,33.402,22.150,30.093,238.6,,,,,,
rider,Kaito,TOBA,Red,Bull,KTM,Ajo,JPN,3rd,27,Total,laps=19,laps=17,
lap,1,2'02.479,37.083,33.384,22.128,29.884,235.0,,,,,,
lap,2,1'58.371,33.359,33.029,22.147,29.836,241.3,,,,,,
lap,3,1'59.249,33.861,33.224,22.174,29.990,241.3,,,,,,
lap,4,1'59.257,33.690,33.454,22.218,29.895,237.1,,,,,,
lap,5,1'58.557,33.530,32.894,22.125,30.008,232.5,,,,,,
lap,6,1'58.795,33.433,33.153,22.132,30.077,234.5,,,,,,
lap,7,1'58.555,33.347,33.166,21.994,30.048,233.0,,,,,,
lap,8,1'58.903,33.243,33.397,22.019,30.244,231.5,,,,,,
lap,9,1'58.954,33.502,33.198,21.963,30.291,232.5,,,,,,
lap,10,1'59.070,33.573,33.149,22.092,30.256,232.0,,,,,,
lap,11,2'00.031,34.135,33.305,22.478,30.113,236.5,,,,,,
lap,12,1'58.416,33.265,33.038,22.098,30.015,236.0,,,,,,
lap,13,1'58.948,33.554,33.332*,22.108,29.954,233.5,,,,,,
lap,14,1'59.094,33.598,33.290,22.056,30.150,232.0,,,,,,
lap,15,1'59.037,33.449,33.335,22.229,30.024,236.0,,,,,,
lap,16,1'59.285,33.601,33.520,22.165,29.999,235.5,,,,,,
lap,17,1'59.377,33.433,33.550,22.257,30.137,234.5,,,,,,
lap,18,1'59.068,33.288,33.405,22.392,29.983,236.0,,,,,,
lap,19,1'59.308,33.988,33.189,22.057,30.074,239.7,,,,,,
rider,Albert,ARENAS,Solunion,Aspar,Team,SPA,4th,75,Total,laps=19,laps=16,,
lap,1,2'01.705,36.486,33.209,21.827,30.183,230.5,,,,,,
lap,2,1'58.946,33.461,33.116*,22.117,30.252,230.5,,,,,,
lap,3,1'59.330,33.927,33.239*,22.021,30.143,238.1,,,,,,
lap,4,1'59.181,33.672,33.277,22.165,30.067,237.1,,,,,,
lap,5,1'58.702,33.372,32.990,22.140,30.200,232.5,,,,,,
lap,6,1'58.602,33.236,33.001,22.020,30.345,226.6,,,,,,
lap,7,1'58.687,33.226,33.144,21.981,30.336,226.6,,,,,,
lap,8,1'59.065,33.427,33.231,21.963,30.444,224.8,,,,,,
lap,9,1'58.912,33.289,33.177,21.967,30.479,227.6,,,,,,
lap,10,1'59.005,33.450,33.148,22.045,30.362,227.6,,,,,,
lap,11,1'59.004,33.532,33.219,21.970,30.283,228.6,,,,,,
lap,12,1'58.930,33.353,33.245,22.039,30.293,228.1,,,,,,
lap,13,1'59.099,33.418,33.206,22.066,30.409,228.6,,,,,,
lap,14,1'59.086,33.395,33.266,22.033,30.392,229.5,,,,,,
lap,15,1'59.233,33.404,33.352,22.121,30.356,228.6,,,,,,
lap,16,1'59.078,33.341,33.353,22.064,30.320,229.0,,,,,,
lap,17,1'59.366,33.629,33.348,22.079,30.310,228.6,,,,,,
lap,18,1'59.362,33.359,33.568,22.096,30.339,227.1,,,,,,
lap,19,1'59.605,33.620,33.378,22.004,30.603,226.2,,,,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,5th,13,Total,laps=19,laps=17,
lap,1,2'01.852,36.388,33.423,21.889,30.152,235.5,,,,,,
lap,2,1'58.954,33.598,33.149,22.286,29.921,242.4,,,,,,
lap,3,1'59.074,33.700,33.106,22.045,30.223,234.5,,,,,,
lap,4,1'59.062,33.589,33.116,21.998,30.359,227.6,,,,,,
lap,5,1'58.892,33.357,33.092,22.052,30.391,227.1,,,,,,
lap,6,1'58.714,33.601,32.904,21.997,30.212,231.0,,,,,,
lap,7,1'58.694,33.300,33.213,21.937,30.244,230.5,,,,,,
lap,8,1'59.045,33.526,33.214,22.104,30.201,234.0,,,,,,
lap,9,1'59.152,33.919,33.143,22.142,29.948,239.7,,,,,,
lap,10,1'58.925,33.571,33.033,22.337,29.984,237.6,,,,,,
lap,11,1'59.148,33.628,33.276,22.311,29.933,235.5,,,,,,
lap,12,1'58.837,33.375,33.185,22.128,30.149,235.5,,,,,,
lap,13,1'58.926,33.660,33.217*,21.967,30.082,237.1,,,,,,
lap,14,1'59.615,33.778,33.537,22.275,30.025,236.5,,,,,,
lap,15,1'58.973,33.375,33.346,22.195,30.057,237.1,,,,,,
lap,16,1'59.383,33.558,33.456,22.426,29.943,238.6,,,,,,
lap,17,1'59.093,33.493,33.333,22.262,30.005,236.5,,,,,,
lap,18,1'59.377,33.462,33.395,22.430,30.090,234.0,,,,,,
lap,19,1'59.217,33.586,33.258,22.306,30.067,234.0,,,,,,
rider,6th,17,John,MCPHEE,Petronas,Sprinta,Raci,GBR,Total,laps=19,laps=18,,
lap,1,2'03.025,37.450,33.700,22.203,29.672,241.3,,,,,,
lap,2,1'58.601,33.168,33.276,22.308,29.849,239.7,,,,,,
lap,3,1'59.294,33.683,33.499,22.418,29.694,236.5,,,,,,
lap,4,1'59.456,33.828,33.257,22.570,29.801,240.2,,,,,,
lap,5,1'58.653,33.630,33.082,22.137,29.804,238.1,,,,,,
lap,6,1'58.519,33.553,33.092,22.150,29.724,238.1,,,,,,
lap,7,1'58.409,33.320,33.056,22.195,29.838,235.5,,,,,,
lap,8,1'58.559,33.630,33.072,22.129,29.728,236.5,,,,,,
lap,9,1'59.489,33.715,33.188,22.226,30.360,237.6,,,,,,
lap,10,1'59.600,33.845,33.091,22.563,30.101,238.6,,,,,,
lap,11,1'59.180,33.471,33.256,22.398,30.055,241.3,,,,,,
lap,12,1'58.379,33.310,33.070,22.045,29.954,237.1,,,,,,
lap,13,1'58.792,33.562,33.160,22.220,29.850,237.1,,,,,,
lap,14,1'58.752,33.310,33.346,22.123,29.973,237.1,,,,,,
lap,15,1'58.964,33.318,33.295,22.264,30.087,240.2,,,,,,
