0,1,2,3,4,5,6,7,8,9
const,2020,November 07,Moto3,Circuit Ricardo Tormo,Q2,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,1st,17,
lap,1,2'23.626,27.773,33.709,27.761,32.965,,,
lap,2,1'56.065,26.222,31.396,27.300,31.147,219.6,,
lap,3,1'53.837,25.602,30.771,26.511,30.953,221.8,,
lap,4,1'52.514,25.485,30.090,26.149,30.790,218.2,,
lap,5,1'53.599,25.878,30.404,26.182,31.135,218.2,,
lap,6,1'53.055,25.672,30.224,26.084,31.075,216.2,,
lap,7,1'52.252,25.465,29.931,26.007,30.849,216.2,,
lap,8,1'53.634,25.354,30.189,26.509,31.582,216.9,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,2nd,25
lap,1,2'42.381,26.304,33.824,28.147,32.017,,,
lap,2,1'55.937,26.211,31.425,27.121,31.180,215.5,,
lap,3,1'54.550,25.787,31.036,26.697,31.030,217.5,,
lap,4,1'53.830,25.802,30.929,26.189,30.910,216.9,,
lap,5,1'53.309,25.606,30.429,26.202*,31.072*,213.5,,
lap,6,1'52.623,25.341,30.294,26.032,30.956,214.8,,
lap,7,1'53.665,25.348,30.865,26.383,31.069,214.8,,
lap,8,1'52.316,25.273,30.206*,25.994,30.843,216.9,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,3rd,13
lap,1,2'22.730,25.897,34.205,29.050,35.012,,,
lap,2,1'55.845,26.275,31.239,26.846,31.485,216.9,,
lap,3,1'54.056,25.897,30.599,26.517,31.043,216.9,,
lap,4,1'53.064,25.668,30.168,26.224,31.004,216.2,,
lap,5,1'52.663,25.580,30.113,26.130,30.840,215.5,,
lap,6,1'53.021,25.624,30.164,26.187,31.046,215.5,,
lap,7,1'52.962,25.647,30.094,26.137,31.084,213.5,,
lap,unfinished,25.480,214.2,,,,,,
rider,Albert,ARENAS,Valresa,Aspar,Team,SPA,4th,75,
lap,1,2'24.791,24.741,32.235,27.347,32.403,,,
lap,2,1'55.480,26.290,31.325,26.656,31.209,221.0,,
lap,3,1'55.130,26.219,31.088,26.749,31.074,222.5,,
lap,4,1'52.821,25.531,30.397,26.109,30.784,218.9,,
lap,5,1'54.292,25.724,30.773,26.714,31.081,219.6,,
lap,6,1'54.081,25.757,30.727,26.532,31.065,217.5,,
lap,7,1'53.784,25.634,30.671,26.388,31.091,216.2,,
lap,8,1'53.581,25.662,30.496,26.450,30.973,216.2,,
rider,Alonso,LOPEZ,Sterilgarda,Max,Racin,SPA,5th,21,
lap,1,2'57.142,26.908,33.255,28.082,31.613,,,
lap,2,1'55.246,26.390,31.137,26.860,30.859,214.8,,
lap,3,1'53.179,25.897,30.380,26.303,30.599,214.8,,
lap,4,2'22.514,25.747,55.655,28.619,32.493,214.8,,
lap,5,1'57.396,26.431,31.503,27.465,31.997,209.6,,
lap,6,2'00.192,26.221,32.332,29.084,32.555,210.2,,
rider,Riccardo,ROSSI,BOE,Skull,Rider,Facil,ITA,6th,54
lap,1,2'25.609,26.605,32.774,27.707,33.524,,,
lap,2,1'54.973,26.387,31.006,26.648,30.932,216.9,,
lap,3,1'55.875,26.305,30.996,27.260,31.314,223.2,,
lap,4,1'53.205,25.726,30.592,26.245,30.642,217.5,,
lap,5,1'53.898,25.940*,30.659,26.239,31.060,215.5,,
lap,6,1'53.321,25.842,30.352,26.418,30.709,216.2,,
lap,7,1'54.056,26.286,30.391,26.140,31.239,215.5,,
lap,8,1'53.370,25.650,30.381,26.333,31.006,214.8,,
rider,Sergio,GARCIA,Estrella,Galicia,"0,0",SPA,7th,11,
lap,1,2'24.472,26.159,32.262,27.981,35.270,,,
lap,2,1'55.650,26.355,30.999,27.016,31.280,219.6,,
lap,3,1'54.178,26.218,30.911,26.298,30.751,221.0,,
lap,4,1'53.230,25.705,30.275,26.409,30.841,218.9,,
lap,unfinished,25.909,30.197,216.9,,,,,
