0,1,2,3,4,5,6,7,8,9,10
const,2020,November 08,Moto3,Circuit Ricardo Tormo,RACE,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,1st,25,
lap,1,1'46.630,30.123,26.327,22.982,27.198,165.6,,,
lap,2,1'40.261,23.525,26.634,22.823,27.279,223.9,,,
lap,3,1'39.642,23.531,26.151,22.767,27.193,217.5,,,
lap,4,1'40.154,23.552,26.268,22.929,27.405,217.5,,,
lap,5,1'39.913,23.588,26.219,22.846,27.260,216.9,,,
lap,6,1'40.108,23.601,26.258,22.861,27.388,216.9,,,
lap,7,1'39.947,23.561,26.264,22.847,27.275,216.9,,,
lap,8,1'39.953,23.555,26.238,22.828,27.332,216.9,,,
lap,9,1'40.121,23.617,26.204,22.830,27.470,215.5,,,
lap,10,1'40.023,23.609,26.209,22.878,27.327,216.2,,,
lap,11,1'40.174,23.551,26.291,22.895,27.437,215.5,,,
lap,12,1'40.179,23.599,26.270,22.916,27.394,215.5,,,
lap,13,1'40.197,23.530,26.340,22.879,27.448,216.2,,,
lap,14,1'40.233,23.564,26.384,22.864,27.421,214.8,,,
lap,15,1'40.105,23.498,26.353,22.907,27.347,216.9,,,
lap,16,1'40.020,23.426,26.270,22.916,27.408*,216.2,,,
lap,17,1'40.186,23.491,26.308,22.952,27.435,216.2,,,
lap,18,1'40.159,23.435,26.284,22.962,27.478,215.5,,,
lap,19,1'40.097,23.451,26.292,22.970,27.384,215.5,,,
lap,20,1'40.223,23.480,26.437,22.878,27.428,216.2,,,
lap,21,1'40.025,23.528,26.278,22.828,27.391*,216.2,,,
lap,22,1'40.315,23.515,26.419,22.995,27.386,216.2,,,
lap,23,1'40.475,23.516,26.367,23.007,27.585,216.2,,,
rider,Sergio,GARCIA,Estrella,Galicia,"0,0",SPA,2nd,11,,
lap,1,1'48.354,30.566,27.051,23.331,27.406,170.1,,,
lap,2,1'41.142,24.004,26.509,23.302,27.327,218.2,,,
lap,3,1'40.196,23.602,26.448,22.950,27.196,223.9,,,
lap,4,1'39.994,23.666,26.108,22.903,27.317,226.1,,,
lap,5,1'40.106,23.725,26.233,22.900,27.248,223.9,,,
lap,6,1'39.977,23.720,26.196,22.829,27.232,225.4,,,
lap,7,1'39.836,23.435,26.102,22.984,27.315,226.1,,,
lap,8,1'39.942,23.458,26.159,22.978,27.347,221.0,,,
lap,9,1'39.876,23.481,26.117,22.936,27.342,221.8,,,
lap,10,1'40.035,23.522,26.130,22.929,27.454,221.0,,,
lap,11,1'40.655,23.827,26.206,23.103,27.519,216.2,,,
lap,12,1'39.938,23.490,26.049,22.874,27.525,223.9,,,
lap,13,1'40.098,23.565,26.194,23.058,27.281,225.4,,,
lap,14,1'40.000,23.592,26.182,22.997,27.229,225.4,,,
lap,15,1'40.001,23.520,26.150,22.986,27.345,223.9,,,
lap,16,1'39.725,23.454,26.112,22.896,27.263,221.0,,,
lap,17,1'39.951,23.409,26.144,23.007,27.391,221.8,,,
lap,18,1'40.477,23.812,26.214,23.213,27.238,221.0,,,
lap,19,1'39.639,23.301,26.092,22.906,27.340,225.4,,,
lap,20,1'40.240,23.590,26.233,23.098,27.319,221.0,,,
lap,21,1'40.265,23.720,26.378,22.823,27.344,223.2,,,
lap,22,1'39.722,23.507,26.102,22.831,27.282,220.3,,,
lap,23,1'39.674,23.363,26.165,22.794,27.352,224.7,,,
rider,Ai,OGURA,Honda,Team,Asia,JPN,3rd,79,,
lap,1,1'47.360,30.486,26.724,22.949,27.201,173.6,,,
lap,2,1'41.101,23.701,26.963,23.018,27.419,223.2,,,
lap,3,1'40.755,23.740,26.478,22.989,27.548,218.2,,,
lap,4,1'40.311,23.730,26.298,22.966,27.317,222.5,,,
lap,5,1'40.139,23.778,26.313,22.819,27.229,223.9,,,
lap,6,1'40.183,23.743,26.452,22.819,27.169,224.7,,,
lap,7,1'40.059,23.672,26.107,23.026,27.254,226.9,,,
lap,8,1'39.745,23.603,26.125,22.787,27.230,221.0,,,
lap,9,1'39.912,23.595,26.108,22.919,27.290,223.2,,,
lap,10,1'40.027,23.623,26.132,22.994,27.278,223.9,,,
lap,11,1'40.226,23.524,26.247,22.968,27.487,222.5,,,
lap,12,1'40.132,23.493,26.183,22.922,27.534,219.6,,,
lap,13,1'40.098,23.520,26.153,23.122,27.303,222.5,,,
lap,14,1'40.137,23.538,26.166,23.038,27.395,221.8,,,
lap,15,1'40.123,23.628,26.100,23.082,27.313,225.4,,,
lap,16,1'39.703,23.488,26.050,22.985,27.180,223.2,,,
lap,17,1'39.904,23.480,26.152,23.026,27.246,223.9,,,
lap,18,1'40.289,23.490,26.415,23.144,27.240,226.1,,,
lap,19,1'39.788,23.536,26.084,22.966,27.202,220.3,,,
lap,20,1'40.068,23.405,26.210,23.134,27.319,224.7,,,
lap,21,1'40.510,23.791,26.530,22.960,27.229,221.0,,,
lap,22,1'39.634,23.550,26.111,22.811,27.162,223.9,,,
lap,23,1'39.941,23.536,26.273,22.828,27.304,223.9,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,4th,14,,
lap,1,1'48.504,30.864,27.087,23.275,27.278,180.4,,,
lap,2,1'40.410,23.544,26.633,22.940,27.293,226.9,,,
lap,3,1'40.262,23.582,26.230,23.043,27.407,223.9,,,
lap,4,1'40.159,23.518,26.305,22.971,27.365,223.2,,,
lap,5,1'40.201,23.533,26.308,22.953,27.407,218.9,,,
lap,6,1'39.989,23.462,26.227,22.966,27.334,219.6,,,
lap,7,1'39.951,23.447,26.160,23.050,27.294,219.6,,,
lap,8,1'39.947,23.374,26.275,22.967,27.331,219.6,,,
lap,9,1'39.851,23.376,26.178,22.995,27.302,218.9,,,
lap,10,1'40.215,23.501,26.179,23.284,27.251,218.9,,,
lap,11,1'40.038,23.418,26.289,22.945,27.386,221.0,,,
lap,12,1'40.307,23.460,26.208,22.969,27.670,218.9,,,
lap,13,1'40.136,23.416,26.296,23.055,27.369,219.6,,,
lap,14,1'40.059,23.414,26.301,22.941,27.403,220.3,,,
lap,15,1'39.954,23.429,26.249,22.967,27.309,219.6,,,
lap,16,1'39.766,23.336,26.234,22.943,27.253,219.6,,,
lap,17,1'40.001,23.333,26.208,23.043,27.417,219.6,,,
lap,18,1'40.068,23.436,26.200,23.049,27.383,220.3,,,
lap,19,1'40.051,23.429,26.251,22.977,27.394,219.6,,,
lap,20,1'40.130,23.346,26.330,23.036,27.418,221.0,,,
lap,21,1'40.113,23.388,26.282,23.004,27.439,221.0,,,
lap,22,1'39.955,23.339,26.251,23.002,27.363,219.6,,,
lap,23,1'40.110,23.608,26.421,22.881,27.200,221.8,,,
rider,5th,40,Darryn,BINDER,CIP,Green,Power,RSA,,
lap,1,1'48.848,30.735,27.348,23.279,27.486,171.4,,,
lap,2,1'40.618,23.615,26.549,23.267,27.187,223.2,,,
lap,3,1'40.032,23.472,26.167,22.918,27.475,223.2,,,
lap,4,1'39.991,23.549,26.147,22.893,27.402,221.8,,,
lap,5,1'40.148,23.635,26.227,22.876,27.410,225.4,,,
lap,6,1'40.088,23.620,26.268,22.875,27.325,225.4,,,
lap,7,1'40.472,23.936,26.198,22.972,27.366,221.8,,,
lap,8,1'39.757,23.538,26.141,22.773,27.305,221.8,,,
lap,9,1'39.924,23.572,26.184,22.755,27.413,221.8,,,
lap,10,1'40.185,23.527,26.456,22.840,27.362,221.0,,,
lap,11,1'40.162,23.567,26.094,22.986,27.515,223.9,,,
lap,12,1'40.794,23.703,26.401,23.013,27.677*,225.4,,,
lap,13,1'40.132,23.670,26.217,22.890,27.355,222.5,,,
lap,14,1'40.133,23.570,26.247,22.877,27.439,222.5,,,
lap,15,1'40.447,23.739,26.256,22.972,27.480,219.6,,,
lap,16,1'40.822,23.597,26.548,23.011,27.666,217.5,,,
lap,17,1'41.480,23.777,26.689,23.205,27.809,218.9,,,
lap,18,1'41.696,23.849,26.774,23.275,27.798,218.2,,,
lap,19,1'41.681,23.758,26.912,23.214,27.797,218.2,,,
lap,20,1'41.487,23.753,26.727,23.212,27.795,220.3,,,
lap,21,1'41.530,23.857,26.701,23.231,27.741,218.2,,,
lap,22,1'41.359,23.681,26.667,23.204,27.807,222.5,,,
lap,23,1'40.746,23.913,26.393,22.951,27.489,219.6,,,
rider,6th,99,Carlos,TATAY,Reale,Avintia,Moto3,SPA,,
lap,1,1'49.073,30.768,27.356,23.328,27.621,174.9,,,
lap,2,1'41.041,23.884,26.580,23.151,27.426,226.9,,,
lap,3,1'40.317,23.566,26.259,23.084,27.408,223.9,,,
lap,4,1'39.768,23.348,26.158,22.890,27.372,223.2,,,
lap,5,1'40.043,23.470,26.383,22.883,27.307,222.5,,,
lap,6,1'39.952,23.441,26.304,22.910,27.297,223.2,,,
lap,7,1'40.329,23.585,26.295,23.015,27.434,223.2,,,
lap,8,1'39.982,23.450,26.336,22.837,27.359,223.2,,,
lap,9,1'40.267,23.452,26.376,22.962,27.477,221.8,,,
lap,10,1'40.369,23.704,26.268,22.924,27.473,223.9,,,
lap,11,1'40.822,23.592,26.544,23.058,27.628,221.8,,,
lap,12,1'40.397,23.453,26.396,22.984,27.564,218.9,,,
lap,13,1'40.031,23.306,26.371,22.876,27.478,221.8,,,
lap,14,1'40.452,23.330,26.452,23.000,27.670,220.3,,,
lap,15,1'40.686,23.441,26.542,23.050,27.653,220.3,,,
lap,16,1'41.035,23.463,26.704,23.097,27.771,219.6,,,
lap,17,1'41.041,23.536,26.672,23.148,27.685,218.2,,,
lap,18,1'40.785,23.449,26.653,23.065,27.618,219.6,,,
lap,19,1'41.262,23.795,26.572,23.278,27.617,221.0,,,
lap,20,1'41.416,23.918,26.577,23.182,27.739,221.8,,,
lap,21,1'41.397,23.845,26.593,23.345,27.614,221.8,,,
lap,22,1'41.398,23.798,26.597,23.229,27.774,221.8,,,
lap,23,1'40.701,23.426,26.549,23.076,27.650,223.2,,,
rider,Stefano,NEPA,Valresa,Aspar,Team,ITA,7th,82,,
lap,1,1'50.679,32.014,27.248,23.778,27.639,184.8,,,
lap,2,1'41.319,24.242,26.371,23.430,27.276,228.4,,,
lap,3,1'41.380,24.568,26.379,23.119,27.314,226.9,,,
lap,4,1'40.475,23.912,26.275,23.081,27.207,226.1,,,
lap,5,1'40.638,23.888,26.137*,22.975,27.638,227.6,,,
lap,6,1'40.977,24.170,26.450,23.098,27.259,227.6,,,
lap,7,1'40.094,23.862,26.181,22.846,27.205,224.7,,,
lap,8,1'40.125,23.873,26.184,22.862,27.206,227.6,,,
lap,9,1'40.319,23.818,26.261,22.923,27.317,225.4,,,
lap,10,1'40.533,23.832,26.312,23.072,27.317,226.1,,,
lap,11,1'40.661,24.122*,26.290,22.958,27.291,225.4,,,
lap,12,1'40.952,23.972,26.362,23.280,27.338,226.1,,,
lap,13,1'40.352,23.831,26.259,22.932,27.330,225.4,,,
lap,14,1'40.305,23.865,26.213,22.917,27.310,223.2,,,
lap,15,1'40.566,23.728,26.243,23.168,27.427,226.9,,,
lap,16,1'41.260,24.211,26.396,23.202,27.451,229.2,,,
lap,17,1'40.900,23.857,26.590,23.121,27.332,228.4,,,
lap,18,1'40.918,23.973,26.289,23.276,27.380,221.8,,,
lap,19,1'40.739,23.893,26.410,23.115,27.321,226.1,,,
lap,20,1'40.667,23.864,26.333,23.032,27.438,227.6,,,
