0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,November 08,Moto3,Circuit Ricardo Tormo,WUP,,,,,,,,
rider,Albert,ARENAS,Valresa,Aspar,Team,SPA,1st,75,Total,laps=11,laps=10,,
lap,1,2'54.876,24.017,28.224,24.252,28.677,,,,,,,
lap,2,1'43.542,25.100,26.839,23.458,28.145,218.9,,,,,,
lap,3,1'41.771,24.264,26.701,23.214,27.592,220.3,,,,,,
lap,4,1'41.371,24.057,26.646,23.101,27.567,221.0,,,,,,
lap,5,1'40.637,23.790,26.437,23.049,27.361,219.6,,,,,,
lap,6,1'40.582,23.654,26.491,23.014,27.423,219.6,,,,,,
lap,7,1'54.791,30.825,32.972,23.275,27.719,218.9,,,,,,
lap,8,1'40.228,23.649,26.302,22.944,27.333,219.6,,,,,,
lap,9,1'53.442,23.669,26.475,35.761,27.537,218.2,,,,,,
lap,10,1'40.340,23.688,26.314,23.001,27.337,221.8,,,,,,
lap,11,1'40.719,23.825,26.361,23.143,27.390,226.9,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,2nd,25,Total,laps=11,laps=10,
lap,1,3'37.083,22.979,28.712,26.616,28.738,,,,,,,
lap,2,1'42.352,25.009,26.409,23.460,27.474,218.9,,,,,,
lap,3,1'41.413,24.263,26.454,23.261,27.435,221.8,,,,,,
lap,4,1'40.735,24.001,26.457,22.986,27.291,222.5,,,,,,
lap,5,1'40.313,23.986,26.232,22.817,27.278,220.3,,,,,,
lap,6,1'40.728,24.235,26.225,22.842,27.426,220.3,,,,,,
lap,7,1'40.440,23.955,26.292,22.896,27.297,224.7,,,,,,
lap,8,1'40.283,23.883,26.192,22.908,27.300,217.5,,,,,,
lap,9,1'40.567,23.924,26.353,22.924,27.366,218.2,,,,,,
lap,10,1'41.016,24.053,26.391,22.968,27.604,217.5,,,,,,
lap,11,1'40.583,24.022,26.293,22.891,27.377,216.9,,,,,,
rider,Romano,FENATI,Sterilgarda,Max,Racin,ITA,3rd,55,Total,laps=11,laps=8,,
lap,1,3'38.506,24.755,27.878,23.809,28.100,,,,,,,
lap,2,1'42.189,24.946,26.540,23.099,27.604,218.9,,,,,,
lap,3,1'41.293,24.289,26.450,23.116,27.438,221.8,,,,,,
lap,4,1'41.495,24.161,26.442,23.328,27.564,225.4,,,,,,
lap,5,1'42.887,25.420*,26.304,23.330,27.833,222.5,,,,,,
lap,6,1'41.065,24.308,26.427,22.946,27.384,221.8,,,,,,
lap,7,1'40.752,23.925,26.273,23.008,27.546,221.8,,,,,,
lap,8,1'40.389,23.787,26.187,23.083,27.332,222.5,,,,,,
lap,9,1'40.426,23.929,26.035,22.992,27.470,223.2,,,,,,
lap,10,1'40.389,23.673,26.186,23.029,27.501,223.2,,,,,,
lap,11,1'41.138,24.214*,26.332,22.933,27.659,220.3,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,4th,14,Total,laps=10,laps=6,,
lap,1,3'33.265,27.851,30.766,27.306,29.437,,,,,,,
lap,2,1'46.748,27.485*,27.394,24.251,27.618,222.5,,,,,,
lap,3,1'41.556,24.152,26.406,23.530,27.468,222.5,,,,,,
lap,4,1'41.103,24.154,26.509,23.058,27.382,222.5,,,,,,
lap,5,1'40.631,23.908,26.237,23.207,27.279,223.2,,,,,,
lap,6,1'40.970,24.155,26.285,23.057,27.473,226.9,,,,,,
lap,7,1'40.433,23.772,26.196,23.087,27.378,221.8,,,,,,
lap,8,1'43.435,P,23.758,26.390*,24.100,29.187,223.2,,,,,
lap,9,3'30.265,20.985,26.656,23.121,27.384,,,,,,,
lap,10,1'40.523,23.856,26.346,23.025,27.296,221.8,,,,,,
rider,Carlos,TATAY,Reale,Avintia,Moto3,SPA,5th,99,Total,laps=11,laps=9,,
lap,1,3'12.611,27.095,30.201,25.702,29.255,,,,,,,
lap,2,1'44.027,24.917,27.471,23.552,28.087,219.6,,,,,,
lap,3,1'42.716,24.312,27.065,23.261,28.078,221.0,,,,,,
lap,4,1'41.269,23.882,26.642,23.075,27.670,221.0,,,,,,
lap,5,1'41.066,23.710,26.618,23.121,27.617,222.5,,,,,,
lap,6,1'41.150,23.801,26.635,23.099,27.615,221.8,,,,,,
lap,7,1'43.131,24.820,27.399,23.152,27.760,221.0,,,,,,
lap,8,1'40.456,23.632,26.471,22.917,27.436,221.8,,,,,,
lap,9,1'42.108,23.931,26.750,23.747,27.680,222.5,,,,,,
lap,10,1'40.799,23.571,26.545,23.061,27.622,221.0,,,,,,
lap,11,1'47.386,28.894*,27.403,23.297,27.792,221.0,,,,,,
rider,Gabriel,RODRIGO,Kömmerling,Gresini,MARG,6th,2,Total,laps=11,laps=7,,,
lap,1,3'29.762,35.021,29.633,26.322,29.370,,,,,,,
lap,2,1'44.556,25.290,27.432,23.729,28.105,221.8,,,,,,
lap,3,1'42.772,24.519,26.979,23.447,27.827,219.6,,,,,,
lap,4,1'41.929,24.383,26.682,23.185,27.679,218.9,,,,,,
lap,5,1'41.667,24.072,26.673,23.156,27.766,218.2,,,,,,
lap,6,1'41.357,23.981,26.548,23.137,27.691,217.5,,,,,,
