0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,November 14,Moto3,Circuit Ricardo Tormo,Q1,,,,,,,,
rider,Albert,ARENAS,Gaviota,Aspar,Team,SPA,1st,75,Total,laps=8,laps=3,,
lap,1,2'30.707,33.113,32.132,25.102,28.909,,,,,,,
lap,2,1'47.865,P,24.813,27.441,24.338*,31.273,216.9,,,,,
lap,3,3'25.604,23.623,28.643,24.756,28.555,,,,,,,
lap,4,1'43.019,23.759,27.595,23.725,27.940,218.2,,,,,,
lap,5,1'43.271,23.778,27.827*,23.669,27.997,218.2,,,,,,
lap,6,1'40.598,23.464,26.595,23.004,27.535,220.3,,,,,,
lap,7,1'42.383,23.224,27.384*,23.979,27.796,217.5,,,,,,
lap,8,1'39.677,23.104,26.305,22.862,27.406,219.6,,,,,,
rider,Riccardo,ROSSI,BOE,Skull,Rider,Facil,ITA,2nd,54,Total,laps=5,laps=2,
lap,1,2'24.645,27.222,32.293,24.680,28.944,,,,,,,
lap,unfinished,24.012,26.993,216.2,,,,,,,,,
lap,2,1'42.759,24.190,27.484*,23.428,27.657*,,,,,,,
lap,3,1'41.994,23.583,26.755*,23.604,28.052*,216.9,,,,,,
lap,4,1'39.806,23.331,26.194,22.985,27.296,217.5,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,3rd,17,Total,laps=7,laps=5,,
lap,1,3'04.797,P,25.596,30.642,26.174,32.725,,,,,,
lap,2,3'49.447,24.938,30.271,26.017,30.108,,,,,,,
lap,3,1'46.686,25.076,28.427,24.504,28.679,214.8,,,,,,
lap,4,1'43.320,24.011,27.559,23.620,28.130,215.5,,,,,,
lap,5,1'41.852,23.716,27.102,23.301,27.733,215.5,,,,,,
lap,6,1'41.136,23.531,26.832,23.137,27.636,216.9,,,,,,
lap,7,1'39.996,23.269,26.518,22.858,27.351,216.9,,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,4th,40,Total,laps=9,laps=5,,
lap,1,2'31.183,33.088,32.999,25.193,28.955,,,,,,,
lap,2,1'45.491,24.568,27.329,24.582*,29.012,218.9,,,,,,
lap,3,1'45.266,24.131,27.691,24.565,28.879,218.9,,,,,,
