0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,November 22,Moto3,Autódromo Internacional do Algarve,RACE,,,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,1st,25,Total,laps=21,laps=19,
lap,1,1'50.440,24.763,34.814,16.373,34.490,,,,,,,
lap,2,1'48.460,23.275,34.569,16.223,34.393,231.7,,,,,,
lap,3,1'48.122,23.236,34.480,16.198,34.208,231.7,,,,,,
lap,4,1'47.858,23.240,34.300,16.059,34.259,231.7,,,,,,
lap,5,1'47.875,23.202,34.212,16.179,34.282,233.7,,,,,,
lap,6,1'47.888,23.281,34.164,16.050,34.393,231.7,,,,,,
lap,7,1'47.902,23.195,34.290,16.043,34.374,233.7,,,,,,
lap,8,1'47.921,23.147,34.278,16.183,34.313*,232.7,,,,,,
lap,9,1'47.938,23.285,34.316,16.100,34.237,231.7,,,,,,
lap,10,1'48.132,23.281,34.334,16.124,34.393,231.2,,,,,,
lap,11,1'48.275,23.391,34.316,16.132,34.436,231.2,,,,,,
lap,12,1'48.488,23.385,34.452,16.184,34.467,232.2,,,,,,
lap,13,1'48.783,23.492,34.471,16.257,34.563,230.7,,,,,,
lap,14,1'49.273,23.614,34.682,16.378,34.599,230.7,,,,,,
lap,15,1'48.977,23.508,34.651,16.264,34.554,230.7,,,,,,
lap,16,1'49.577,23.554,35.045,16.289,34.689,228.8,,,,,,
lap,17,1'49.320,23.683,34.680,16.254,34.703,229.7,,,,,,
lap,18,1'49.709,23.690,34.732,16.297,34.990,229.7,,,,,,
lap,19,1'49.770,23.742,34.833,16.380,34.815,228.3,,,,,,
lap,20,1'50.030,23.708,34.945,16.433,34.944,228.8,,,,,,
lap,21,1'51.534,23.825,35.063,16.673,35.973,229.2,,,,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,2nd,7,Total,laps=21,laps=20,,,
lap,1,1'51.923,26.151,35.151,16.330,34.291,80.5,,,,,,
lap,2,1'48.471,23.536,34.605,16.185,34.145,247.1,,,,,,
lap,3,1'47.933,23.248,34.539,16.090,34.056,246.5,,,,,,
lap,4,1'51.380,23.577,34.389,16.179,37.235,244.3,,,,,,
lap,5,1'48.062,23.258,34.484,16.062,34.258,244.3,,,,,,
lap,6,1'51.411,23.513,34.702,16.277,36.919,242.6,,,,,,
lap,7,1'48.316,23.347,34.621,16.134,34.214,245.4,,,,,,
lap,8,1'48.762,23.583,34.720,16.185,34.274,246.5,,,,,,
lap,9,1'48.858,23.824,34.459,16.357,34.218,246.5,,,,,,
lap,10,1'48.311,23.278,34.529,16.288,34.216,243.2,,,,,,
lap,11,1'48.239,23.322,34.412,16.160,34.345,244.3,,,,,,
lap,12,1'48.434,23.273,34.529,16.089,34.543,242.6,,,,,,
lap,13,1'48.218,23.285,34.585,16.122,34.226,242.6,,,,,,
lap,14,1'48.940,23.637,34.768,16.261,34.274,244.8,,,,,,
lap,15,1'48.824,23.470,34.567,16.291,34.496,241.0,,,,,,
lap,16,1'49.184,23.433,34.802,16.311,34.638,240.0,,,,,,
lap,17,1'49.347,23.572,34.764,16.378,34.633,235.8,,,,,,
lap,18,1'49.878,23.713,35.048,16.337,34.780,235.2,,,,,,
lap,19,1'49.300,23.536,34.805,16.326,34.633,234.7,,,,,,
lap,20,1'49.066,23.490,34.739,16.339,34.498,236.3,,,,,,
lap,21,1'49.225,23.542,34.832,16.348,34.503,236.3,,,,,,
rider,Jeremy,ALCOBA,Kömmerling,Gresini,MSPA,3rd,52,Total,laps=21,laps=19,,,
lap,1,1'51.109,25.436,34.972,16.418,34.283,,,,,,,
lap,2,1'48.509,23.481,34.634,16.211,34.183,242.1,,,,,,
lap,3,1'48.189,23.344,34.403,16.198,34.244,241.6,,,,,,
lap,4,1'48.740,23.575,34.524,16.321,34.320,232.2,,,,,,
lap,5,1'48.449,23.324,34.478,16.195,34.452,240.5,,,,,,
lap,6,1'48.558,23.274,34.545,16.251,34.488,239.4,,,,,,
lap,7,1'49.206,23.583,34.814,16.342,34.467,232.7,,,,,,
lap,8,1'49.241,23.515,34.805,16.387,34.534,235.8,,,,,,
lap,9,1'49.265,23.645,34.745,16.383,34.492,231.7,,,,,,
lap,10,1'49.257,23.644,34.750,16.365,34.498,230.7,,,,,,
lap,11,1'48.871,23.531,34.640,16.316,34.384,230.2,,,,,,
lap,12,1'49.055,23.558,34.636,16.351,34.510,231.2,,,,,,
lap,13,1'48.916,23.553,34.562,16.333,34.468,230.2,,,,,,
lap,14,1'49.142,23.612,34.609,16.384,34.537,230.2,,,,,,
lap,15,1'49.431,23.706,34.686,16.442,34.597,229.2,,,,,,
lap,16,1'49.558,24.270*,34.659,16.229,34.400,229.2,,,,,,
lap,17,1'49.309,23.610,34.839,16.330,34.530,238.4,,,,,,
lap,18,1'49.722,23.639,35.049,16.345,34.689,238.4,,,,,,
lap,19,1'49.374,23.612,34.874,16.293,34.595,232.7,,,,,,
lap,20,1'49.079,23.488,34.796,16.362,34.433,236.8,,,,,,
lap,21,1'49.158,23.550,34.801,16.330,34.477,237.8,,,,,,
rider,Sergio,GARCIA,Estrella,Galicia,"0,0",SPA,4th,11,Total,laps=21,laps=19,,
lap,1,1'51.820,25.981,35.005,16.420,34.414,96.0,,,,,,
lap,2,1'48.529,23.430,34.682,16.098,34.319,245.4,,,,,,
lap,3,1'48.555,23.395,34.559,16.402,34.199,241.6,,,,,,
lap,4,1'48.337,23.411,34.572,16.200,34.154,241.0,,,,,,
lap,5,1'47.942,23.284,34.343,16.112,34.203,241.0,,,,,,
lap,6,1'48.618,23.438,34.511,16.193,34.476*,241.6,,,,,,
lap,7,1'49.219,24.118,34.525,16.184,34.392,233.2,,,,,,
lap,8,1'49.319,23.605,34.808,16.305,34.601,242.6,,,,,,
lap,9,1'49.318,23.964,34.675,16.273,34.406,236.3,,,,,,
lap,10,1'49.478,23.979,34.695,16.323,34.481,236.8,,,,,,
lap,11,1'49.061,23.558,34.606,16.462,34.435,246.0,,,,,,
lap,12,1'49.217,23.737,34.903,16.180,34.397,239.4,,,,,,
lap,13,1'48.923,23.448,34.528,16.324,34.623,237.3,,,,,,
lap,14,1'49.886,23.963,34.572,16.467,34.884,240.5,,,,,,
lap,15,1'48.573,23.327,34.565,16.164,34.517,243.2,,,,,,
lap,16,1'49.014,23.630,34.651,16.250,34.483,235.2,,,,,,
lap,17,1'49.399,23.610,34.873,16.251,34.665,240.5,,,,,,
lap,18,1'49.765,23.527,34.987,16.444,34.807,240.5,,,,,,
lap,19,1'49.260,23.574,34.745,16.331,34.610,238.4,,,,,,
lap,20,1'49.164,23.556,34.684,16.322,34.602,240.5,,,,,,
lap,21,1'49.322,23.536,34.792,16.309,34.685,234.2,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,5th,14,Total,laps=21,laps=19,,
lap,1,1'53.006,26.970,35.337,16.258,34.441,126.0,,,,,,
lap,2,1'49.265,23.306,34.989,16.215,34.755,247.1,,,,,,
lap,3,1'48.942,23.426,34.704,16.183,34.629,244.3,,,,,,
lap,4,1'48.935,23.401,34.834,16.336,34.364,247.1,,,,,,
lap,5,1'48.050,23.231,34.466,16.075,34.278,242.6,,,,,,
lap,6,1'49.097,23.457,34.610,16.287,34.743,244.8,,,,,,
lap,7,1'49.270,23.736,34.720,16.240,34.574,236.3,,,,,,
lap,8,1'49.077,23.516,34.744,16.251,34.566,236.8,,,,,,
lap,9,1'48.750,23.452,34.720,16.154,34.424,236.8,,,,,,
lap,10,1'48.882,23.525,34.615,16.240,34.502,236.8,,,,,,
lap,11,1'48.667,23.638,34.577,16.135,34.317,237.8,,,,,,
lap,12,1'48.388,23.466,34.445,16.133,34.344,244.8,,,,,,
lap,13,1'48.674,23.524,34.534,16.227,34.389,246.0,,,,,,
lap,14,1'49.158,23.567,34.687,16.289,34.615,246.0,,,,,,
lap,15,1'49.022,23.606,34.690,16.218,34.508,241.6,,,,,,
lap,16,1'50.163,23.826,34.773,16.491,35.073,238.9,,,,,,
lap,17,1'49.839,23.619,34.938,16.409,34.873,237.3,,,,,,
lap,18,1'50.114,23.701,34.824,16.384,35.205,233.2,,,,,,
lap,19,1'50.779,23.881,35.043,16.458,35.397*,233.7,,,,,,
lap,20,1'51.094,23.818,35.433,16.657,35.186,237.3,,,,,,
lap,21,1'50.098,23.716,35.070,16.413,34.899,236.8,,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,6th,40,Total,laps=21,laps=19,,
lap,1,1'52.107,26.608,35.110,16.316,34.073,108.9,,,,,,
lap,2,1'48.513,23.456,34.852,16.158,34.047,243.2,,,,,,
lap,3,1'50.716,23.290,34.539,16.174,36.713,243.7,,,,,,
lap,4,1'48.929,23.562,34.899,16.261,34.207,244.3,,,,,,
lap,5,1'48.188,23.277,34.512,16.163,34.236,241.6,,,,,,
lap,6,1'48.954,23.324,34.809,16.285,34.536,243.2,,,,,,
lap,7,1'49.438,23.469,34.833,16.726,34.410,243.2,,,,,,
lap,8,1'48.969,23.410,34.797,16.267,34.495,242.6,,,,,,
lap,9,1'49.243,23.565,34.897,16.277,34.504,242.1,,,,,,
lap,10,1'49.232,23.616,34.940,16.169,34.507,238.9,,,,,,
lap,11,1'48.550,23.427,34.683,16.144,34.296,243.7,,,,,,
lap,12,1'48.764,23.388,34.687,16.180,34.509,244.3,,,,,,
lap,13,1'48.701,23.460,34.719,16.220,34.302,241.0,,,,,,
lap,14,1'48.972,23.502,34.708,16.321,34.441,243.2,,,,,,
lap,15,1'49.187,23.439,34.810,16.301,34.637,242.6,,,,,,
lap,16,1'49.559,23.513,34.964*,16.302,34.780,238.4,,,,,,
lap,17,1'49.663,23.524,34.960,16.436,34.743,237.8,,,,,,
lap,18,1'49.724,23.577,34.917,16.317,34.913,236.3,,,,,,
lap,19,1'50.466,23.579,35.097,16.468,35.322,238.4,,,,,,
lap,20,1'51.257,23.870,35.447,16.681,35.259,233.2,,,,,,
lap,21,1'50.205,23.882,35.126,16.454,34.743,234.7,,,,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,7th,13,Total,laps=21,laps=20,
lap,1,1'52.923,26.797,35.345,16.281,34.500,97.0,,,,,,
lap,2,1'49.106,23.552,34.831,16.159,34.564,243.7,,,,,,
lap,3,1'49.244,23.438,34.788,16.353,34.665,241.0,,,,,,
lap,4,1'49.505,23.834,34.836,16.293,34.542,244.3,,,,,,
lap,5,1'48.262,23.309,34.406,16.163,34.384,242.1,,,,,,
lap,6,1'48.540,23.314,34.716,16.186,34.324,241.0,,,,,,
lap,7,1'49.171,23.611,34.671,16.451,34.438,243.7,,,,,,
lap,8,1'49.214,23.840,34.783,16.271,34.320,236.3,,,,,,
lap,9,1'49.165,23.701,34.647,16.486,34.331,242.6,,,,,,
lap,10,1'48.795,23.673,34.507,16.147,34.468,241.0,,,,,,
lap,11,1'48.361,23.465,34.488,16.193,34.215,244.3,,,,,,
lap,12,1'48.452,23.427,34.541,16.246,34.238,244.3,,,,,,
lap,13,1'49.048,23.603,34.563,16.252,34.630,243.7,,,,,,
lap,14,1'49.091,23.493,34.783,16.361,34.454,240.0,,,,,,
lap,15,1'49.544,23.407,34.853,16.466,34.818,239.4,,,,,,
lap,16,1'49.867,23.874,34.920,16.450,34.623,233.7,,,,,,
lap,17,1'49.930,23.896,34.907,16.426,34.701,243.2,,,,,,
lap,18,1'50.500,23.827,35.388,16.514,34.771,234.7,,,,,,
lap,19,1'50.201,23.880,35.136,16.355,34.830,241.0,,,,,,
lap,20,1'50.448,24.013,34.980,16.658,34.797,236.3,,,,,,
lap,21,1'50.812,24.289,35.373,16.327,34.823,241.6,,,,,,
rider,8th,79,Ai,OGURA,Honda,Team,Asia,JPN,Total,laps=21,laps=20,,
lap,1,1'50.646,25.145,34.765,16.346,34.390,,,,,,,
lap,2,1'48.537,23.322,34.605,16.220,34.390,237.3,,,,,,
lap,3,1'48.864,23.431,34.606,16.440,34.387,236.8,,,,,,
lap,4,1'48.600,23.536,34.397,16.188,34.479,238.9,,,,,,
lap,5,1'48.469,23.384,34.411,16.234,34.440,243.7,,,,,,
lap,6,1'48.900,23.765,34.487,16.337,34.311,235.2,,,,,,
lap,7,1'48.956,23.627,34.528,16.378,34.423,240.0,,,,,,
lap,8,1'49.687,24.119,34.833,16.220,34.515,240.0,,,,,,
lap,9,1'49.235,23.898,34.733,16.222,34.382,244.8,,,,,,
lap,10,1'49.332,23.910,34.640,16.395,34.387,246.0,,,,,,
lap,11,1'49.199,23.877,34.602,16.279,34.441,246.5,,,,,,
lap,12,1'49.757,23.787,34.766,16.314,34.890,244.3,,,,,,
lap,13,1'48.987,23.814,34.550,16.279,34.344,242.1,,,,,,
lap,14,1'49.175,23.552,34.601,16.497,34.525,242.6,,,,,,
lap,15,1'50.058,23.916,34.774,16.431,34.937,244.3,,,,,,
lap,16,1'49.785,24.033,34.668,16.402,34.682,231.7,,,,,,
lap,17,1'49.470,23.687,34.706,16.292,34.785,242.1,,,,,,
lap,18,1'50.963,24.122,35.257,16.429,35.155,230.7,,,,,,
lap,19,1'50.342,24.004,35.262,16.371,34.705,234.2,,,,,,
lap,20,1'50.368,24.134,34.908,16.456,34.870,243.2,,,,,,
lap,21,1'50.871,24.487,35.328,16.375,34.681,235.8,,,,,,
rider,9th,17,John,MCPHEE,Petronas,Sprinta,Raci,GBR,Total,laps=21,laps=20,,
lap,1,1'54.085,26.943,35.576,16.481,35.085,111.5,,,,,,
lap,2,1'48.924,23.617,34.691,16.246,34.370,241.0,,,,,,
lap,3,1'48.464,23.566,34.433,16.318,34.147,238.4,,,,,,
lap,4,1'49.498,23.753,34.999,16.256,34.490,245.4,,,,,,
lap,5,1'48.475,23.513,34.486,16.230,34.246,243.2,,,,,,
lap,6,1'48.291,23.444,34.469,16.226,34.152,240.5,,,,,,
lap,7,1'49.205,23.727,34.704,16.374,34.400,246.0,,,,,,
lap,8,1'48.931,23.455,34.750,16.229,34.497,242.1,,,,,,
lap,9,1'48.722,23.647,34.540,16.249,34.286,242.1,,,,,,
lap,10,1'49.080,23.475,34.733,16.325,34.547,239.4,,,,,,
lap,11,1'48.454,23.528,34.551,16.155,34.220,239.4,,,,,,
lap,12,1'48.370,23.425,34.554,16.166,34.225,244.3,,,,,,
lap,13,1'48.982,23.652,34.556,16.340,34.434,245.4,,,,,,
lap,14,1'49.008,23.451,34.645,16.462,34.450,241.6,,,,,,
lap,15,1'49.952,23.606,34.830,16.628,34.888,246.5,,,,,,
lap,16,1'49.630,23.697,34.906,16.311,34.716,236.3,,,,,,
lap,17,1'49.789,23.868,34.970,16.325,34.626,241.0,,,,,,
lap,18,1'50.751,24.025,35.328,16.583,34.815,243.2,,,,,,
lap,19,1'50.208,23.673,34.937,16.378,35.220,237.8,,,,,,
lap,20,1'50.482,23.874,35.074,16.541,34.993,243.7,,,,,,
lap,21,1'50.916,24.430,35.570,16.390,34.526,240.5,,,,,,
rider,10th,53,Deniz,ÖNCÜ,Red,Bull,KTM,Tech,3,TUR,Total,laps=21,laps=17
lap,1,1'51.339,25.605,34.853,16.558,34.323,92.8,,,,,,
lap,2,1'48.628,23.625,34.525,16.311,34.167,243.7,,,,,,
lap,3,1'48.287,23.281,34.596*,16.111,34.299,244.3,,,,,,
lap,4,1'48.632,23.830,34.516,16.156,34.130*,239.4,,,,,,
lap,5,1'48.233,23.272,34.385,16.254,34.322,242.1,,,,,,
lap,6,1'48.698,23.669,34.419,16.236,34.374,238.4,,,,,,
lap,7,1'49.027,23.643,34.573,16.400,34.411,236.8,,,,,,
lap,8,1'49.545,24.041,34.802,16.256,34.446,240.5,,,,,,
lap,9,1'49.243,23.736,34.691,16.321,34.495,238.4,,,,,,
lap,10,1'49.380,23.756,34.660,16.299,34.665,241.6,,,,,,
lap,11,1'49.230,23.958,34.581,16.299,34.392,242.1,,,,,,
lap,12,1'49.851,23.564,34.815,16.521,34.951,239.4,,,,,,
lap,13,1'49.846,24.428,34.769,16.265,34.384,240.5,,,,,,
lap,14,1'49.218,23.679,34.746,16.234,34.559,243.2,,,,,,
lap,15,1'50.037,23.989,34.950,16.332,34.766,242.1,,,,,,
lap,16,1'49.828,23.711,35.024,16.338,34.755,238.9,,,,,,
lap,17,1'50.300,23.935*,35.046,16.411,34.908,236.3,,,,,,
lap,18,1'50.035,23.771,35.082,16.392,34.790,237.3,,,,,,
lap,19,1'49.647,23.666,34.942,16.538,34.501,240.0,,,,,,
lap,20,1'50.571,24.269,34.952,16.477,34.873,242.6,,,,,,
lap,21,1'51.135,24.069,35.658,16.723,34.685,244.3,,,,,,
rider,11th,23,Niccolò,ANTONELL,SIC58,Squadra,Corse,ITA,Total,laps=21,laps=18,,
lap,1,1'51.652,25.707,35.157,16.352,34.436,79.3,,,,,,
lap,2,1'49.743,23.710,34.950,16.368,34.715,243.7,,,,,,
lap,3,1'49.679,23.670*,34.899,16.382,34.728,243.7,,,,,,
lap,4,1'49.998,23.925,35.131,16.348,34.594,242.6,,,,,,
lap,5,1'48.847,23.707,34.587,16.248,34.305,243.7,,,,,,
lap,6,1'48.688,23.421,34.662,16.212,34.393,243.2,,,,,,
lap,7,1'48.733,23.503,34.565,16.251,34.414,243.2,,,,,,
lap,8,1'49.273,24.184,34.578,16.176,34.335,244.3,,,,,,
lap,9,1'49.190,23.718,34.734,16.300,34.438,243.7,,,,,,
lap,10,1'48.616,23.442,34.662,16.219,34.293,243.7,,,,,,
lap,11,1'48.482,23.419,34.646,16.188,34.229,244.8,,,,,,
lap,12,1'48.751,23.424,34.673,16.219,34.435,243.7,,,,,,
lap,13,1'48.753,23.516,34.678,16.293,34.266,241.0,,,,,,
lap,14,1'48.927,23.495,34.677,16.318,34.437,243.2,,,,,,
lap,15,1'49.253,23.637,34.679,16.268,34.669,245.4,,,,,,
lap,16,1'49.735,24.078,34.672,16.413,34.572,239.4,,,,,,
lap,17,1'49.907,23.755,34.959,16.553,34.640,245.4,,,,,,
lap,18,1'50.305,23.759,35.264,16.425*,34.857,237.8,,,,,,
lap,19,1'50.344,23.964,34.830,16.431,35.119,233.7,,,,,,
lap,20,1'50.561,24.180,35.058,16.545,34.778,242.6,,,,,,
lap,21,1'51.322,24.610,35.390,16.795,34.527,244.8,,,,,,
rider,Albert,ARENAS,Gaviota,Aspar,Team,SPA,12th,75,Total,laps=21,laps=17,,
lap,1,1'50.768,25.234,34.860,16.331,34.343,75.3,,,,,,
lap,2,1'48.453,23.380,34.570,16.217,34.286,240.5,,,,,,
lap,3,1'48.674,23.236,34.584,16.456,34.398,237.3,,,,,,
lap,4,1'48.417,23.271,34.583,16.247,34.316,237.8,,,,,,
lap,5,1'48.585,23.487,34.436,16.221,34.441,235.8,,,,,,
lap,6,1'48.716,23.587,34.495,16.217,34.417,235.2,,,,,,
lap,7,1'49.106,23.707,34.471,16.305,34.623,233.7,,,,,,
lap,8,1'49.444,23.762,34.747,16.401,34.534,233.2,,,,,,
lap,9,1'49.303,23.688,34.726,16.356,34.533,237.8,,,,,,
lap,10,1'49.362,23.658,34.771,16.329,34.604,235.8,,,,,,
lap,11,1'48.872,23.532,34.641,16.284,34.415,235.2,,,,,,
lap,12,1'49.136,23.455,34.703,16.377,34.601,237.3,,,,,,
lap,13,1'49.365,23.632,34.676*,16.436,34.621,235.2,,,,,,
lap,14,1'49.531,23.577,34.923,16.485,34.546,240.0,,,,,,
