0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,July 19,Moto3,Circuito de Jerez,WUP,,,,,,,,
rider,Tatsuki,SUZUKI,SIC58,Squadra,Corse,JPN,1st,24,Total,laps=7,laps=5,,
lap,1,4'06.253,P,33.890,17.730,33.953,31.395,198.8,,,,,
lap,2,1'59.440,37.386,16.806,31.839,33.409,207.2,,,,,,
lap,3,1'46.972,26.379,16.338,31.142,33.113,208.0,,,,,,
lap,4,1'47.053,26.399,16.345,31.211,33.098,208.4,,,,,,
lap,5,1'46.250,26.081,16.233,31.054,32.882,209.7,,,,,,
lap,6,1'47.143,26.284,16.355,31.487,33.017,213.0,,,,,,
lap,7,1'47.010,26.222,16.162,31.478,33.148,212.5,,,,,,
rider,Deniz,ÖNCÜ,Red,Bull,KTM,Tech,3,TUR,2nd,53,Total,laps=10,laps=6
lap,1,4'17.836,39.478,16.973,33.517,36.881,195.6,,,,,,
lap,2,1'48.866,26.564,16.410,31.669,34.223,210.9,,,,,,
lap,3,1'47.055,26.339,16.239,31.290,33.187,208.8,,,,,,
lap,4,1'47.076,26.279,16.342,31.239,33.216,210.1,,,,,,
lap,5,1'48.941,26.457*,16.521,32.678,33.285,206.1,,,,,,
lap,6,1'47.187,26.211,16.309,31.456,33.211,210.5,,,,,,
lap,7,1'46.610,26.278,16.155,31.230,32.947,210.9,,,,,,
lap,8,1'46.965,26.220*,16.256,31.342,33.147,208.0,,,,,,
lap,9,1'47.697,26.428,16.463,31.304,33.502*,204.5,,,,,,
lap,10,1'48.385,26.393,16.605,31.506,33.881,203.0,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,3rd,25,Total,laps=10,laps=9,
lap,1,4'17.374,51.973,17.914,33.174,37.763,192.8,,,,,,
lap,2,1'51.055,26.411,16.324,33.160,35.160,205.3,,,,,,
lap,3,1'46.949,26.240,16.432,31.158,33.119,204.1,,,,,,
lap,4,1'46.723,26.076,16.215,31.360,33.072,212.1,,,,,,
lap,5,1'46.862,26.277,16.337,31.165,33.083,206.1,,,,,,
lap,6,1'46.928,26.135,16.292,31.267,33.234,208.0,,,,,,
lap,7,1'51.350,26.221,16.407,33.827,34.895,204.9,,,,,,
lap,8,1'47.314,26.318,16.472,31.303,33.221,206.5,,,,,,
lap,9,1'47.181,26.251,16.283,31.383,33.264,207.6,,,,,,
lap,10,1'47.438,26.463,16.372,31.336,33.267,207.6,,,,,,
rider,Gabriel,RODRIGO,Kömmerling,Gresini,MARG,4th,2,Total,laps=10,laps=9,,,
lap,1,4'17.637,39.458,17.398,33.576,36.830,194.2,,,,,,
lap,2,1'48.104,26.715,16.424,31.579,33.386,207.6,,,,,,
lap,3,1'47.598,26.305,16.336,31.279,33.678,207.6,,,,,,
lap,4,1'51.752,26.478,16.575,34.849,33.850,203.0,,,,,,
lap,5,1'47.011,26.311,16.375,31.124,33.201,206.8,,,,,,
lap,6,1'46.975,26.291,16.374,31.248,33.062,207.6,,,,,,
lap,7,1'47.367,26.315,16.385,31.181,33.486,208.0,,,,,,
lap,8,1'47.559,26.348,16.360,31.219,33.632,208.8,,,,,,
lap,9,1'46.792,26.257,16.288,31.248,32.999,212.1,,,,,,
lap,10,1'46.732,26.258,16.345,31.112,33.017,208.4,,,,,,
rider,Romano,FENATI,Sterilgarda,Max,Racin,ITA,5th,55,Total,laps=8,laps=5,,
lap,1,3'27.440,30.907,17.394,31.981,34.267,200.0,,,,,,
lap,2,1'48.514,26.637,16.587,31.655,33.635,204.1,,,,,,
lap,3,1'49.842,28.072,16.545,31.748,33.477,204.9,,,,,,
lap,4,1'47.929,26.472,16.439,31.565,33.453,206.5,,,,,,
lap,5,1'44.429,P,27.511,16.606,31.948,28.364,205.3,,,,,
lap,6,1'53.324,32.197,16.504,31.341,33.282,208.8,,,,,,
lap,7,1'46.743,26.205,16.360,31.240,32.938,206.8,,,,,,
lap,8,1'47.540,26.334,16.451,31.358,33.397,210.1,,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,6th,5,Total,laps=9,laps=6,,,
lap,1,4'16.593,48.917,17.980,33.478,38.094,198.1,,,,,,
lap,2,1'52.253,26.677,16.466,35.454,33.656,201.4,,,,,,
lap,3,1'46.928,26.196,16.225,31.432,33.075,211.3,,,,,,
lap,4,1'47.604,26.368,16.539,31.321,33.376,214.7,,,,,,
lap,5,1'47.561,26.735,16.300,31.360,33.166,214.2,,,,,,
lap,6,1'46.818,26.196,16.222,31.260,33.140,214.7,,,,,,
lap,7,1'42.294,P,26.121,16.260,31.360,28.553,212.5,,,,,
lap,8,1'50.309,29.394,16.488,31.354,33.073*,210.9,,,,,,
lap,9,1'46.941,26.205,16.453,31.163,33.120,213.8,,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,7th,40,Total,laps=7,laps=4,,
lap,1,4'02.957,P,42.567,21.004,36.124,28.350,182.4,,,,,
