0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,July 25,Moto3,Circuito de Jerez,FP3,,,,,,,,
rider,Andrea,MIGNO,SKY,Racing,Team,VR,ITA,1st,16,Total,laps=15,laps=8,
lap,1,3'54.453,31.034,17.304,32.312,33.881,194.9,,,,,,
lap,2,1'53.954,26.770,16.617,37.024,33.543,202.6,,,,,,
lap,3,1'47.541,26.421,16.476,31.382,33.262,206.8,,,,,,
lap,4,1'47.159,26.176,16.357,31.383,33.243,206.8,,,,,,
lap,5,1'42.302,P,26.291,16.539,31.529,27.943,203.7,,,,,
lap,6,1'52.691,30.797,16.930,31.842,33.122,190.8,,,,,,
lap,7,1'47.423,26.049,16.138,32.170,33.066,208.0,,,,,,
lap,8,1'46.317,26.047,16.278,31.092,32.900,207.2,,,,,,
lap,9,1'46.449,25.998,16.325,31.171,32.955,206.8,,,,,,
lap,10,1'42.597,P,26.766,16.604,31.347,27.880,202.6,,,,,
lap,11,1'57.050,32.064,16.990,34.314,33.682,198.5,,,,,,
lap,12,1'45.165,25.735,15.992,30.754,32.684,212.1,,,,,,
lap,13,1'45.841,25.897*,16.239,30.916,32.789,207.6,,,,,,
lap,14,1'48.821,25.917,16.285,32.381*,34.238,204.1,,,,,,
lap,15,2'00.101,32.935,19.293,32.347,35.526,201.4,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,2nd,17,Total,laps=16,laps=9,,
lap,1,4'14.320,31.042,17.263,32.953,34.592,201.1,,,,,,
lap,2,1'47.282,26.438,16.330,31.368,33.146,206.5,,,,,,
lap,3,1'47.284,26.151,16.289,31.240,33.604,208.8,,,,,,
lap,4,1'46.128,26.003,16.146,30.876,33.103,208.8,,,,,,
lap,5,1'46.204,25.993,16.217,30.997,32.997,207.6,,,,,,
lap,6,1'46.035,26.044,16.201,30.947,32.843,207.2,,,,,,
lap,7,1'43.107,P,26.704,16.624,31.641,28.138,203.0,,,,,
lap,8,1'59.024,38.446,16.330,31.366,32.882*,209.3,,,,,,
lap,9,1'45.584,26.033,16.048,30.856,32.647,209.7,,,,,,
lap,10,1'45.346,25.780,16.133,30.691,32.742,208.0,,,,,,
lap,11,1'46.174,26.016,16.241,30.956,32.961,205.7,,,,,,
lap,12,1'43.059,P,26.689,16.692,31.506,28.172,203.3,,,,,
lap,13,1'52.142,30.047,16.532,31.557,34.006,203.3,,,,,,
lap,14,1'46.861,26.199,16.321,31.124*,33.217,205.3,,,,,,
lap,15,1'47.382,26.215,16.418,31.387,33.362,204.5,,,,,,
lap,16,1'46.946,26.233,16.373,31.205,33.135,205.7,,,,,,
rider,Jeremy,ALCOBA,Kömmerling,Gresini,M,SPA,3rd,52,Total,laps=13,laps=8,,
lap,1,4'01.579,32.921,19.761,32.824,33.439,169.0,,,,,,
lap,2,1'47.601,26.535,16.428,31.399,33.239,205.3,,,,,,
lap,3,1'47.087,26.378,16.366,31.362,32.981,205.7,,,,,,
lap,4,1'46.992,26.155,16.192,31.428,33.217,209.7,,,,,,
lap,5,1'47.854,26.400,16.421,31.528,33.505,205.7,,,,,,
lap,6,1'47.297,26.370,16.465,31.320,33.142,203.7,,,,,,
lap,7,1'45.786,P,27.217,17.095,32.376,29.098,198.5,,,,,
lap,8,1'57.421,36.360,16.233,31.532,33.296,212.1,,,,,,
lap,9,1'46.550,26.099,16.259,31.286,32.906,212.1,,,,,,
lap,10,1'46.526,26.170,16.115,31.301,32.940,212.1,,,,,,
lap,11,1'42.558,P,26.165,16.317,31.442,28.634,210.5,,,,,
lap,12,1'52.265,31.722,16.296,31.288,32.959,208.0,,,,,,
lap,13,1'45.421,25.882,16.039,30.767,32.733,210.5,,,,,,
rider,Ai,OGURA,Honda,Team,Asia,JPN,4th,79,Total,laps=13,laps=8,,
lap,1,4'13.134,32.047,17.172,32.753,33.894,200.3,,,,,,
lap,2,1'48.074,26.580,16.602,31.495,33.397,203.7,,,,,,
lap,3,1'46.981,26.223,16.500,31.126,33.132,203.7,,,,,,
lap,4,1'46.724,26.150,16.432,31.028,33.114,204.1,,,,,,
lap,5,1'46.346,26.028,16.319,31.086,32.913,210.5,,,,,,
lap,6,1'43.367,P,26.334,16.335,31.848,28.850,206.5,,,,,
lap,7,1'54.480,32.342,16.779,31.676,33.683,205.3,,,,,,
lap,8,1'47.326,26.251,16.481,31.085,33.509,206.1,,,,,,
lap,9,1'45.939,25.868,16.340,30.849,32.882,206.5,,,,,,
lap,10,1'42.399,P,25.997,16.348,32.459,27.595,206.1,,,,,
lap,11,1'53.946,31.466,16.724,32.332,33.424,205.3,,,,,,
lap,12,1'45.515,25.752,16.153,30.734,32.876,207.6,,,,,,
