0,1,2,3,4,5,6,7,8,9,10
const,2020,August 07,Moto3,Automotodrom Brno,FP1,,,,,
rider,Gabriel,RODRIGO,Kömmerling,Gresini,MARG,1st,2,,,
lap,1,4'17.981,39.588,39.633,39.087,22.939,,,,
lap,2,2'11.606,34.285,38.581,36.033,22.707,218.1,,,
lap,3,2'10.155,33.860,38.088,35.677,22.530,221.3,,,
lap,4,2'11.441,34.376,38.331,36.132,22.602,219.0,,,
lap,5,2'10.039,33.897,38.218,35.559,22.365,219.0,,,
lap,6,2'10.153,34.101,38.171,35.484,22.397,219.9,,,
lap,7,2'23.654,P,34.494,38.934,36.113,34.113,221.3,,
lap,8,8'29.511,39.446,38.399,35.811,22.678,,,,
lap,9,2'10.657,34.244,38.144,35.674,22.595,215.5,,,
lap,10,2'22.883,P,34.340,38.362,36.570,33.611,215.5,,
lap,11,6'25.319,46.676,38.250,35.371,22.688,,,,
lap,12,2'08.612,33.828,37.547,34.999,22.238,217.3,,,
lap,13,2'09.357,33.738,37.846,35.280,22.493,217.7,,,
rider,Kaito,TOBA,Red,Bull,KTM,Ajo,JPN,2nd,27,
lap,1,3'54.496,36.650,40.618,36.912,23.252,,,,
lap,2,2'12.736,35.036,38.762,36.004,22.934,213.0,,,
lap,3,2'11.533,34.498,38.711,35.629,22.695,213.8,,,
lap,4,2'10.616,34.146,38.315,35.471,22.684,215.1,,,
lap,5,2'10.257,34.056,38.041,35.625,22.535,215.1,,,
lap,6,2'09.609,34.035,37.888,35.186,22.500,215.5,,,
lap,7,2'19.799,P,34.211,37.915,35.500,32.173,217.3,,
lap,8,9'26.383,38.113,38.864,35.905,22.694,,,,
lap,9,2'10.899,34.391,38.230,35.589,22.689,213.0,,,
lap,10,2'19.958,P,34.792,38.888,36.566,29.712,212.5,,
lap,11,5'58.555,43.423,38.425,35.334,22.334,,,,
lap,12,2'08.718,33.630,37.787,35.047,22.254,219.0,,,
lap,13,2'08.719,33.784,37.612,35.092,22.231,215.5,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,3rd,25,
lap,1,3'30.922,36.093,39.133,36.646,22.944,,,,
lap,2,2'11.001,34.499,38.192,35.666,22.644,213.0,,,
lap,3,2'10.116,34.133,37.854,35.587,22.542,214.7,,,
lap,4,2'09.877,34.183,37.774,35.451,22.469,214.7,,,
lap,5,2'21.447,P,34.146,38.501,36.347,32.453,216.4,,
lap,6,8'05.809,38.773,38.685,35.786,22.701,,,,
lap,7,2'10.012,34.296,37.783,35.431,22.502,214.7,,,
lap,8,2'10.346,34.267,37.882,35.610,22.587,215.1,,,
lap,9,2'10.296,34.238,37.738,35.682,22.638,213.0,,,
lap,10,2'21.233,P,35.751,38.508,36.599,30.375,213.0,,
lap,11,7'44.705,43.451,38.044,35.178,22.380,,,,
lap,12,2'08.839,33.638,37.531,35.240,22.430,218.6,,,
lap,13,2'08.972,33.866,37.459,35.282,22.365,215.5,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,4th,7,,,
lap,1,4'17.190,35.525,45.439,45.161,24.533,,,,
lap,2,2'12.211,34.700,38.758,36.037,22.716,220.8,,,
lap,3,2'10.444,34.201,38.126,35.617,22.500,220.8,,,
lap,4,2'10.697,34.032,38.287,35.730,22.648,223.6,,,
lap,5,2'10.624,34.237,38.149,35.686,22.552,218.1,,,
lap,6,2'09.973,34.056,37.955,35.483,22.479,215.1,,,
lap,7,2'23.938,P,34.914,38.968,36.189,33.867,219.9,,
lap,8,9'57.895,40.328,38.157,35.637,22.635,,,,
lap,9,2'19.532,P,34.236,38.149,35.856,31.291,218.6,,
lap,10,7'25.846,33.943,38.167,35.364,22.367,,,,
lap,11,2'09.123,34.033,37.598,35.236,22.256,219.5,,,
lap,12,2'08.899,33.843,37.523,35.187,22.346,221.7,,,
rider,Ayumu,SASAKI,Red,Bull,KTM,Tech,3,JPN,5th,71
lap,1,3'48.299,37.874,40.403,37.155,22.922,,,,
lap,2,2'11.798,34.597,38.616,35.979,22.606,220.4,,,
lap,3,2'11.273,34.381,38.342,35.798,22.752,220.8,,,
lap,4,2'10.857,34.174,38.319,35.692,22.672,218.6,,,
lap,5,2'13.195,35.263,38.157,35.964,23.811,216.8,,,
lap,6,2'11.059,34.360,38.196,35.932,22.571,220.4,,,
lap,7,2'11.114,34.420,38.336,35.800,22.558,218.6,,,
lap,8,2'11.458,34.238,38.511,35.878,22.831,220.8,,,
lap,9,2'23.023,P,35.365,39.436,36.432,31.790,211.7,,
lap,10,15'33.244,42.962,38.572,35.341,22.356,,,,
lap,11,2'09.429,33.850,37.951,35.284,22.344,219.5,,,
lap,12,2'09.554,33.966,37.756,35.314,22.518,221.3,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,6th,14,,
lap,1,3'49.963,39.068,39.647,37.474,24.035,,,,
lap,2,2'11.324,34.443,38.501,35.846,22.534,218.1,,,
lap,3,2'10.544,34.215,38.186,35.678,22.465,221.3,,,
lap,4,2'11.358,34.730,38.460,35.681,22.487,222.2,,,
lap,5,2'10.617,34.232,38.130,35.715,22.540,223.1,,,
lap,6,2'22.152,P,34.541,38.399,38.685,30.527,216.0,,
lap,7,10'04.238,33.872,39.121,36.464,24.120,,,,
lap,8,2'11.002,34.598,38.238,35.597,22.569,216.4,,,
lap,9,2'11.080,34.370,38.221,35.857,22.632,219.9,,,
lap,10,2'21.220,P,34.853,38.720,36.306,31.341,215.5,,
lap,11,5'32.698,33.108,38.083,35.485,22.513,,,,
lap,12,2'09.462,34.024,37.790,35.307,22.341,217.7,,,
lap,13,2'09.620,34.006,37.817,35.351,22.446,218.6,,,
rider,Albert,ARENAS,Gaviota,Aspar,Team,SPA,7th,75,,
lap,1,4'16.840,35.695,45.376,45.023,24.735,,,,
lap,2,2'12.720,34.894,38.730,36.305,22.791,216.8,,,
lap,3,2'11.119,34.351,38.465,35.600,22.703,216.0,,,
